bus_id,Pd,zone_id,baseKV,interconnect
107655,2.628,51,115.0,Eastern
107656,3.371,51,92.0,Eastern
107657,4.013,51,115.0,Eastern
107658,8.574,51,103.5,Eastern
107659,0.0,20,138.0,Eastern
107660,0.0,51,138.0,Eastern
107662,0.0,51,138.0,Eastern
107663,0.0,51,161.0,Eastern
107664,0.0,1,161.0,Eastern
107666,0.0,9,172.5,Eastern
107668,5.495,8,69.0,Eastern
107669,5.495,8,69.0,Eastern
107670,8.048,8,69.0,Eastern
107671,0.0,8,120.87234042553192,Eastern
107672,0.0,8,119.14190407500902,Eastern
107673,8.048,8,69.0,Eastern
107674,0.0,8,230.0,Eastern
107675,8.048,8,115.0,Eastern
107677,0.0,8,145.66666666666666,Eastern
107678,2.097,8,69.0,Eastern
107679,12.134,8,92.0,Eastern
107680,5.218,8,69.0,Eastern
107685,12.134,8,115.0,Eastern
107686,12.134,8,115.0,Eastern
107687,5.432,8,115.0,Eastern
107688,5.432,8,69.0,Eastern
107689,8.919,9,92.0,Eastern
107690,2.854,8,115.0,Eastern
107692,2.057,8,115.0,Eastern
107693,21.655,8,69.0,Eastern
107694,2.097,8,92.0,Eastern
107695,9.635,8,115.0,Eastern
107698,21.004,8,115.0,Eastern
107700,9.635,8,115.0,Eastern
107701,9.635,8,115.0,Eastern
107702,9.623,8,141.46323529411765,Eastern
107703,0.0,8,142.1341414944356,Eastern
107704,0.0,2,161.0,Eastern
107706,0.0,2,161.0,Eastern
107708,0.0,2,161.0,Eastern
107709,0.0,2,115.0,Eastern
107711,0.0,2,69.0,Eastern
107712,0.0,2,69.0,Eastern
107713,0.0,2,115.0,Eastern
107714,0.0,2,115.0,Eastern
107715,0.0,2,115.0,Eastern
107716,0.0,2,161.0,Eastern
107717,0.0,2,161.0,Eastern
107718,0.0,2,115.0,Eastern
107719,0.0,2,115.0,Eastern
107720,0.0,2,140.66666666666666,Eastern
107721,0.0,2,115.0,Eastern
107722,0.0,2,115.0,Eastern
107723,0.0,2,115.0,Eastern
107724,0.0,2,115.0,Eastern
107725,0.0,2,115.0,Eastern
107726,0.0,2,115.0,Eastern
107727,0.0,2,170.61764705882354,Eastern
107728,0.0,2,115.0,Eastern
107729,0.0,2,115.0,Eastern
107730,0.0,2,115.0,Eastern
107731,0.0,2,126.5,Eastern
107733,0.0,2,69.0,Eastern
107734,0.0,2,69.0,Eastern
107735,0.0,2,69.0,Eastern
107736,0.0,2,161.0,Eastern
107737,0.0,2,69.0,Eastern
107738,0.0,2,161.0,Eastern
107739,0.0,2,69.0,Eastern
107740,0.0,2,161.0,Eastern
107741,0.0,2,140.76785714285714,Eastern
107743,0.0,2,77.625,Eastern
107744,0.0,2,69.0,Eastern
107745,0.0,2,70.725,Eastern
107748,0.0,2,69.0,Eastern
107749,0.0,2,161.0,Eastern
107750,0.0,2,161.0,Eastern
107751,0.0,2,115.0,Eastern
107752,0.0,2,115.0,Eastern
107753,0.0,2,115.0,Eastern
107754,0.0,2,161.0,Eastern
107755,0.0,2,115.0,Eastern
107756,0.0,2,115.0,Eastern
107757,0.0,2,132.95833333333334,Eastern
107758,0.0,2,115.0,Eastern
107759,0.0,2,138.0,Eastern
107760,0.0,2,115.0,Eastern
107761,0.0,2,115.0,Eastern
107762,0.0,2,115.0,Eastern
107763,0.0,2,115.0,Eastern
107765,0.0,2,115.0,Eastern
107766,0.0,2,115.0,Eastern
107767,0.0,2,115.0,Eastern
107768,0.0,2,115.0,Eastern
107769,0.0,2,115.0,Eastern
107770,0.0,2,115.0,Eastern
107771,0.0,2,115.0,Eastern
107772,0.0,2,115.0,Eastern
107773,0.0,2,115.0,Eastern
107774,0.0,2,115.0,Eastern
107775,0.0,2,115.0,Eastern
107776,0.0,2,115.0,Eastern
107777,0.0,2,115.0,Eastern
107778,0.0,2,115.0,Eastern
