bus_id,lat,lon,County,BA
1,43.9761,-70.2211,Androscoggin__ME,ISNE
2,43.9761,-70.2211,Androscoggin__ME,ISNE
3,43.9761,-70.2211,Androscoggin__ME,ISNE
4,43.9761,-70.2211,Androscoggin__ME,ISNE
5,43.9761,-70.2211,Androscoggin__ME,ISNE
6,43.9761,-70.2211,Androscoggin__ME,ISNE
7,44.101,-70.3053,Androscoggin__ME,ISNE
8,44.101,-70.3053,Androscoggin__ME,ISNE
9,44.101,-70.3053,Androscoggin__ME,ISNE
10,44.1799,-70.186,Androscoggin__ME,ISNE
11,44.1433,-70.2241,Androscoggin__ME,ISNE
12,44.0207,-70.1805,Androscoggin__ME,ISNE
13,44.2482,-70.1988,Androscoggin__ME,ISNE
14,44.2482,-70.1988,Androscoggin__ME,ISNE
15,44.2301,-70.1222,Androscoggin__ME,ISNE
16,44.2567,-70.0894,Androscoggin__ME,ISNE
17,44.3398,-70.0998,Kennebec__ME,ISNE
18,44.3398,-70.0998,Kennebec__ME,ISNE
19,44.0989,-70.155,Androscoggin__ME,ISNE
20,44.0989,-70.155,Androscoggin__ME,ISNE
21,44.0775,-70.139,Androscoggin__ME,ISNE
22,44.0775,-70.139,Androscoggin__ME,ISNE
23,44.0775,-70.139,Androscoggin__ME,ISNE
24,44.1273,-70.0823,Androscoggin__ME,ISNE
25,44.1273,-70.0823,Androscoggin__ME,ISNE
26,44.1273,-70.0823,Androscoggin__ME,ISNE
27,44.1654,-70.2236,Androscoggin__ME,ISNE
28,44.1654,-70.2236,Androscoggin__ME,ISNE
29,44.1654,-70.2236,Androscoggin__ME,ISNE
30,43.95,-70.1035,Androscoggin__ME,ISNE
31,44.025,-70.1141,Androscoggin__ME,ISNE
32,44.025,-70.1141,Androscoggin__ME,ISNE
33,44.0392,-70.1505,Androscoggin__ME,ISNE
34,44.0392,-70.1505,Androscoggin__ME,ISNE
35,43.9856,-70.1025,Androscoggin__ME,ISNE
36,43.9856,-70.1025,Androscoggin__ME,ISNE
37,44.0498,-70.0378,Androscoggin__ME,ISNE
38,44.4496,-70.1311,Androscoggin__ME,ISNE
39,44.4377,-70.2147,Androscoggin__ME,ISNE
40,44.4377,-70.2147,Androscoggin__ME,ISNE
41,44.0905,-70.4246,Androscoggin__ME,ISNE
42,44.143,-70.4718,Oxford__ME,ISNE
43,44.1425,-70.3839,Androscoggin__ME,ISNE
44,44.0427,-70.3883,Androscoggin__ME,ISNE
45,44.009,-70.3499,Androscoggin__ME,ISNE
46,44.1665,-70.1235,Androscoggin__ME,ISNE
47,44.1392,-69.9854,Kennebec__ME,ISNE
48,44.2722,-70.2349,Androscoggin__ME,ISNE
49,44.2722,-70.2349,Androscoggin__ME,ISNE
50,44.2722,-70.2349,Androscoggin__ME,ISNE
51,44.2792,-70.1724,Androscoggin__ME,ISNE
52,46.2679,-68.8943,Piscataquis__ME,ISNE
53,46.2679,-68.8943,Piscataquis__ME,ISNE
54,46.2901,-69.0327,Piscataquis__ME,ISNE
55,46.2901,-69.0327,Piscataquis__ME,ISNE
56,46.5134,-67.9299,Aroostook__ME,ISNE
57,46.8782,-67.976,Aroostook__ME,ISNE
58,46.9917,-68.0172,Aroostook__ME,ISNE
59,46.9917,-68.0172,Aroostook__ME,ISNE
60,46.9917,-68.0172,Aroostook__ME,ISNE
61,46.8955,-68.0743,Aroostook__ME,ISNE
62,45.6987,-67.9293,Aroostook__ME,ISNE
63,45.5818,-67.8406,Washington__ME,ISNE
64,47.0238,-68.7954,Aroostook__ME,ISNE
65,47.0238,-68.7954,Aroostook__ME,ISNE
66,46.9679,-68.6624,Aroostook__ME,ISNE
67,46.7217,-67.8312,Aroostook__ME,ISNE
68,46.8159,-67.9343,Aroostook__ME,ISNE
69,46.8103,-67.8251,Aroostook__ME,ISNE
70,46.8103,-67.8251,Aroostook__ME,ISNE
71,47.1612,-68.6172,Aroostook__ME,ISNE
72,47.1612,-68.6172,Aroostook__ME,ISNE
73,47.1612,-68.6172,Aroostook__ME,ISNE
74,47.2351,-68.6359,Aroostook__ME,ISNE
75,47.2351,-68.6359,Aroostook__ME,ISNE
76,47.2223,-68.5069,Aroostook__ME,ISNE
77,46.2065,-67.8508,Aroostook__ME,ISNE
78,46.1341,-67.8768,Aroostook__ME,ISNE
79,46.1341,-67.8768,Aroostook__ME,ISNE
80,46.1827,-67.8594,Aroostook__ME,ISNE
81,46.1827,-67.8594,Aroostook__ME,ISNE
82,46.1827,-67.8594,Aroostook__ME,ISNE
83,46.0481,-68.2161,Aroostook__ME,ISNE
84,46.0481,-68.2161,Aroostook__ME,ISNE
85,45.9189,-68.3359,Aroostook__ME,ISNE
86,45.9189,-68.3359,Aroostook__ME,ISNE
87,46.9742,-67.8909,Aroostook__ME,ISNE
88,47.0574,-67.7927,Aroostook__ME,ISNE
89,46.9462,-67.793,Aroostook__ME,ISNE
90,47.3572,-68.3545,,ISNE
91,47.3572,-68.3545,,ISNE
92,47.2688,-68.3246,Aroostook__ME,ISNE
93,47.2688,-68.3246,Aroostook__ME,ISNE
94,47.2688,-68.3246,Aroostook__ME,ISNE
95,47.3546,-68.233,Aroostook__ME,ISNE
96,46.7493,-68.25,Aroostook__ME,ISNE
97,46.7493,-68.25,Aroostook__ME,ISNE
98,46.7493,-68.25,Aroostook__ME,ISNE
99,46.7493,-68.25,Aroostook__ME,ISNE
100,46.7493,-68.25,Aroostook__ME,ISNE
101,46.6668,-68.1473,Aroostook__ME,ISNE
102,46.6668,-68.1473,Aroostook__ME,ISNE
103,46.7307,-68.3261,Aroostook__ME,ISNE
104,46.5688,-67.8406,Aroostook__ME,ISNE
105,45.5947,-68.2843,Aroostook__ME,ISNE
106,46.33,-67.951,Aroostook__ME,ISNE
107,46.33,-67.951,Aroostook__ME,ISNE
108,46.1391,-68.0504,Aroostook__ME,ISNE
109,45.825,-67.9098,Aroostook__ME,ISNE
110,45.825,-67.9098,Aroostook__ME,ISNE
111,46.1276,-68.6097,Penobscot__ME,ISNE
112,46.8598,-68.8672,Aroostook__ME,ISNE
113,46.6373,-67.9218,Aroostook__ME,ISNE
114,46.6383,-67.9563,Aroostook__ME,ISNE
115,46.7015,-67.9516,Aroostook__ME,ISNE
116,46.7015,-67.9516,Aroostook__ME,ISNE
117,47.1583,-68.3403,Aroostook__ME,ISNE
118,47.2082,-68.2279,Aroostook__ME,ISNE
119,47.1408,-69.1818,Aroostook__ME,ISNE
120,47.1408,-69.1818,Aroostook__ME,ISNE
121,45.811,-68.3401,Aroostook__ME,ISNE
122,45.811,-68.3401,Aroostook__ME,ISNE
123,46.2093,-68.2087,Aroostook__ME,ISNE
124,46.2093,-68.2087,Aroostook__ME,ISNE
125,47.1891,-67.9831,Aroostook__ME,ISNE
126,47.1769,-68.0578,Aroostook__ME,ISNE
127,47.1769,-68.0578,Aroostook__ME,ISNE
128,47.0944,-68.0736,Aroostook__ME,ISNE
129,46.8216,-68.1984,Aroostook__ME,ISNE
130,44.0782,-70.6971,Cumberland__ME,ISNE
131,44.0348,-70.7537,Cumberland__ME,ISNE
132,44.0348,-70.7537,Cumberland__ME,ISNE
133,44.0348,-70.7537,Cumberland__ME,ISNE
134,44.0625,-70.6637,Cumberland__ME,ISNE
135,43.9609,-69.9372,Sagadahoc__ME,ISNE
136,43.9093,-70.0083,Cumberland__ME,ISNE
137,43.928,-69.9694,Sagadahoc__ME,ISNE
138,43.8874,-69.9594,Cumberland__ME,ISNE
139,43.5616,-70.2744,Cumberland__ME,ISNE
140,43.6347,-70.2046,Cumberland__ME,ISNE
141,43.9361,-70.4876,Cumberland__ME,ISNE
142,43.8899,-70.4872,Cumberland__ME,ISNE
143,43.8279,-70.2734,Cumberland__ME,ISNE
144,43.8279,-70.2734,Cumberland__ME,ISNE
145,43.8345,-70.2465,Cumberland__ME,ISNE
146,43.7254,-70.2728,Cumberland__ME,ISNE
147,43.7826,-70.3009,Cumberland__ME,ISNE
148,43.7067,-70.2652,Cumberland__ME,ISNE
149,43.8528,-70.0865,Cumberland__ME,ISNE
150,43.8569,-70.1464,Cumberland__ME,ISNE
151,43.7812,-70.063,Cumberland__ME,ISNE
152,43.7812,-70.063,Cumberland__ME,ISNE
153,43.7238,-70.4998,Cumberland__ME,ISNE
154,43.7238,-70.4998,Cumberland__ME,ISNE
155,43.8102,-70.417,Cumberland__ME,ISNE
156,43.6855,-70.4985,Cumberland__ME,ISNE
157,43.6855,-70.4985,Cumberland__ME,ISNE
158,43.7105,-70.4484,Cumberland__ME,ISNE
159,43.8433,-70.3461,Cumberland__ME,ISNE
160,43.8694,-70.3761,Cumberland__ME,ISNE
161,43.7883,-69.9007,Cumberland__ME,ISNE
162,43.8575,-69.9314,Cumberland__ME,ISNE
163,43.7536,-69.9695,Cumberland__ME,ISNE
164,43.7536,-69.9695,Cumberland__ME,ISNE
165,44.05,-70.8657,Oxford__ME,ISNE
166,44.114,-70.8559,Oxford__ME,ISNE
167,44.1939,-70.7475,Oxford__ME,ISNE
168,44.0087,-70.6828,Cumberland__ME,ISNE
169,43.9335,-70.6507,Cumberland__ME,ISNE
170,43.9376,-70.3062,Cumberland__ME,ISNE
171,44.069,-70.2935,Androscoggin__ME,ISNE
172,44.069,-70.2935,Androscoggin__ME,ISNE
173,43.8682,-70.2913,Cumberland__ME,ISNE
174,43.5804,-70.234,Cumberland__ME,ISNE
