hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,10924.51672153778,201.9168321786497,0.0,11126.43355371643
1,11509.458061041645,350.5326564572823,0.0,11859.990717498928
2,12431.058224625576,-0.0,0.0,12431.058224625576
3,11891.619509618771,886.8616993842364,0.0,12778.481209003008
4,11906.637846202055,798.9599059957602,0.0,12705.597752197815
5,11399.283392684976,1115.562813152753,0.0,12514.84620583773
6,10678.147868037606,1407.2622951658468,0.0,12085.410163203453
7,9845.44891440291,1541.412833775677,0.0,11386.861748178588
8,8613.262365289065,1756.4329794086734,0.0,10369.695344697739
9,8665.076184460891,1092.0517597593473,0.0,9757.12794422024
10,8404.150535327039,1124.2290469542043,0.0,9528.379582281243
11,8165.881065693526,1139.4667169596821,0.0,9305.347782653207
12,7612.170315945834,1596.3667559593428,0.0,9208.537071905177
13,7483.602564822513,1795.355380259678,0.0,9278.957945082191
14,7665.446802589499,1929.4003941238943,0.0,9594.847196713394
15,7751.712498227374,2267.310629075074,0.0,10019.023127302447
16,8126.114692791638,1890.4787675319292,0.0,10016.593460323567
17,7981.542802685919,2053.854282904163,0.0,10035.397085590082
18,8445.271149860351,1491.82624332649,0.0,9937.097393186841
19,7959.84992863552,1873.5118626281978,0.0,9833.361791263718
20,8416.033636346856,1297.0561883180806,0.0,9713.089824664936
21,8164.922364576092,1496.8353014283512,0.0,9661.757666004443
22,8131.645742936795,1377.180950018681,0.0,9508.826692955476
23,7886.671670801613,1603.851990025749,0.0,9490.523660827363
24,8342.397253970912,1459.1930881554022,0.0,9801.590342126314
25,9878.774739919041,939.2418355018427,0.0,10818.016575420885
26,10144.095894614258,1194.8459170605984,0.0,11338.941811674857
27,11289.078769131687,481.43739789749577,0.0,11770.516167029184
28,11291.436366841905,514.4541217852565,0.0,11805.890488627161
29,10848.663412850017,911.9225415783424,0.0,11760.58595442836
30,10144.267753233056,1286.925247480522,0.0,11431.193000713578
31,9895.485984631287,924.9214814004229,0.0,10820.40746603171
32,8755.59126264492,2023.7852925384466,0.0,10779.376555183368
33,8493.972195331848,1733.7905014109924,0.0,10227.76269674284
34,8281.274061484894,1530.9661300693217,0.0,9812.240191554216
35,7822.932355487728,1851.4378797413253,0.0,9674.370235229053
36,7813.855386955827,1906.447283692004,0.0,9720.30267064783
37,8007.702959238564,1989.5090928867223,0.0,9997.212052125287
38,8637.632032329715,2107.463404275186,0.0,10745.0954366049
39,9362.912443973193,2487.2591024017174,0.0,11850.17154637491
40,9953.09866236214,2149.759874393499,0.0,12102.858536755639
41,11043.526103882688,579.6042406943824,0.0,11623.13034457707
42,10965.71034335466,422.84973478092337,0.0,11388.560078135582
43,10658.660678319102,540.9531342588892,0.0,11199.61381257799
44,10665.661163578261,440.1264485133443,0.0,11105.787612091606
45,10334.260539732726,541.0343317371496,0.0,10875.294871469876
46,10373.423664085292,461.01745663419115,0.0,10834.441120719483
47,10690.88528187087,261.49561543528216,0.0,10952.380897306151
48,10924.51672153778,168.77941209379918,0.0,11093.29613363158
49,11503.858631659992,325.5260830290359,0.0,11829.384714689028
50,12431.058224625576,-0.0,0.0,12431.058224625576
51,11891.619509618771,908.294685941133,0.0,12799.914195559904
52,11906.637846202055,854.7940848133678,0.0,12761.431931015422
53,11399.283392684976,1228.6191921114014,0.0,12627.902584796379
54,10678.147868037606,1506.7727345804278,0.0,12184.920602618033
55,9845.44891440291,1633.508453140405,0.0,11478.957367543315
56,8755.59126264492,1876.0270040819223,0.0,10631.618266726844
57,8493.972195331848,1642.020598548176,0.0,10135.992793880023
58,8281.274061484894,1469.1208030891196,0.0,9750.394864574013
59,7822.932355487728,1775.393058894065,0.0,9598.325414381794
60,7813.855386955827,1757.0126794375637,0.0,9570.868066393392
61,8007.702959238564,1884.1624806145176,0.0,9891.865439853082
62,8637.632032329715,1981.2948225241416,0.0,10618.926854853857
63,9362.912443973193,2281.8311643924676,0.0,11644.743608365661
64,9953.09866236214,2005.760260325201,0.0,11958.858922687341
65,11043.526103882688,514.619343354247,0.0,11558.145447236935
66,10965.71034335466,339.90785873404377,0.0,11305.618202088704
67,10658.660678319102,392.6760122598508,0.0,11051.336690578953
68,10665.661163578261,295.41361102865415,0.0,10961.074774606916
69,10334.260539732726,331.45589123431205,0.0,10665.716430967039
70,10373.423664085292,259.6535444867936,0.0,10633.077208572086
71,10690.88528187087,163.43880480512018,0.0,10854.32408667599
72,10924.51672153778,108.4762694348867,0.0,11032.992990972667
73,11500.473969027778,235.3659318166941,0.0,11735.839900844472
74,12431.058224625576,-0.0,0.0,12431.058224625576
75,11891.619509618771,850.8550982234196,0.0,12742.47460784219
76,11906.637846202055,794.4435144254136,0.0,12701.081360627468
77,11399.283392684976,1107.205552925296,0.0,12506.488945610272
78,10678.147868037606,1406.924193795548,0.0,12085.072061833154
79,9845.44891440291,1575.1031354318482,0.0,11420.552049834758
80,8755.59126264492,1865.5323916151847,0.0,10621.123654260105
81,8493.972195331848,1579.1484251795816,0.0,10073.120620511429
82,8281.274061484894,1349.8407344182242,0.0,9631.114795903119
83,7822.932355487728,1732.1740989912862,0.0,9555.106454479015
84,7813.855386955827,1686.9294248608965,0.0,9500.784811816724
85,8007.702959238564,1789.0216873118027,0.0,9796.724646550367
86,8637.632032329715,1891.7325112996018,0.0,10529.364543629317
87,9362.912443973193,2213.719134773109,0.0,11576.631578746303
88,9953.09866236214,1920.9722051869496,0.0,11874.07086754909
89,11043.526103882688,510.71539890334594,0.0,11554.241502786035
90,10965.71034335466,327.35930106270337,0.0,11293.069644417363
91,10658.660678319102,346.3930833921837,0.0,11005.053761711286
92,10665.661163578261,263.9528948630259,0.0,10929.614058441286
93,10334.260539732726,253.58231083135917,0.0,10587.842850564086
94,10373.423664085292,207.2357927520466,0.0,10580.659456837338
95,10690.88528187087,143.12821119419084,0.0,10834.01349306506
96,10924.51672153778,99.20696617953587,0.0,11023.723687717316
97,11496.941899721225,233.0592878246294,0.0,11730.001187545855
98,12431.058224625576,-0.0,0.0,12431.058224625576
99,11891.619509618771,772.5404107528783,0.0,12664.159920371649
100,11906.637846202055,738.2517855553422,0.0,12644.889631757396
101,11399.283392684976,1038.3072853727872,0.0,12437.590678057764
102,10678.147868037606,1257.7528770123613,0.0,11935.900745049967
103,9845.44891440291,1333.8006808349508,0.0,11179.249595237861
104,8613.262365289065,1511.018815051615,0.0,10124.28118034068
105,8665.076184460891,908.3435452159856,0.0,9573.419729676876
106,8404.150535327039,818.8772303187399,0.0,9223.027765645778
107,8165.881065693526,823.6612287721065,0.0,8989.542294465633
108,7612.170315945834,1193.7852624142283,0.0,8805.955578360063
109,7483.602564822513,1365.5832248703528,0.0,8849.185789692867
110,7665.947229120595,1395.4103858915382,0.0,9061.357615012133
111,7751.712498227374,1525.9952946158667,0.0,9277.70779284324
112,8126.114692791638,1409.960470205808,0.0,9536.075162997446
113,7981.542802685919,1687.7069885852395,0.0,9669.249791271159
114,8445.271149860351,1211.6299793245203,0.0,9656.901129184871
115,7959.84992863552,1483.710273851993,0.0,9443.560202487513
116,8416.033636346856,1061.3162064503051,0.0,9477.34984279716
117,8164.922364576092,1273.2481590960942,0.0,9438.170523672186
118,8131.645742936795,1327.5536314569808,0.0,9459.199374393775
119,7886.671670801613,1592.570932434158,0.0,9479.24260323577
120,8342.397253970912,1432.767160669978,0.0,9775.16441464089
121,9862.550956760915,829.5052719871758,0.0,10692.056228748092
122,10144.095894614258,1047.0354046091577,0.0,11191.131299223416
