hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,9806.435948151304,1760.8331985263915,0.0,11567.269146677696
1,9383.944109444117,2157.24914956166,0.0,11541.193259005777
2,9000.286317434362,2389.005614556113,0.0,11389.291931990476
3,8607.422512563058,2642.890834928931,0.0,11250.313347491989
4,8111.530739622541,2701.3017506805268,0.0,10812.832490303068
5,7599.166581077571,2694.9740794413487,0.0,10294.14066051892
6,7150.734043834603,2758.0764510082804,0.0,9908.810494842883
7,6890.9108952307915,2820.6042900955376,0.0,9711.515185326329
8,6781.152081833132,2799.5937003630806,0.0,9580.745782196213
9,6682.670957062708,2919.3484758568684,0.0,9602.019432919577
10,6768.184497392638,3006.1632714204598,0.0,9774.347768813099
11,6413.097121857084,3594.8466493355927,0.0,10007.943771192677
12,6540.055013107184,3775.9092673414993,0.0,10315.964280448683
13,6770.495039918715,3808.1569675910405,0.0,10578.652007509754
14,7302.794439539712,3507.0204662364818,0.0,10809.814905776193
15,8389.879880228178,2201.2857901875523,0.0,10591.16567041573
16,9007.859393855299,1471.9913474978823,0.0,10479.85074135318
17,9305.059703109455,1003.0855244990894,0.0,10308.145227608544
18,9478.354209393128,681.5165003907663,0.0,10159.870709783894
19,9511.908941796715,537.5679252328099,0.0,10049.476867029525
20,9504.581377211705,451.65497676522233,0.0,9956.236353976929
21,9487.481373931852,409.5981327382895,0.0,9897.079506670141
22,9428.2207079076,477.79514769507665,0.0,9906.015855602676
23,9695.236783107714,617.3059107105383,0.0,10312.542693818252
24,9577.80667924117,830.0471432743641,0.0,10407.853822515533
25,9237.32307226217,885.421966374464,0.0,10122.745038636634
26,8684.19682889824,1039.2903702678284,68.46232866366049,9791.949527829729
27,8294.722786096296,1183.2832040688631,98.17593299308412,9576.181923158243
28,7904.984434616979,1236.3298669711553,117.00183528722366,9258.316136875357
29,7428.617048218434,1311.3320212283895,127.35385382692152,8867.302923273746
30,6907.786913167102,1585.4524876665484,41.74483211312702,8534.984232946777
31,6552.563410527223,1711.833577604315,43.39823242297067,8307.79522055451
32,6309.924636129969,1789.7458119443081,51.2902816463307,8150.9607297206085
33,6363.752232566629,1888.7208268295408,39.42348374434273,8291.89654314051
34,6930.398510134351,1886.7172681452503,2.075813569335919,8819.191591848938
35,7236.849668351237,2129.580347892818,2.666065107315951,9369.09608135137
36,8063.719151384393,2274.729305363387,0.0,10338.44845674778
37,8461.16220208463,2328.0082432662284,0.0,10789.170445350857
38,8752.07611668506,2292.088081137686,0.0,11044.164197822747
39,9419.99522176104,2275.5460739876016,0.0,11695.541295748642
40,9840.616992372496,2149.853568619628,0.0,11990.470560992124
41,9972.044041452828,2081.4143817028194,0.0,12053.458423155647
42,9895.169377408696,2049.6665733603604,0.0,11944.835950769057
43,9918.557757399216,2021.5460160427815,0.0,11940.103773441997
44,9867.293902168065,2005.2575347602306,0.0,11872.551436928296
45,9721.796258648505,2159.1363271520645,0.0,11880.932585800569
46,9541.43542471193,2265.915088144833,0.0,11807.350512856763
47,9634.4620870961,2449.5438159484193,0.0,12084.005903044519
48,9806.363448455055,2342.8784547631712,0.0,12149.241903218226
49,9383.944109444117,2468.896620153117,0.0,11852.840729597234
50,9000.286317434362,2566.5103302533626,0.0,11566.796647687725
51,8607.422512563058,2225.571392022963,0.0,10832.993904586021
52,8111.530739622541,2065.6014700764763,0.0,10177.132209699017
53,7599.166581077571,1842.6693646315869,0.0,9441.835945709157
54,6907.786913167102,1709.4181131268328,13.856935405768231,8631.061961699705
55,6552.563410527223,1699.794553988375,43.29279549260353,8295.650760008202
56,6309.924636129969,1780.891693139979,51.04636967858924,8141.862698948537
57,6363.752232566629,1906.841762498391,34.350018448959986,8304.94401351398
58,6930.398510134351,1731.939542754153,17.93857260787631,8680.27662549638
59,7236.849668351237,2078.3614218295415,6.5269547112759225,9321.738044892056
60,8063.719151384393,2227.9733981245213,0.6377304334638023,10292.330279942378
61,8461.16220208463,2389.9681430405467,0.0,10851.130345125177
62,8752.07611668506,2461.9906773957646,0.0,11214.066794080825
63,9419.99522176104,2612.000112826522,0.0,12031.995334587562
64,9840.616992372496,2568.1405787710078,0.0,12408.757571143504
65,9972.044041452828,2489.6480827459504,0.0,12461.692124198778
66,9895.169377408696,2466.6876991197355,0.0,12361.857076528431
67,9918.557757399216,2372.4411460503593,0.0,12290.998903449576
68,9867.293902168065,2324.0755113375,0.0,12191.369413505565
69,9721.796258648505,2368.476412505445,0.0,12090.272671153949
70,9541.43542471193,2543.4282964130566,0.0,12084.863721124986
71,9622.850961343345,2819.647716603167,0.0,12442.498677946513
72,9806.32719860693,2928.7304399037353,0.0,12735.057638510665
73,9383.944109444117,3188.69342736013,0.0,12572.637536804246
74,9000.286317434362,3522.3255756144567,0.0,12522.61189304882
75,8607.422512563058,3758.0353252639547,0.0,12365.457837827013
76,8111.530739622541,3766.9434168725106,0.0,11878.474156495051
77,7599.166581077571,3846.126611121306,0.0,11445.293192198877
78,6907.786913167102,4222.54408711422,0.0,11130.331000281323
79,6552.563410527223,4359.796395943104,0.0,10912.359806470326
80,6309.924636129969,4516.889190067559,0.0,10826.81382619753
81,6363.752232566629,4511.6240275046375,0.0,10875.376260071265
82,6930.398510134351,3970.4329977071616,0.0,10900.831507841513
83,7236.849668351237,4419.562881100093,0.0,11656.41254945133
84,8063.719151384393,4576.101466353441,0.0,12639.820617737834
85,8461.16220208463,4435.320379828988,0.0,12896.482581913617
86,8752.07611668506,4072.975768874288,0.0,12825.05188555935
87,9419.99522176104,2981.447291380118,0.0,12401.442513141159
88,9840.616992372496,2155.8266678828686,0.0,11996.443660255365
89,9972.044041452828,1794.5215040599587,0.0,11766.565545512785
90,9895.169377408696,1575.5558794361928,0.0,11470.72525684489
91,9918.557757399216,1310.6324530467334,0.0,11229.19021044595
92,9867.293902168065,1155.8173207334653,0.0,11023.11122290153
93,9721.796258648505,948.7759923220462,0.0,10670.57225097055
94,9541.43542471193,1039.0910373929676,0.0,10580.526462104897
95,9609.785955867766,1136.7424977072742,0.0,10746.52845357504
96,9806.32719860693,1948.1295915777657,0.0,11754.456790184697
97,9383.944109444117,2418.265254089459,0.0,11802.209363533577
98,9000.286317434362,2721.6426731509796,0.0,11721.928990585342
99,8607.422512563058,3031.9645685812175,0.0,11639.387081144276
100,8111.530739622541,3086.408114422955,0.0,11197.938854045497
101,7599.166581077571,3118.595127188602,0.0,10717.761708266173
102,7150.734043834603,3133.0050164821955,0.0,10283.739060316799
103,6890.9108952307915,3185.797236147409,0.0,10076.7081313782
104,6781.152081833132,3254.9660713793232,0.0,10036.118153212456
105,6682.670957062708,3465.5874640714505,0.0,10148.258421134158
106,6768.184497392638,3521.1109665965137,0.0,10289.295463989152
107,6413.097121857084,4214.367448770892,0.0,10627.464570627977
108,6540.055013107184,4463.424048674106,0.0,11003.47906178129
109,6776.536631966097,4559.729581913823,0.0,11336.26621387992
110,7302.794439539712,4329.214413805647,0.0,11632.00885334536
111,8389.879880228178,2600.915674104604,0.0,10990.795554332783
112,9007.859393855299,1126.758965853543,0.0,10134.618359708842
113,9305.059703109455,493.3042274050714,0.0,9798.363930514526
