hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,3195.87482181114,214.69743707157232,0.0,3410.5722588827125
1,3246.9651749878153,220.45326735574255,0.0,3467.4184423435577
2,3138.1747000378855,361.7847959213075,0.0,3499.959495959193
3,3145.609456653937,399.4956756188511,0.0,3545.105132272788
4,3145.1599746379675,374.5196710164242,0.0,3519.6796456543916
5,3022.6760298462277,460.3388944799244,0.0,3483.014924326152
6,3110.85592284998,290.81769711109945,0.0,3401.673619961079
7,3135.352520478751,257.7582122265468,0.0,3393.110732705298
8,3152.906395293708,230.5885916417567,0.0,3383.494986935465
9,3096.117194149475,321.2833291076414,0.0,3417.400523257116
10,3254.907519132439,124.78889436373952,0.0,3379.6964134961786
11,3251.917253000468,152.5942196778682,0.0,3404.5114726783363
12,3106.462118223169,365.2460865437903,0.0,3471.708204766959
13,3259.188535662584,216.7416528026685,0.0,3475.9301884652523
14,3154.1809907161887,349.2017386475195,0.0,3503.382729363708
15,3235.1696726106534,215.76285078427844,0.0,3450.9325233949316
16,3264.9183855279675,176.74238247629336,0.0,3441.6607680042607
17,3194.224015933813,306.61257630440895,0.0,3500.836592238222
18,3086.8878247166194,475.88669305282605,0.0,3562.7745177694455
19,3014.3752157761915,591.0998646905996,0.0,3605.475080466791
20,3120.741481316827,430.93845747980043,0.0,3551.6799387966275
21,3117.507918124111,450.15281554849497,0.0,3567.6607336726056
22,2973.5521567123856,724.5329759397549,0.0,3698.0851326521406
23,3241.9899774626947,562.7805926789954,0.0,3804.77057014169
24,3217.9631603719317,572.4588695151181,0.0,3790.4220298870496
25,3160.219472439497,619.0763671541746,0.0,3779.2958395936716
26,2981.6053609234036,840.8239908445939,0.0,3822.4293517679976
27,3044.9836417866686,688.6777023011294,0.0,3733.661344087798
28,2957.1041950876606,740.5572840159118,0.0,3697.6614791035727
29,2980.177397749248,658.6689322722166,0.0,3638.8463300214644
30,3051.3712056397726,575.1793311033773,0.0,3626.5505367431497
31,2980.0617791802424,657.8686192679685,0.0,3637.930398448211
32,2947.6391806476267,683.3103853558011,0.0,3630.949566003428
33,2953.164048396577,661.9296458660039,0.0,3615.093694262581
34,2942.099045877465,668.8909480305748,0.0,3610.9899939080397
35,2861.7381562691517,795.4671847526669,0.0,3657.2053410218186
36,2888.190293054318,840.4032243111196,0.0,3728.5935173654375
37,2985.9656394408976,748.9460018578383,0.0,3734.911641298736
38,2973.2510203801744,717.9073104057221,0.0,3691.1583307858964
39,3087.007039544823,612.9964383679959,0.0,3700.0034779128187
40,3215.4306911353706,439.4191631724205,0.0,3654.8498543077912
41,3208.9608828747646,426.7498817515494,0.0,3635.710764626314
42,3178.92557393557,437.32980580771766,0.0,3616.2553797432874
43,3222.9692648912423,340.6000409973248,0.0,3563.569305888567
44,3157.1849819754484,458.87837219566796,0.0,3616.0633541711163
45,3156.1454466924365,491.8292919683335,0.0,3647.97473866077
46,3175.7075573988127,475.686485065569,0.0,3651.3940424643815
47,3294.048140282445,510.94169376263795,0.0,3804.9898340450827
48,3195.8747500502386,660.9350105411078,0.0,3856.8097605913463
49,3246.9651749878153,542.356552722528,0.0,3789.321727710343
50,3138.1747000378855,653.8501862395009,0.0,3792.0248862773865
51,3145.609456653937,555.251384297047,0.0,3700.860840950984
52,3145.1599746379675,484.4830879124151,0.0,3629.6430625503826
53,3022.6760298462277,576.4974891098032,0.0,3599.173518956031
54,3051.3712056397726,511.86617899436015,0.0,3563.237384634133
55,2980.0617791802424,593.0772924608501,0.0,3573.1390716410924
56,2947.6391806476267,625.2298779717132,0.0,3572.8690586193397
57,2953.164048396577,616.9537515512732,0.0,3570.1177999478505
58,2942.099045877465,655.2454582161588,0.0,3597.344504093624
59,2861.7381562691517,785.7746495872641,0.0,3647.512805856416
60,2888.190293054318,833.9044378024478,0.0,3722.0947308567656
61,2985.9656394408976,744.1849007778993,0.0,3730.150540218797
62,2973.2510203801744,712.3136167492536,0.0,3685.564637129428
63,3087.007039544823,525.4248065684347,0.0,3612.4318461132575
64,3215.4306911353706,340.14256690477043,0.0,3555.573258040141
65,3208.9608828747646,290.34028966090176,0.0,3499.3011725356664
66,3178.92557393557,267.854026067126,0.0,3446.779600002696
67,3222.9692648912423,202.10166056355578,0.0,3425.0709254547983
68,3157.1849819754484,218.59354514600545,0.0,3375.778527121454
69,3156.1454466924365,193.55961405648426,0.0,3349.705060748921
70,3175.7075573988127,197.06947637731483,0.0,3372.7770337761276
71,3279.998514688075,219.47976914678176,0.0,3499.4782838348565
72,3195.874714169788,331.38495179343954,0.0,3527.2596659632277
73,3246.9651749878153,317.3302759535406,0.0,3564.2954509413557
74,3138.1747000378855,432.3032893799174,0.0,3570.4779894178027
75,3145.609456653937,442.7922015396992,0.0,3588.401658193636
76,3145.1599746379675,400.5512923077276,0.0,3545.711266945695
77,3022.6760298462277,488.4667784301331,0.0,3511.142808276361
78,3051.3712056397726,450.15335670714825,0.0,3501.524562346921
79,2980.0617791802424,522.0458648885611,0.0,3502.1076440688034
80,2947.6391806476267,561.7213810751291,0.0,3509.360561722756
81,2953.164048396577,539.3677615458778,0.0,3492.531809942455
82,2942.099045877465,591.2314947757488,0.0,3533.3305406532136
83,2861.7381562691517,695.1974008859056,0.0,3556.9355571550573
84,2888.190293054318,738.6589532288639,0.0,3626.849246283182
85,2985.9656394408976,676.5731610223208,0.0,3662.5388004632186
86,2973.2510203801744,655.4325446911107,0.0,3628.683565071285
87,3087.007039544823,473.6443341094965,0.0,3560.6513736543193
88,3215.4306911353706,242.8198701741028,0.0,3458.2505613094736
89,3208.9608828747646,181.05366853078507,0.0,3390.01455140555
90,3178.92557393557,146.5470365053013,0.0,3325.472610440871
91,3222.9692648912423,97.92481367856907,0.0,3320.8940785698114
