hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,10211.316161808427,2785.693416075194,1.0143909305548313,12998.023968814176
1,9478.828458349211,3579.2066652417607,2.2490464325492714,13060.284170023522
2,8829.14152442943,4391.800251214306,0.0,13220.941775643736
3,7965.899505897751,5282.619842780682,0.0,13248.519348678434
4,7418.284745400701,5215.959377779592,0.0,12634.244123180291
5,6662.036293992505,5532.980971865249,0.0,12195.017265857754
6,5732.552479341075,6001.449784416855,0.0,11734.002263757931
7,5632.932494035213,5972.435745770589,0.0,11605.3682398058
8,5055.039388625692,6486.9695954047975,0.0,11542.00898403049
9,4512.862223675378,7200.816408522239,0.0,11713.678632197618
10,4687.331484481645,7117.390752838212,0.0,11804.722237319857
11,4504.324289098422,7723.067492033119,0.0,12227.39178113154
12,4669.950596543133,8446.233964455416,0.0,13116.184560998548
13,4904.644157998153,8826.648962792226,0.0,13731.293120790378
14,5261.704461054127,9102.368853945736,0.0,14364.073314999863
15,6606.339858441028,8743.175382705424,0.0,15349.515241146451
16,8274.169847072959,7325.790934608543,0.0,15599.9607816815
17,8981.78256338717,6573.796347703015,0.0,15555.578911090186
18,7644.971730608071,7764.4193266298835,0.0,15409.391057237954
19,7621.580888919558,7509.609344863707,0.0,15131.190233783265
20,7822.784468417722,7144.652356008077,0.0,14967.436824425798
21,7974.052603373993,7067.163882833408,0.0,15041.216486207402
22,8032.103027027308,7473.709452589421,0.0,15505.812479616729
23,8390.999314462862,7902.028896615915,0.0,16293.028211078778
24,8066.302660547437,8901.410673880526,0.0,16967.713334427965
25,7730.667387555346,9261.753286245077,0.0,16992.42067380042
26,6678.886242643639,10163.104694235846,0.0,16841.990936879483
27,5810.383065189128,10426.261434021628,0.0,16236.644499210755
28,5480.771881314762,9938.711872027525,0.0,15419.483753342287
29,5351.373797194852,9159.652330061876,0.0,14511.026127256728
30,5237.616139634576,8806.191625543803,0.0,14043.807765178379
31,4651.540809968745,9150.839500897919,0.0,13802.380310866663
32,4244.244518329191,9423.419578732577,0.0,13667.664097061768
33,4357.6903329913675,9397.733628402102,0.0,13755.42396139347
34,4964.847553042633,9194.357845417442,0.0,14159.205398460075
35,4877.285937673278,10333.85196321933,0.0,15211.137900892607
36,6102.349087717541,10622.48818013681,0.0,16724.837267854353
37,6890.281590288772,10310.187442087034,0.0,17200.469032375804
38,7056.612970540562,9952.990108523887,0.0,17009.60307906445
39,8367.297302826542,8973.20523217418,0.0,17340.50253500072
40,8621.178830483495,8810.444036541787,0.0,17431.622867025282
41,9227.624034022685,8027.8775987005765,0.0,17255.501632723262
42,9395.427655621628,7653.159137475191,0.0,17048.58679309682
43,9401.86130493585,7346.088390453013,0.0,16747.949695388863
44,9482.233854676038,7083.966699590686,0.0,16566.200554266725
45,9647.10321766726,6798.493460370528,0.0,16445.596678037786
46,9603.618160114858,6846.0010009106045,0.0,16449.61916102546
47,10108.897372102383,7225.86008095373,0.0,17334.757453056114
48,10210.445185250439,7866.010415270371,0.0,18076.45560052081
49,9478.828458349211,8354.668770246068,0.0,17833.49722859528
50,8829.14152442943,8592.098861141858,0.0,17421.240385571287
51,7965.899505897751,8530.17319033011,0.0,16496.07269622786
52,7418.284745400701,8034.7985397769435,0.0,15453.083285177643
53,6662.036293992505,7726.576685133133,0.0,14388.612979125639
54,5237.616139634576,8535.53837370682,0.0,13773.154513341397
55,4651.540809968745,8768.84839750754,0.0,13420.389207476284
56,4244.244518329191,8996.903266543217,0.0,13241.147784872408
57,4357.6903329913675,8813.580502793468,0.0,13171.270835784835
58,4964.847553042633,8371.719600380078,0.0,13336.567153422711
59,4877.285937673278,9408.368864424056,0.0,14285.654802097333
60,6102.349087717541,9579.031723007683,0.0,15681.380810725224
61,6890.281590288772,9211.712268225088,0.0,16101.99385851386
62,7056.612970540562,8710.372974304852,0.0,15766.985944845414
63,8367.297302826542,7753.628382928696,0.0,16120.92568575524
64,8621.178830483495,7613.004055493113,0.0,16234.182885976608
65,9227.624034022685,7003.634333752216,0.0,16231.2583677749
66,9395.427655621628,6667.408895448273,0.0,16062.8365510699
67,9401.86130493585,6343.898179529875,0.0,15745.759484465725
68,9482.233854676038,6097.539273468837,0.0,15579.773128144876
69,9647.10321766726,5749.389838752252,0.0,15396.493056419513
70,9603.618160114858,5869.575238397824,0.0,15473.193398512682
71,10094.439460645322,6299.8024709592,0.0,16394.241931604523
72,10210.146653768634,6816.410224765816,0.0,17026.55687853445
73,9478.828458349211,7383.2683608459465,0.0,16862.096819195158
74,8829.14152442943,7835.601275510209,0.0,16664.74279993964
75,7965.899505897751,8003.187626054187,0.0,15969.087131951937
76,7418.284745400701,7658.278883385763,0.0,15076.563628786464
77,6662.036293992505,7554.861649980386,0.0,14216.89794397289
78,5237.616139634576,8363.933098495758,0.0,13601.549238130334
79,4651.540809968745,8687.359288353926,0.0,13338.90009832267
80,4244.244518329191,9005.602136358953,0.0,13249.846654688145
81,4357.6903329913675,9006.916806570714,0.0,13364.607139562082
82,4964.847553042633,8217.780427873498,0.0,13182.627980916131
83,4877.285937673278,9157.575152825473,0.0,14034.86109049875
84,6102.349087717541,9314.31082702972,0.0,15416.65991474726
85,6890.281590288772,8923.227136210775,0.0,15813.508726499547
86,7056.612970540562,8417.257463841308,0.0,15473.87043438187
87,8367.297302826542,6757.220295907608,0.0,15124.51759873415
88,8621.178830483495,5567.698363609436,0.0,14188.877194092931
89,9227.624034022685,4187.396937415021,0.0,13415.020971437705
90,9395.427655621628,3290.310958872684,0.0,12685.738614494312
91,9401.86130493585,2759.363055216344,0.0,12161.224360152195
92,9482.233854676038,2062.144621949332,0.0,11544.37847662537
93,9647.10321766726,1620.5134735259599,0.0,11267.61669119322
94,9603.618160114858,1734.8649242854128,0.0,11338.483084400272
95,10081.084231281617,2044.6135296342889,0.0,12125.697760915906
96,10209.561899748736,3140.3198549552667,0.0,13349.881754704003
97,9478.828458349211,4662.930478682137,0.0,14141.758937031347
98,8829.14152442943,5585.653273190507,0.0,14414.794797619936
99,7965.899505897751,6384.624633989903,0.0,14350.524139887653
100,7418.284745400701,6417.732252807463,0.0,13836.016998208164
101,6662.036293992505,6713.113294451933,0.0,13375.149588444438
102,5732.552479341075,6843.917399351143,0.0,12576.469878692218
103,5632.932494035213,6660.75526638021,0.0,12293.687760415422
104,5055.039388625692,7257.8366285699885,0.0,12312.87601719568
105,4512.862223675378,7738.221915814974,0.0,12251.084139490351
106,4687.331484481645,7891.387636711806,0.0,12578.719121193451
107,4504.324289098422,8422.986477232897,0.0,12927.310766331319
108,4669.950596543133,9030.33959452477,0.0,13700.290191067903
109,4904.644157998153,9470.857530532585,0.0,14375.501688530738
110,5261.704461054127,9660.657736481617,0.0,14922.362197535744
111,6606.339858441028,7397.620753132189,0.0,14003.960611573217
112,8274.169847072959,4319.357994434074,0.0,12593.527841507032
113,8981.78256338717,2022.8956580427796,93.4877216691411,11098.165943099091
114,7644.971730608071,948.1725213473003,596.3080463887238,9189.452298344095
115,7621.580888919558,61.9787790927623,831.5943051165568,8515.153973128876
116,7822.784468417722,0.0,1388.2244796866744,9211.008948104396
117,7974.052603373993,0.0,1865.6898905308863,9839.74249390488
118,8032.103027027308,0.0,1864.2714025543519,9896.37442958166
119,8381.364941368522,0.0,1273.4981727931736,9654.863114161695
120,8065.599590728243,1169.710160396988,791.7741505668412,10027.083901692073
121,7730.667387555346,2231.240146819955,507.9647752767619,10469.872309652063
122,6678.886242643639,3424.8294551919157,424.62996098721726,10528.345658822771
123,5810.383065189128,4426.949953117646,127.11593176098226,10364.448950067756
124,5480.771881314762,4638.359347399053,33.37264235208347,10152.5038710659
125,5351.373797194852,4490.384562548365,4.910868912271493,9846.669228655488
126,5732.552479341075,3942.519859819157,1.8261533153530243,9676.898492475584
127,5632.932494035213,4095.9767491228636,0.0,9728.909243158076
128,5055.039388625692,4558.794977676357,0.0,9613.83436630205
129,4512.862223675378,5281.38787568104,0.0,9794.250099356417
130,4687.331484481645,5703.830703903909,0.0,10391.162188385555
131,4504.324289098422,6169.079223894912,0.0,10673.403512993333
132,4669.950596543133,6613.972741798648,0.0,11283.923338341781
133,4904.644157998153,6876.540416480017,0.0,11781.18457447817
134,5261.704461054127,6577.090410427389,0.0,11838.794871481516
135,6606.339858441028,4737.516945471386,0.5075247998435346,11344.364328712258
136,8274.169847072959,2731.6280383123303,162.8813139630252,11168.679199348315
137,8981.78256338717,1500.4139716759091,180.10155882487612,10662.298093887955
138,7644.971730608071,888.6634341826993,1003.6091171118491,9537.24428190262
139,7621.580888919558,432.2375878334602,1082.1257893806621,9135.94426613368
140,7822.784468417722,0.0,1375.8359190343363,9198.620387452058
141,7974.052603373993,0.0,1417.550277752518,9391.602881126511
142,8032.103027027308,0.0,1239.5422082633468,9271.645235290654
143,8379.051976310093,40.83850091166213,983.5320789009104,9403.422556122667
144,8065.219090535484,440.2816245120381,1368.9285298775396,9874.42924492506
145,7730.667387555346,510.10250427001563,1560.9713554305474,9801.741247255908
146,6678.886242643639,603.067360389668,2686.508925316068,9968.462528349375
147,5810.383065189128,701.5138293983639,3266.9304004073538,9778.827294994844
148,5480.771881314762,778.9201058137312,3174.508687455223,9434.200674583717
149,5351.373797194852,753.1189592080393,2702.364231069376,8806.856987472267
150,5237.616139634576,806.5064801701309,2333.459749047306,8377.582368852014
151,4651.540809968745,827.6027875378511,2442.3412300057976,7921.484827512393
152,4244.244518329191,737.579571107114,2735.9645593092996,7717.788648745605
153,4357.6903329913675,752.9874929679573,2637.636306915199,7748.314132874524
154,4964.847553042633,808.8204435305099,2168.1969399457457,7941.8649365188885
155,4877.285937673278,860.2608616481688,2772.3725702679176,8509.919369589363
156,6102.349087717541,817.4939922777676,2742.4814932188815,9662.32457321419
157,6890.281590288772,775.5372782101501,2595.6233236658218,10261.442192164744
158,7056.612970540562,845.7104284211027,2457.676791400133,10360.000190361798
159,8367.297302826542,457.2318556975678,1791.2688782831638,10615.798036807275
160,8621.178830483495,0.0,2274.9367974855177,10896.115627969013
161,9227.624034022685,0.0,2254.845414350455,11482.46944837314
162,9395.427655621628,0.0,2202.9925521596815,11598.42020778131
163,9401.86130493585,0.0,2285.3229413729714,11687.184246308821
164,9482.233854676038,0.0,2079.439250496893,11561.673105172931
165,9647.10321766726,0.0,1676.2454980462226,11323.348715713482
166,9603.618160114858,0.0,972.7822697843385,10576.400429899197
167,10037.835798525179,0.0,534.782507116026,10572.618305641205
168,10207.37686991259,0.0,0.0,10207.37686991259
169,9478.828458349211,722.357176346381,77.02201115720868,10278.2076458528
170,8829.14152442943,1673.3215620554463,492.02242980842436,10994.4855162933
171,7965.899505897751,2403.0799281888058,440.47823937653357,10809.45767346309
172,7418.284745400701,2541.0499219783655,331.6332388464071,10290.967906225473
173,6662.036293992505,2933.781739299803,162.8070395604013,9758.625072852708
174,5237.616139634576,3428.775813512861,172.43101692720222,8838.82297007464
175,4651.540809968745,3665.5322409077503,143.15379069798033,8460.226841574477
176,4244.244518329191,4011.119487945138,78.19839589629967,8333.562402170628
177,4357.6903329913675,4450.817744900675,6.733467151828321,8815.24154504387
178,4964.847553042633,4562.666773956784,0.0,9527.514326999417
179,4877.285937673278,5334.682499320603,0.0,10211.96843699388
180,6102.349087717541,5560.152170201388,0.0,11662.501257918928
181,6890.281590288772,5538.073954524562,0.0,12428.355544813334
182,7056.612970540562,5262.986739599973,0.0,12319.599710140534
183,8367.297302826542,3243.365876457726,118.01387532454358,11728.67705460881
184,8621.178830483495,2423.431020678487,304.26227706850176,11348.872128230483
185,9227.624034022685,1330.141033394412,244.87024744250203,10802.635314859599
186,9395.427655621628,675.5685675277388,0.0,10070.996223149366
187,9401.86130493585,574.4081954386133,0.0,9976.269500374463
188,9482.233854676038,151.9068769694783,0.0,9634.140731645517
189,9647.10321766726,52.28585979854728,0.0,9699.389077465807
190,9603.618160114858,537.885899379966,0.0,10141.504059494824
191,10023.253483681274,963.2001119173677,0.0,10986.453595598641
192,10206.713688801658,1662.9489566221016,0.0,11869.66264542376
193,9478.828458349211,2455.186674636395,24.490515198875336,11958.50564818448
194,8829.14152442943,3102.815182289949,107.33692898652988,12039.293635705908
195,7965.899505897751,3713.3904763094292,43.994514408586504,11723.284496615766
196,7418.284745400701,3694.826451106124,20.53449391772517,11133.64569042455
197,6662.036293992505,4079.5007637364856,0.0,10741.53705772899
198,5237.616139634576,4977.271299057226,0.0,10214.887438691803
199,4651.540809968745,5609.632981865626,0.0,10261.173791834372
200,4244.244518329191,6085.862074301567,0.0,10330.106592630758
201,4357.6903329913675,6177.2109763845065,0.0,10534.901309375873
202,4964.847553042633,6351.798749846877,0.0,11316.64630288951
203,4877.285937673278,7191.834802977255,0.0,12069.120740650533
204,6102.349087717541,7361.834474213549,0.0,13464.18356193109
205,6890.281590288772,7115.689581496961,0.0,14005.971171785734
206,7056.612970540562,6863.392276689523,0.0,13920.005247230085
207,8367.297302826542,5407.202610020877,0.0,13774.49991284742
208,8621.178830483495,4702.621499930567,0.0,13323.800330414062
209,9227.624034022685,3373.1667967549356,7.091995639175875,12607.882826416795
