hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,1669.9129782548334,392.45868287703865,0.0,2062.3716611318723
1,1585.788040626126,419.81775571664537,0.0,2005.6057963427716
2,1573.7357503714602,372.8624332116986,0.0,1946.5981835831587
3,1495.047116830361,339.4881260356572,0.0,1834.535242866018
4,1391.5673457725275,308.17970598740726,0.0,1699.7470517599347
5,1239.0142806193062,281.44210569081105,0.0,1520.4563863101173
6,1173.4860507850585,262.885966848201,0.0,1436.3720176332595
7,1137.0613899451378,250.3858032123802,0.0,1387.447193157518
8,1117.7337504699167,243.31762126421768,0.0,1361.0513717341344
9,1118.625333473441,212.58286854158155,0.0,1331.2082020150226
10,1129.8696108990182,202.19858682116282,0.0,1332.068197720181
11,1162.7144031218775,242.04931807559237,0.0,1404.7637211974697
12,1220.8502907278557,296.5025801338887,0.0,1517.3528708617446
13,1233.3992659512921,348.3537593929049,0.0,1581.753025344197
14,1270.5778396059804,424.8309125101193,0.0,1695.4087521160998
15,1295.9592719275759,467.30079389807986,0.0,1763.2600658256556
16,1365.4872413546218,433.3214246505271,0.0,1798.808666005149
17,1360.336151512664,469.6195828433794,0.0,1829.9557343560434
18,1357.4010138328676,481.6395278857353,0.0,1839.040541718603
19,1339.3988912377504,497.14535930514444,0.0,1836.5442505428948
20,1343.089924979864,509.9145461344513,0.0,1853.0044711143153
21,1374.1088754366285,506.83887995276535,0.0,1880.947755389394
22,1484.4191007012628,490.1641622500785,0.0,1974.5832629513413
23,1497.1178328148624,544.5241649210509,0.0,2041.6419977359133
24,1491.923663412725,558.2997592067264,0.0,2050.2234226194514
25,1438.638191437686,581.2778970402655,0.0,2019.9160884779515
26,1421.6869077087454,572.6349969269731,0.0,1994.3219046357185
27,1359.2460708330252,569.0725759572789,0.0,1928.3186467903042
28,1283.3536745247466,544.2755773530101,0.0,1827.6292518777568
29,1291.737221253072,495.62987740567553,0.0,1787.3670986587476
30,1235.9173269207129,492.52045714183095,0.0,1728.4377840625439
31,1212.064489549924,482.34486090213846,0.0,1694.4093504520624
32,1195.7149880714421,477.07909649970884,0.0,1672.794084571151
33,1194.1036751477739,478.8250587452566,0.0,1672.9287338930305
34,1248.5295483285101,470.5499580481029,0.0,1719.0795063766132
35,1352.0954215405245,489.04157737054436,0.0,1841.136998911069
36,1521.1034549798133,530.6882871737107,0.0,2051.791742153524
37,1561.5877018448296,553.2830134035677,0.0,2114.870715248397
38,1547.2337118871337,582.7874010491148,0.0,2130.0211129362488
39,1567.0409056701137,569.1848910120253,0.0,2136.225796682139
40,1618.6501380175973,519.130280376039,0.0,2137.7804183936364
41,1605.9760180408764,501.09383779312816,0.0,2107.0698558340046
42,1618.0368781453142,464.0820725903818,0.0,2082.1189507356958
43,1616.6628339224171,453.3873261448902,0.0,2070.0501600673074
44,1590.8536630231242,454.1643387453943,0.0,2045.0180017685184
45,1589.5637872392442,468.9661831139747,0.0,2058.529970353219
46,1698.4984323922147,424.4253924982057,0.0,2122.9238248904203
