hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,5301.873418671957,934.3292592675768,0.0,6236.202677939534
1,5114.096160270735,936.5682261902804,0.0,6050.664386461015
2,5006.898966107088,850.7640936766569,0.0,5857.663059783745
3,4817.746658961881,740.9426848991584,0.0,5558.689343861039
4,4493.079791225167,705.0199652553815,0.0,5198.099756480549
5,4226.734227896202,579.0022573464606,0.0,4805.736485242663
6,3937.65519784137,558.8887892017115,0.0,4496.543987043082
7,3780.220222378749,505.83410506275123,0.0,4286.0543274415
8,3569.764182488735,496.61436186812404,0.1615744918198033,4066.540118848679
9,3432.7621011575684,464.2038841183357,11.794195565164776,3908.760180841069
10,3458.7016957195356,302.5985757943505,139.09356950010965,3900.3938410139954
11,3510.7339066921095,297.3714045076896,156.79512180549946,3964.9004330052985
12,3641.9505186701836,325.35136791687364,124.8135244748693,4092.1154110619264
13,3828.691437343701,324.9571274691859,115.37399525063238,4269.022560063519
14,4112.893107957898,322.01457180698407,99.83420246097025,4534.741882225852
15,4191.520248834943,382.2174251534311,57.18560366253245,4630.923277650907
16,4350.947381899485,431.9813089699058,32.49743110415522,4815.426121973545
17,4424.091332568198,527.3277149094621,11.490764168119656,4962.909811645779
18,4444.011403314056,585.1846512313531,8.138295879799045,5037.334350425209
19,4417.025138661686,656.6946367845511,3.7254117498067285,5077.445187196044
20,4387.396318354632,754.5985820002821,0.0,5141.9949003549145
21,4340.089343011423,887.4916866193544,0.0,5227.581029630777
22,4459.367446461062,959.979845808115,0.0,5419.347292269177
23,4547.0375558722835,1016.951594275819,0.0,5563.989150148102
24,4521.986911227455,1073.4136477728425,0.0,5595.400559000297
25,4552.80764533622,1014.2091354580751,0.0,5567.016780794295
26,4505.903649575809,985.1412035341021,0.0,5491.044853109911
27,4380.55333604776,1004.9137157095932,0.0,5385.467051757353
28,4150.244890168089,1005.9783184720375,0.0,5156.223208640126
29,4046.266693349362,974.8577759535015,0.0,5021.124469302864
30,3766.5381056820725,990.0104842866629,0.0,4756.5485899687355
31,3572.325962937295,994.5777148352568,0.0,4566.903677772552
32,3466.487206353446,1004.9221171258882,0.0,4471.4093234793345
33,3431.0389531703004,1016.5115915867547,0.0,4447.550544757055
34,3475.577572922147,1044.7142337511941,0.0,4520.291806673341
35,3705.6809235738338,1084.825676320702,0.0,4790.506599894536
36,4164.988200923684,1129.951882287938,0.0,5294.940083211623
37,4644.157559786867,1178.2891804340181,0.0,5822.446740220885
38,5002.721046430369,1158.2437595437978,0.0,6160.964805974167
39,5215.056806663679,1139.9537236541023,0.0,6355.010530317781
40,5340.382877127761,1099.536596654869,0.0,6439.91947378263
41,5395.23116344198,1069.5097511997467,0.0,6464.740914641727
42,5376.949973912304,1090.0603307609736,0.0,6467.0103046732775
43,5355.14130803552,1108.837969610283,0.0,6463.9792776458025
44,5312.185052442741,1132.4568334514315,0.0,6444.641885894172
45,5322.366256018941,1175.9730615326605,0.0,6498.339317551602
46,5548.156617431354,1100.6084428485785,0.0,6648.765060279932
47,5609.858692884099,1116.8484581633522,0.0,6726.707151047451
48,5301.873418671957,1296.6341229842637,0.0,6598.50754165622
