,,,,,RECS2009,Model2010,RECS2015
MA,,,,,5.1000,3.7000,5.1000
CT,ME,NH,RI,VT,7.2000,4.8000,7.2000
NJ,,,,,7.6000,4.8000,7.5757
NY,,,,,13.2000,9.9000,13.1578
PA,,,,,11.0000,7.3000,10.9648
IL,,,,,10.4000,7.1000,10.5290
MI,,,,,7.5000,6.1000,7.5930
WI,,,,,5.9000,3.5000,5.9732
IN,OH,,,,16.4000,10.6000,16.6034
MO,,,,,5.5000,3.6000,5.7057
IA,MN,ND,SD,,9.5000,6.0000,9.8553
KS,NE,,,,3.7000,2.8000,3.8384
VA,,,,,6.6000,5.3000,7.1650
GA,,,,,8.0000,6.1000,8.6848
FL,,,,,11.7000,12.7000,12.7015
DC,DE,MD,WV,,7.6000,6.2000,8.2506
NC,SC,,,,9.4000,9.4000,10.2046
TN,,,,,4.5000,4.0000,4.5338
AL,KY,MS,,,8.9000,7.5000,8.9668
TX,,,,,15.0000,15.7000,17.6715
AR,LA,OK,,,6.9000,5.6000,8.1289
CO,,,,,4.0000,3.1000,4.4336
ID,MT,UT,WY,,4.3000,3.3000,4.7661
AZ,,,,,4.1000,3.8000,4.6273
NM,NV,,,,2.9000,2.8000,3.2729
CA,,,,,19.3000,19.5000,21.4288
AK,HI,OR,WA,,7.9000,7.6000,8.7714
