state,fok.res.mmbtu,fok.com.mmbtu
AL,1027192,132647.8
AZ,14230,3780
AR,104540.8,8718.2
CA,1630680.6,263357.8
CO,94547.6,510799.8
CT,78919124.5,8680161.4
DE,3798197.55,435028.5
DC,1306027.8,654616.8
FL,453357,624531.2
GA,344010,410731.9
ID,1029764.925,335503.6
IL,1107688.725,1038752.2
IN,2619439.65,1205802.3
IA,1575798.075,296944.8
KS,33641.1,124871.8
KY,1511064.9,221594.7
LA,38588.6,12150
ME,35220423.5,11449544.4
MD,22134613.28,4435701
MA,101318681.3,30123064.5
MI,5630528.925,1516632.6
MN,9248504.175,4810429.8
MS,65642.2,8100
MO,675514.575,400799.6
MT,712393.65,82384
NE,233573.175,243178
NV,607554.4,186251.8
NH,21878612,5864267.8
NJ,37807204,6748754.5
NM,12034.8,3818.4
NY,178231605.3,96454766
NC,11979016.2,1402107.4
ND,2011206.6,809533
OH,14015579.4,1569577
OK,45418,16875
OR,2768887.125,450217.8
PA,106339068.3,16151470.3
RI,20330066.25,3543396.1
SC,1519473.2,200413.6
SD,1003070.475,399890
TN,1792206.4,560851
TX,33934.95,222529.2
UT,134103.825,45530.8
VT,12413848.5,3611904.6
VA,21855481.88,3123290.6
WA,4890832.4,679567.6
WV,1904945.6,476783
WI,7792840.6,1595113.6
WY,146979,66038.6
