month,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
10-Jan,967111385,9543511,2831010,7719428,8578064,73280642,23560640,9027085,2278289,2925377,3232329,30627795,53924,3928156,86153960,32019449,15853656,16307862,12357929,9985273,227103,18017875,23997217,59935489,26775340,6204371,24996885,3639870,8163264,7747427,1353285,45146832,6949974,73867584,17876843,2101999,59388990,16832584,6900198,45310678,3254106,7806536,2708644,17314789,51706894,12375558,557906,19630410,11425666,5754313,26451796,2426580
10-Feb,824185823,8049194,2129998,6237555,7598099,60784792,21396421,7779574,2013854,2599759,2685830,25890779,44591,3074705,71091535,25450054,12364151,12905465,11405963,8451550,192882,15311305,19372197,51099212,20460010,5626762,20941178,3094408,7101376,6145262,1071221,38838761,6529989,67036865,15252196,1781566,53875261,13827358,5074041,40881651,2928488,6342292,2197403,15244937,49039730,8629914,512278,17609297,9007382,5188111,20197649,1818898
10-Mar,600674991,6856644,2199477,5355068,6497842,53948888,16100462,5575949,1357433,1399950,2883897,16907248,45628,2729384,55367504,15131904,8594656,10020531,6510286,7222705,149328,9223078,15062425,37957311,13239379,4301476,14898579,2329102,6628504,4916417,808860,23825075,5218184,49468011,7876015,1228845,35292221,10946572,4388584,28763269,1969263,4084743,1554463,11539736,35976641,7918532,370209,9477143,8242076,3080927,13681141,1552389
10-Apr,324758327,3097519,1632238,3146258,2850713,46362196,11223451,3246847,606645,562054,1782603,5781275,51850,2123776,27693085,6371328,3646092,4469470,1916376,2849676,110959,3900157,8971087,25456276,6205408,1403061,5820681,1818898,3273809,3375435,481168,11424629,3525800,27902559,2008669,584868,15924172,5314625,4092002,13678030,888709,1191513,851377,4170814,14898579,6802720,279990,3644018,7122116,1551352,7450845,1223660
10-May,204820981,1185291,981002,2044964,1071221,34306034,7219594,2087481,360876,334951,1172847,4188443,43554,1452837,15790399,4557615,2703459,2056371,1080554,1517131,64294,2585241,5724240,14002611,5121743,681309,3138999,1385432,1537871,2370582,310063,8392441,1885266,18212831,1298324,463539,9895054,2292807,2904637,8582212,656421,552721,651236,1522316,7812758,4271403,160735,2208810,5158038,836859,5040857,941596
10-Jun,138997406,873154,691679,1470466,803675,27814414,3268624,1228845,236436,271694,797453,3438692,43554,849303,10167785,2757383,1463207,1572092,929152,1379210,36295,1831342,4121038,8181930,3172183,662643,2344657,844118,1079517,1752530,206363,5456694,1120997,11119751,976854,225029,6019785,1540982,2008669,4980711,432429,505019,269620,1250622,6338144,2768790,98515,1834453,3513356,413763,3321511,512278
10-Jul,115425359,760121,653310,1162477,661606,24317650,2947154,1023519,202215,247843,724863,3340177,44591,455243,8091711,2501244,1243363,1192550,876265,1257881,27999,1710013,3462543,6148373,2456653,605608,1698606,483242,768417,1294176,164883,4676870,867969,9091379,915671,178364,5411066,1241289,1186328,4124149,344284,498797,217770,1074332,6089264,1813713,75701,1649867,2260660,362950,2518873,298656
10-Aug,111035738,734196,629459,1071221,648125,22902145,3194997,1041148,199104,232288,693753,3393064,42517,435540,7908162,2586278,1147959,1046333,871080,1194624,29036,1413431,4501617,5555209,2577982,562054,1682014,378505,731085,1142774,186660,4967230,847229,8540732,937448,206363,4965156,1100257,968558,4136593,484279,439688,203252,991372,5403807,1523353,66368,1321138,1998299,401319,2563464,236436
10-Sep,121639063,682346,799527,1157292,667828,23633230,3361954,986187,186660,253028,699975,3508171,36295,717604,9375517,2516799,1332545,1063962,916708,1258918,32147,1855193,4080595,6809979,3204330,601460,1797121,589016,664717,1272399,158661,4810643,858636,10320224,1048407,294508,6054006,1163514,990335,4773311,410652,516426,284138,1081591,5563505,1669570,71553,1732827,2080222,452132,2937821,305915
10-Oct,209038460,870043,1585573,1427949,947818,28911560,7236186,1761863,306952,652273,860710,5130039,38369,1348100,16741328,5322921,2294881,1605276,1926746,1474614,66368,3365065,7569063,14084534,5925418,802638,3154554,1076406,1095072,1580388,350506,9709431,1090924,18221127,1942301,558943,13747509,1441430,2149701,10276670,865895,779824,535092,1806454,7010120,3109963,179401,3312178,5079226,1284843,5804089,621163
10-Nov,463332637,2859009,2093703,2947154,1980670,47136835,16886508,3773643,782935,1402024,1188402,11700471,38369,3502986,39903760,14716067,7144930,5614318,5105151,2808196,131699,8526214,12527997,31316363,14044091,1828231,9322630,2543761,3850381,3277957,687531,24398536,2442135,38526624,7269370,1311805,28355728,2980338,5130039,21989585,1845860,2864194,1422764,5898456,14308526,7872904,311100,8571842,10394888,2899452,13361745,1533723
10-Dec,878340037,8264890,3178405,5471212,5275219,69800470,19683297,6777832,1969263,3230255,2715903,29896710,43554,4245478,83696270,29603239,13118050,11747136,12506220,7801351,210511,19192796,20861329,55043960,24361204,4875974,21566489,3465654,6722871,5960676,1206031,45602075,5221295,72630443,19875142,1991040,55271063,9167080,6537248,44421969,3489505,8048157,2393396,15170273,30674460,9775799,507093,20425789,12067569,5793719,24861038,1921561
