"month","US","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
1,574833988,5048116,2189107,4642649,7723576,28459428,9994606,8942051,2484652,2546872,6878421,10097269,245769,3118259,42026499,16759994,10050604,6699020,7193669,4613613,1704828,12982203,21067692,30608092,18952212,3450099,12432593,3728015,5731499,4721461,2048075,25798486,4681018,53252024,10222746,2694126,33926492,8761613,4619835,33007710,2383026,4005931,2235772,10641694,27811303,7925791,1184254,12800728,8299111,3856603,17590631,1994151
2,489717028,2351916,2212958,4237182,6368217,31751903,8931681,7471585,1940227,2249253,6030155,6361995,217770,2916044,35727761,13225898,8899534,6566284,5420399,3001078,1491206,9638915,17408119,28199141,18600669,2281400,11031606,4529616,5973120,4482951,1639497,23176950,3682387,42774176,6863903,2793678,26493276,7816906,5070930,24170396,1910154,2646424,2346731,6770573,24934665,7084784,944707,9908535,8969013,3000041,15298861,1901858
3,439925473,2946117,1383358,3666832,6684502,24552012,8647543,7082710,1893562,2007632,6042599,6378587,223992,2305251,32456026,12174380,7425957,4962045,5130039,3317363,1300398,9822464,15258418,25663676,15163014,2349842,9018789,3659573,4625020,3883565,1437282,20397790,2826862,40572625,7017379,2079185,25411685,6319478,4060892,22168986,1795047,2832047,1763937,6930271,23264058,5675501,850340,9002197,7061970,3151443,13521443,1759789
4,255670276,1631201,1264103,2727310,4224738,18246015,4604280,4182221,918782,1034926,5487804,3388916,229177,1395802,19175167,5484693,3886676,2088518,2031483,2461838,841007,4794051,9418034,14973243,9359962,1338767,4233034,2155923,2295918,2683756,800564,11354113,1803343,23750411,3517504,1131367,12799691,3059150,2453542,10820058,953003,1830305,1032852,3231292,17042058,2758420,516426,4669611,4743238,1691347,8033639,1120997
5,191723671,1406172,913597,2524058,3618093,19537080,3766384,3106852,837896,874191,5176704,2511614,229177,1024556,12653474,3392027,2484652,2034594,1444541,2175626,586942,4224738,6499916,10027790,5209888,979965,3056039,1680977,1934005,2417247,498797,7682096,1591795,17458932,2696200,729011,7731872,2310436,1550315,7345071,570350,1604239,669902,2528206,12587106,3433507,332877,3697942,3212626,1218475,5073004,872117
6,150006198,1316990,558943,2170441,2976190,16078685,2271030,2414136,739381,707234,4877011,2262734,209474,821304,8872572,2731458,1828231,1884229,1297287,2051186,350506,3345362,4097187,6326737,3385805,954040,2296955,1275510,1335656,2067778,268583,5563505,1209142,14170605,2860046,355691,5511655,1882155,1262029,5287663,311100,1425875,368135,2461838,12603698,1568981,344284,3257217,2749087,1006927,3455284,578646
7,147204224,1212253,488427,2021113,3113074,16537039,895968,2597685,790194,689605,4706943,3569354,243695,810934,8723244,2450431,1795047,1841712,1281732,2049112,281027,3583872,4285921,5104114,3148332,1045296,2282437,1122034,1320101,1907043,239547,7317072,993446,15215901,2224365,337025,5377882,1744234,1040111,5070930,236436,1363655,347395,2422432,11369668,1698606,373320,3186701,2429691,1040111,2876638,401319
8,145997156,1106479,513315,1956819,2999004,17765884,1715198,2566575,771528,876265,4841753,2244068,238510,817156,8543843,2445246,1822009,1633275,1230919,2393396,292434,3585946,4051559,5705574,2880786,1059814,2289696,975817,1219512,1848971,254065,5548987,1231956,15241826,2412062,362950,5192259,1666459,1077443,5253442,246806,1395802,357765,2251327,10929980,1325286,375394,3555873,2322880,1077443,3183590,342210
9,148455883,1194624,747677,1981707,3023892,16688441,1766011,2635017,786046,763232,4870789,2085407,221918,1060851,8652728,2863157,1806454,1977559,1264103,2092666,344284,3464617,5200555,5415214,3138999,905301,2208810,1185291,1102331,1945412,318359,5813422,1199809,15205531,2569686,393023,5440102,1674755,1390617,5504396,298656,1384395,387838,2492948,10628213,1632238,388875,3144184,2733532,1011075,3146258,304878
10,224135106,1733864,1150033,2465986,3827567,21746927,4415546,3582835,1014186,713456,4992118,2879749,222955,2260660,15431597,6469843,4429027,2878712,2033557,2620499,545462,3957192,7361663,10812799,7042267,1435208,4640575,1890451,2046001,2678571,418948,8337480,2714866,17116722,3473950,794342,9490624,2763605,2870416,8179856,603534,1745271,774639,3361954,12428445,2973079,466650,3880454,5662020,1599054,6552803,647088
11,403208414,2532354,1668533,3237514,5957565,27609088,7481955,6731167,1906006,1857267,5474323,6272813,200141,2355027,30901563,11475442,7813795,4661315,4939231,3658536,1127219,8889164,14559480,20747259,13435372,2541687,7523435,3014559,4601169,3369213,865895,17430933,3774680,36588471,7837646,1875933,21117468,5733573,3760162,16666664,1542019,3280031,1643645,7921643,19494563,5146631,829600,7363737,6794424,2726273,12581921,1690310
12,473716118,3316326,2019039,4337771,6620208,26478758,9549733,8460883,2082296,2402729,6372365,7540027,221918,2862120,33345772,12039570,7889496,5621577,5510618,3707275,1419653,10884352,16804585,24966812,17307530,2821677,9428404,3600464,4511987,4486062,1721420,22838888,5050190,43373562,7737057,2479467,25499830,6862866,4420731,24126842,2025261,3142110,1972374,8008751,22293426,7864608,1007964,9413886,8290815,3092334,14021277,1862452
