"puma","state","hh_total","moe_total","hh_utilgas","moe_utilgas","hh_othergas","moe_othergas","hh_elec","moe_elec","hh_fok","moe_fok","hh_coal","moe_coal","hh_wood","moe_wood","hh_solar","moe_solar","hh_other","moe_other","hh_none","moe_none"
"puma_0100100","AL","74489","833","21672","959","5026","469","46161","1135","172","77","63","91","1015","222","9","12","69","54","302","121"
"puma_0100200","AL","70487","888","8351","631","5028","478","55817","1018","137","77","35","49","636","171","0","28","117","93","366","140"
"puma_0100301","AL","53567","694","14272","694","544","171","38459","940","74","65","0","28","31","28","0","28","22","26","165","86"
"puma_0100302","AL","44564","773","12906","537","540","159","30793","795","52","34","8","13","92","53","7","10","17","21","149","68"
"puma_0100400","AL","46735","778","4934","416","7828","577","32259","890","102","63","0","28","1412","286","0","28","40","33","160","62"
"puma_0100500","AL","46597","482","10124","554","2818","291","32703","667","103","55","0","28","629","167","0","28","50","39","170","117"
"puma_0100600","AL","58595","743","11905","690","3786","355","41571","826","108","75","0","28","857","227","0","28","106","75","262","115"
"puma_0100700","AL","40626","634","4813","403","5810","456","28676","704","123","81","14","22","985","233","0","28","0","28","205","86"
"puma_0100800","AL","52997","723","10334","644","4625","424","37050","967","28","28","0","28","677","195","2","3","76","73","205","100"
"puma_0100900","AL","38942","643","14707","686","2440","285","21342","679","103","70","0","28","301","87","0","28","6","12","43","31"
"puma_0101000","AL","61712","876","10536","626","10108","716","38545","867","239","133","8","14","1932","304","0","28","140","91","204","74"
"puma_0101100","AL","44605","644","13740","636","2720","323","27454","745","36","25","0","28","492","166","0","28","35","41","128","74"
"puma_0101200","AL","79630","658","32082","853","2579","341","44257","990","72","51","0","28","233","97","11","16","38","35","358","137"
"puma_0101301","AL","38523","764","21649","677","339","127","16132","772","116","86","15","17","65","75","0","28","48","46","159","79"
"puma_0101302","AL","44303","938","21366","728","404","113","22106","949","76","59","9","14","51","47","0","28","14","23","277","113"
"puma_0101303","AL","68282","1118","38420","903","717","145","28935","947","16","24","29","34","42","36","0","28","26","30","97","58"
"puma_0101304","AL","67333","904","30295","911","1349","267","35211","966","137","84","0","28","142","81","0","28","73","49","126","62"
"puma_0101305","AL","42676","914","22206","786","1014","220","18936","907","79","72","0","28","243","132","0","28","29","28","169","82"
"puma_0101400","AL","46584","628","9383","594","4125","330","31825","773","166","90","14","16","805","202","14","25","55","36","197","69"
"puma_0101500","AL","37910","665","8119","503","2534","292","26190","724","122","72","0","28","814","214","0","28","64","58","67","37"
"puma_0101600","AL","42188","822","14211","627","364","98","27396","873","7","11","0","28","132","101","7","11","0","28","71","45"
"puma_0101700","AL","47035","803","11837","688","6562","542","27465","957","75","46","3","7","901","248","0","28","32","29","160","64"
"puma_0101800","AL","50612","817","6487","558","7277","551","35549","1020","73","39","0","28","1003","213","0","28","64","44","159","70"
"puma_0101900","AL","60237","864","10155","652","2089","348","47353","987","23","39","23","35","238","136","8","11","80","60","268","104"
"puma_0102000","AL","77551","914","37775","924","916","175","38425","1136","38","28","0","28","172","80","0","28","29","24","196","92"
"puma_0102100","AL","67332","782","16531","725","7644","569","42345","1091","43","36","0","28","397","124","0","28","68","51","304","114"
"puma_0102200","AL","50042","734","6096","487","5704","449","36742","1010","54","44","0","28","1161","211","0","28","38","25","247","83"
"puma_0102300","AL","46225","658","5299","356","4077","303","36189","605","36","31","0","28","401","112","0","28","24","20","199","57"
"puma_0102400","AL","55203","804","8772","562","5220","387","40239","911","81","72","0","28","526","182","0","28","50","33","315","117"
"puma_0102500","AL","75130","774","4930","343","2043","229","67256","896","86","45","10","13","325","83","42","47","15","20","423","92"
"puma_0102600","AL","80930","1127","8168","617","1589","264","70199","1178","38","36","0","28","453","145","28","32","23","27","432","131"
"puma_0102701","AL","40715","675","21395","802","538","126","18541","736","7","11","0","28","22","21","0","28","32","36","180","53"
"puma_0102702","AL","45609","815","18213","629","396","128","26611","811","22","24","57","90","85","59","0","28","35","33","190","86"
"puma_0102703","AL","69927","882","17018","766","1253","275","50538","1006","50","38","0","28","614","179","0","28","64","50","390","122"
"puma_0400100","AZ","47315","638","23836","742","308","104","22798","822","0","29","0","29","89","90","204","91","0","29","80","50"
"puma_0400101","AZ","62630","750","20000","698","570","137","41447","881","38","49","10","15","73","52","103","56","69","64","320","91"
"puma_0400102","AZ","52832","561","7066","468","241","94","44892","704","22","27","0","29","96","61","176","71","0","29","339","90"
"puma_0400103","AZ","42193","709","3857","396","190","81","37391","785","104","94","0","29","45","48","58","40","0","29","548","173"
"puma_0400104","AZ","43780","643","5676","457","432","131","37078","773","0","29","9","15","106","87","90","62","59","59","330","112"
"puma_0400105","AZ","46018","539","15192","576","289","88","29978","687","16","18","0","29","71","43","296","101","24","23","152","63"
"puma_0400106","AZ","42791","603","8488","506","204","77","33734","734","5","8","0","29","55","53","61","35","0","29","244","87"
"puma_0400107","AZ","43087","588","20893","542","365","102","21440","664","28","30","0","29","54","58","216","79","12","14","79","49"
"puma_0400108","AZ","42842","630","5961","459","260","82","36175","749","48","50","0","29","57","54","117","74","30","34","194","82"
"puma_0400109","AZ","45836","975","7429","659","249","103","37292","1018","57","51","0","29","75","71","47","44","66","80","621","166"
"puma_0400110","AZ","63734","853","16815","658","320","100","46053","1019","34","31","20","33","0","29","167","73","59","42","266","93"
"puma_0400111","AZ","51785","815","12157","556","826","243","38267","910","0","29","0","29","74","51","246","91","17","27","198","105"
"puma_0400112","AZ","52679","716","23634","731","655","163","27667","908","30","33","0","29","112","90","360","128","29","27","192","86"
"puma_0400113","AZ","44166","547","9901","577","342","108","33072","722","12","18","11","18","38","35","377","107","50","59","363","136"
