puma,state,hh_total,moe_total,hh_utilgas,moe_utilgas,hh_othergas,moe_othergas,hh_elec,moe_elec,hh_fok,moe_fok,hh_coal,moe_coal,hh_wood,moe_wood,hh_solar,moe_solar,hh_other,moe_other,hh_none,moe_none
puma_0100100,AL,76250,721,25078,802,6910,512,42664,1034,393,135,0,28,998,183,0,28,65,49,142,72
puma_0100200,AL,63358,872,6945,573,7025,500,48558,927,150,85,0,28,471,128,2,4,85,61,122,67
puma_0100301,AL,46449,664,14463,687,589,149,31012,900,83,49,0,28,228,139,0,28,0,28,74,55
puma_0100302,AL,43074,698,15204,606,607,127,26812,771,145,84,0,28,164,89,0,28,22,23,120,50
puma_0100400,AL,46747,727,5156,387,9427,563,30280,817,238,80,0,28,1520,271,0,28,39,25,87,49
puma_0100500,AL,43964,555,10158,562,4701,378,28024,782,218,102,0,28,709,168,0,28,54,36,100,65
puma_0100600,AL,59499,675,13667,612,6031,505,38481,947,320,99,2,4,834,188,2,4,53,48,109,57
puma_0100700,AL,40831,611,5530,432,6545,468,27295,751,208,103,53,58,1056,252,0,28,24,22,120,70
puma_0100800,AL,52001,695,11194,670,6160,583,32933,899,176,103,19,30,1268,274,1,2,79,55,171,110
puma_0100900,AL,40560,583,17178,606,2839,334,19696,753,62,61,0,28,672,173,0,28,9,13,104,78
puma_0101000,AL,63366,780,11911,724,13162,734,35546,935,309,104,0,28,2305,314,0,28,91,58,42,34
puma_0101100,AL,45764,593,15331,600,3341,353,26179,791,66,44,0,28,686,175,0,28,66,45,95,73
puma_0101200,AL,73624,719,29488,693,3120,327,40263,928,91,58,24,27,488,153,0,28,77,52,73,53
puma_0101301,AL,40892,742,25524,740,521,116,14482,716,211,103,0,28,61,42,20,22,0,28,73,46
puma_0101302,AL,43909,928,24746,704,437,137,18310,843,96,61,3,5,83,75,0,28,98,85,136,76
puma_0101303,AL,66911,894,40114,783,614,141,25931,828,14,22,0,28,77,47,0,28,68,61,93,74
puma_0101304,AL,66006,787,34861,879,1509,237,29201,1008,142,116,0,28,186,70,0,28,2,3,105,64
puma_0101305,AL,41537,643,23862,631,1312,218,15914,694,228,103,5,9,154,79,21,26,6,10,35,26
puma_0101400,AL,48774,696,9962,516,5993,489,31189,801,81,57,44,30,1351,240,0,28,35,26,119,50
puma_0101500,AL,36913,693,8204,447,3635,373,24309,785,128,101,0,28,509,108,0,28,39,29,89,50
puma_0101600,AL,39028,748,14417,628,358,122,24091,820,28,27,0,28,65,40,0,28,0,28,69,41
