puma,state,htg_slope_com_btu_m2_degC
puma_0100100,AL,7.070156217992180
puma_0100200,AL,7.070156217992180
puma_0100301,AL,7.070156217992180
puma_0100302,AL,7.070156217992180
puma_0100400,AL,7.070156217992180
puma_0100500,AL,7.070156217992180
puma_0100600,AL,7.070156217992180
puma_0100700,AL,7.070156217992180
puma_0100800,AL,7.070156217992180
puma_0100900,AL,7.070156217992180
puma_0101000,AL,7.070156217992180
puma_0101100,AL,7.070156217992180
puma_0101200,AL,7.070156217992180
puma_0101301,AL,7.070156217992180
puma_0101302,AL,7.070156217992180
puma_0101303,AL,7.070156217992180
puma_0101304,AL,7.070156217992180
puma_0101305,AL,7.070156217992180
puma_0101400,AL,7.070156217992180
puma_0101500,AL,7.070156217992180
puma_0101600,AL,7.070156217992180
puma_0101700,AL,7.070156217992180
puma_0101800,AL,7.070156217992180
puma_0101900,AL,7.070156217992180
puma_0102000,AL,7.070156217992180
puma_0102100,AL,7.070156217992180
puma_0102200,AL,7.070156217992180
puma_0102300,AL,7.070156217992180
puma_0102400,AL,7.070156217992180
puma_0102500,AL,7.070156217992180
puma_0102600,AL,7.070156217992180
puma_0102701,AL,7.070156217992180
puma_0102702,AL,7.070156217992180
puma_0102703,AL,7.070156217992180
puma_0400100,AZ,8.371993379749580
puma_0400101,AZ,8.371993379749580
puma_0400102,AZ,8.371993379749580
puma_0400103,AZ,8.371993379749580
puma_0400104,AZ,8.371993379749580
puma_0400105,AZ,8.371993379749580
puma_0400106,AZ,8.371993379749580
puma_0400107,AZ,8.371993379749580
puma_0400108,AZ,8.371993379749580
puma_0400109,AZ,8.371993379749580
puma_0400110,AZ,8.371993379749580
puma_0400111,AZ,8.371993379749580
puma_0400112,AZ,8.371993379749580
puma_0400113,AZ,8.371993379749580
puma_0400114,AZ,8.371993379749580
puma_0400115,AZ,8.371993379749580
puma_0400116,AZ,8.371993379749580
puma_0400117,AZ,8.371993379749580
puma_0400118,AZ,8.371993379749580
puma_0400119,AZ,8.371993379749580
puma_0400120,AZ,8.371993379749580
puma_0400121,AZ,8.371993379749580
puma_0400122,AZ,8.371993379749580
puma_0400123,AZ,8.371993379749580
