puma,state,htg_slope_com_mmbtu_m2_degC
puma_0100100,AL,1.1858658489000622e-05
puma_0100200,AL,1.2020986454735239e-05
puma_0100301,AL,1.2651235216120234e-05
puma_0100302,AL,1.1946781132067702e-05
puma_0100400,AL,1.1772800454472663e-05
puma_0100500,AL,1.2214570778921233e-05
puma_0100600,AL,1.2179181655823003e-05
puma_0100700,AL,1.2206508507347795e-05
puma_0100800,AL,1.2450851614532932e-05
puma_0100900,AL,1.2585867439185528e-05
puma_0101000,AL,1.2566480756960097e-05
puma_0101100,AL,1.2816583454488317e-05
puma_0101200,AL,1.3307188106056991e-05
puma_0101301,AL,1.3255343376404587e-05
puma_0101302,AL,1.3362684677471648e-05
puma_0101303,AL,1.321335926408007e-05
puma_0101304,AL,1.2630764313769709e-05
puma_0101305,AL,1.3175338625463189e-05
puma_0101400,AL,1.225597902265113e-05
puma_0101500,AL,1.3772637555754079e-05
puma_0101600,AL,1.4174305598660588e-05
puma_0101700,AL,1.369673065931378e-05
puma_0101800,AL,1.3146793135971687e-05
puma_0101900,AL,1.3723043963521458e-05
puma_0102000,AL,1.4343392499175254e-05
puma_0102100,AL,1.4137759162680355e-05
puma_0102200,AL,1.4535643422080568e-05
puma_0102300,AL,1.4921040182469915e-05
puma_0102400,AL,1.4348913062370708e-05
puma_0102500,AL,1.5409170959913958e-05
puma_0102600,AL,1.555609069154603e-05
puma_0102701,AL,1.6032010157796745e-05
puma_0102702,AL,1.595671027737261e-05
puma_0102703,AL,1.5818728981905724e-05
puma_0400100,AZ,1.7215429637161402e-05
puma_0400101,AZ,1.7708695367005507e-05
puma_0400102,AZ,1.7780312395777828e-05
puma_0400103,AZ,1.786039578749816e-05
puma_0400104,AZ,1.774315062550513e-05
puma_0400105,AZ,1.767494976605433e-05
puma_0400106,AZ,1.7760536498837265e-05
puma_0400107,AZ,1.7377803980371268e-05
puma_0400108,AZ,1.786039578749816e-05
puma_0400109,AZ,1.7925398866106615e-05
puma_0400110,AZ,1.797946710552669e-05
puma_0400111,AZ,1.7872907641807254e-05
puma_0400112,AZ,1.753687406912445e-05
puma_0400113,AZ,1.8174391233868265e-05
puma_0400114,AZ,1.793714022276076e-05
puma_0400115,AZ,1.7785572798885434e-05
puma_0400116,AZ,1.930058086423038e-05
puma_0400117,AZ,1.898093477841259e-05
puma_0400118,AZ,1.9226522042747903e-05
puma_0400119,AZ,1.7973872510121944e-05
puma_0400120,AZ,1.767006084056632e-05
puma_0400121,AZ,1.8448990978088936e-05
puma_0400122,AZ,1.930058086423038e-05
puma_0400123,AZ,1.849843697058015e-05
puma_0400124,AZ,1.86260429674797e-05
puma_0400125,AZ,1.8614416062533508e-05
puma_0400126,AZ,1.820322837382086e-05
puma_0400127,AZ,1.8318676823295275e-05
puma_0400128,AZ,1.7785572798885434e-05
puma_0400129,AZ,1.790976298522097e-05
puma_0400130,AZ,1.8318676823295275e-05
puma_0400131,AZ,1.8289394996650186e-05
puma_0400132,AZ,1.7787275582958557e-05
puma_0400133,AZ,1.782662744103804e-05
puma_0400134,AZ,1.734685336758863e-05
puma_0400201,AZ,1.6476547418793834e-05
puma_0400202,AZ,1.7033850137265012e-05
puma_0400203,AZ,1.604525397161327e-05
puma_0400204,AZ,1.6721523954342683e-05
puma_0400205,AZ,1.6455104675235474e-05
puma_0400206,AZ,1.6819403693536058e-05
puma_0400207,AZ,1.7266925632192717e-05
puma_0400208,AZ,1.7157133888999153e-05
puma_0400209,AZ,1.6808847276868354e-05
puma_0400300,AZ,9.24709142281253e-06
puma_0400400,AZ,8.322850591450072e-06
puma_0400500,AZ,1.1431156558993652e-05
puma_0400600,AZ,1.5901377696058236e-05
puma_0400700,AZ,1.927283917763194e-05
puma_0400800,AZ,1.2990845672640565e-05
puma_0400803,AZ,1.7476493474193894e-05
puma_0400805,AZ,1.6894959415907476e-05
puma_0400807,AZ,1.7377023770391742e-05
puma_0400900,AZ,1.4440339318359598e-05
puma_0500100,AR,1.784731627277346e-05
puma_0500200,AR,1.8383614821880663e-05
puma_0500300,AR,1.845489009132698e-05
puma_0500400,AR,1.8828736250785524e-05
puma_0500500,AR,1.903531535894507e-05
puma_0500600,AR,2.014841780881917e-05
puma_0500700,AR,2.0239421577902152e-05
puma_0500800,AR,2.0049400199374112e-05
puma_0500900,AR,2.151145830158789e-05
puma_0501000,AR,2.157585996630851e-05
puma_0501100,AR,2.017934396332217e-05
puma_0501200,AR,2.1540956128279574e-05
puma_0501300,AR,2.0221899527127486e-05
puma_0501400,AR,2.054278708979668e-05
puma_0501500,AR,2.0284890197116336e-05
puma_0501600,AR,2.0978393539402636e-05
puma_0501700,AR,2.1634838601582497e-05
puma_0501800,AR,2.2519098733854577e-05
puma_0501900,AR,2.2237909909770154e-05
puma_0502000,AR,2.228382496774132e-05
puma_0600101,CA,1.0241749756798502e-05
puma_0600102,CA,1.0794801398115216e-05
puma_0600103,CA,1.0499065578074164e-05
puma_0600104,CA,1.0173933812468715e-05
puma_0600105,CA,1.0413442570622823e-05
puma_0600106,CA,1.053882502514443e-05
puma_0600107,CA,1.05712973033684e-05
puma_0600108,CA,1.0810888081291672e-05
puma_0600109,CA,1.0825562225057536e-05
puma_0600110,CA,1.0233115262976022e-05
puma_0600300,CA,8.16322447260285e-06
puma_0600701,CA,1.0007857303536449e-05
puma_0600702,CA,1.0080900940782654e-05
puma_0601100,CA,9.774964737537019e-06
puma_0601301,CA,1.049802972735261e-05
puma_0601302,CA,1.0406105700165097e-05
puma_0601303,CA,1.0496892346896659e-05
puma_0601304,CA,1.064131065345024e-05
puma_0601305,CA,9.49270001223962e-06
puma_0601306,CA,1.0344526752761767e-05
puma_0601307,CA,1.0324820992062287e-05
puma_0601308,CA,1.0569956458663608e-05
puma_0601309,CA,1.0690513047964305e-05
puma_0601500,CA,6.583382933687334e-06
puma_0601700,CA,8.64219490799011e-06
puma_0601901,CA,1.0620281854372891e-05
puma_0601902,CA,1.0825077113787426e-05
puma_0601903,CA,1.0915412335638467e-05
puma_0601904,CA,1.0890508180104892e-05
puma_0601905,CA,1.1004201750304568e-05
puma_0601906,CA,1.091191614855518e-05
puma_0601907,CA,1.0189519169995526e-05
puma_0602300,CA,7.856259953618619e-06
puma_0602500,CA,1.4214025009806763e-05
puma_0602901,CA,1.0705643122432564e-05
puma_0602902,CA,1.0869330136877419e-05
puma_0602903,CA,1.084051988879474e-05
puma_0602904,CA,1.084051988879474e-05
puma_0602905,CA,9.744012875806654e-06
