puma,state,htg_slope_res_mmbtu_m2_degC
puma_0100100,AL,6.4275909875917284e-06
puma_0100200,AL,6.47153543196606e-06
puma_0100301,AL,6.6377686866389275e-06
puma_0100302,AL,6.451506508347164e-06
puma_0100400,AL,6.404152375049635e-06
puma_0100500,AL,6.523323216095071e-06
puma_0100600,AL,6.513905301002636e-06
puma_0100700,AL,6.521179573223187e-06
puma_0100800,AL,6.585649219874697e-06
puma_0100900,AL,6.6208396476052725e-06
puma_0101000,AL,6.615805341313589e-06
puma_0101100,AL,6.680280851249598e-06
puma_0101200,AL,6.803893828917528e-06
puma_0101301,AL,6.791004347152276e-06
puma_0101302,AL,6.81764699366175e-06
puma_0101303,AL,6.78053692943343e-06
puma_0101304,AL,6.632474639630741e-06
puma_0101305,AL,6.771034794054735e-06
puma_0101400,AL,6.534315242240717e-06
puma_0101500,AL,6.917858542390201e-06
puma_0101600,AL,7.013773828644954e-06
puma_0101700,AL,6.899483861716884e-06
puma_0101800,AL,6.763886322650033e-06
puma_0101900,AL,6.905862624077297e-06
puma_0102000,AL,7.053507312571643e-06
puma_0102100,AL,7.005136559856043e-06
puma_0102200,AL,7.098236451122261e-06
puma_0102300,AL,7.186513877947095e-06
puma_0102400,AL,7.0547983197890825e-06
puma_0102500,AL,7.295779604452071e-06
puma_0102600,AL,7.328133425628074e-06
puma_0102701,AL,7.431317348675652e-06
puma_0102702,AL,7.415152951570034e-06
puma_0102703,AL,7.385377162835359e-06
puma_0400100,AZ,6.831047931674396e-06
puma_0400101,AZ,6.91974945324047e-06
puma_0400102,AZ,6.932467446072068e-06
puma_0400103,AZ,6.946641805877953e-06
puma_0400104,AZ,6.925873120454355e-06
puma_0400105,AZ,6.913742915781966e-06
puma_0400106,AZ,6.9289595659549575e-06
puma_0400107,AZ,6.860463190072722e-06
puma_0400108,AZ,6.946641805877953e-06
puma_0400109,AZ,6.958110724291925e-06
puma_0400110,AZ,6.9676257285530364e-06
puma_0400111,AZ,6.948851873973653e-06
puma_0400112,AZ,6.8890727601582e-06
puma_0400113,AZ,7.001745235103253e-06
puma_0400114,AZ,6.9601788792242274e-06
puma_0400115,AZ,6.933400033553099e-06
puma_0400116,AZ,7.193502584125071e-06
puma_0400117,AZ,7.139975953392002e-06
puma_0400118,AZ,7.181162297541719e-06
puma_0400119,AZ,6.966642216370618e-06
puma_0400120,AZ,6.912871972822127e-06
puma_0400121,AZ,7.049332344691775e-06
puma_0400122,AZ,7.193502584125071e-06
puma_0400123,AZ,7.0578426927605075e-06
puma_0400124,AZ,7.079724295609258e-06
puma_0400125,AZ,7.0777353571137034e-06
puma_0400126,AZ,7.0067687211877016e-06
puma_0400127,AZ,7.026818407212342e-06
puma_0400128,AZ,6.933400033553099e-06
puma_0400129,AZ,6.955354941261179e-06
puma_0400130,AZ,7.026818407212342e-06
puma_0400131,AZ,7.021742397679579e-06
puma_0400132,AZ,6.933701864649507e-06
puma_0400133,AZ,6.940671018224544e-06
puma_0400134,AZ,6.854872855854199e-06
puma_0400201,AZ,6.694390199466349e-06
puma_0400202,AZ,6.797895923102055e-06
puma_0400203,AZ,6.6123880133370895e-06
puma_0400204,AZ,6.740221008223661e-06
puma_0400205,AZ,6.69035328889447e-06
puma_0400206,AZ,6.758385702244373e-06
puma_0400207,AZ,6.8404001463298305e-06
puma_0400208,AZ,6.820434424322939e-06
puma_0400209,AZ,6.756430608717871e-06
puma_0400300,AZ,5.004919579935193e-06
puma_0400400,AZ,4.716660980797017e-06
puma_0400500,AZ,5.602920096930392e-06
puma_0400600,AZ,6.584647742612293e-06
puma_0400700,AZ,7.188884327259321e-06
puma_0400800,AZ,5.97560592296426e-06
puma_0400803,AZ,6.87823691065559e-06
puma_0400805,AZ,6.772351000937691e-06
puma_0400807,AZ,6.860322363109805e-06
puma_0400900,AZ,6.291109873352888e-06
puma_0500100,AR,5.104816086258397e-06
puma_0500200,AR,5.18417059923541e-06
puma_0500300,AR,5.19457556901733e-06
puma_0500400,AR,5.248625018113942e-06
puma_0500500,AR,5.278120877608929e-06
puma_0500600,AR,5.432753515976417e-06
puma_0500700,AR,5.445089229185774e-06
puma_0500800,AR,5.419280539703426e-06
puma_0500900,AR,5.613021778676384e-06
puma_0501000,AR,5.621310245843976e-06
puma_0501100,AR,5.436950621227422e-06
puma_0501200,AR,5.616820596392978e-06
puma_0501300,AR,5.4427175554318325e-06
puma_0501400,AR,5.4858917026634886e-06
puma_0501500,AR,5.451235887921028e-06
puma_0501600,AR,5.5436429895351365e-06
puma_0501700,AR,5.628883433371301e-06
puma_0501800,AR,5.740496410872431e-06
puma_0501900,AR,5.705389476981152e-06
puma_0502000,AR,5.711146148479708e-06
puma_0600101,CA,7.723450161159265e-06
puma_0600102,CA,7.92167404095896e-06
puma_0600103,CA,7.81670806023516e-06
puma_0600104,CA,7.698561815547207e-06
puma_0600105,CA,7.785879835373553e-06
puma_0600106,CA,7.83095541903137e-06
puma_0600107,CA,7.842559866276304e-06
puma_0600108,CA,7.927317998667413e-06
puma_0600109,CA,7.932460570450106e-06
puma_0600110,CA,7.720288618811588e-06
puma_0600300,CA,6.892037172933078e-06
puma_0600701,CA,7.637049046969704e-06
puma_0600702,CA,7.664203009329094e-06
puma_0601100,CA,7.549401961273823e-06
puma_0601301,CA,7.816336302131182e-06
puma_0601302,CA,7.78322886428383e-06
puma_0601303,CA,7.815928072292913e-06
puma_0601304,CA,7.867484204402948e-06
puma_0601305,CA,7.440908320240241e-06
puma_0601306,CA,7.760920266509637e-06
puma_0601307,CA,7.753759028747197e-06
puma_0601308,CA,7.842081256287269e-06
puma_0601309,CA,7.884922215820944e-06
puma_0601500,CA,6.136442785697549e-06
puma_0601700,CA,7.097557076947318e-06
puma_0601901,CA,7.860011786730886e-06
puma_0601902,CA,7.932290650916701e-06
puma_0601903,CA,7.963828789066988e-06
puma_0601904,CA,7.955154868616982e-06
puma_0601905,CA,7.994626499610545e-06
puma_0601906,CA,7.962612040914351e-06
puma_0601907,CA,7.704293282952353e-06
puma_0602300,CA,6.755137899141581e-06
puma_0602500,CA,8.995736088543066e-06
puma_0602901,CA,7.890271723971004e-06
puma_0602902,CA,7.947766356218924e-06
puma_0602903,CA,7.9376968208572e-06
puma_0602904,CA,7.9376968208572e-06
puma_0602905,CA,7.537628301649071e-06
puma_0603100,CA,7.81132058402363e-06
puma_0603300,CA,7.1672401824265895e-06
puma_0603701,CA,7.955637622765874e-06
puma_0603702,CA,8.313315332754259e-06
puma_0603703,CA,7.576019954891462e-06
puma_0603704,CA,7.79901899243686e-06
puma_0603705,CA,8.569264991305668e-06
puma_0603706,CA,8.618273692787183e-06
puma_0603707,CA,8.529127080100513e-06
puma_0603708,CA,8.495326162954827e-06
puma_0603709,CA,8.38633209303306e-06
puma_0603710,CA,8.403974362703836e-06
puma_0603711,CA,8.598389434839841e-06
puma_0603712,CA,8.598389434839841e-06
puma_0603713,CA,8.603590357766643e-06
puma_0603714,CA,8.696137751522324e-06
puma_0603715,CA,8.647599767078e-06
puma_0603716,CA,8.795935821465574e-06
puma_0603717,CA,8.557714234407231e-06
puma_0603718,CA,8.882972371735758e-06
puma_0603719,CA,8.69628895467622e-06
puma_0603720,CA,8.51569618505643e-06
puma_0603721,CA,8.495326162954827e-06
puma_0603722,CA,8.550798507251595e-06
puma_0603723,CA,8.553758139858556e-06
puma_0603724,CA,8.521810498553174e-06
puma_0603725,CA,8.447323677903738e-06
puma_0603726,CA,8.439712425413917e-06
puma_0603727,CA,8.599779543783693e-06
puma_0603728,CA,8.517194723100555e-06
puma_0603729,CA,8.657241924164351e-06
puma_0603730,CA,8.79561807275371e-06
puma_0603731,CA,8.757993982646153e-06
puma_0603732,CA,8.840970617214901e-06
puma_0603733,CA,8.860512254200519e-06
puma_0603734,CA,8.860512254200519e-06
puma_0603735,CA,8.862653552232663e-06
puma_0603736,CA,8.751712842396217e-06
puma_0603737,CA,8.824212665739684e-06
puma_0603738,CA,8.717808433334992e-06
puma_0603739,CA,8.918227080040525e-06
puma_0603740,CA,9.043961472099114e-06
puma_0603741,CA,9.039350896037747e-06
puma_0603742,CA,8.86345499394367e-06
puma_0603743,CA,9.03770857054837e-06
puma_0603744,CA,8.875164149777373e-06
puma_0603745,CA,8.860512254200519e-06
puma_0603746,CA,8.860512254200519e-06
puma_0603747,CA,8.79007416876742e-06
puma_0603748,CA,8.615531698799878e-06
puma_0603749,CA,8.724773802466826e-06
puma_0603750,CA,8.847760308962156e-06
puma_0603751,CA,8.842690201888736e-06
puma_0603752,CA,8.87125121477819e-06
puma_0603753,CA,8.996522929558457e-06
puma_0603754,CA,8.797129239678107e-06
puma_0603755,CA,8.832437376691527e-06
puma_0603756,CA,8.757725042927568e-06
puma_0603757,CA,8.798363230883545e-06
puma_0603758,CA,8.822736997839033e-06
puma_0603759,CA,8.785364917812666e-06
puma_0603760,CA,8.619142257798083e-06
puma_0603761,CA,8.629267643738035e-06
puma_0603762,CA,8.616461020483975e-06
puma_0603763,CA,8.757725042927568e-06
puma_0603764,CA,8.756393696487133e-06
puma_0603765,CA,8.757725042927568e-06
puma_0603766,CA,8.757725042927568e-06
puma_0603767,CA,8.560173261375171e-06
puma_0603768,CA,8.535071649256895e-06
puma_0603769,CA,8.757725042927568e-06
puma_0603900,CA,7.618870219539441e-06
puma_0604101,CA,7.658801487641723e-06
puma_0604102,CA,7.700647149911832e-06
puma_0604701,CA,7.904971067222173e-06
puma_0604702,CA,7.752450755255112e-06
puma_0605301,CA,7.421980689447423e-06
puma_0605302,CA,7.671357109198176e-06
puma_0605303,CA,7.604706250197387e-06
puma_0605500,CA,7.729218604997045e-06
puma_0605700,CA,6.5434958697343575e-06
puma_0605901,CA,8.493108338235067e-06
puma_0605902,CA,8.524730156704289e-06
puma_0605903,CA,8.545664890339982e-06
puma_0605904,CA,8.708359148984651e-06
puma_0605905,CA,8.749906748385609e-06
puma_0605906,CA,8.767392716384176e-06
puma_0605907,CA,8.881319557503687e-06
puma_0605908,CA,8.753509665554476e-06
puma_0605909,CA,8.767715568426569e-06
puma_0605910,CA,8.89821292011149e-06
puma_0605911,CA,8.938398795837444e-06
puma_0605912,CA,8.807406301092008e-06
puma_0605913,CA,8.860488931855202e-06
puma_0605914,CA,8.721086619966777e-06
puma_0605915,CA,8.437604254920843e-06
puma_0605916,CA,8.8953120593642e-06
puma_0605917,CA,8.894369610593091e-06
puma_0605918,CA,8.690972127454583e-06
puma_0606101,CA,7.866324908199556e-06
puma_0606102,CA,7.798749574172233e-06
puma_0606103,CA,7.091971595157631e-06
puma_0606501,CA,9.050257666759106e-06
puma_0606502,CA,8.825928774418503e-06
puma_0606503,CA,8.517433784003016e-06
puma_0606504,CA,8.407787819037418e-06
puma_0606505,CA,8.302855467361648e-06
puma_0606506,CA,8.278124057197186e-06
puma_0606507,CA,8.160752580871516e-06
puma_0606508,CA,8.42377380488068e-06
puma_0606509,CA,8.295746722031525e-06
puma_0606510,CA,8.594770391904105e-06
puma_0606511,CA,8.603471847204547e-06
puma_0606512,CA,8.56657369119262e-06
puma_0606513,CA,8.364010876057367e-06
puma_0606514,CA,8.495544736316128e-06
puma_0606515,CA,9.110341993269542e-06
puma_0606701,CA,7.887116923703844e-06
puma_0606702,CA,7.95587062058876e-06
puma_0606703,CA,7.961842271737774e-06
puma_0606704,CA,7.983101959891931e-06
puma_0606705,CA,7.797790785436899e-06
puma_0606706,CA,7.95165879993286e-06
puma_0606707,CA,7.890946348606725e-06
puma_0606708,CA,7.920884864398067e-06
puma_0606709,CA,7.774451014488205e-06
puma_0606710,CA,7.854443243540763e-06
puma_0606711,CA,7.920859097080594e-06
puma_0606712,CA,7.877490970251806e-06
puma_0607101,CA,8.06854556610082e-06
puma_0607102,CA,7.667185693793578e-06
puma_0607103,CA,7.629224368058376e-06
puma_0607104,CA,6.469597961788713e-06
puma_0607105,CA,8.330649451786849e-06
puma_0607106,CA,8.535833499435246e-06
puma_0607107,CA,8.605073133324314e-06
puma_0607108,CA,8.605073133324314e-06
puma_0607109,CA,8.593623153274831e-06
puma_0607110,CA,8.57329576113807e-06
puma_0607111,CA,8.518734262922738e-06
puma_0607112,CA,8.556645587631193e-06
puma_0607113,CA,8.503895036983879e-06
puma_0607114,CA,8.404435824840882e-06
puma_0607115,CA,8.53486880652972e-06
puma_0607301,CA,8.260197224416554e-06
puma_0607302,CA,8.24267083415675e-06
puma_0607303,CA,8.519078400602699e-06
puma_0607304,CA,8.385721464406997e-06
puma_0607305,CA,8.605465354238454e-06
puma_0607306,CA,8.666307108674647e-06
puma_0607307,CA,8.445324985431057e-06
puma_0607308,CA,8.493241484284209e-06
puma_0607309,CA,8.508396369396552e-06
puma_0607310,CA,8.576794099474403e-06
