"puma","state","htg_slope_res_btu_m2_degC"
"puma_0100100","AL",5.00004703251553
"puma_0100200","AL",5.04215463368253
"puma_0100301","AL",5.20125297910803
"puma_0100302","AL",5.02388651195929
"puma_0100400","AL",4.97762977363831
"puma_0100500","AL",5.09248888079925
"puma_0100600","AL",5.08276142956562
"puma_0100700","AL",5.08982680146264
"puma_0100800","AL",5.15145908015621
"puma_0100900","AL",5.18516368656921
"puma_0101000","AL",5.18223718633291
"puma_0101100","AL",5.24420815621043
"puma_0101200","AL",5.36327308072159
"puma_0101301","AL",5.35031065298569
"puma_0101302","AL",5.37625022291726
"puma_0101303","AL",5.34032637834745
"puma_0101304","AL",5.1981271248477
"puma_0101305","AL",5.33077951155519
"puma_0101400","AL",5.10308271358463
"puma_0101500","AL",5.47628712299961
"puma_0101600","AL",5.56891714390639
"puma_0101700","AL",5.45881325161475
"puma_0101800","AL",5.32484225856282
"puma_0101900","AL",5.463841787371
"puma_0102000","AL",5.6081942581909
"puma_0102100","AL",5.56119475716881
"puma_0102200","AL",5.65331123651481
"puma_0102300","AL",5.7454377972106
"puma_0102400","AL",5.61051286261785
"puma_0102500","AL",5.84960837933079
"puma_0102600","AL",5.88230224454571
"puma_0102701","AL",5.98543254697773
"puma_0102702","AL",5.96916502257357
"puma_0102703","AL",5.93947227523113
"puma_0400100","AZ",6.15498016787601
"puma_0400101","AZ",6.25539036189575
"puma_0400102","AZ",6.26983323813965
"puma_0400103","AZ",6.28590646237638
"puma_0400104","AZ",6.26234026696186
"puma_0400105","AZ",6.2487675573119
"puma_0400106","AZ",6.2660716500032
"puma_0400107","AZ",6.18859279239183
"puma_0400108","AZ",6.28590646237638
"puma_0400109","AZ",6.29924942131325
"puma_0400110","AZ",6.30994062732935
"puma_0400111","AZ",6.28871468207425
"puma_0400112","AZ",6.22111318398244
"puma_0400113","AZ",6.34897168733371
"puma_0400114","AZ",6.30216456791035
"puma_0400115","AZ",6.2708686789066
"puma_0400116","AZ",6.5681079238168
"puma_0400117","AZ",6.50719362793554
"puma_0400118","AZ",6.55396813211995
"puma_0400119","AZ",6.31146613032393
"puma_0400120","AZ",6.24916380598107
"puma_0400121","AZ",6.40406841894683
"puma_0400122","AZ",6.5681079238168
"puma_0400123","AZ",6.41409931076215
"puma_0400124","AZ",6.43843654462539
"puma_0400125","AZ",6.43764073925722
"puma_0400126","AZ",6.35477561126958
"puma_0400127","AZ",6.37717535948219
"puma_0400128","AZ",6.2708686789066
"puma_0400129","AZ",6.29603929443706
"puma_0400130","AZ",6.37717535948219
"puma_0400131","AZ",6.3714458939783
"puma_0400132","AZ",6.2712306629651
"puma_0400133","AZ",6.27916885693209
"puma_0400134","AZ",6.18547956501296
"puma_0400201","AZ",6.01575770165902
"puma_0400202","AZ",6.1197934186022
"puma_0400203","AZ",5.91571752750101
"puma_0400204","AZ",6.05350647334235
"puma_0400205","AZ",5.99884614865554
"puma_0400206","AZ",6.07357702190938
"puma_0400207","AZ",6.16575244082111
"puma_0400208","AZ",6.14313850895001
"puma_0400209","AZ",6.07153311702731
"puma_0400300","AZ",4.20974993552799
"puma_0400400","AZ",3.9475143418816
"puma_0400500","AZ",4.83362694124116
"puma_0400600","AZ",5.93144326524516
"puma_0400700","AZ",6.56454018381477
"puma_0400800","AZ",5.247822817338
"puma_0400803","AZ",6.20878693277605
"puma_0400805","AZ",6.09768625483359
"puma_0400807","AZ",6.1884488204848
"puma_0400900","AZ",5.55779978451187
"puma_0500100","AR",5.74656861244808
"puma_0500200","AR",5.85323837041527
"puma_0500300","AR",5.86878186689406
"puma_0500400","AR",5.94377957910742
"puma_0500500","AR",5.98371920615518
"puma_0500600","AR",6.19988669353375
"puma_0500700","AR",6.2186730501153
"puma_0500800","AR",6.18112911412227
"puma_0500900","AR",6.45426281375927
"puma_0501000","AR",6.46550448502472
"puma_0501100","AR",6.20750379273478
"puma_0501200","AR",6.45977727324533
"puma_0501300","AR",6.21694591491178
"puma_0501400","AR",6.27564968300395
"puma_0501500","AR",6.22939162612176
"puma_0501600","AR",6.35727243974324
"puma_0501700","AR",6.47689120268439
"puma_0501800","AR",6.63673524017475
"puma_0501900","AR",6.58625282400851
"puma_0502000","AR",6.59672478510837
"puma_0600101","CA",6.10911834955852
"puma_0600102","CA",6.30547918803381
"puma_0600103","CA",6.20291760798217
"puma_0600104","CA",6.08703977508556
"puma_0600105","CA",6.17347955503309
"puma_0600106","CA",6.21473001074818
"puma_0600107","CA",6.22627322303969
"puma_0600108","CA",6.30994856273292
"puma_0600109","CA",6.3149721060837
"puma_0600110","CA",6.10649572713824
"puma_0600300","CA",5.39291852302495
"puma_0600701","CA",6.02705361917376
"puma_0600702","CA",6.05913547604603
"puma_0601100","CA",5.97280104798155
"puma_0601301","CA",6.20039194358118
"puma_0601302","CA",6.16803275246491
"puma_0601303","CA",6.20545734362317
"puma_0601304","CA",6.25738000288615
"puma_0601305","CA",5.83538202304862
"puma_0601306","CA",6.15453217136957
"puma_0601307","CA",6.14352318815039
"puma_0601308","CA",6.22687031776685
"puma_0601309","CA",6.26818808968919
"puma_0601500","CA",4.62608164358266
"puma_0601700","CA",5.60499358855412
"puma_0601901","CA",6.24822853634926
"puma_0601902","CA",6.31517023956088
"puma_0601903","CA",6.34604932678205
"puma_0601904","CA",6.33742119603302
"puma_0601905","CA",6.37657987101464
"puma_0601906","CA",6.34483978516105
"puma_0601907","CA",6.14039930753555
"puma_0602300","CA",5.19362500805118
"puma_0602500","CA",7.39175434637493
"puma_0602901","CA",6.28659350819665
"puma_0602902","CA",6.33022544820276
"puma_0602903","CA",6.3201244644667
"puma_0602904","CA",6.3201244644667
"puma_0602905","CA",5.95082972651725
"puma_0603100","CA",6.19569723633798
"puma_0603300","CA",5.59627575313724
"puma_0603701","CA",6.35849490464832
"puma_0603702","CA",6.69497008244938
"puma_0603703","CA",5.96506628003942
"puma_0603704","CA",6.18376211399446
"puma_0603705","CA",6.95452593274706
"puma_0603706","CA",7.00379482579964
"puma_0603707","CA",6.91317981540881
"puma_0603708","CA",6.87879544137017
"puma_0603709","CA",6.82879204602022
"puma_0603710","CA",6.82070012399495
"puma_0603711","CA",6.98351056134364
"puma_0603712","CA",6.98351056134364
"puma_0603713","CA",6.98887738089379
"puma_0603714","CA",7.08366653003808
"puma_0603715","CA",7.03403406606356
"puma_0603716","CA",7.18807196236659
"puma_0603717","CA",6.96452599024766
"puma_0603718","CA",7.27496981533353
"puma_0603719","CA",7.08715304951929
"puma_0603720","CA",6.90017558816935
"puma_0603721","CA",6.87879544137017
"puma_0603722","CA",6.93512763782466
"puma_0603723","CA",6.93811912788246
"puma_0603724","CA",6.90615911748794
"puma_0603725","CA",6.83017724124492
"puma_0603726","CA",6.82280285209939
"puma_0603727","CA",6.98587814800474
"puma_0603728","CA",6.90098335347463
"puma_0603729","CA",7.04430832777118
"puma_0603730","CA",7.18595136542905
"puma_0603731","CA",7.14721854244426
"puma_0603732","CA",7.23241448469636
"puma_0603733","CA",7.25184442723576
"puma_0603734","CA",7.25184442723576
"puma_0603735","CA",7.25434689109852
"puma_0603736","CA",7.14076813163893
"puma_0603737","CA",7.21718284213369
"puma_0603738","CA",7.10590827590783
"puma_0603739","CA",7.31338348631554
"puma_0603740","CA",7.44133640377186
"puma_0603741","CA",7.4366377972118
"puma_0603742","CA",7.25492591322932
"puma_0603743","CA",7.43506032020683
"puma_0603744","CA",7.26732758927325
"puma_0603745","CA",7.25184442723576
"puma_0603746","CA",7.25184442723576
"puma_0603747","CA",7.18046684938016
"puma_0603748","CA",7.00138998985027
"puma_0603749","CA",7.11371120780123
"puma_0603750","CA",7.23875583043919
"puma_0603751","CA",7.23354476475497
"puma_0603752","CA",7.26381277221661
"puma_0603753","CA",7.39331656102749
"puma_0603754","CA",7.1878186651521
"puma_0603755","CA",7.22460233386314
"puma_0603756","CA",7.1462797500483
"puma_0603757","CA",7.18806257258864
"puma_0603758","CA",7.21299740724081
"puma_0603759","CA",7.17529800033833
"puma_0603760","CA",7.00537892240397
"puma_0603761","CA",7.01633201807607
"puma_0603762","CA",7.00285980660065
"puma_0603763","CA",7.1462797500483
"puma_0603764","CA",7.14491594753718
"puma_0603765","CA",7.1462797500483
"puma_0603766","CA",7.1462797500483
"puma_0603767","CA",6.94463479226176
"puma_0603768","CA",6.9206973136283
"puma_0603769","CA",7.1462797500483
"puma_0603900","CA",6.02530190881325
"puma_0604101","CA",6.04584643315598
"puma_0604102","CA",6.08696259121032
"puma_0604701","CA",6.28976964644374
"puma_0604702","CA",6.13799795879796
"puma_0605301","CA",5.81816306936328
"puma_0605302","CA",6.05858717017062
"puma_0605303","CA",6.00626399293381
"puma_0605500","CA",6.11890489637534
"puma_0605700","CA",5.04388365231101
"puma_0605901","CA",6.87690284660123
"puma_0605902","CA",6.90892160909486
"puma_0605903","CA",6.92997394582399
"puma_0605904","CA",7.10213914045177
"puma_0605905","CA",7.14157618254666
"puma_0605906","CA",7.15680702258012
"puma_0605907","CA",7.27504410227782
"puma_0605908","CA",7.14196064245553
"puma_0605909","CA",7.1567692550963
"puma_0605910","CA",7.2923260465808
"puma_0605911","CA",7.33414374634094
"puma_0605912","CA",7.19788327169214
"puma_0605913","CA",7.25248495010713
