state,r2,sh_slope,dhw_const,cook_const,other_const,other_slope
AL,0.9106004574654776,1.3292162897138452e-05,1.858e-05,2.7870000000000003e-05,8.371584660021964e-07,1.0796287027077531e-06
AZ,0.8259324925204079,1.4556255799393265e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999947e-06,2.5587242161132855e-06
AR,0.8581792781174681,2.0269259190400674e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999972e-06,7.5814236795696085e-06
CA,0.9025198576047883,1.149034855206777e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999955e-06,4.102526038616466e-06
CO,0.9598214469399484,5.138479693876076e-06,7.960000000000002e-06,1.1940000000000003e-05,0.0,4.021168017655852e-20
CT,0.9631309939341917,1.2750971361376903e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999947e-06,7.559350665912934e-06
DE,0.9540342712899323,1.380686169373298e-05,1.858e-05,2.7870000000000003e-05,2.279999999999996e-06,5.672853504842569e-06
DC,0.9791205526073,1.174439939011339e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999993e-06,2.876817167789697e-06
FL,-1.6754845002526335,6.679242130211114e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999964e-06,1.1350482176195496e-05
GA,0.9686487086253273,1.1339024330881742e-05,1.1171058244851411e-05,1.6756587367277117e-05,0.0,1.4539561645922975e-06
ID,0.991081680879317,8.894310778828466e-06,1.3775259166215406e-05,2.0662888749323108e-05,0.0,3.3659211769371615e-06
IL,0.9950249855958692,7.0057764509653e-06,1.858e-05,2.7870000000000003e-05,2.2799999999999964e-06,1.6588278035604303e-06
IN,0.9930419490769873,6.8746380088680885e-06,1.4907254673457273e-05,2.236088201018591e-05,0.0,8.911585719944319e-07
IA,0.9895659613530318,5.12478316348795e-06,1.858e-05,2.7870000000000003e-05,2.279999999999996e-06,2.559366691602069e-07
KS,0.992491066749094,6.5107160384399e-06,1.183776844984402e-05,1.775665267476603e-05,0.0,2.3482092569041974e-06
KY,0.9906035065570555,1.223494982417329e-05,9.381827631862653e-06,1.407274144779398e-05,0.0,2.319152454369625e-06
LA,0.9085328811921614,1.4317334697903871e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999972e-06,2.30315734147113e-06
ME,0.9948805082401951,1.357599513173084e-05,1.858e-05,2.7870000000000003e-05,2.279999999999998e-06,8.049880874969123e-06
MD,0.9862008374273009,1.1986904491870697e-05,1.858e-05,2.7870000000000003e-05,2.279999999999997e-06,3.475672206603213e-06
MA,0.9860759150307279,1.341962991196111e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999977e-06,5.342829356707693e-06
MI,0.9899439157624904,5.742168059382947e-06,1.6856074158256842e-05,2.5284111237385264e-05,0.0,7.721540304910213e-07
MN,0.9894984421120021,6.246430603920421e-06,1.7603081677636037e-05,2.6404622516454055e-05,0.0,1.6127756266177214e-06
MS,0.9727462804224714,1.4889897439633559e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999917e-06,1.4780101564318058e-06
MO,0.9870197249084744,7.166951776347924e-06,1.4474956603151996e-05,2.1712434904727995e-05,0.0,1.2422908874360236e-06
MT,0.9556365919977828,8.264552656941955e-06,1.0660725109636712e-05,1.5991087664455068e-05,0.0,7.376020436309598e-06
NE,0.9704863620688102,7.777747020530122e-06,1.7661232297749317e-05,2.6491848446623974e-05,0.0,2.6518072098330543e-06
NV,0.9384602922356914,1.2417570939866487e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999964e-06,3.958006814608292e-06
NH,0.953189200157226,1.2858568078191448e-05,7.960000000000002e-06,1.1940000000000003e-05,0.0,4.339729840891174e-06
NJ,0.9934287765483968,9.138754189815634e-06,1.858e-05,2.7870000000000003e-05,2.2799999999999947e-06,1.8788945098760131e-06
NM,0.9683237762861432,9.109784954606474e-06,1.858e-05,2.7870000000000003e-05,2.279999999999993e-06,1.0744902884981945e-06
NY,0.988797263105948,1.0205983192356614e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999947e-06,5.676272117695679e-06
NC,0.9891967559619084,1.301582599220831e-05,1.858e-05,2.7870000000000003e-05,2.279999999999995e-06,1.5936645087745224e-06
ND,0.9764761853123838,8.743497438582375e-06,7.960000000000002e-06,1.1940000000000003e-05,0.0,4.690040656108315e-06
OH,0.9948567820649321,6.753658426214992e-06,1.2684486996218572e-05,1.902673049432786e-05,0.0,1.2645896870072105e-06
OK,0.9728807157773874,1.2148186417958225e-05,1.575366112614674e-05,2.363049168922011e-05,0.0,9.324690352015533e-07
OR,0.9959833211337157,1.550582269268433e-05,7.960000000000222e-06,1.1940000000000333e-05,0.0,5.833842973048555e-06
PA,0.9729935703082234,1.0542324753872687e-05,1.1624640068476659e-05,1.743696010271499e-05,0.0,3.0096839714437412e-06
RI,0.9965285094874319,1.1284469738794949e-05,7.960001348706152e-06,1.1940002023059228e-05,0.0,1.9040806902325486e-06
SC,0.9608568813976889,1.5918733255297547e-05,1.858e-05,2.7870000000000003e-05,2.279999999999995e-06,3.2750802455281534e-06
SD,0.9800651027561088,6.097886281792486e-06,7.960000000000002e-06,1.1940000000000003e-05,0.0,2.822965516598784e-06
TN,0.9970255188669027,1.639274485961667e-05,1.580270174020308e-05,2.3704052610304624e-05,0.0,2.8759616820528695e-06
TX,0.805698656507289,1.423776765190556e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999943e-06,2.1467893693751033e-06
UT,0.9379085218336739,7.3557996570354685e-06,7.960000000000002e-06,1.1940000000000003e-05,0.0,2.2265919251414306e-06
VT,0.9695666565046641,1.0798055634339235e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999977e-06,1.5003801153390092e-05
VA,0.972304145921818,1.3433864145236472e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999934e-06,3.3182142828685465e-06
WA,0.9897426630229237,1.7756497125642024e-05,1.858e-05,2.7870000000000003e-05,2.2799999999999947e-06,1.1177636007395058e-05
WV,0.9769084376216506,1.4095971318411846e-05,1.858e-05,2.7870000000000003e-05,2.279999999999994e-06,5.804644173105301e-06
WI,0.9956720053632205,5.865131293409862e-06,1.4503097550590286e-05,2.175464632588543e-05,0.0,1.929750830779003e-06
WY,0.8840358064824547,8.34403291010666e-06,7.960000000000002e-06,1.1940000000000003e-05,0.0,3.6109724285156455e-06
