state,r2,sh_slope,dhw_const,dhw_slope,other_const
AL,0.9305969147746407,6.7881504090395095e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
AZ,0.8748209789235615,6.261650357356066e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
AR,0.842288900943705,5.4196144592732865e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
CA,0.9302147388812227,8.04322057548145e-06,9.590000000005402e-06,9.590000000005402e-08,5.555720575602459e-06
CO,0.972124131945245,4.621789122902144e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
CT,0.940063617043842,6.343619885278994e-06,1.0256156210836157e-05,1.0256156210836156e-07,8.639999999999999e-06
DE,0.9398922171657338,4.607855600995179e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
DC,0.990263527822097,7.98615284822955e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
FL,0.8049464534290671,6.476588377707978e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
GA,0.9788220882196219,6.640615670073711e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
ID,0.9454762782622899,4.3025003933433574e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
IL,0.9821703192374694,5.60893211547981e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
IN,0.9672371222853304,4.56282905346981e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
IA,0.9648397640539889,3.6463573314944032e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
KS,0.9409296437107459,5.742305324158456e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
KY,0.9652002297387458,6.232782129201733e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
LA,0.9381736958714668,7.743909622998887e-06,9.590000000000032e-06,9.590000000000032e-08,2.690000000000029e-06
ME,0.9703567540111125,3.850606635027826e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
MD,0.9733846930010902,5.953137516811408e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
MA,0.9817989648072544,5.834567809300671e-06,1.3920457113880633e-05,1.3920457113880632e-07,8.639999999997293e-06
MI,0.9756461377868945,5.649567840094505e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
MN,0.9693307152634627,3.0967356809140402e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
MS,0.9361838674328571,7.30984112001096e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
MO,0.9638141941806805,4.739382651281678e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
MT,0.9400081116865289,4.219080339398633e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
NE,0.9168010810103704,4.787278278722868e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
NV,0.8712867337353198,5.911719609981444e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
NH,0.9570739860083805,3.7206551651624653e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
NJ,0.9811821397487569,5.2782707378053885e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
