"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"AL",1001020100,1912,116065.630865951,18166.6323556949,2237,2274
"AL",1001020200,2170,104420.879946674,45052.9578653105,2237,2274
"AL",1001020300,3373,187633.669083189,36027.6137079317,2237,2274
"AL",1001020400,4386,270937.791592236,46660.4593754624,2237,2274
"AL",1001020500,10766,636069.216377113,134963.589926835,2237,2274
"AL",1001020600,3668,206123.227495069,34453.9286971661,2237,2274
"AL",1001020700,2891,156640.841060195,55072.7370240605,2237,2274
"AL",1001020801,3081,181018.969387298,17911.7063526189,2237,2274
"AL",1001020802,10435,583451.515806067,39209.7281825029,2237,2274
"AL",1001020900,5675,299812.047803763,24712.9518104362,2825,1794
"AL",1001021000,2894,165428.174686937,22734.5816098684,2825,1794
"AL",1001021100,3320,189490.613179358,27925.7249022966,2456,1992
"AL",1003010100,3804,238923.58263384,27054.1088810934,1799,2399
"AL",1003010200,2902,153518.185276306,25946.1465079129,1799,2399
"AL",1003010300,7826,426927.381478962,93889.4844926555,1799,2399
"AL",1003010400,4736,271008.396994045,93977.0004978554,1858,2336
"AL",1003010500,4815,273462.87582629,124460.345188334,1799,2399
"AL",1003010600,3325,158845.435915719,51621.5746275088,1799,2399
"AL",1003010701,7882,511761.802696593,123729.847977229,1656,2537
"AL",1003010703,13166,865861.885492069,76383.6714632677,1984,2074
"AL",1003010704,5055,345313.343313403,40444.6876038824,1984,2074
"AL",1003010705,8331,531758.220046543,90377.2844485793,1656,2537
"AL",1003010800,6861,448950.403210172,257335.660830101,1676,2534
"AL",1003010903,5173,256059.53753492,45573.5862004647,1858,2336
"AL",1003010904,6831,344582.035502835,48889.8534702652,1858,2336
"AL",1003010905,8011,444297.639294351,83064.3301752139,1858,2336
"AL",1003010906,4302,235200.39520023,33666.6676180656,1858,2336
"AL",1003011000,4305,238996.971691294,105653.793375552,1858,2336
"AL",1003011101,8397,558387.206154141,58380.6414427675,1984,2074
"AL",1003011102,3715,229435.19526846,24749.277411901,1984,2074
"AL",1003011201,4230,309536.207059819,109330.157275661,1676,2534
"AL",1003011202,5065,353655.124992542,161316.559268688,1676,2534
"AL",1003011300,4487,364779.511468679,45695.5674516243,1676,2534
"AL",1003011401,10632,656487.243413907,57403.3019738632,1858,2336
"AL",1003011403,9131,713085.832638902,113059.840628254,1858,2336
"AL",1003011405,3832,943704.815861432,133558.245087982,1603,2501
"AL",1003011406,3412,703289.968953868,160359.845500984,1858,2336
"AL",1003011407,4799,776166.257172716,123914.91067776,1858,2336
"AL",1003011408,433,314993.512349986,21998.3252222551,1318,2927
"AL",1003011501,5316,314019.325927576,168490.81148191,1858,2336
"AL",1003011502,10534,627351.557638117,217867.563342918,1858,2336
"AL",1003011601,6062,381887.421609229,62940.6016356546,1858,2336
"AL",1003011602,4895,437052.13370663,41524.593324015,1603,2501
"AL",1005950100,3321,185862.56246097,62309.1408322046,2161,2255
"AL",1005950200,4264,146038.653958856,76521.8181982769,2499,1852
"AL",1005950300,1638,97186.3367430152,31144.2580848302,2499,1852
"AL",1005950400,4303,173588.772772521,40273.5606910143,2499,1852
"AL",1005950500,3467,233656.719776826,28595.7416546475,2499,1852
"AL",1005950600,2099,104289.980102152,46058.2613833704,2161,2255
"AL",1005950700,1727,92109.1841363601,41507.8708808664,2161,2255
"AL",1005950800,2055,126238.508252595,55710.2373407992,2161,2255
"AL",1005950900,4583,224064.854653188,75246.1674441899,2161,2255
"AL",1007010001,2732,131387.936134673,11367.801779551,2943,1722
"AL",1007010002,6025,330957.781598571,53643.7951605048,2770,1933
"AL",1007010003,5391,316696.24538663,59484.4225102461,2943,1722
"AL",1007010004,8767,346982.084807397,104675.713963663,2943,1722
"AL",1009050101,7858,424730.761840313,68615.9551424217,3149,1714
"AL",1009050102,7050,381117.991758053,173731.568660865,3149,1714
"AL",1009050200,3789,213031.505049531,33354.7931003449,3149,1714
"AL",1009050300,5269,281657.318912984,40213.174409929,3149,1714
"AL",1009050400,4451,236862.061778413,23051.1949035567,3115,1821
"AL",1009050500,7329,399029.713039262,53771.444035013,3135,1662
"AL",1009050601,3922,213515.894476622,21341.3148053883,3135,1662
"AL",1009050602,8923,528230.71773,80586.5107362304,3135,1662
"AL",1009050700,8731,473621.560984558,50040.6440417634,3173,1645
"AL",1011952100,1434,90542.6543170647,4917.17197662993,2555,1891
"AL",1011952200,7102,294539.609441409,109678.077158401,2555,1891
"AL",1011952500,2378,143730.669057622,8720.34385052903,2555,1891
"AL",1013952700,2439,111851.450880806,43853.764340812,2455,1899
"AL",1013952800,1394,98635.9929530647,73841.0091843702,2455,1899
"AL",1013952900,2180,109779.432786399,49406.2082098376,2455,1899
"AL",1013953000,1469,100110.830484726,5485.18120128017,2455,1899
"AL",1013953100,3023,153741.893934849,11207.8226331873,2455,1899
"AL",1013953200,4327,254163.573180895,41044.0050480322,2455,1899
"AL",1013953300,1774,113299.717011468,3887.52767256781,2455,1899
"AL",1013953400,2931,151329.203379594,52264.7419609393,2190,2171
"AL",1013953500,1410,84406.126983331,9819.75839244394,2455,1899
"AL",1015000200,3104,186409.201007949,74906.4207862911,2782,1867
"AL",1015000300,2951,164284.3487572,72437.1511090984,2782,1867
"AL",1015000400,2812,150072.411730809,29114.6983092224,2782,1867
"AL",1015000500,1814,110494.2306816,20401.0431041032,2782,1867
"AL",1015000600,2191,89425.8634720444,24613.6387914111,2782,1867
"AL",1015000700,2715,143904.018171259,87060.4603579052,2782,1867
"AL",1015000800,1379,79294.1381735226,285575.116398044,2782,1867
"AL",1015000900,3362,268446.311104033,41107.7376733925,2782,1867
"AL",1015001000,5792,388909.593667876,149069.245736112,2782,1867
"AL",1015001100,6565,388454.563547745,154041.324016039,2782,1867
"AL",1015001201,3482,187232.32235391,132404.576436047,2782,1867
"AL",1015001202,4318,232409.965291656,48874.523728228,2782,1867
"AL",1015001300,2211,117996.430403983,26097.9503744207,2782,1867
"AL",1015001400,3731,196497.363652022,16092.2930704721,2782,1867
"AL",1015001500,5198,282888.09379192,45483.3780398233,2782,1867
"AL",1015001600,3791,209190.337667107,42006.2956012795,2782,1867
"AL",1015001700,6329,376602.904954232,53500.2592938739,2782,1867
"AL",1015001800,6919,389938.407546967,37145.5157253361,2782,1867
"AL",1015002000,7335,442263.053805233,39315.9163135585,3255,1512
"AL",1015002101,3992,133933.852045257,78983.6566997255,3255,1512
"AL",1015002102,3411,233105.066292161,35322.200782141,3255,1512
"AL",1015002103,6801,386345.474335635,87779.2506246831,3255,1512
"AL",1015002200,3652,206806.066470446,33999.4469455895,3255,1512
"AL",1015002300,3843,221568.363344761,82043.4192474398,3455,1513
"AL",1015002400,4518,258814.866172174,21464.504107293,3009,1897
"AL",1015002501,7069,362317.947356359,70559.0235664706,2782,1867
"AL",1015002502,4661,263051.429029406,31677.2425363818,3009,1897
"AL",1015002600,4615,279417.040711433,36194.0023845988,2845,1690
"AL",1015981901,6,576.695618941939,3353.61386545563,2845,1690
"AL",1015981902,5,209.589261956122,8557.39198897534,2782,1867
"AL",1015981903,0,0,0,2782,1867
"AL",1017953800,3619,246632.497127516,17514.1739638917,2960,1637
"AL",1017953900,2900,190287.728121589,37927.479999856,2880,1708
"AL",1017954000,6669,395718.650699438,104663.263486577,2960,1637
"AL",1017954200,3257,186776.172472508,21658.1140965368,2880,1708
"AL",1017954300,4708,295980.353630057,67666.7655538369,2880,1708
"AL",1017954400,995,69170.027537965,22558.9020262606,2880,1708
"AL",1017954500,3804,225570.996601827,54286.6838526345,2880,1708
"AL",1017954600,3411,204737.494952475,93308.0976659605,2880,1708
"AL",1017954700,4852,258617.732767319,32495.2539438654,2880,1708
"AL",1019955701,3332,302334.743182001,23775.5603003456,3455,1513
"AL",1019955702,3872,278887.486579215,15266.8496297493,3182,1726
"AL",1019955800,5561,452488.521731753,51399.4430129342,3455,1513
"AL",1019955900,4235,275383.192877416,67816.5246318666,3455,1513
"AL",1019956000,4017,306740.937084951,206568.42471564,3455,1513
"AL",1019956100,4972,400478.989866741,35948.3672513023,3455,1513
"AL",1021060101,5219,293526.402671956,123400.69252416,2825,1794
"AL",1021060102,6303,343578.115706807,173816.294742251,2648,1807
"AL",1021060200,2807,176568.175718891,25110.7626555872,2648,1807
"AL",1021060300,3808,260372.664402636,17647.3040137085,2520,2036
"AL",1021060401,5466,309473.398402572,46197.2443470039,2520,2036
"AL",1021060402,8776,429299.933832273,50736.2083153546,2520,2036
"AL",1021060500,2902,164163.204308806,33892.329512857,2520,2036
"AL",1021060600,3261,171576.684315674,17743.7371657708,2825,1794
"AL",1021060700,5101,280393.452569496,32233.2666900861,2825,1794
"AL",1023956700,3184,210590.377236984,55744.0543279264,2613,2043
"AL",1023956800,4423,286939.95690779,92262.4741384246,2302,2323
"AL",1023956900,3879,242715.877455119,46880.267286194,2302,2323
"AL",1023957000,2373,143969.985181622,14552.8896187045,2299,2082
"AL",1025957500,1760,108797.633762542,49743.7244998617,2380,1952
"AL",1025957601,998,58339.1143570992,9028.13153100405,2380,1952
"AL",1025957602,5515,302815.409224332,117496.517504147,2271,2189
"AL",1025957700,1329,106439.10549566,9779.81019951468,2380,1952
"AL",1025957800,5488,316678.960138723,65788.2654384318,2385,2029
"AL",1025957901,3493,218369.528116948,53523.2079148152,2224,2165
"AL",1025957902,4230,240237.045238291,86319.0003567508,2224,2165
"AL",1025958001,1289,64050.9785634899,2833.44982346321,2385,2029
"AL",1025958002,1731,97919.3391914332,1532.15689108654,2224,2165
"AL",1027958900,5324,319834.704172719,65330.7193664806,3056,1522
"AL",1027959000,3224,185183.624998925,60180.5451914947,3056,1522
"AL",1027959100,2904,170888.272006101,9510.39134170831,3056,1522
"AL",1027959200,2480,140360.423663933,12081.7616698219,3029,1674
"AL",1029959500,2684,147972.616178356,12256.0476112106,3255,1512
"AL",1029959600,4202,219944.03926428,68351.1828775415,3255,1512
"AL",1029959700,3419,192848.313937801,20601.9924901778,3255,1512
"AL",1029959800,4667,251176.932120589,27147.4762161132,3255,1512
"AL",1031010100,2057,112177.82377913,6558.2113355769,2229,1916
