state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
AR,5001480100,1435,879,123725.483395196,11268.209818219198,3025,2059
AR,5001480200,1643,886,127598.05010527301,19646.4844738686,3197,2043
AR,5001480300,3129,1408,206705.732788895,38070.6447253454,3197,2043
AR,5001480400,2518,1200,158903.773200747,58061.1478538333,3197,2043
AR,5001480500,4151,1936,302094.868082707,112655.806818826,3197,2043
AR,5001480600,1747,798,119832.839453739,28170.4311761346,3197,2043
AR,5001480700,2972,1402,197365.630787123,53659.866886606396,3025,2059
AR,5001480800,1424,927,136777.615439319,17412.3524225029,2793,2076
AR,5003960100,1928,912,125502.53199273099,24563.563919070697,2849,2112
AR,5003960200,2694,1237,167827.671841791,13909.5363296201,2902,1964
AR,5003960300,4982,2077,297991.876382642,69467.41106273231,2902,1964
AR,5003960400,1801,966,134761.434405676,8446.279679071371,2902,1964
AR,5003960500,2744,1301,166179.384013935,27058.1031413887,2902,1964
AR,5003960600,5793,2738,388754.62597069,139827.90287473198,2902,1964
AR,5003960700,1911,906,133687.105986698,18853.2784725676,2902,1964
AR,5005950100,4680,2399,327945.128862289,61034.974718864505,4015,1542
AR,5005950200,4649,2348,344551.55470568,99420.2799420102,4015,1542
AR,5005950300,4921,2489,328072.956130143,84540.0945317567,4015,1542
AR,5005950400,3285,1549,223704.39297339,97253.68915788429,4015,1542
AR,5005950500,4962,2816,404550.376623358,67286.233297303,4182,1299
AR,5005950600,3816,2575,386321.12566773896,19192.2813162122,4015,1542
AR,5005950700,3445,2405,352665.69737305294,31613.9752837165,4015,1542
AR,5005950800,6097,3275,480102.490367034,41734.6464146177,4015,1542
AR,5005950900,5658,2724,383114.48861078103,72342.1108671792,3794,1561
AR,5007020101,5952,2342,347362.98943418,27742.4265289715,4711,1095
AR,5007020102,5647,2220,350209.89150170604,38320.1816348899,4336,1337
AR,5007020201,4074,1786,248091.075058045,145452.436921022,4336,1337
AR,5007020203,2941,1298,203657.95249159,25108.8118543275,4336,1337
AR,5007020205,5629,1915,284402.038674321,13018.131564200901,4336,1337
AR,5007020206,6189,1967,299046.715668779,64648.065618397304,4336,1337
AR,5007020301,3834,1658,193242.779742106,62173.874120235305,4336,1337
AR,5007020302,3777,1559,210601.341570152,67595.1369058687,4336,1337
AR,5007020304,3365,1637,225220.560457901,24467.3162841599,4336,1337
AR,5007020305,4003,1490,235053.41689599399,34998.7113229019,4336,1337
AR,5007020401,6415,2632,383104.64550117706,83976.0804341871,4336,1337
AR,5007020402,4378,1729,272784.126681494,137495.94337318902,4336,1337
AR,5007020404,4180,1563,220698.79016943398,34259.0178154531,4336,1337
AR,5007020405,3149,1327,193101.75632670897,9670.09171113274,4336,1337
AR,5007020501,5073,2161,323440.084162667,74368.4193503993,4336,1337
AR,5007020503,4045,1856,212577.206935678,74781.2788863818,4336,1337
AR,5007020504,3146,1352,162735.279278313,67725.1094377683,4336,1337
AR,5007020603,5519,2497,409445.633566244,10340.0154508181,4336,1337
AR,5007020604,4054,1770,262952.764025807,116240.097827985,4336,1337
AR,5007020605,4151,1757,254444.520850741,112173.359452678,4336,1337
AR,5007020606,4019,1486,286175.729163268,42628.095236438996,4336,1337
AR,5007020701,4985,2196,362187.694772891,16754.69146975,4336,1337
AR,5007020703,4581,2142,373747.063666081,8343.43622468127,4336,1337
AR,5007020704,3934,1719,277124.389283223,24245.092321176402,4336,1337
AR,5007020801,3982,2144,366278.604638848,13564.8655774146,3767,1566
AR,5007020803,4143,2196,370201.714981205,10230.0182681806,3767,1566
AR,5007020805,4567,2430,372465.564832851,43168.1402827984,4336,1337
AR,5007020806,4482,2044,324132.199477788,32630.3349621673,4336,1337
AR,5007020901,6839,2575,415573.313335634,13513.2118532126,4336,1337
AR,5007020902,6443,2618,409658.181290205,44559.457080339904,3767,1566
AR,5007021001,5167,2264,341999.13924453396,35050.7376691199,3767,1566
AR,5007021002,6947,2848,424792.26641479996,63699.713218125195,3767,1566
AR,5007021101,4551,1760,255661.54229209898,58139.9306118804,4320,1242
AR,5007021102,3283,1238,175571.875635108,49206.7450968162,3495,1729
AR,5007021201,4239,1321,188961.071229515,53409.586119143205,3495,1729
AR,5007021202,3116,1348,185133.27471273602,51718.843839111905,3495,1729
AR,5007021301,6518,2690,384840.240351632,45246.8454581281,4320,1242
AR,5007021304,4597,1872,265989.772958848,11299.146459932901,4336,1337
AR,5007021305,4227,2076,278177.34224838304,30589.0690904362,4320,1242
AR,5007021306,3512,1523,284842.587781143,48016.6573058482,4336,1337
AR,5007021308,3079,1060,216835.88026585,5173.77039143207,4336,1337
AR,5007021310,7382,2866,472816.65210065,91015.8075896982,4336,1337
AR,5007021311,4395,1671,274673.959125512,33583.3343483454,4336,1337
AR,5007021404,3476,1442,208647.595326839,17118.9644679639,4711,1095
AR,5007021405,2035,1527,242732.037846953,13927.7448525836,4711,1095
AR,5007021406,5556,1938,299867.612022235,60666.428021017404,4336,1337
AR,5007021407,4340,2098,340740.108470833,29979.6245107214,4336,1337
AR,5007021408,4955,1897,292777.053752489,32465.7101101015,4013,1517
AR,5007021409,2468,1579,252674.708971739,21288.2673191221,3981,1471
AR,5009790100,6897,3003,460968.53326810896,50837.6576490749,4005,1417
AR,5009790200,5949,2829,411040.035001744,30374.7418719173,4611,1184
AR,5009790300,5348,2276,349289.596655642,30100.491787541203,4005,1417
AR,5009790400,6019,2710,406742.526031566,45536.0537894393,4005,1417
AR,5009790501,4061,1818,250419.40930087699,117994.295196692,4005,1417
AR,5009790502,3998,1959,225671.700893115,178452.339451665,4005,1417
AR,5009790600,4631,2232,301648.187290703,76953.446551741,4005,1417
AR,5011950100,2499,1253,165834.711782713,52837.860964273204,2950,1949
AR,5011950200,2010,933,140422.56770490902,25795.8298360565,2950,1949
AR,5011950300,2202,1093,148343.29866785402,15635.860517635801,2950,1949
AR,5011950400,1833,788,117494.84864782,35071.3619498326,2950,1949
AR,5011950500,2964,1793,234760.59808127102,17934.8392151531,2950,1949
AR,5013480100,2569,1384,189430.78188895603,16508.219805894398,2961,1972
AR,5013480200,2799,1513,206540.92827256897,32977.6060314431,2886,2040
AR,5015950100,2734,1706,219632.634809,158238.124385157,3981,1471
AR,5015950200,5994,3876,579803.409542655,81289.6036427127,3981,1471
AR,5015950300,6989,2871,394191.128513405,129037.024147268,3915,1496
AR,5015950400,4259,1853,263351.698687446,14909.916150069399,3915,1496
AR,5015950500,7470,3253,436137.039613621,65604.2239894316,3915,1496
AR,5017080100,3595,1545,215618.47501230397,30064.723885812597,2427,2492
AR,5017080200,2393,1224,146888.44513751598,40258.7897589046,2768,2316
AR,5017080300,3118,1442,178067.438423172,65313.8097460031,2427,2492
AR,5017080400,2694,1210,141779.701495927,28975.7149275252,2427,2492
AR,5019953601,4650,1921,254870.38542713897,126945.781147414,3027,1921
AR,5019953602,4443,1436,188459.019896793,199296.068207686,3027,1921
AR,5019953700,4422,2238,306279.389251713,28058.6686805891,3027,1921
AR,5019953800,4008,1938,239633.922015533,81216.3021872514,3027,1921
AR,5019953900,5472,2852,400304.143691221,39524.8549457965,3027,1921
AR,5021950100,2111,1029,159341.90828617802,10459.0243797675,3911,1828
AR,5021950200,2304,1190,170989.52543611,6161.3296406709105,4087,1484
AR,5021950300,2204,1169,158687.68567122,30020.4097563249,3819,1794
AR,5021950400,3376,1596,198798.389083407,60434.6343314186,3819,1794
AR,5021950500,2154,1054,150886.434066632,30842.4157910709,3911,1828
AR,5021950600,3934,1993,277553.210771075,84974.6957035332,3911,1828
AR,5023480100,4298,2332,330502.56231856,33179.1122606879,3727,1635
AR,5023480201,1492,1298,198140.067645782,19685.0392075977,3796,1649
AR,5023480202,3769,2897,416765.64154844295,60643.94729601769,3727,1635
AR,5023480300,5293,2851,392996.216836136,55667.5947553233,3727,1635
AR,5023480400,4443,2530,349097.10511959303,125621.259244308,3727,1635
AR,5023480501,3045,1401,199994.97847623698,23541.630679741298,3727,1635
AR,5023480502,3630,2517,357330.34887015703,41221.8224216354,3727,1635
AR,5025970100,4895,2197,319549.484361224,36627.2096233697,2606,2287
AR,5025970200,3794,1867,261599.171324275,18939.1208824567,2606,2287
AR,5027950100,4259,2007,289031.577805624,34282.893578075695,2831,2029
AR,5027950200,4801,2384,338684.71947989,39364.782794199506,2831,2029
AR,5027950300,5088,2377,348757.27501432603,37308.3745166243,2831,2029
AR,5027950400,6495,2899,412968.875853835,129298.363210034,2831,2029
AR,5027950500,3909,1929,207092.58118402198,135719.820968796,2831,2029
AR,5029950100,5341,2362,312921.413409496,20414.7925403462,3712,1753
AR,5029950200,3431,1621,229708.714598891,16398.129819623202,3584,1769
AR,5029950300,5513,2436,319043.897719445,124634.445714765,3584,1769
AR,5029950400,2236,1130,141222.280333197,30625.8587314375,3584,1769
AR,5029950500,2694,1227,159087.718320443,33428.3713808526,3712,1753
AR,5029950600,2058,944,146689.993343762,33582.7769709827,3584,1769
AR,5031000101,4037,2005,216793.14973742698,192697.719324203,3846,1735
AR,5031000102,3601,1834,227649.80108586102,162526.342195698,3846,1735
AR,5031000200,3786,1725,228337.64485391302,37955.444490301095,3846,1735
AR,5031000300,6516,2855,441136.723610104,79839.2929038045,3846,1735
AR,5031000401,5395,2155,303749.833723479,58235.4332182942,3654,1827
AR,5031000402,8155,3798,428899.15426955,269880.63902412,3654,1827
AR,5031000501,6139,2428,409140.362481406,50324.648141728205,3846,1735
AR,5031000502,4560,1985,278841.23112829303,145526.57531860302,3654,1827
AR,5031000601,5746,2355,285184.092677384,34638.155284273504,3846,1735
AR,5031000602,6150,2147,225986.46051381397,111988.298257175,3846,1735
AR,5031000700,7581,2910,424555.180689334,59661.030835325495,3846,1735
AR,5031000801,6139,2295,436243.496920087,59583.829310245,3846,1735
AR,5031000802,7098,2817,429101.312756174,103189.076430415,3654,1827
AR,5031000900,5408,2279,340133.262838798,35307.8935365362,3654,1827
AR,5031001000,4305,1965,298707.809964553,41374.6472572497,3723,1805
AR,5031001100,6992,2905,433934.298786905,43582.9519950055,3846,1735
AR,5031001200,4835,2057,293660.18677682604,28783.497893018102,3800,1757
AR,5033020100,5956,2883,407984.809069266,85278.9507895767,3808,1500
AR,5033020201,6120,2743,387929.083119998,18733.247839648702,3808,1500
AR,5033020203,7605,3024,442964.65836413705,28011.938604759103,3244,2053
AR,5033020204,5100,2184,333729.655258322,56246.2868810335,3244,2053
AR,5033020301,4364,1878,302945.85902980604,35432.9409531248,3244,2053
AR,5033020302,4251,1791,260944.564012693,53217.7417521746,3244,2053
AR,5033020401,4988,2079,308277.190904411,65285.7533326451,3244,2053
AR,5033020402,4776,2080,308583.20907926396,37486.8412323095,3808,1500
AR,5033020501,4115,1396,204744.36881496,64005.9199127558,3244,2053
AR,5033020502,4847,2139,265488.648730647,159361.879886803,3244,2053
AR,5033020600,9826,3918,568923.541115081,99202.70224121811,3808,1500
AR,5035030101,2490,1022,126313.575556086,10406.2552356544,3317,2021
AR,5035030102,3275,1212,147730.138656809,50553.1885378078,3317,2021
AR,5035030201,5126,2394,325975.212227059,160284.593114198,3317,2021
AR,5035030202,3157,1274,217932.885705589,21880.7095713449,3374,1923
AR,5035030301,3285,1237,171666.047860405,43350.0451950652,3374,1923
AR,5035030302,2606,1127,111341.319341484,77238.19415380599,3317,2021
AR,5035030501,1006,465,64279.2414015181,3804.56527364133,3317,2021
AR,5035030502,1090,465,50605.214833858205,5129.362657486429,3317,2021
AR,5035030600,4875,2428,304891.239876481,59889.107415765,3374,1923
AR,5035030701,1190,549,78008.4525384474,5601.96034392787,3374,1923
AR,5035030702,1079,446,63601.3288996942,14064.869813946001,3374,1923
AR,5035030703,2285,826,104150.25036808901,36269.624673199105,3374,1923
AR,5035030803,1963,730,125849.055661695,28866.461116923598,3317,2021
AR,5035030804,2949,1274,172117.003123138,5953.412634363821,3374,1923
AR,5035030805,3474,1475,196984.540545641,42256.8551261723,3374,1923
