"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"CA",6001400100,2937,257494.153269554,20328.3929890682,2701,174
"CA",6001400200,1974,142294.565518893,34030.01145117,2701,174
"CA",6001400300,4865,308125.664579232,68441.1133249835,2701,174
"CA",6001400400,3703,250502.833107396,31509.3671490881,2701,174
"CA",6001400500,3517,186006.097752531,28742.5276765329,2701,174
"CA",6001400600,1571,93529.9478651495,10144.2686033964,2701,174
"CA",6001400700,4206,222335.553626945,37726.2520923256,2701,174
"CA",6001400800,3594,174033.128809949,48562.8344703175,2701,174
"CA",6001400900,2302,129393.869648698,17335.7999635823,2701,174
"CA",6001401000,5678,297589.337327387,57748.9019162619,2363,243
"CA",6001401100,4156,200229.83548936,80795.543482964,2363,243
"CA",6001401200,2416,162592.679417242,42484.3745940228,2363,243
"CA",6001401300,3528,144179.297350041,222221.84168095,2363,243
"CA",6001401400,4314,163060.629964488,75160.6040416397,2363,243
"CA",6001401500,2630,123020.067915501,60585.4172399683,2363,243
"CA",6001401600,2163,88727.9773331614,46052.4087176048,2363,243
"CA",6001401700,2667,149693.736483412,166593.357688696,1959,260
"CA",6001401800,1703,76894.2683260461,9282.40716634854,1959,260
"CA",6001402200,2385,100554.813694822,26954.1449564281,1959,260
"CA",6001402400,2351,106294.918822795,17484.0731773321,2363,243
"CA",6001402500,1784,66869.0074234209,15238.5139981627,2363,243
"CA",6001402600,1151,54316.5054711331,12197.2400073293,2363,243
"CA",6001402700,1569,69236.9190794333,29547.9045669372,2363,243
"CA",6001402800,3345,174929.175838084,163484.637445349,2363,243
"CA",6001402900,1434,73097.1334830665,260817.481244717,2363,243
"CA",6001403000,2788,130448.315113274,279147.066812776,2363,243
"CA",6001403100,2238,54921.3973122889,215363.549782181,2363,243
"CA",6001403300,4054,178332.77601327,104687.048163343,2363,243
"CA",6001403400,4146,236396.150476121,73510.0875107309,2363,243
"CA",6001403501,4374,226053.907928544,97626.4158728681,2363,243
"CA",6001403502,1991,111928.096180521,7582.18861458599,2363,243
"CA",6001403600,4482,227973.929367771,20628.2841833491,2363,243
"CA",6001403701,2587,142429.742804254,31435.3230007121,2363,243
