"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"CO",8001007801,3732,116571.575425983,61514.9119238398,6068,687
"CO",8001007802,3758,122790.692006151,17595.0922711128,6068,687
"CO",8001007900,5555,203260.514361358,37365.6021352269,6068,687
"CO",8001008000,5742,212451.234405481,19346.8720100754,6068,687
"CO",8001008100,854,33583.705612119,43638.230845996,6068,687
"CO",8001008200,5484,226223.833479686,90780.2056121805,6068,687
"CO",8001008308,5557,206267.331330009,170801.217036883,6068,687
"CO",8001008309,3254,112058.530745252,169975.774734222,6068,687
"CO",8001008353,6044,319527.19179368,47822.4902811249,6059,769
"CO",8001008401,4315,232381.433212875,31845.1186984868,6059,769
"CO",8001008402,4352,238109.381193963,16764.4464022918,6285,688
"CO",8001008505,6655,344149.751821546,52038.0587161389,5444,865
"CO",8001008506,5383,230244.952304013,66137.9540027436,5444,865
"CO",8001008507,6099,301864.263745259,25583.1745071487,5444,865
"CO",8001008508,5342,264158.171790987,22474.8245994738,5444,865
"CO",8001008523,7586,404980.712893419,93732.7571162012,6113,671
"CO",8001008524,7814,393049.638503331,17515.939069626,5444,865
"CO",8001008526,6742,398864.158974706,41217.5487703118,5444,865
"CO",8001008529,7446,373105.577501417,103326.666889892,5444,865
"CO",8001008533,7650,344148.267254192,39006.1773366506,5444,865
"CO",8001008534,4283,218782.944853777,13101.9300923455,5444,865
"CO",8001008535,3298,171166.694329772,111727.520074216,6113,671
"CO",8001008536,2443,141189.39504,3340.79332211612,6113,671
"CO",8001008537,6047,305064.783378581,21211.0653518232,6113,671
"CO",8001008538,5305,290113.894553812,1657.57602853164,6113,671
"CO",8001008539,8437,406214.075580959,4527.72258531091,6113,671
"CO",8001008540,6408,331771.808141973,5674.98221419352,6113,671
"CO",8001008541,4277,243289.836,20831.9273051459,6113,671
"CO",8001008542,7036,365403.442579215,13724.0087673598,6113,671
"CO",8001008543,6935,327533.567658367,41864.3388178388,6113,671
"CO",8001008544,4181,213171.309870618,2505.31628989933,5444,865
"CO",8001008545,6769,378270.048206571,27428.414819551,5444,865
"CO",8001008546,2912,163003.960116228,9277.76226704481,5444,865
"CO",8001008547,3525,173980.082316817,26947.269364089,5444,865
"CO",8001008548,1499,84211.2179513176,895.678201207757,6113,671
"CO",8001008549,3906,194978.851610652,8247.37448782449,6113,671
"CO",8001008550,7987,416491.937399492,19426.5835653358,5444,865
"CO",8001008551,571,25969.0016628218,3572.49354382443,6113,671
"CO",8001008603,2055,92465.2809739972,43527.489474705,6113,671
"CO",8001008604,4923,170601.937237353,43371.5982664881,6113,671
"CO",8001008605,3679,174274.216831824,41595.3853605984,6113,671
"CO",8001008606,5931,265001.095776671,66425.2093161286,6113,671
"CO",8001008705,4921,206287.385946003,51304.7751189671,6068,687
"CO",8001008706,5436,204490.735761143,44111.9428895378,6068,687
"CO",8001008709,7656,267883.591704158,252074.655001578,6068,687
"CO",8001008801,4752,191852.679323138,47112.7108687898,6068,687
"CO",8001008802,4075,136005.499570805,156368.266651228,6068,687
"CO",8001008901,2316,97385.2408027031,153961.705823689,6068,687
"CO",8001009001,4645,193684.255241812,36270.6479267913,5444,865
"CO",8001009002,9203,384768.63444354,38106.41137567,5444,865
"CO",8001009101,4112,182806.237209607,13260.5153930323,5444,865
"CO",8001009103,3462,126417.812831998,5164.01543752266,5444,865
"CO",8001009104,5200,232335.080923541,25351.2883260703,5444,865
"CO",8001009202,4242,201990.522532108,17706.6690627717,5444,865
"CO",8001009203,4222,143100.128799738,100419.825220954,5444,865
"CO",8001009204,6500,321982.886029946,25331.1286209447,5444,865
"CO",8001009206,2021,103406.565864029,7981.20712307641,5444,865
"CO",8001009207,4429,175853.653389899,6059.22904084671,5444,865
"CO",8001009304,5400,265338.431191909,59824.8204026618,5444,865
"CO",8001009306,3692,170895.787879689,25973.1811559854,5444,865
"CO",8001009307,3774,141139.039837382,28274.4825270509,5444,865
"CO",8001009308,4087,161500.232673934,27238.1494958243,5444,865
"CO",8001009309,3613,176932.541524454,14362.5312423639,5444,865
"CO",8001009310,5827,223607.493221384,11100.1482067818,5444,865
"CO",8001009316,5751,212761.807003225,27138.4648023941,5444,865
"CO",8001009318,5664,212619.568892657,18019.9382353547,5444,865
"CO",8001009319,2605,94335.1386308164,11566.1498414863,5444,865
"CO",8001009320,2672,99878.4775513422,23567.8290072155,5444,865
"CO",8001009321,3782,157152.456060395,14152.9419571821,5444,865
"CO",8001009322,4246,176075.324178454,12029.1784070402,5444,865
"CO",8001009323,3728,164862.022333928,85544.282036255,5444,865
"CO",8001009325,5063,277671.851448167,30890.1674612447,5444,865
"CO",8001009326,2554,172853.356883356,9431.60942722084,5444,865
"CO",8001009327,4124,210716.54823037,22471.6662816614,5444,865
"CO",8001009401,4903,245228.529022529,47032.9073488101,5444,865
"CO",8001009406,4259,226498.626158693,23529.6460240719,5444,865
"CO",8001009407,5227,227809.782347627,54709.6721444111,5444,865
"CO",8001009408,4260,252385.87340087,32037.7992439121,5444,865
"CO",8001009409,5248,318620.63866919,39767.5178748697,5444,865
"CO",8001009410,3316,201542.915965955,24586.417496486,5444,865
"CO",8001009411,2959,176874.10345635,23277.5071196281,5444,865
"CO",8001009501,3156,128793.900560329,15599.1634340752,5444,865
"CO",8001009502,3633,163735.565665246,68299.1562498272,5444,865
"CO",8001009553,2959,126867.833194716,206560.525484162,5461,951
"CO",8001009603,5921,271127.029254122,58054.181184928,5444,865
"CO",8001009604,4569,224191.667370607,70929.3340043773,5444,865
"CO",8001009606,2794,115576.86275229,52168.5878403705,5444,865
"CO",8001009607,4931,204239.899520829,40875.015236748,5444,865
"CO",8001009608,2849,159659.546362643,35018.7787623024,6045,512
"CO",8001009751,3626,142321.509966475,29483.523305558,5461,951
"CO",8001009752,3061,135762.182127738,28071.4895658118,5461,951
"CO",8001015000,2495,116692.532175862,370734.13193175,5444,865
"CO",8001060000,4747,265052.381271313,15732.0150767069,5444,865
"CO",8001060100,6170,312146.495987566,19178.9961898535,5444,865
"CO",8001060200,3681,200421.775473067,83784.0506773442,5444,865
"CO",8001061200,1294,63636.8189209979,9802.66416433569,5444,865
"CO",8001988700,0,0,35782.8123041677,6068,687
"CO",8003960000,1775,110060.650859832,22378.9487885419,8586,23
"CO",8003960100,2532,136032.256453653,15654.7195179564,8926,8
"CO",8003960200,6342,318589.70122851,347401.994542337,8586,23
"CO",8003960300,4796,198053.301519547,58156.6535511312,8594,52
"CO",8005004951,1883,92637.1526087823,6034.79561193302,5461,951
"CO",8005004952,2301,113784.67112739,212113.248406048,5461,951
"CO",8005005551,3224,130267.526053846,201669.36823816,5926,543
"CO",8005005552,2414,109967.934320827,37376.3790848214,5926,543
"CO",8005005553,3594,160662.896644454,53412.5586253014,5926,543
"CO",8005005611,4747,283501.057820286,73031.6366261895,5926,543
"CO",8005005612,3616,227165.77101702,88893.0686002943,5926,543
"CO",8005005614,3146,196874.543654719,38234.4318019512,5926,543
"CO",8005005619,4574,265106.823379925,39860.6993164806,5941,660
"CO",8005005620,2539,149475.604524941,17475.3404820233,5926,543
"CO",8005005621,2899,169216.663572602,23407.9428038401,5941,660
"CO",8005005622,2326,162404.728438306,23357.403302029,5926,543
"CO",8005005623,3547,212466.186414906,39937.0659730373,5926,543
"CO",8005005624,2106,128121.655706937,55210.8825596915,5926,543
"CO",8005005625,2899,168654.968691659,20484.7488248978,5926,543
"CO",8005005626,3210,213747.224442554,44656.8175375928,5926,543
"CO",8005005627,4271,271610.211959909,36854.6359392001,5926,543
"CO",8005005628,5609,313186.373787238,42775.1612077,6194,561
"CO",8005005629,2215,185420.530116237,44545.7073077879,6194,561
"CO",8005005630,5322,312517.094927502,42239.7599030725,5926,543
"CO",8005005631,3028,187009.17213554,41171.0968173836,5926,543
