state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
CT,9001010101,4476,1778,293186.575845237,119701.75822346301,5814,680
CT,9001010102,4330,1653,277037.795218063,51996.623508790195,5814,680
CT,9001010201,3421,1156,190834.36950304,49371.5553173887,5814,680
CT,9001010202,5359,2004,317749.122023582,48093.3028703374,5443,799
CT,9001010300,4010,1715,253151.772393972,226414.55557700302,5814,680
CT,9001010400,5290,2343,310572.161948731,50355.3988138526,5814,680
CT,9001010500,5494,2724,309832.291906925,205430.827290917,5814,680
CT,9001010600,1845,1252,123838.91629762,333919.453310416,5814,680
CT,9001010700,3579,1873,202225.111356452,38100.093940150095,5814,680
CT,9001010800,3388,1434,215499.83832261,78389.3544190163,5443,799
CT,9001010900,4870,1983,271343.571121321,52243.652351196,5443,799
CT,9001011000,5263,1911,308356.514870047,108266.414030249,5443,799
CT,9001011100,4894,1610,258651.811668555,52435.2185571725,5443,799
CT,9001011200,1733,802,119639.138516135,129227.66589739,5814,680
CT,9001011300,3219,1393,170083.730010234,67000.3729778764,5814,680
CT,9001020100,3523,2511,205180.642119753,556613.232857192,5443,799
CT,9001020200,3687,1372,228145.710541937,42776.5541447851,5443,799
CT,9001020300,7263,2587,431865.362838179,103017.394420025,5443,799
CT,9001020400,3586,1330,211157.45066789302,68127.0065023597,5443,799
CT,9001020500,4896,1830,285521.226264483,94014.9035985135,5443,799
CT,9001020600,4952,1802,272726.720662113,81517.865746807,5443,799
CT,9001020700,4352,1691,248707.09673634698,103557.905067621,5443,799
CT,9001020800,2939,999,159811.4432093,30779.056257816002,5443,799
CT,9001020900,4906,2180,249606.129203672,91978.18869368051,5443,799
CT,9001021000,3499,1323,177502.21764610603,70510.1553030203,5443,799
CT,9001021100,5976,2570,301640.655026232,101205.69069758199,5443,799
CT,9001021200,4177,1794,217039.241489165,104212.68426283401,5443,799
CT,9001021300,4422,1734,200954.104976767,90018.7728844167,5443,799
CT,9001021400,6690,2464,245156.72376402302,208748.951964693,5443,799
CT,9001021500,6303,2112,214824.25225969398,65824.1258269947,5443,799
CT,9001021600,7151,3869,326169.102101575,225251.315736158,5443,799
CT,9001021700,7354,4069,350136.041729716,254017.995455948,5443,799
CT,9001021801,4334,1897,205386.97345418602,39903.2487926718,5443,799
CT,9001021802,5408,2077,223275.266969812,94428.13638732368,5443,799
CT,9001021900,5713,2324,279634.338860475,67764.2192820259,5443,799
CT,9001022000,2959,1191,130834.70190478301,10042.4469960465,5443,799
CT,9001022100,7213,2704,265471.828162379,125930.166383189,5443,799
CT,9001022200,3186,1006,99515.59932690651,173554.952491981,5443,799
CT,9001022300,5763,2212,232835.36310645897,260731.453825856,5443,799
CT,9001022400,2391,925,139615.617847122,32031.2961416667,5443,799
CT,9001030100,3502,1120,186965.142387832,35957.3783575124,5443,799
CT,9001030200,3442,1125,180172.06334134602,92675.6134890733,5443,799
CT,9001030300,4156,1477,245034.91575380802,40763.8098510043,5443,799
CT,9001030400,3958,1504,209951.76275173802,118258.23168910199,5443,799
CT,9001030500,5674,1848,301583.327861093,72230.81267501481,5443,799
CT,9001035100,7406,3374,461221.978535153,204391.51519643603,5443,799
CT,9001035200,3316,1134,190055.464141937,25431.836002187596,5443,799
CT,9001035300,3937,1325,221550.706800565,64509.176482189,5443,799
CT,9001035400,5079,1718,287080.805074609,64544.200804708,5443,799
CT,9001042500,3719,1488,216666.428987514,44559.6421301891,5443,799
CT,9001042600,3911,1666,215077.87503471898,57002.2384613596,5443,799
CT,9001042700,4578,2225,235840.587415069,254674.547633215,5443,799
CT,9001042800,4606,1790,253389.23785689802,105544.63517983,5443,799
CT,9001042900,1651,679,111097.638107763,18194.6890551943,5443,799
CT,9001043000,3090,1245,167891.864562025,38905.6563765058,5443,799
CT,9001043100,4341,1766,225847.749183805,158868.564281746,5443,799
CT,9001043200,3074,1214,140982.313624073,42715.1455549316,5443,799
CT,9001043300,3196,1154,156066.985090489,15391.3396522527,5443,799
CT,9001043400,4471,1923,198351.705188441,89748.9808787631,5443,799
CT,9001043500,2604,1019,136466.301577509,57687.1208103018,5443,799
CT,9001043600,3080,1285,168334.638660424,221207.807973177,5443,799
CT,9001043700,2039,1023,96752.1986798866,178654.68361987898,5443,799
CT,9001043800,7650,3203,344799.322489576,48659.453318834196,5443,799
CT,9001043900,5456,2094,281683.235696866,55194.9037514943,5443,799
CT,9001044000,5974,2451,256372.72026679898,30241.797335536,5443,799
CT,9001044100,3509,1710,149274.932555706,189806.206009332,5443,799
CT,9001044200,3994,1807,198872.05953209198,142603.008101697,5443,799
CT,9001044300,3898,1643,223541.989144082,43132.4665067138,5443,799
CT,9001044400,3572,1307,144345.125363365,37937.9782691304,5443,799
CT,9001044500,3641,1199,115865.04678856599,50318.1447347609,5443,799
CT,9001044600,3549,1524,250311.64072560103,64418.6899868269,5443,799
CT,9001045101,4170,1388,232624.562471545,37590.241488063395,5443,799
CT,9001045102,6034,2083,328013.699450618,225275.38100983397,6303,546
CT,9001045200,2367,1055,137721.048134024,114435.643377133,5443,799
CT,9001045300,2461,813,133779.267274892,27269.550307138703,5443,799
CT,9001045400,3030,1136,184908.543264187,78145.1137817179,5443,799
CT,9001050100,3828,1482,243283.704401218,92393.3744929847,5443,799
CT,9001050200,4008,1631,255242.08352895398,156882.578467816,5443,799
CT,9001050300,8122,2922,470301.957146669,156539.484898933,5650,745
CT,9001050400,2341,1091,156567.540336809,174132.904828926,5443,799
CT,9001050500,4744,1864,293018.423163736,123556.21126272199,5443,799
CT,9001050600,3348,1409,231831.631230055,120178.16391168199,5650,745
CT,9001055100,5807,2050,340618.595494659,80988.8743301596,5832,813
CT,9001055200,4372,1624,268137.494453642,41560.9176675726,5650,745
CT,9001060100,4152,1077,162365.987620717,181538.208829437,5650,745
CT,9001060200,4164,1600,225035.027971779,90423.6416125357,5650,745
CT,9001060300,4088,1407,232513.08601795603,37661.5922769745,5650,745
CT,9001060400,4443,1621,270550.652813793,44283.9064574551,5650,745
CT,9001060500,2841,880,147485.435875196,62450.1666287073,5650,745
CT,9001060600,2336,1143,162079.108057394,71443.3670133673,5650,745
CT,9001060700,7675,1793,276959.934911951,169071.363140933,5650,745
CT,9001060800,2139,796,122882.85356004699,15064.599520289099,5650,745
CT,9001060900,2447,920,137894.12693325902,12774.1679005937,5650,745
CT,9001061000,3816,1670,216769.269141059,98718.1192682956,5650,745
CT,9001061100,3771,1330,214622.469697789,28118.312671959,5650,745
CT,9001061200,2186,881,114987.112898914,12757.3526064309,5650,745
CT,9001061300,2954,1201,156143.626270884,63982.510553123,5650,745
CT,9001061400,2736,1210,144217.38580991598,129596.39493975,5650,745
CT,9001061500,4692,1852,265563.895535818,165674.083747634,5650,745
CT,9001061600,4964,2267,345779.551910997,143198.516972716,5650,745
CT,9001070100,5021,2720,302896.79524912103,73656.1312930686,5650,745
CT,9001070200,4052,1824,181146.71526372898,25133.8951539414,5650,745
CT,9001070300,1297,393,32441.2772033029,65261.9707833587,5650,745
CT,9001070400,1693,620,60015.5491899261,39325.7642439013,5650,745
CT,9001070500,2801,1105,107865.54019788199,32898.824370581,5650,745
CT,9001070600,2445,1336,115982.848252059,297639.51072433,5650,745
