"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"DC",11001000100,4890,407110.400810034,362382.993332486,4398,1409
"DC",11001000201,3916,0,211163.499560672,4398,1409
"DC",11001000202,5425,343666.358248154,284881.222455151,4398,1409
"DC",11001000300,6233,463546.213468506,43620.1140954425,4398,1409
"DC",11001000400,1455,97310.4499303496,85334.9719460761,4398,1409
"DC",11001000501,3376,200511.417617292,95215.5824177962,4398,1409
"DC",11001000502,3189,212467.952550935,40380.399055092,4398,1409
"DC",11001000600,4539,303363.734169589,52866.8467815014,4398,1409
"DC",11001000701,4620,312721.014502733,30274.4990383905,4398,1409
"DC",11001000702,3364,204875.352341895,11623.7496213059,4398,1409
"DC",11001000801,6709,448511.533414984,142349.198366737,4398,1409
"DC",11001000802,2869,211983.555106313,54395.3809259754,4398,1409
"DC",11001000901,7175,324723.057374573,426890.412558319,4398,1409
"DC",11001000902,2092,167517.005772441,41001.7343041867,4398,1409
"DC",11001001001,7436,502376.90075397,195325.484231657,4398,1409
"DC",11001001002,3442,213408.689570103,67970.2786028612,4398,1409
"DC",11001001100,4779,364052.080584654,319859.8665802,4398,1409
"DC",11001001200,5008,354263.812865848,286331.452387924,4398,1409
"DC",11001001301,3955,254348.827908295,45794.1387337071,4398,1409
"DC",11001001302,6857,479487.276181517,108762.890742996,4398,1409
"DC",11001001401,3078,199008.342886673,27881.3175613308,4398,1409
"DC",11001001402,2998,237434.346218874,36571.9314914488,4398,1409
"DC",11001001500,5911,418771.963170786,113485.895208091,4398,1409
"DC",11001001600,3957,321664.509169927,80657.5829330793,4325,1462
"DC",11001001702,2644,199044.76497259,56174.9382316795,4325,1462
"DC",11001001803,3514,160845.541060275,14198.4646149366,4398,1409
"DC",11001001804,4480,193687.325734664,30650.3852612746,4178,1533
"DC",11001001901,4016,243876.42607234,71003.9349327494,4178,1533
"DC",11001001902,1969,142302.750008228,27908.8158197277,4178,1533
"DC",11001002001,2340,136060.961811468,17485.8385394788,4178,1533
"DC",11001002002,3813,194298.351391268,53467.6504754787,4178,1533
"DC",11001002101,5309,264175.734465952,46772.3133396249,4178,1533
"DC",11001002102,4648,275525.880320041,32589.2717720358,4178,1533
"DC",11001002201,3442,196612.372868197,17420.4349990603,4178,1533
"DC",11001002202,3087,163074.932008451,17745.3169057855,4178,1533
"DC",11001002301,2974,181249.368650576,10639.3491246656,4178,1533
"DC",11001002302,2036,159122.560526062,184315.54058924,4178,1533
"DC",11001002400,3618,200922.333996077,37626.845821874,4178,1533
"DC",11001002501,2554,138882.240890756,43180.0330805869,4178,1533
"DC",11001002502,5973,263973.57810402,48459.2475584207,4178,1533
"DC",11001002600,2166,177825.703760836,35202.4485591943,4398,1409
"DC",11001002701,5233,300241.078653261,35209.6942289352,4398,1409
"DC",11001002702,5226,331538.239628982,38103.4385638608,4398,1409
"DC",11001002801,3773,170678.116284581,22576.0889725318,4178,1533
"DC",11001002802,4277,198139.976742015,55337.1390721844,4178,1533
"DC",11001002900,3962,198325.323878211,26641.8048671998,4178,1533
"DC",11001003000,3398,184539.255063513,18427.0391299513,4178,1533
"DC",11001003100,2885,163770.227681702,34599.5075871174,4178,1533
"DC",11001003200,4913,252675.090479002,33610.8335720049,4178,1533
"DC",11001003301,3198,236615.122352396,18779.3273526508,4178,1533
"DC",11001003302,2134,141965.504297378,21875.0427432464,4178,1533
"DC",11001003400,4347,150774.575750891,242608.852957943,4178,1533
"DC",11001003500,3740,130396.659096225,89443.2400845169,4178,1533
"DC",11001003600,4208,225227.812838028,35325.823754508,4178,1533
"DC",11001003700,5763,226337.54458398,49450.3384061706,4178,1533
"DC",11001003800,4614,275832.467015047,119702.873499374,4178,1533
"DC",11001003900,4474,280671.69565626,36778.641677976,4398,1409
"DC",11001004001,3745,264206.489919796,34267.5652045003,4398,1409
"DC",11001004002,2797,190335.845661586,92695.3995223786,4030,1550
"DC",11001004100,2708,200441.094624932,84210.7539294327,4398,1409
"DC",11001004201,3342,228053.456403659,44514.0274083091,4178,1533
"DC",11001004202,2771,176893.612787241,97527.2904213645,4030,1550
"DC",11001004300,3255,208057.934792305,73470.3244373282,4178,1533
"DC",11001004400,4572,363014.16268981,98797.2740519212,4178,1533
"DC",11001004600,3028,204095.895361561,35208.9513901628,4178,1533
"DC",11001004701,3986,191741.46507909,57199.1949890457,4178,1533
"DC",11001004702,1802,88558.1329383992,119481.390888714,4178,1533
"DC",11001004801,2143,164762.6091998,26814.5111689091,4178,1533
"DC",11001004802,2922,158264.882641111,31491.6225253774,4178,1533
"DC",11001004901,2087,111228.630140901,37943.7385595453,4178,1533
"DC",11001004902,2690,145983.378883445,130448.593625439,4178,1533
"DC",11001005001,1955,105605.950819263,46194.3651275753,4178,1533
"DC",11001005002,6021,345481.037314943,64801.6355289601,4178,1533
"DC",11001005201,6077,423027.304461893,69132.2194706136,4030,1550
"DC",11001005301,5051,350408.438152251,162544.458005144,4030,1550
"DC",11001005500,6671,447970.747911887,496258.597264769,4030,1550
"DC",11001005600,6756,362760.163632389,364327.360648802,4030,1550
"DC",11001005800,2830,204856.597608514,1239012.43340213,4030,1550
"DC",11001005900,2998,155381.44862332,408764.369001033,4178,1533
"DC",11001006202,33,0,724235.587205206,4030,1550
"DC",11001006400,2139,109785.75412013,25626.0030492075,4030,1550
"DC",11001006500,2531,225750.67241063,87909.7813849372,4178,1533
"DC",11001006600,1909,140090.256220372,67053.9776129637,4178,1533
"DC",11001006700,3775,326497.522663726,38534.7876526448,4178,1533
"DC",11001006801,1949,123263.475908374,13012.743036449,4178,1533
"DC",11001006802,2084,155308.614376318,10500.2732301212,4178,1533
"DC",11001006804,3670,1610.52071681019,71963.5288591319,4178,1533
"DC",11001006900,2179,198598.090159825,39407.9829549216,4178,1533
"DC",11001007000,2812,191627.943001825,119003.777797285,4178,1533
"DC",11001007100,2911,155176.50528353,41303.8548007445,4178,1533
"DC",11001007200,2794,232601.899670522,122284.553567694,4030,1550
"DC",11001007301,3012,160592.570462733,92984.4226570537,4030,1550
"DC",11001007304,3546,144725.285755972,53820.9602469997,4270,1382
"DC",11001007401,2414,100152.635506561,37955.8146457415,4030,1550
"DC",11001007403,2859,104135.387667286,8695.44579121557,4270,1382
"DC",11001007404,3310,152488.640274445,6503.49142179114,4030,1550
"DC",11001007406,3063,99738.0084131326,5101.21308281795,4030,1550
"DC",11001007407,2587,137007.458533903,16442.2586437782,4030,1550
"DC",11001007408,3038,114149.0380385,10609.8986417345,4178,1533
"DC",11001007409,3499,148620.805938387,6348.62227150426,4270,1382
"DC",11001007502,4541,187553.211712543,54499.897354155,4178,1533
"DC",11001007503,2425,105202.659112816,49485.1760939144,4030,1550
"DC",11001007504,2451,109141.004449116,12955.7934366968,4178,1533
"DC",11001007601,4355,248833.73092664,40686.6073188549,4178,1533
"DC",11001007603,4044,251252.178660986,22165.271736155,4178,1533
"DC",11001007604,3644,212775.649838611,44711.2610722668,4178,1533
"DC",11001007605,3447,179936.833412633,19761.0343681232,4178,1533
"DC",11001007703,5187,241672.580146312,25226.1485276279,4178,1533
"DC",11001007707,3867,213734.781742382,16256.452342669,4178,1533
"DC",11001007708,2486,120232.790836028,9681.42573522593,4178,1533
"DC",11001007709,2007,112282.611875308,16264.1636108593,4178,1533
"DC",11001007803,3293,175196.739528091,31341.1192456878,4178,1533
"DC",11001007804,3446,150422.748908842,38614.7766405374,4178,1533
"DC",11001007806,2347,130376.315381764,26478.8530288719,4178,1533
"DC",11001007807,2139,96587.0163770648,18176.1080839434,4178,1533
"DC",11001007808,3646,191349.045519982,25710.5453432968,4178,1533
"DC",11001007809,2922,154396.299463816,15319.1538378117,4178,1533
"DC",11001007901,3822,203529.004620764,22610.370262111,4178,1533
"DC",11001007903,1774,115041.37001249,11692.6838795145,4178,1533
"DC",11001008001,2784,224426.612140872,16223.4723357517,4178,1533
"DC",11001008002,3031,251181.030545631,62853.7363372824,4178,1533
"DC",11001008100,2910,230407.899424725,33072.2739458489,4178,1533
"DC",11001008200,2918,204379.634083063,82770.1059874053,4178,1533
"DC",11001008301,2279,191162.123090112,103973.459970703,4178,1533
"DC",11001008302,2206,171179.793904605,30655.773312434,4178,1533
"DC",11001008402,2149,148225.127922209,28940.4114267259,4178,1533
"DC",11001008410,1489,130884.775849951,25500.4912028898,4178,1533
"DC",11001008701,2407,141721.9115761,46457.4647651943,4178,1533
"DC",11001008702,1599,90955.9771846624,52284.9024761795,4178,1533
"DC",11001008802,4119,233301.090344602,33988.3913110298,4178,1533
"DC",11001008803,2037,58529.2861200324,184919.228199823,4178,1533
"DC",11001008804,2412,135012.454977698,24646.0620536354,4178,1533
"DC",11001008903,2633,137519.913943364,9527.76418045933,4178,1533
"DC",11001008904,3309,170029.563091574,21459.0231140744,4178,1533
"DC",11001009000,2732,174244.292349222,31190.0597192655,4178,1533
"DC",11001009102,4127,202553.152001841,882059.44632176,4178,1533
"DC",11001009201,1976,66304.8073980684,87058.137561725,4178,1533
"DC",11001009203,2582,161339.139227141,16422.749090849,4178,1533
"DC",11001009204,2557,125408.326433529,18957.4228426527,4178,1533
"DC",11001009301,3143,196349.830805824,68791.4502038696,4178,1533
"DC",11001009302,1189,81529.5725211224,30889.0524398877,4178,1533
"DC",11001009400,4163,280324.512168538,57281.5980438522,4178,1533
"DC",11001009501,5797,188613.421442854,143636.278193088,4178,1533
"DC",11001009503,2910,217309.510823206,39443.7508566502,4178,1533
"DC",11001009504,3025,177467.845038413,135259.76474682,4178,1533
"DC",11001009505,2630,210224.718591786,50461.679873032,4325,1462
"DC",11001009507,1489,103098.777408742,17874.9165796953,4178,1533
"DC",11001009508,3290,212192.955917239,15404.3459301368,4178,1533
"DC",11001009509,2940,217898.500694411,11247.5851426686,4178,1533
"DC",11001009601,2445,117011.007471298,18449.4293116482,4178,1533
"DC",11001009602,3280,138673.392008429,7203.05140032,4178,1533
"DC",11001009603,3373,191437.676481507,35076.5647179561,4178,1533
"DC",11001009604,1962,135477.158716057,19315.5639605884,4178,1533
"DC",11001009700,3177,142615.827439155,17074.7423254922,4270,1382
"DC",11001009801,1575,84847.6049626184,7715.59758441268,4270,1382
"DC",11001009802,1693,85789.7312176138,5169.21804027873,4270,1382
"DC",11001009803,2758,130878.27359591,10347.7264765315,4030,1550
"DC",11001009804,2473,111011.23940469,13376.1797224258,4030,1550
"DC",11001009807,3072,177329.79253217,44431.7155675653,4030,1550
"DC",11001009810,2507,103917.994052938,5271.59715877169,4270,1382
"DC",11001009811,4365,181885.662366786,17948.8674478449,4270,1382
"DC",11001009901,2249,180613.173013964,28766.4041730895,4178,1533
"DC",11001009902,2905,185934.845444559,12304.3572997781,4178,1533
"DC",11001009903,1851,107056.815610534,6098.80590125412,4178,1533
"DC",11001009904,2243,103755.975230551,8735.67286513546,4178,1533
"DC",11001009905,2795,143419.80957622,10270.5240744463,4178,1533
"DC",11001009906,1296,76617.6928544239,9244.87437256266,4178,1533
"DC",11001009907,2836,128523.366668159,79625.1513455079,4178,1533
"DC",11001010100,2621,179150.225057285,1074001.041881,4030,1550
"DC",11001010200,2324,156378.484436006,416628.516634462,4030,1550
"DC",11001010300,3187,169129.2405299,93767.0367818352,4325,1462
"DC",11001010400,4365,191246.293256429,78669.0881889412,4030,1550
"DC",11001010500,3410,219908.091273725,84306.4433118342,4030,1550
"DC",11001010600,3933,282648.401653085,263724.510546208,4178,1533
"DC",11001010700,1838,125981.785035565,2723249.68054874,4030,1550
"DC",11001010800,6408,93438.902443731,615352.850039297,4030,1550
"DC",11001010900,3211,120701.115624589,47252.436526267,4270,1382
"DC",11001011000,3715,265497.004258194,112049.333923078,4030,1550
"DC",11001011100,4859,279359.630350693,250227.742644417,4178,1533
