"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"FL",12001000200,7431,315769.263402042,161223.376609118,1218,2639
"FL",12001000301,3308,198044.94200553,153190.611103584,1218,2639
"FL",12001000302,2770,187643.702195303,123238.391824659,1218,2639
"FL",12001000400,5665,299399.374148183,146389.178041084,1218,2639
"FL",12001000500,4976,317991.877482225,273887.548789278,1218,2639
"FL",12001000600,4350,206527.916056322,40809.2396884025,1218,2639
"FL",12001000700,6075,332295.962327727,95810.0694575682,1218,2639
"FL",12001000806,2180,107514.085075761,50152.4979130229,1218,2639
"FL",12001000808,3630,177608.594858074,8174.0741211868,1218,2639
"FL",12001000809,1364,85027.836023162,43946.0179709109,1218,2639
"FL",12001000901,2877,43593.2644043162,82516.4815178295,1218,2639
"FL",12001000902,5926,3088.37580610055,495300.202174079,1218,2639
"FL",12001001000,6207,373159.18394254,105261.840028054,1218,2639
"FL",12001001100,6438,502930.791326186,91906.0054284989,1218,2639
"FL",12001001201,2906,179080.272454481,16208.2360801856,1218,2639
"FL",12001001202,6914,424377.373349259,46242.7669815327,1218,2639
"FL",12001001203,3657,216185.0015193,57127.6587953958,1218,2639
"FL",12001001400,4585,139510.452493995,53259.9181706345,1218,2639
"FL",12001001514,1281,88673.3496981072,2506609.52634697,1218,2639
"FL",12001001515,6343,292380.169632814,5121.46586099618,1218,2639
"FL",12001001516,2149,115291.231130419,3130.64670416504,1218,2639
"FL",12001001517,4734,222334.81081047,22497.6788095588,1218,2639
"FL",12001001519,2559,88850.2380849749,101241.55086039,1218,2639
"FL",12001001520,2482,110676.412144849,20000.1662709681,1290,2613
"FL",12001001521,4120,226876.560141095,53813.6224360237,1290,2613
"FL",12001001603,1269,86068.2533925425,50416.0645528563,1218,2639
"FL",12001001604,7644,404029.371344338,72619.3330498692,1290,2613
"FL",12001001701,5895,367255.747085488,96398.2390339493,1290,2613
"FL",12001001702,4736,340227.841113847,108812.77924998,1290,2613
"FL",12001001801,7489,462024.283665507,129470.513487978,1345,2635
"FL",12001001802,2937,165819.848551433,50059.9668075565,1290,2613
"FL",12001001803,6358,413682.564731074,51703.4216353241,1218,2639
"FL",12001001805,1482,103300.752673849,27975.7995953341,1290,2613
"FL",12001001806,8675,545675.13293328,81067.5629950788,1345,2635
"FL",12001001811,6170,378634.149012716,77301.5540419505,1290,2613
"FL",12001001813,2662,206525.30689767,63871.7676331383,1290,2613
"FL",12001001814,2625,212652.651141228,14946.7057483352,1290,2613
"FL",12001001902,3316,138306.242369775,123309.183771126,1218,2639
"FL",12001001907,2621,183328.165604819,24023.2394454508,1218,2639
"FL",12001001908,4698,283712.319394562,82874.3426659509,1218,2639
"FL",12001002000,5657,358708.296661972,40057.3754832307,1218,2639
"FL",12001002101,1838,138046.857410043,55264.4885335116,1218,2639
"FL",12001002102,921,67276.5738644412,12607.128303422,1218,2639
"FL",12001002201,4622,265953.158080543,99360.0805771962,1290,2613
"FL",12001002202,5452,337777.434126155,128616.361697033,1290,2613
"FL",12001002204,9990,650850.99485262,104430.729590149,1290,2613
"FL",12001002205,9656,715569.335430648,47131.8489795716,1290,2613
"FL",12001002207,3767,254321.142061937,47934.3456843556,1290,2613
"FL",12001002208,2599,197407.06479881,17705.2755181007,1290,2613
"FL",12001002209,7619,493611.674852095,58717.6947161176,1290,2613
"FL",12001002210,4323,248943.904261802,65847.7238151019,1290,2613
"FL",12001002217,5553,257261.708416044,31444.1481828553,1290,2613
"FL",12001002218,2148,114309.203320749,9006.67113129268,1290,2613
"FL",12001002219,5521,290877.374078617,96439.3942203871,1290,2613
"FL",12001002220,2136,116657.60316443,84253.3023037939,1290,2613
"FL",12001110800,2030,139754.785639496,21857.0195302606,1218,2639
"FL",12003040101,6684,341143.127467839,60581.9804081323,1562,2310
"FL",12003040102,7531,363336.723561796,129151.390089787,1562,2310
"FL",12003040201,7519,293924.782613259,47303.9986824457,1562,2310
"FL",12003040202,5381,269146.620961527,26923.7653585551,1562,2310
"FL",12005000201,4238,227120.433987901,34185.0673049803,1377,2783
"FL",12005000202,5329,327923.941772173,59921.3459467974,1285,2806
"FL",12005000300,8552,420315.648782866,84803.3823351929,1377,2783
"FL",12005000400,7960,454905.855085773,48763.2271860216,1377,2783
"FL",12005000500,6182,343393.966256165,56211.9141181921,1377,2783
"FL",12005000600,1075,227533.854268052,31415.4419842678,1676,2225
"FL",12005000700,2995,122314.095148559,69593.2028073289,1285,2806
"FL",12005000803,5146,300054.520276959,74080.0475059829,1285,2806
"FL",12005000804,2242,138451.540830971,10923.1677176983,1285,2806
"FL",12005000805,4588,286862.4809462,34234.5841375593,1285,2806
"FL",12005000806,3578,206850.287770287,17426.1019627973,1285,2806
"FL",12005000900,4265,295463.443849634,75496.9119854869,1285,2806
"FL",12005001000,2121,137255.513688269,29527.2799229737,1285,2806
"FL",12005001100,4636,270557.257798157,44569.0252545454,1285,2806
"FL",12005001200,3269,168193.896458812,58110.3869063228,1285,2806
"FL",12005001301,5095,316471.602891812,58668.8268967438,1377,2783
"FL",12005001302,7255,419948.135577456,108811.850012407,1285,2806
"FL",12005001402,6698,459187.20193705,62342.9558423551,1377,2783
"FL",12005001403,1923,124405.906179896,35228.4609226534,1377,2783
"FL",12005001404,6272,439155.088838517,56639.6407102727,1377,2783
"FL",12005001501,4578,335432.006076995,72355.769868816,1285,2806
"FL",12005001502,5796,375020.225753971,252249.316450552,1285,2806
"FL",12005001600,3660,182299.728802445,246301.471084744,1285,2806
"FL",12005001700,3065,175381.796589409,43812.6101242819,1285,2806
"FL",12005001800,1621,104528.738449305,30109.0391942399,1285,2806
"FL",12005001900,3942,310930.866085102,44238.5698603349,1285,2806
"FL",12005002000,1596,120894.817669597,300587.881868402,1285,2806
"FL",12005002200,4731,274619.154957959,115098.504851614,1285,2806
"FL",12005002300,3881,252061.191993769,58603.7950000724,1285,2806
"FL",12005002400,3994,260449.036597143,89443.516383732,1285,2806
"FL",12005002500,2957,247402.291340699,45922.5294687187,1285,2806
"FL",12005002601,2190,159809.210331185,47305.3915089762,1285,2806
"FL",12005002603,1926,147111.40743719,84766.779122722,1285,2806
"FL",12005002604,7108,475053.561845144,71102.8781484367,1285,2806
"FL",12005002605,1183,211722.306548759,37487.4907211783,1285,2806
"FL",12005002606,1586,239161.505002279,20647.7934928724,1285,2806
"FL",12005002607,1178,279184.416486308,33219.5256209965,1285,2806
"FL",12005002608,2739,309847.792169705,48514.3387991542,1285,2806
"FL",12005002701,4073,528490.639556891,113996.116004009,1285,2806
"FL",12005002702,2657,474796.03007066,79388.6207277829,1285,2806
"FL",12005002703,3166,366612.675173699,46440.8365043606,1285,2806
"FL",12005002704,5928,630156.114937585,111138.14045432,1285,2806
"FL",12005002705,1878,513432.919095153,127417.356689525,1285,2806
"FL",12007000100,5675,308211.965735971,114659.073999174,1325,2537
"FL",12007000200,8883,385122.668866206,101539.399321208,1325,2537
"FL",12007000300,7635,498056.929063401,57186.2801630561,1325,2537
"FL",12007000400,6327,235933.027967942,45239.5063976063,1325,2537
"FL",12009060101,4163,237816.175465949,25470.8550142139,582,3486
"FL",12009060102,3519,237292.390428567,39885.5985593788,582,3486
"FL",12009060200,5538,382102.590009962,29206.3001706119,582,3486
"FL",12009060300,4783,307271.40573983,38857.5331499138,582,3486
"FL",12009060400,4163,249740.280862697,126669.019682977,582,3486
"FL",12009060500,4609,319127.51733027,56693.8017472407,582,3486
"FL",12009060600,5103,316481.460974599,31340.3758327746,582,3486
"FL",12009060700,3232,188129.029179434,59251.6088270228,582,3486
"FL",12009061001,4382,309897.403846998,29241.603513476,582,3486
"FL",12009061002,3176,224419.745743146,32564.1878769133,582,3486
"FL",12009061100,5983,422235.221202191,60600.0023362691,582,3486
"FL",12009061201,6650,453597.04854943,83491.7763496875,582,3486
"FL",12009061202,3870,267396.135857085,90490.6261387987,582,3486
"FL",12009062103,7917,514979.016820397,76878.4736618936,582,3486
"FL",12009062104,6989,462319.524165193,30762.9836240516,582,3486
"FL",12009062106,3271,219875.112597179,42928.542690459,582,3486
"FL",12009062107,3307,193382.330636888,80177.2747012331,657,2839
"FL",12009062108,6626,413639.998110556,41302.4619314787,582,3486
"FL",12009062109,6736,233935.811601609,50107.5331045785,582,3486
"FL",12009062301,3483,187935.421228483,48236.186694195,657,2839
"FL",12009062302,2977,161561.823147501,30584.0526449337,657,2839
"FL",12009062400,6983,407566.928256823,52817.4219582351,657,2839
"FL",12009062500,4167,261615.330408964,108089.805605763,582,3486
"FL",12009062600,3239,159176.163068044,73762.5055163455,657,2839
"FL",12009062800,3737,272548.531105925,201472.318670866,577,3273
"FL",12009062900,4894,303648.943374344,44998.609662162,577,3273
"FL",12009063000,4157,264859.310585145,16568.0495234476,577,3273
"FL",12009063102,7886,557412.129664866,62788.613067684,577,3273
"FL",12009063104,3480,220038.437682761,97087.8591945255,577,3273
"FL",12009063105,8789,563529.410364061,126257.460207981,577,3273
"FL",12009063106,4072,289092.158335817,20539.0041640256,577,3273
"FL",12009063107,9032,719099.429363891,101704.580238846,577,3273
"FL",12009064102,5363,371873.582300174,49503.7557766001,577,3273
"FL",12009064123,6243,431332.094979401,41250.3433148903,577,3273
"FL",12009064124,4414,316762.024564697,36798.2438180749,577,3273
"FL",12009064125,5286,337309.579797659,48082.9908707292,577,3273
"FL",12009064126,4170,273146.084625138,37743.2533551488,577,3273
"FL",12009064127,7083,503572.397276314,132208.922281704,577,3273
"FL",12009064128,10923,803071.346694869,98410.8887227063,577,3273
"FL",12009064201,2316,160209.80498713,81670.0413490358,577,3273
"FL",12009064202,2791,206894.881541642,91747.418475067,577,3273
"FL",12009064301,5292,370129.803759351,79325.5388296889,577,3273
"FL",12009064302,5710,348019.244382106,69180.3417077882,577,3273
"FL",12009064400,4920,335159.22593053,28703.6947074893,577,3273
"FL",12009064500,4131,266738.744977185,52614.4292645568,577,3273
"FL",12009064601,7173,436977.801123114,220305.715395843,577,3273
"FL",12009064602,2018,108807.29593047,239895.25035543,577,3273
"FL",12009064700,4135,275276.166543546,412668.708331539,577,3273
"FL",12009064800,2838,172366.536112174,226648.856054465,577,3273
"FL",12009064901,6764,378286.315470346,91489.8931787122,577,3273
"FL",12009064902,3300,203751.229774764,88786.0413996395,577,3273
"FL",12009065001,2455,155212.556759711,92093.9472824984,577,3273
"FL",12009065021,9906,679524.411241414,72116.3566945853,577,3273
"FL",12009065022,4758,346450.680457253,48837.3618842035,577,3273
"FL",12009065121,6262,411624.013412624,61136.6102525737,577,3273
"FL",12009065122,6864,427334.093203653,117417.180159544,577,3273
"FL",12009065123,3644,267527.311819661,97276.0799796832,577,3273
"FL",12009065124,2486,160090.329085695,30422.9591860632,577,3273
"FL",12009065125,5788,391100.068903846,46284.1083289401,577,3273
"FL",12009065201,5447,374632.255337242,35789.1311174398,577,3273
"FL",12009065202,5182,344408.850030471,101378.119616826,577,3273
"FL",12009065231,5492,399677.431540261,59499.288676333,577,3273
"FL",12009065234,3646,296630.1146527,35948.2734898383,455,3404
"FL",12009065235,5430,455744.232601996,19636.4511852384,577,3273
"FL",12009065236,1513,107337.380618332,26688.0699075728,577,3273
"FL",12009066101,4047,333846.141822355,42101.8925275046,577,3273
"FL",12009066103,1908,203881.298602523,10667.2201760202,577,3273
"FL",12009066104,4718,485324.544909846,54708.3704659822,577,3273
"FL",12009066200,2603,223206.603796171,78137.4024903018,577,3273
"FL",12009066301,6292,477085.733626883,85732.5973363205,577,3273
"FL",12009066302,4201,321850.323045421,39691.3384736804,577,3273
"FL",12009066400,4994,379906.358655853,83663.4622898763,577,3273
"FL",12009066500,3319,298458.261999547,52638.4911807168,577,3273
"FL",12009066600,4253,291239.314745083,34207.9208610279,577,3273
"FL",12009066700,4696,329099.908008416,90685.4440821685,577,3273
"FL",12009066800,1396,86076.7104556799,6070.37767692359,577,3273
"FL",12009066900,6084,481278.066235852,62219.3950156192,577,3273
"FL",12009067100,1222,55432.8278042646,52743.6575297643,577,3273
"FL",12009068101,2000,167004.453036826,84171.3627004476,577,3273
"FL",12009068102,3300,244369.369580283,39128.3451491919,577,3273
"FL",12009068200,2830,230414.031909802,88501.5732629253,577,3273
"FL",12009068300,2625,275581.532605949,80487.1992463893,577,3273
"FL",12009068400,2142,176843.813812775,51283.1278680166,577,3273
"FL",12009068501,2226,205501.52448,38106.1322661379,657,2839
"FL",12009068502,2590,231772.182466992,29726.2785644595,657,2839
"FL",12009068601,1892,143604.316082045,62361.8160058218,657,2839
"FL",12009068602,3803,309209.555471884,56852.9445172642,657,2839
"FL",12009069100,4568,380872.358951978,37825.5650658282,657,2839
"FL",12009069200,2382,165356.07864842,27971.9898061021,657,2839
"FL",12009069300,2983,209697.215621194,36247.7007226213,577,3273
"FL",12009069400,6113,481022.789133607,90707.2773361535,577,3273
"FL",12009069700,2215,151470.051279782,32008.7203025346,657,2839
"FL",12009069801,3520,281272.491598408,50537.1172882988,657,2839
"FL",12009069802,4156,265117.221385452,45401.8084144725,657,2839
"FL",12009069901,7926,524521.636137494,147330.377875326,657,2839
"FL",12009069902,4391,254000.252260157,82439.6479547485,657,2839
"FL",12009071100,3880,302693.896249087,24537.3651094297,582,3486
"FL",12009071200,12889,865784.978868179,82029.2956432741,582,3486
"FL",12009071301,4294,313032.702829755,58715.0935852167,577,3273
"FL",12009071322,9330,572324.927460991,94283.858373119,577,3273
"FL",12009071332,12092,665248.203350326,37904.4405866317,577,3273
"FL",12009071334,8564,503500.091787893,46109.6369623739,577,3273
"FL",12009071335,4755,318490.191787375,36667.994279968,577,3273
"FL",12009071336,6849,430644.612164743,34652.1831648628,577,3273
"FL",12009071337,7216,426027.348548089,38450.895787603,577,3273
"FL",12009071338,8265,485935.114366073,31592.514725141,577,3273
"FL",12009071339,6760,407384.675981948,458561.70377241,577,3273
"FL",12009071340,12266,734984.567704002,47724.2919285672,577,3273
"FL",12009071400,3155,249301.961977892,220579.502356707,582,3486
"FL",12009071500,2588,187230.279520111,170492.127688198,657,2839
"FL",12009071600,4415,315366.810552446,248518.047439092,577,3273
"FL",12009980000,7,0,10978.1664019201,657,2839
"FL",12009980100,0,0,13951.6208325993,657,2839
"FL",12011010102,3229,205264.062206435,51741.140203603,175,4162
"FL",12011010103,3491,256333.421894402,117134.102776694,175,4162
