state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
GA,13001950100,3190,1627,212286.790844408,16037.108325616002,1953,2235
GA,13001950200,4530,2063,250774.10077657603,72935.4818720219,1953,2235
GA,13001950300,5176,2260,289588.817518497,213446.59578022602,1953,2235
GA,13001950400,1476,773,103186.66201047,9565.575447391491,2178,1996
GA,13001950500,3864,1789,226086.97600104,24258.841707251802,1953,2235
GA,13003960100,2077,951,115890.96866539301,16867.6614419,1735,2218
GA,13003960200,5053,2035,238008.852861033,29933.3596041288,1981,2350
GA,13003960300,1245,536,66323.8510970648,725.386933532909,1981,2350
GA,13005970100,3057,1318,170205.610319453,15588.293742163101,1658,2475
GA,13005970201,4233,1839,236755.405788577,78741.2725392303,1658,2475
GA,13005970202,3806,1644,205668.93558528,80542.196982071,1658,2475
GA,13007960100,2198,1030,136216.48201232302,12963.3187241494,2029,2185
GA,13007960200,1253,622,73625.1949393543,0.0,2029,2185
GA,13009970100,5401,2585,330701.367325955,35365.6788781008,2598,2009
GA,13009970200,6883,3448,436828.61367563205,67733.7483976258,2598,2009
GA,13009970300,6098,3006,407434.085740986,103194.188139624,2598,2009
GA,13009970400,4336,2100,255255.01387997103,154271.628722603,2598,2009
GA,13009970500,7114,2441,281349.049983613,128174.887828705,2598,2009
GA,13009970600,3923,2002,239454.421188677,23204.6709021525,2598,2009
GA,13009970701,2632,1053,123872.454433486,130941.63463698099,2598,2009
GA,13009970702,2297,889,109593.536512411,34158.7760215113,2598,2009
GA,13009970800,7036,2635,352536.373841352,56841.610524758,2598,2009
GA,13011970100,5208,2201,281860.401756056,37103.8023161179,3406,1294
GA,13011970200,5017,2112,273660.393308106,50991.412943008894,3406,1294
GA,13011970300,4366,1834,239352.413336745,67901.2531500995,3298,1527
GA,13011970400,3804,1448,188116.392624062,29418.5836253731,3298,1527
GA,13013180103,4668,1714,286381.051795512,37151.089997852,3085,1598
GA,13013180104,2016,750,108209.74046215099,13113.635910688601,3085,1598
GA,13013180105,2501,905,134133.599038382,11838.2626607693,3085,1598
GA,13013180106,2624,1008,143070.126658555,19094.7333713343,3085,1598
GA,13013180107,3854,1477,194545.278810496,33950.3943346368,3085,1598
GA,13013180108,2931,1102,172153.424278166,36073.4144151946,3085,1598
GA,13013180203,3187,1307,155722.777827834,16266.5788372031,3085,1598
GA,13013180204,2416,922,129080.781896242,71375.0824669947,3085,1598
GA,13013180205,4042,1745,225768.880529465,104761.647519796,3085,1598
GA,13013180206,2887,1212,190294.22864856198,31957.345433310296,3085,1598
GA,13013180301,2062,797,109529.15436566599,19760.9409829164,3085,1598
GA,13013180302,5749,2209,345436.17101345,30826.9012778935,3085,1598
GA,13013180303,4229,1595,229078.834936433,18894.341597667,3085,1598
GA,13013180401,5191,2007,287725.360847689,18787.7820495478,3085,1598
GA,13013180402,5993,2338,329709.175455479,49988.8966136971,3069,1691
GA,13013180501,5079,1744,258430.985231138,23728.3651779102,3085,1598
GA,13013180502,4534,1658,249924.606980548,23399.1172110655,3085,1598
GA,13013180503,5404,1910,270014.512656862,16199.131490291598,3085,1598
GA,13015960101,1694,678,93276.7898831052,6398.046528061999,3046,1775
GA,13015960102,9507,3721,557274.632232919,71515.2741669979,3046,1775
GA,13015960200,10802,4320,589670.834834965,135316.897570877,3291,1657
GA,13015960300,6647,2511,353557.002215678,31378.744909997597,3046,1775
GA,13015960401,8944,3807,466124.087124619,164373.905914653,3046,1775
GA,13015960402,8926,3430,441828.835028872,130971.178185533,3046,1775
GA,13015960500,7384,3061,420364.696613958,90425.9666764791,3046,1775
GA,13015960600,8969,3824,543282.860870144,215024.92230026302,3268,1513
GA,13015960700,7249,3147,407980.356425371,271940.20289744803,3304,1593
GA,13015960801,3579,1397,219378.451111433,50760.7345367537,3304,1593
GA,13015960802,3316,1337,162835.615352118,23935.075108025,3304,1593
GA,13015960803,5149,2174,316919.022602081,45736.3528440146,3304,1593
GA,13015960901,2839,1116,153819.75052019302,40360.9832487624,3268,1513
GA,13015960902,6737,2383,392566.06246000796,46850.2596089192,3268,1513
GA,13015961000,8415,2917,466331.81631070795,61872.8677262235,3268,1513
GA,13017960100,2286,1100,136464.903480589,18082.833795034298,2039,2324
GA,13017960200,1752,779,98149.09191365581,10499.0653122274,2039,2324
GA,13017960300,4002,1782,220414.881690852,27310.1487637481,2039,2324
GA,13017960400,3769,1611,196064.996023546,40141.266805718704,2039,2324
GA,13017960500,5825,2670,345652.816718378,202201.51396849897,2039,2324
GA,13019970100,1828,909,117446.165976772,5743.358890652789,1735,2218
GA,13019970200,3947,1681,197214.94075002603,7425.275445987149,1735,2218
GA,13019970300,2882,1323,161580.500931152,38582.1678918196,1735,2218
GA,13019970400,3368,1586,202220.74899387397,103950.232637854,1735,2218
GA,13019970500,3761,1659,221222.024605801,86842.69678600099,1735,2218
GA,13019970600,3500,1551,204234.703286577,12542.5607305703,1735,2218
GA,13021010100,1657,1029,117214.651148655,22044.9621367746,2323,2166
GA,13021010200,2164,1413,154704.836228006,57053.522448185,2323,2166
GA,13021010300,997,565,67105.0729295083,38082.4427127945,2323,2166
GA,13021010400,2365,1326,157780.580040273,37554.8468419496,2323,2166
GA,13021010500,3195,777,76060.182292028,80122.8337845668,2323,2166
GA,13021010800,1315,1058,108500.90291507599,89436.73529608132,2323,2166
GA,13021011000,4972,2741,325757.626131548,56747.5926612845,2323,2166
GA,13021011100,2240,1263,141561.376836112,41317.0473928883,2323,2166
GA,13021011500,1401,658,78155.42760779991,21948.4358642792,2323,2166
GA,13021011701,2539,1009,136036.066354368,26946.1552067302,2323,2166
GA,13021011702,4425,1893,240475.80797139602,50791.206771963894,2323,2166
