state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
ID,16001000100,3897,2708,219058.123028375,861439.6406807309,5513,942
ID,16001000201,3196,1447,177935.61785564,67221.10863508799,5513,942
ID,16001000202,5435,2359,373984.250573177,39433.7175234266,6181,665
ID,16001000302,3284,1495,182286.542046471,48696.3359009657,5513,942
ID,16001000303,2087,1214,126443.544443399,37050.475183340095,5513,942
ID,16001000304,6394,2962,412253.42580251896,46496.7636401964,6181,665
ID,16001000400,5936,2979,313157.005442672,55750.7424214922,5513,942
ID,16001000500,5957,2846,377026.174105834,41245.976370333905,5513,942
ID,16001000600,5446,2969,343799.127049145,40068.2447933114,5513,942
ID,16001000701,4686,2570,310168.511860445,64871.2201679066,5513,942
ID,16001000702,3144,1151,175332.190405473,31338.703500016,5513,942
ID,16001000802,5397,2643,335856.092911916,34276.0193003146,5513,942
ID,16001000803,4354,1907,279840.669929205,25633.156640887402,5513,942
ID,16001000804,5604,3616,374553.664441625,111323.483471194,5513,942
ID,16001000805,3158,1351,274758.884601906,23127.0971898421,5513,942
ID,16001000900,5760,2405,248017.109575318,107990.864803697,5513,942
ID,16001001000,5997,3295,353816.87017645704,85489.9338832741,5513,942
ID,16001001100,4093,1909,186516.045582595,202083.05985743302,5513,942
ID,16001001201,3484,1493,209835.444880116,29564.998924180698,5513,942
ID,16001001202,6391,3463,333804.241822955,111696.02747284,5513,942
ID,16001001400,5382,2840,309379.01711727,77562.42574203831,5513,942
ID,16001001500,3494,1732,206933.255999809,52799.3992998805,5513,942
ID,16001001600,4167,2009,254274.330828799,44019.4108819828,5513,942
ID,16001001700,5715,2686,292694.645205255,46256.1457337171,5513,942
ID,16001001800,4485,2034,254626.42298149,54933.103220747995,5513,942
ID,16001001900,5070,2194,268485.132012404,49779.1210049653,5513,942
ID,16001002000,5746,2231,208022.635789871,265602.915637597,5513,942
ID,16001002100,1807,793,114741.296867605,296592.217433734,5513,942
ID,16001002221,8585,3116,453497.82324574,43547.2781074373,5513,942
ID,16001002222,5144,1928,300194.808806085,11653.8501941885,5513,942
ID,16001002223,4228,1467,228847.118500357,24447.8067349468,5513,942
ID,16001002224,5637,2136,302223.353818509,198460.40481104198,5513,942
ID,16001002302,7852,3536,403789.40614210203,240402.31387962398,5513,942
ID,16001002310,9313,3891,478154.017935729,128728.776195404,5513,942
ID,16001002312,5278,2318,270322.75438701,44305.366689012,5513,942
