"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"IL",17001000100,4627,283785.904299056,204209.893704402,5417,1216
"IL",17001000201,1986,116764.631582115,45862.886552237,5417,1216
"IL",17001000202,2999,146605.824804177,38966.3216370589,5417,1216
"IL",17001000400,4322,181722.624873714,97436.0565442714,5417,1216
"IL",17001000500,2337,119950.642292197,40665.6121664195,5417,1216
"IL",17001000600,3718,224767.757546012,72291.0142880823,5417,1216
"IL",17001000700,1481,92167.8041420618,231080.891435951,5417,1216
"IL",17001000800,2711,132296.810872688,67828.7884045003,5417,1216
"IL",17001000900,2573,154545.04554382,33222.2201240978,5417,1216
"IL",17001001001,3391,195221.612119505,19409.8603678145,5417,1216
"IL",17001001002,3223,180414.730378592,31798.3881572126,5417,1216
"IL",17001001100,7257,414450.403692941,110484.941206295,5417,1216
"IL",17001010100,4451,253828.858797319,35902.5656038607,5674,1127
"IL",17001010200,3720,207426.477885208,57446.1297169559,5922,1039
"IL",17001010300,5890,328290.538683261,28043.5258065136,5582,1095
"IL",17001010400,3553,188465.894134606,50407.0531233437,5582,1095
"IL",17001010500,2989,165332.477226616,21355.9931252445,5417,1216
"IL",17001010600,5875,305746.406061784,83898.7849033075,5417,1216
"IL",17003957600,2928,141311.933905425,23853.2269928054,4128,1465
"IL",17003957700,2172,132529.899355671,8198.50755474565,4128,1465
"IL",17003957800,1528,96855.6945570235,48038.7679209301,4189,1543
"IL",17003957900,1610,84507.3934383461,39156.8663973364,4189,1543
"IL",17005951200,3216,187243.28695278,19697.9529196799,4824,1459
"IL",17005951300,6958,284840.529265312,154108.677412893,5083,1278
"IL",17005951400,3146,179966.19121642,12751.1282541828,4824,1459
"IL",17005951500,4448,248783.373596542,24593.1066249916,5083,1278
"IL",17007010100,8562,381042.752750235,88783.7183953565,6908,712
"IL",17007010200,6105,283286.084781639,109429.283803911,6908,712
"IL",17007010300,6631,303982.26675136,43651.88673631,6908,712
"IL",17007010400,6841,334447.879971341,147951.89857654,6908,712
"IL",17007010500,10185,622779.627241558,46920.2156667874,6908,712
"IL",17007010601,3859,202608.057839693,31131.6225709013,7225,605
"IL",17007010602,11982,632234.535521174,33043.4741140035,7225,605
"IL",17009970400,2606,178028.792186452,93204.4151884226,5559,1102
"IL",17009970500,4331,130539.175409592,57294.699169237,5559,1102
"IL",17011964700,3072,177237.6278781,27033.2982545341,6230,963
"IL",17011964800,3496,202358.516298932,59078.4373430697,6615,806
"IL",17011964900,2815,149713.337736287,55691.6567393025,6230,963
"IL",17011965000,4078,215506.072696309,28636.2475891193,6212,942
"IL",17011965100,4152,234468.691040209,81782.4544083382,6383,863
"IL",17011965200,3600,199035.191646911,47636.4982203872,6383,863
"IL",17011965300,3429,203002.15861309,114816.450998277,6230,963
"IL",17011965400,3549,220307.857526268,95829.300564293,6230,963
"IL",17011965500,3759,223366.120442401,29038.8890606864,6230,963
"IL",17011965600,3028,181389.747150722,25783.7521537861,6615,764
"IL",17013951200,2681,195506.453547137,55611.1088745921,4814,1348
"IL",17013951300,2408,163676.945880654,13993.2417930733,4814,1348
"IL",17015960100,3578,315950.613072787,56346.1583746063,6783,728
"IL",17015960200,2165,149869.888435314,24480.415830193,6783,728
"IL",17015960300,3176,208770.877485333,60318.1345640057,6783,728
"IL",17015960400,2234,139121.18746783,52408.4626470199,6783,728
"IL",17015960500,2636,164062.683993408,42996.4559489032,6543,771
"IL",17015960600,1598,100257.149831415,19732.0480176315,6783,728
"IL",17017960100,2403,147801.862224742,32807.8725080979,5706,977
"IL",17017960200,2655,155016.891799816,43211.99163716,5706,977
"IL",17017960300,3294,176793.933323323,37861.3333781883,5716,1042
"IL",17017960400,2548,123349.87700463,8946.74867235074,5716,1042
"IL",17017960500,2742,126228.100853642,37778.6489758154,5716,1042
