"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"IN",18001030100,4737,249375.631008876,53807.8614386167,6156,764
"IN",18001030200,4971,283373.140803449,118741.976755572,6156,764
"IN",18001030300,5506,292975.122056429,111672.055886306,6156,764
"IN",18001030400,3400,161235.078707623,22403.2891509063,6156,764
"IN",18001030500,6070,200811.97203244,42273.5774578373,6021,912
"IN",18001030600,3412,176155.588180713,95334.3121192267,6021,912
"IN",18001030700,6291,255662.663782295,60664.8495407679,6021,912
"IN",18003000100,2358,147681.276351231,40203.6968644971,6102,809
"IN",18003000300,3298,193399.7871692,28020.3001589263,6102,809
"IN",18003000400,2569,170738.223960598,49133.0729322124,6102,809
"IN",18003000500,2945,143354.964499201,53893.2396073697,6102,809
"IN",18003000600,1975,112195.473635236,37301.3140407324,6102,809
"IN",18003000701,3108,183061.999833358,30700.1813464564,6102,809
"IN",18003000704,2419,131021.525991211,99202.4212476123,6102,809
"IN",18003000800,4113,250133.642807946,35827.2215821619,6102,809
"IN",18003000900,3166,172334.020190315,34842.0768541327,6102,809
"IN",18003001000,1247,79602.7622517055,67357.0256553309,6102,809
"IN",18003001100,1559,130022.544097669,36488.6905970793,6102,809
"IN",18003001200,1079,62122.8697854958,192811.616530009,6102,809
"IN",18003001300,2277,68862.80115629,330503.121645957,6102,809
"IN",18003001600,2206,113426.902465174,320787.599887465,6102,809
"IN",18003001700,2177,86940.5233963345,46545.6311790031,6102,809
"IN",18003002000,3321,187443.306123941,66023.0317921239,6102,809
"IN",18003002100,2344,132140.454515672,21902.8209315092,6102,809
"IN",18003002200,4221,236876.55949383,149006.353740193,6102,809
"IN",18003002300,5180,244851.256611036,35287.7328633609,6102,809
"IN",18003002500,3152,186989.47528265,17558.7674676851,6102,809
"IN",18003002600,3347,184904.358190338,41807.8540909633,6102,809
"IN",18003002800,2065,106750.986172852,23013.1975248935,6102,809
"IN",18003002900,2368,113668.444778269,13110.1983049703,6102,809
"IN",18003003000,3525,175209.929475285,16177.3920590867,6102,809
"IN",18003003100,2645,138350.094432058,48403.4122711754,6102,809
"IN",18003003200,5325,299745.331688318,30698.4158839745,6102,809
"IN",18003003301,2795,142084.510713301,28507.0192319378,6102,809
"IN",18003003304,4340,202702.543882463,339543.150369993,6102,809
"IN",18003003400,4351,257497.312940964,59493.3419741103,6102,809
"IN",18003003500,4216,184239.359737834,118215.774088443,6102,809
"IN",18003003600,5687,279829.159734935,164091.012804983,6102,809
"IN",18003003700,2779,150910.67251529,46716.5725208358,6102,809
"IN",18003003800,3132,189450.666216465,91584.8392188068,6102,809
"IN",18003003901,3358,192326.758191547,82624.0608784123,6102,809
"IN",18003003902,2448,147515.535519049,15463.6181384051,6102,809
"IN",18003004000,3111,167789.582584809,21804.993352197,6102,809
"IN",18003004101,2251,110434.310282318,30071.0411643264,6102,809
"IN",18003004103,5368,246408.874541781,105520.015522128,6102,809
"IN",18003004300,2652,143387.48112898,147669.383088927,6102,809
"IN",18003004400,3223,165682.078500161,62052.2627978327,6102,809
"IN",18003010100,4763,210323.92440442,30330.1487211554,6258,627
"IN",18003010201,6752,328028.56046616,38059.4950868447,6256,699
"IN",18003010202,5818,263497.558823699,78273.1334749942,6258,627
"IN",18003010304,6601,348039.866387623,65917.1217235832,6256,699
"IN",18003010305,6551,356006.2153287,26061.8109023385,6256,699
"IN",18003010306,5154,273877.599846389,54487.7259224979,6256,699
"IN",18003010307,5298,242671.112665991,85345.8397947919,6256,699
"IN",18003010308,5554,269118.829240078,31621.1286273453,6256,699
"IN",18003010400,3612,194480.255737756,21386.2801006446,6346,629
"IN",18003010500,2301,137679.516884441,23437.8577285779,6102,809
"IN",18003010601,3586,215170.139983195,235307.140652907,6102,809
"IN",18003010602,3583,172051.226822278,70493.8050099403,6102,809
"IN",18003010603,1620,97676.3982054193,36970.2998700395,6256,699
"IN",18003010604,2744,130499.046509101,67742.6674155555,6102,809
"IN",18003010705,5019,277438.029540276,27468.2699933114,6256,699
"IN",18003010706,4701,244944.353152275,160061.998547982,6102,809
"IN",18003010707,4803,287370.849227629,106695.887478508,6256,699
"IN",18003010803,5227,272844.327830047,50134.0115421506,6102,809
"IN",18003010804,3918,239306.810419125,23305.2850087432,6258,627
