state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
KS,20001952600,2011,982,132336.572572984,25403.4072845419,4835,1402
KS,20001952700,2174,995,123527.966266412,23669.464820562796,4835,1402
KS,20001952800,3999,1749,232711.994951337,94288.5036412478,4835,1402
KS,20001952900,2367,1163,131374.283523836,73389.4997977391,4835,1402
KS,20001953000,2820,1337,164058.405403359,35649.4052955242,4796,1396
KS,20003953600,5104,2322,293284.294564483,92606.1229274612,4947,1371
KS,20003953700,2998,1398,171552.150742857,19647.7853068798,4947,1371
KS,20005081600,4488,1975,255773.21322148,30894.8133815529,5382,1278
KS,20005081700,6403,2199,284817.489387572,129200.90673377301,5382,1278
KS,20005081800,2907,1228,163277.279036221,81662.3287077385,5382,1278
KS,20005081900,3126,1588,177618.906659799,95761.9452285523,5382,1278
KS,20007968100,3138,1756,202932.843260108,62284.42733592849,4273,1741
KS,20007968200,1723,1009,125071.367342494,41661.6248760159,4273,1741
KS,20009971100,3971,1943,249074.543669374,68844.3115143016,5118,1415
KS,20009971200,1704,881,113901.44851788599,19135.1463553856,4556,1678
KS,20009971300,3072,1539,194551.044229159,42712.1729214962,4556,1678
KS,20009971400,2573,1199,152419.333872671,36425.5174431162,5118,1415
KS,20009971500,3485,1567,201151.799745454,62902.6046109521,4556,1678
KS,20009971600,3948,1874,245721.47297176102,80841.06645008571,5118,1415
KS,20009971700,2946,1279,163377.708492446,109670.737728125,5118,1415
KS,20009971800,5975,2414,299535.655022253,102902.28723573699,5118,1415
KS,20011955600,2774,1396,182024.923631696,13626.9248843151,5091,1284
KS,20011955700,2332,1133,145241.267814071,14580.388940841201,4575,1622
KS,20011955800,3791,1678,212065.319670112,74899.0815473954,4575,1622
KS,20011955900,3402,1524,183497.345061866,51361.6320776659,4575,1622
KS,20011956000,2874,1436,160100.092279175,80669.6607927944,4575,1622
KS,20013480600,2923,1293,165272.0938311,28318.8903408931,5678,1134
KS,20013480700,3602,1788,206617.563960536,90702.16817434599,5678,1134
