"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"KY",21001970100,1727,95001.4429042955,5416.61885716643,4337,1078
"KY",21001970200,1722,129728.128900281,11270.5324360255,4387,1313
"KY",21001970300,3016,175940.145122361,14953.5806020951,4668,1024
"KY",21001970401,4070,212613.625124312,98427.9823971125,4387,1313
"KY",21001970402,4261,186227.861304771,108990.224305361,4668,1024
"KY",21001970500,2457,133838.345160658,12827.4015989261,4193,1209
"KY",21001970600,1403,99923.4441490991,5699.04415079213,4668,1024
"KY",21003920100,3185,230433.538628259,29559.7960194897,3899,1696
"KY",21003920200,2703,148419.480637813,12062.9022913859,4179,1201
"KY",21003920300,4685,261705.270202452,79382.0244131304,4179,1201
"KY",21003920400,4492,240351.687431715,44062.7041380542,4179,1201
"KY",21003920500,1600,90774.0713312878,5788.50952840295,3820,1575
"KY",21003920600,3291,171911.507234156,13191.1170181777,4179,1201
"KY",21005950100,8164,516201.431209834,70036.6287831333,4701,1158
"KY",21005950201,5372,306467.439904462,70996.7814739208,4701,1158
"KY",21005950202,3651,219808.216271204,36416.783816919,4702,1065
"KY",21005950300,1969,120329.869912269,16928.5129749063,4701,1158
"KY",21005950400,2265,152920.265132897,22742.3855637056,4701,1158
"KY",21007950100,4259,262357.996862931,65880.4258394009,4273,1447
"KY",21007950200,1494,96753.5924558861,17410.1226454915,4273,1447
"KY",21007950300,2496,141853.093985219,27444.1150152473,4062,1526
"KY",21009950100,3592,199722.397499955,22294.2212457909,3746,1605
"KY",21009950200,3642,206955.266798935,72923.4055619295,3764,1544
"KY",21009950300,3065,168807.049115652,19322.1602538732,3746,1605
"KY",21009950400,5910,301325.066028508,159735.440832996,3746,1605
"KY",21009950500,3698,211459.392990355,161311.357208486,3746,1605
"KY",21009950600,5937,313231.883143136,85090.0804895374,3746,1605
"KY",21009950700,5878,329321.398497253,65586.4803532802,3746,1605
"KY",21009950800,3337,192081.679396028,15451.5406995407,4354,1123
"KY",21009950900,3607,259876.569331861,33116.4030357066,4138,1306
"KY",21009951000,3507,210445.265852781,16988.5282198304,3899,1696
"KY",21011970100,1791,90976.2296098091,12968.0567578217,5169,921
"KY",21011970200,6192,354453.906086693,65134.2281733993,5169,921
"KY",21011970300,3608,188366.490170008,23842.8220771508,4475,1258
"KY",21013960100,2564,142547.447428406,14639.1963329036,4409,1077
"KY",21013960200,5150,268240.811804581,107276.440819076,4409,1077
"KY",21013960300,2381,139668.202118831,1990.07605328509,4409,1077
"KY",21013960400,1896,97076.7079376539,1365.76758825291,4409,1077
"KY",21013960500,2194,112778.438047524,68621.1591238589,4409,1077
"KY",21013960600,4747,255495.439974188,101417.139099871,4409,1077
"KY",21013960700,2849,175964.121672704,89011.3314843874,4409,1077
"KY",21013960800,3771,178458.563016096,10101.9978827767,4409,1077
"KY",21013961100,3139,131839.818987809,26670.3261422862,4409,1077
"KY",21015070100,6680,328559.592256534,190977.062858943,4983,1125
"KY",21015070200,6368,303374.131468124,132887.766296297,4983,1125
"KY",21015070301,5506,243782.690200251,133742.564936735,4983,1125
"KY",21015070305,5644,379975.283197333,33207.0774070285,4983,1125
"KY",21015070307,11018,636602.269646592,33927.0749683208,4983,1125
"KY",21015070308,9807,534214.975790157,45207.5478159494,4983,1125
"KY",21015070309,6184,391904.987357696,26787.6629660895,4983,1125
"KY",21015070311,2538,138339.314474263,410048.655386262,4983,1125
"KY",21015070312,3053,152661.527699921,184357.162153583,4983,1125
"KY",21015070313,3057,189648.922793989,45412.4928744455,4983,1125
"KY",21015070314,4865,275538.528039571,25939.8294978889,4983,1125
"KY",21015070401,8566,549423.196865267,195411.137994491,5042,1100
"KY",21015070402,8254,471347.456921781,77557.3156251876,5042,1100
"KY",21015070502,4229,234645.579607309,27600.3780883205,4983,1125
"KY",21015070503,6179,334649.014960967,79984.7787095549,4983,1125
"KY",21015070504,7759,393671.244679059,51632.1650714633,4983,1125
"KY",21015070601,2593,163769.668798382,23434.7920072255,4983,1125
"KY",21015070604,3045,173219.573258948,34795.9047976254,4983,1125
"KY",21015070605,5535,396426.19920599,32590.8505328524,4983,1125
"KY",21015070606,4163,235073.312299403,166845.958605532,4983,1125
"KY",21015070607,3768,221183.185798731,16916.9001682997,4983,1125
"KY",21015980100,0,0,26346.7449245725,4983,1125
"KY",21017030100,3975,224105.914908512,83930.9286639489,4940,1092
"KY",21017030200,6018,319138.862729411,74090.4530877523,4940,1092
"KY",21017030300,3076,199383.856601812,64051.9082358499,4940,1092
"KY",21017030400,2407,150839.972446213,32575.1503464464,4940,1092
"KY",21017030500,2329,141449.708919578,39123.1426672098,4940,1092
"KY",21017030600,2180,117389.864922923,11374.6765784981,5169,921
"KY",21019030200,1381,90813.7442116322,360674.032608376,5223,948
"KY",21019030300,2046,119696.090111444,114295.265552392,5223,948
"KY",21019030400,2268,116549.463182311,23171.1331174604,5223,948
"KY",21019030500,4484,275564.526600425,40213.3593492237,5223,948
"KY",21019030600,4213,273093.698993135,38929.6255949415,5223,948
"KY",21019030700,3397,212686.838799407,40181.2146874228,5223,948
"KY",21019030800,3916,195540.833952182,37535.6148294202,5223,948
"KY",21019030900,5524,284126.475005991,66681.6215755353,5223,948
"KY",21019031001,1463,90158.5916158755,106084.494578045,5074,940
"KY",21019031002,6942,326889.191255045,117660.399876975,5223,948
"KY",21019031100,7919,436097.839586525,103416.503840643,4728,1155
"KY",21019031200,3453,196745.971046213,47494.8204990981,4513,1135
"KY",21019031300,2536,135488.493396045,58612.6210610783,4728,1155
"KY",21021930100,5365,304887.88657284,46991.9370412799,4658,1166
"KY",21021930200,4313,292493.692994928,64624.377291374,4658,1166
"KY",21021930300,3223,124672.162809602,228740.379272185,4658,1166
"KY",21021930400,3938,214589.669637557,112168.807876336,4658,1166
"KY",21021930500,3457,197277.747513909,145153.662078469,4658,1166
"KY",21021930600,3617,226766.468758491,34244.6180012593,4658,1166
"KY",21021930700,4519,235892.893218276,26004.5825878921,4658,1166
"KY",21023950100,2623,148705.433544409,43208.5538855839,4938,1062
"KY",21023950200,1769,102026.678191706,7614.14742478437,4938,1062
"KY",21023950300,4096,228953.972067088,35813.0999893471,4938,1062
"KY",21025920100,1184,57300.8309027283,8435.9676014246,4235,1156
"KY",21025920200,2221,108378.45388782,26209.248655772,4235,1156
"KY",21025920300,3693,199307.488839709,108591.019110069,4235,1156
"KY",21025920400,1297,67271.9267912064,5104.46463254709,4235,1156
"KY",21025920500,1575,89266.3486848036,3983.21784092903,4561,1059
"KY",21025920600,1993,88824.7818409713,8145.92437371867,4561,1059
"KY",21025920700,1915,93393.7529319657,10882.5690975796,4235,1156
"KY",21027960100,4855,251832.46086589,32797.0029406758,4108,1480
"KY",21027960200,5265,285206.007522535,122200.291235987,4108,1480
"KY",21027960300,3097,182895.799881785,18380.9594618011,4108,1480
"KY",21027960400,1405,159562.828239796,1813.83892416006,4692,1247
"KY",21027960501,1940,96482.3133345487,8206.96159388915,4813,954
"KY",21027960502,3497,365019.025169573,18758.4248199011,4473,1111
"KY",21029020101,3702,220361.932037061,21579.3321588236,4502,1257
"KY",21029020102,3653,187069.377359749,36921.7120882991,4502,1257
"KY",21029020103,3054,185076.791277213,26453.5833081598,4502,1257
"KY",21029020201,5700,333893.349093721,23658.4091534871,4502,1257
"KY",21029020202,3650,234872.076351114,42066.775617816,4502,1257
"KY",21029020300,4744,267219.981512929,23006.6017425755,4502,1257
"KY",21029020400,6065,362503.582351695,48959.2519398809,4502,1257
"KY",21029020500,5612,295792.683422689,29617.3961625602,4502,1257
"KY",21029020601,5736,306530.801653454,137322.585750563,4502,1257
"KY",21029020602,1386,81899.6037157166,18449.521567154,4502,1257
"KY",21029020701,6134,306166.987290607,71750.3181800057,4172,1364
"KY",21029020702,2088,100568.933048674,33963.6793810989,4172,1364
"KY",21029020800,5067,280604.152909075,74168.3069055153,4502,1257
"KY",21029020900,2731,149756.729924806,19701.7619601134,4097,1614
"KY",21029021101,6204,333419.165323845,55563.822140469,4172,1364
"KY",21029021102,3968,223747.132806052,48872.8519714683,4172,1364
"KY",21029021200,4825,269848.768479242,34748.8960108174,4172,1364
"KY",21029980100,0,0,6.78192192,4172,1364
"KY",21031930100,3231,181928.866768532,22835.0101928044,4468,1175
"KY",21031930200,1564,77364.9159442329,4822.59681290321,4468,1175
"KY",21031930300,4749,248716.48400325,98899.837289375,4468,1175
"KY",21031930400,1749,120524.601125077,6888.01715451878,4468,1175
"KY",21031930500,1397,95375.3756549575,9632.27987470495,4203,1462
"KY",21033920100,2075,134687.669113207,17980.6404621826,3897,1566
"KY",21033920200,5237,314739.323778726,115523.53918606,3897,1566
"KY",21033920300,5672,365228.616781047,71270.6594639702,3897,1566
"KY",21035010100,4106,295387.447317859,62754.9815716955,4060,1531
"KY",21035010200,4471,250135.301652112,41927.0490285213,3773,1647
"KY",21035010301,3140,48276.6932046656,114494.633674842,3773,1647
"KY",21035010302,6572,385165.597327342,76660.6159076745,3773,1647
"KY",21035010400,2300,125843.762564875,132718.12489189,3773,1647
"KY",21035010500,3132,192547.11921632,125948.649448572,3773,1647
"KY",21035010600,6735,431866.643273399,90913.3356304102,3773,1647
"KY",21035010700,3277,201630.07378813,31056.2784832414,3773,1647
"KY",21035010800,3458,280492.854541324,32816.2335633758,3773,1647
"KY",21037050100,1733,83327.3371950052,19215.4148002677,4957,1067
"KY",21037050400,1881,130318.440848636,21854.6041385495,4957,1067
"KY",21037050500,2598,128747.261032447,77949.3667689289,4957,1067
"KY",21037050600,1914,90425.9688485522,20340.749269904,4957,1067
"KY",21037051101,2277,118595.376128206,16904.0798367792,4957,1067
"KY",21037051102,1416,71416.6115240655,3514.24332938316,4957,1067
"KY",21037051200,1359,65416.0966535837,27965.9513565532,4957,1067
"KY",21037051300,4460,352787.029429846,31697.4948388964,4957,1067
"KY",21037051901,4986,303298.875980235,23578.0482217705,4957,1067
"KY",21037051903,5316,332735.770388806,112595.327554804,4957,1067
"KY",21037051904,4242,228961.765212586,18304.1283485733,4957,1067
"KY",21037052001,4836,285641.538189226,14821.1005920621,5122,1026
"KY",21037052002,2818,175950.370870787,15979.508840299,4938,1062
"KY",21037052100,3443,223168.157572263,67166.5753802322,4957,1067
"KY",21037052200,2402,168363.160617418,13401.1708445724,4957,1067
"KY",21037052301,4534,333149.564758841,44070.7867907921,4957,1067
"KY",21037052302,4679,313112.591616145,50632.8071928154,4957,1067
"KY",21037052400,2721,168550.457822797,60984.4361358644,4957,1067
"KY",21037052500,5543,332357.086103802,67051.5608713713,4957,1067
"KY",21037052800,3561,214125.339787483,57301.666957624,4957,1067
"KY",21037052900,5362,317862.553420048,52386.9088007857,4957,1067
"KY",21037053100,5810,366371.68744716,55597.1735551595,4957,1067
"KY",21037053200,2578,143023.670399571,119560.638125729,4957,1067
"KY",21037053301,4894,298276.919905044,115660.570410113,4957,1067
"KY",21037053302,4973,245236.895093642,108631.154969927,4957,1067
"KY",21039960100,1599,86895.0023448735,4571.48000076365,3784,1624
"KY",21039960200,1854,104918.934035983,27832.2640343542,4062,1526
"KY",21039960300,1651,104835.600245077,13123.8549487279,4062,1526
"KY",21041950100,2498,142572.16449123,21737.7322340744,4594,1291
"KY",21041950200,6155,323249.436132299,163053.287433108,4447,1199
"KY",21041950300,2158,127579.09968,12565.8795515455,4447,1199
"KY",21043960100,3539,183021.034202567,17825.4919608157,4931,1078
"KY",21043960200,4045,220894.444762279,51626.5901644196,5417,675
"KY",21043960300,3183,171868.950360096,17996.8983334604,5417,675
"KY",21043960400,1951,108429.185547492,14276.4102627095,5417,675
"KY",21043960500,4337,223707.359188155,156747.399989579,5212,849
"KY",21043960600,6401,326670.869031149,83600.658726503,5074,940
"KY",21043960700,4264,218460.9403846,14323.4192947815,5212,849
"KY",21045950100,1297,79598.6742829008,2078.70547076139,4658,1166
"KY",21045950200,2370,136134.917593259,10207.6284924699,4610,1174
"KY",21045950300,6491,356349.856619532,108816.123072867,4337,1078
"KY",21045950400,3240,176848.556617947,18878.8267955612,4337,1078
"KY",21045950500,2557,136308.087073294,16804.1159706428,4337,1078
"KY",21047200100,4045,205029.950047151,149244.645768899,4198,1535
"KY",21047200200,3880,162205.18291936,56954.487290075,4198,1535
"KY",21047200300,3559,183101.672537187,189732.720666238,4198,1535
"KY",21047200400,2632,142375.018594632,140630.397650849,4198,1535
"KY",21047200500,4205,257373.937075819,83194.765193311,4198,1535
"KY",21047200600,4608,277064.73302029,26234.0538306261,4198,1535
"KY",21047200700,6224,368711.540210232,74505.9162695211,4198,1535
"KY",21047200800,2758,131107.934263297,29694.4128709781,4198,1535
"KY",21047200900,6073,362165.59617203,59287.5609991441,4198,1535
"KY",21047201000,2157,112809.376195196,12484.0316509319,4198,1535
