state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
LA,22001960100,6213,2574,352046.78948529705,77313.6306437585,1569,2631
LA,22001960200,5988,2362,342489.47394685604,31398.997544176098,1598,2936
LA,22001960300,3582,1427,215289.03903850602,15116.718157316101,1623,2712
LA,22001960400,6584,2604,373268.441716385,53882.183853894196,1686,2729
LA,22001960500,6093,2349,352883.652220239,31671.0176648057,1686,2729
LA,22001960600,5972,2504,340100.946265495,75333.1245214754,1686,2729
LA,22001960700,4310,1922,257435.629970343,56364.0881819466,1686,2729
LA,22001960800,5389,2241,306256.551200253,128522.624648791,1686,2729
LA,22001960900,5072,2077,267984.581640707,45804.6362383895,1686,2729
LA,22001961000,5324,2429,343310.363922518,113544.890170462,1686,2729
LA,22001961100,3780,1559,226931.83570238898,24062.5377890475,1623,2712
LA,22001961200,3466,1339,197793.55148709897,15254.7717811825,1686,2729
LA,22003950100,5115,2144,308509.80910291604,32577.4729428851,1751,2571
LA,22003950200,5326,1297,190413.143762164,66086.0210370871,1909,2480
LA,22003950300,3146,1456,202960.251526117,42154.011096712406,1909,2480
LA,22003950400,4368,1933,279103.028248569,58850.916967556506,1751,2571
LA,22003950500,7809,2903,404479.024198424,88469.42863828561,1751,2571
LA,22005030101,6541,2468,392305.20644195296,15145.4253202372,1503,2679
LA,22005030102,5073,1965,288338.15485513,18408.1798304828,1592,2630
LA,22005030103,5644,2186,348261.717474966,15786.4561494504,1592,2630
LA,22005030203,10551,3722,681644.45477639,76371.5955981807,1688,2632
LA,22005030204,10530,3889,653084.59302366,34168.9944445325,1503,2679
LA,22005030205,9734,3585,559622.661201162,65942.3921838035,1503,2679
LA,22005030206,9290,3596,540163.744538789,48872.8522158033,1503,2679
LA,22005030300,13728,4939,805822.3815477809,111235.13181244,1592,2630
LA,22005030401,4421,1928,272309.216752658,116034.876817731,1503,2679
LA,22005030402,6812,2759,412934.313644044,125182.944267004,1592,2630
LA,22005030500,8843,3542,515131.953821567,44833.3347647382,1447,2784
LA,22005030600,5123,1948,259713.79435862397,49078.0741560167,1592,2630
LA,22005030900,4165,1689,215084.66173649998,35635.3765137754,1592,2630
LA,22005031000,6760,2568,362051.692631167,98061.48039576961,1592,2630
LA,22007050100,3788,1614,224561.698564272,19129.0148783066,1592,2630
LA,22007050200,5468,2897,412497.679031895,45769.147455483304,1368,2749
LA,22007050300,3884,1509,228858.10002244601,54760.210248960495,1592,2630
LA,22007050400,3079,1323,208267.99597847802,30154.468544826203,1592,2630
LA,22007050500,2973,1242,176686.16439408698,8532.95824512035,1592,2630
LA,22007050600,4229,1766,234361.85576980302,24407.6726736925,1368,2749
LA,22009030100,2500,1788,257282.517409368,15816.371102059,1993,2439
LA,22009030200,2735,1121,167489.506249634,17626.9582860387,2063,2401
LA,22009030300,3482,1532,214257.448878413,14037.7423204334,1882,2563
LA,22009030400,7380,2985,400570.402668586,144582.954485022,1882,2563
LA,22009030500,6968,3119,441283.471955162,65390.361942008094,1882,2563
LA,22009030600,5357,2445,347807.615343791,84986.6792833854,1882,2563
LA,22009030700,7531,2520,356267.731853924,73242.5269682789,1882,2563
LA,22009030800,2870,1202,169636.681021185,16901.943021336698,1882,2563
LA,22009030900,3250,1330,168798.325103062,33200.388209774705,1882,2563
LA,22011960100,6340,2957,409073.44418200396,43541.425053337,1846,2565
LA,22011960200,4736,1967,276008.42794715,29041.5831800981,1846,2565
LA,22011960300,4300,1879,262054.76825793102,91187.1196508927,1846,2565
LA,22011960400,3265,1430,210753.88908926302,55508.1741949909,1846,2565
LA,22011960500,5180,2243,312469.7040788,59047.0345826495,1846,2565
LA,22011960600,3257,1528,210393.616746789,21398.449982678998,1892,2405
LA,22011960700,8576,3036,424221.285315732,34499.3576854305,1892,2405
LA,22013970100,3675,1573,198814.172240589,80324.9894357902,2431,2251
LA,22013970200,1866,1106,161490.938082459,18672.395950823702,2431,2251
LA,22013970300,3318,1874,260558.28430308602,32755.9395851769,2596,2246
LA,22013970400,2627,1378,185658.91736591302,8481.11843984533,2404,2226
