"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"MA",25001010100,2942,474677.686999166,203908.608461916,5795,536
"MA",25001010206,2750,567049.036738987,70066.7291079648,5681,468
"MA",25001010208,2003,400595.487062598,39188.5456994486,5681,468
"MA",25001010304,2421,366373.740025558,23359.1687310659,5681,468
"MA",25001010306,2535,396785.706848677,67695.9362323213,5681,468
"MA",25001010400,2999,277755.925043632,162532.569967707,5681,468
"MA",25001010500,2891,379339.093497225,82329.1888563381,5681,468
"MA",25001010600,2973,396928.6027202,98362.7656661268,5681,468
"MA",25001010700,3152,599401.224035103,93582.8120880918,5838,322
"MA",25001010800,4878,498310.645576664,100778.894958659,5681,468
"MA",25001010900,4942,515722.608828332,57277.9753966459,5681,468
"MA",25001011002,4157,421427.04956166,94693.5593144381,5681,468
"MA",25001011100,4694,413135.618212376,67359.9080306758,5681,468
"MA",25001011200,3392,459119.021274857,67022.9464721357,5681,468
"MA",25001011300,2600,362522.064684072,66608.2271696534,5795,536
"MA",25001011400,2991,335706.147198182,34969.3549284535,5795,536
"MA",25001011500,4029,334444.625102186,89618.7321609901,5795,536
"MA",25001011600,2710,570913.050853731,63988.2694806502,5795,536
"MA",25001011700,1877,314037.089366939,44359.3438522832,5795,536
"MA",25001011801,2403,218605.216101313,29365.815090704,5795,536
"MA",25001011802,4255,325751.320522585,58232.0901265546,5795,536
"MA",25001012001,5732,440587.473867109,129793.537379425,5795,536
"MA",25001012002,3007,351316.464152247,105120.441429303,5795,536
"MA",25001012101,5339,380481.807374786,63336.4612605532,5795,536
"MA",25001012102,3057,401596.062770036,95903.2493486274,5795,536
"MA",25001012200,5046,387179.906082304,103207.65987939,5831,496
"MA",25001012502,3080,312799.241697814,55172.7924368525,5831,496
"MA",25001012601,2877,179496.19411461,45822.7523692797,5831,496
"MA",25001012602,4915,280119.56838653,96364.2350432219,5831,496
"MA",25001012700,4562,431691.808969959,74043.6300707921,5831,496
"MA",25001012800,3923,295655.463396433,51020.6783342844,5831,496
"MA",25001012900,4135,266635.81436395,23951.6115035457,5831,496
"MA",25001013002,2899,379480.779812974,96310.4457113169,5831,496
"MA",25001013100,5935,366755.196270644,59590.6108847076,5831,496
"MA",25001013200,4783,411545.604499197,61798.4523605255,5831,496
"MA",25001013300,3218,275722.293146621,100620.586540618,5999,525
"MA",25001013400,4163,317949.786373839,49528.5617030398,5831,496
"MA",25001013500,6940,397893.593780873,48578.070616258,5831,496
"MA",25001013600,6334,335306.403182911,91002.2433556654,5999,525
"MA",25001013700,4911,272458.889402989,126897.098765295,5999,525
"MA",25001013800,4840,301656.252347605,90839.9431420471,5999,525
"MA",25001013900,4831,377519.390498806,78720.3688535539,5999,525
"MA",25001014002,4053,408690.147642896,105589.694539414,5999,525
"MA",25001014100,1141,50694.9593107818,26430.4501427617,5999,525
"MA",25001014300,4384,522407.179671499,106523.925538252,5999,525
"MA",25001014402,6947,476434.674491429,74742.9112287173,5999,525
