"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"ME",23001010100,1714,96039.5400332584,61660.2121566968,7692,410
"ME",23001010200,4603,243374.750577938,172791.388977253,7692,410
"ME",23001010300,2468,122547.097070064,18651.3998201193,7692,410
"ME",23001010400,2119,111383.868241676,63054.407474107,7692,410
"ME",23001010500,2030,103573.974842759,24755.2229175326,7692,410
"ME",23001010600,3047,168146.415591709,33985.511292635,7692,410
"ME",23001010700,3088,164873.446674641,90007.3450180338,7692,410
"ME",23001010800,3986,240875.202196503,17946.7307838344,7692,410
"ME",23001020100,1577,79324.4240080734,129611.725563437,7692,410
"ME",23001020200,1283,73063.5948167246,84083.2894488783,7692,410
"ME",23001020300,6683,308446.640589459,114472.894043896,7692,410
"ME",23001020400,3770,149427.478302226,118174.05824145,7692,410
"ME",23001020500,3713,200123.269827292,42380.7876598294,7692,410
"ME",23001020600,2708,148011.541636092,92160.0021819238,7692,410
"ME",23001020700,4891,287325.136977996,40396.5643522065,7692,410
"ME",23001020800,7556,371905.082387677,122948.996749876,7692,410
"ME",23001020900,4411,196810.351242923,90871.3449827272,7692,410
"ME",23001030100,4624,212164.064943796,72021.8741849184,7996,246
"ME",23001030200,4385,217609.768340677,49389.2071439688,7996,246
"ME",23001040000,3848,213221.391124468,21942.3973552724,7996,246
"ME",23001041000,5376,334573.762928142,56484.0266819917,7655,343
"ME",23001041500,5638,282800.206000831,71952.3824452957,7655,343
"ME",23001042000,5734,322885.063948942,53006.4798518089,7786,330
"ME",23001043000,2095,123643.073607707,16989.7365344203,8616,166
"ME",23001044000,3187,162050.312062444,38379.5466291403,8616,166
"ME",23001045000,2326,124551.018539581,17443.7535673392,7786,330
"ME",23001046000,4350,239182.403438004,28460.5677621055,7692,410
"ME",23001046500,6492,324248.3307583,58326.479262163,7996,246
"ME",23003950100,2596,275708.713894811,17374.1691402116,9354,180
"ME",23003950200,2638,155224.442259037,41943.5860446343,10106,165
"ME",23003950300,4035,255195.176786845,36538.9513544673,9784,135
"ME",23003950400,1834,112022.300920318,40596.398746653,9784,135
"ME",23003950600,4097,215402.479448425,109913.123020179,10131,146
"ME",23003950700,2956,267034.835940099,30532.5845047734,10253,136
"ME",23003950900,2069,166835.464510391,30242.7266753031,9193,207
"ME",23003951000,3569,181222.340299472,27553.648211303,9354,180
"ME",23003951100,2841,146908.410533146,24606.0206650215,8877,249
"ME",23003951200,2549,139774.664475506,65963.8510868469,9354,180
"ME",23003951300,3386,174824.564763074,116729.790882455,9354,180
"ME",23003951400,2254,112624.682568713,42538.350594148,9354,180
"ME",23003951600,2314,105322.411090498,58492.1259148174,9729,133
"ME",23003951700,4783,248786.449409022,48473.9264375532,8877,249
"ME",23003951800,3693,188550.622476323,152197.567106915,8877,249
"ME",23003951900,2937,161825.391011797,71517.5959449607,8877,249
"ME",23003952000,3062,143762.433836106,94831.2406572426,8877,249
"ME",23003952100,2768,138165.490112338,34173.7324503339,9087,197
"ME",23003952300,2652,187498.119018806,14923.2010636801,8877,249
"ME",23003952400,3825,183050.206921202,99670.4682124198,9188,192
"ME",23003952500,2298,116700.805574335,87502.2151771035,8736,236
"ME",23003952600,3195,212299.609028939,8939.78080778327,8736,236
"ME",23003952700,2561,185007.395210999,30712.1655887073,9132,169
"ME",23003952900,2958,271559.486413257,17827.1643883354,8751,244
"ME",23005000100,2346,134449.651322198,22092.6213089658,7106,360
"ME",23005000200,2349,140351.502074447,11919.3669320056,7106,360
"ME",23005000300,2625,168299.152891292,551401.182365494,7106,360
"ME",23005000500,2420,98342.7921851448,90841.2435569947,7106,360
"ME",23005000600,3389,140305.329109348,147559.384790524,7106,360
"ME",23005001000,2779,149982.017244759,28224.5937106997,7106,360
"ME",23005001100,2372,148624.705192318,61300.3065238901,7106,360
"ME",23005001200,1381,66770.2518272809,7676.11359081308,7106,360
"ME",23005001300,3321,186008.147586574,189673.822280294,7106,360
"ME",23005001500,3415,197759.449549626,84123.5171145906,7106,360
"ME",23005001700,4390,256446.854087976,140313.967626058,7106,360
"ME",23005001800,3709,236559.850070579,57251.683350443,7106,360
"ME",23005001900,4220,236746.490223853,43217.8440260746,7106,360
"ME",23005002001,3632,195250.602057912,93042.8597060116,7106,360
"ME",23005002002,2777,129835.526776634,161269.924347868,7106,360
"ME",23005002101,5917,329462.700113592,84101.1268353454,7106,360
"ME",23005002102,5578,259898.943563964,195003.945729754,7106,360
"ME",23005002200,4916,270615.681646522,161738.525446792,7106,360
"ME",23005002300,3632,195660.115290496,69887.3332680475,7106,360
"ME",23005002400,1256,234535.30456004,14327.0425932382,7106,360
"ME",23005002501,3366,202691.576447262,116040.448436936,7106,360
"ME",23005002502,7819,459714.8919419,93401.7442015573,7106,360
"ME",23005002600,3976,224266.265982906,29657.9018861421,7106,360
"ME",23005002700,4536,238135.766049373,33855.9114366353,7106,360
"ME",23005002800,2907,152413.478878755,107821.505566261,7106,360
"ME",23005002900,6075,301641.023599533,184299.933267783,7106,360
"ME",23005003000,6499,315308.278171963,377459.194124541,7106,360
"ME",23005003100,3722,198794.766614575,60874.4386810211,7106,360
"ME",23005003200,3117,197717.176148754,77500.4597618157,7106,360
"ME",23005003300,3102,167057.86987585,115248.914449736,7106,360
"ME",23005003400,4702,265123.713230636,34582.0414263337,7106,360
"ME",23005003500,3860,224833.164697571,77583.7008577847,7106,360
"ME",23005003701,4044,239749.495120644,30019.9452058218,7106,360
"ME",23005003702,4971,304207.017159562,43170.6489370843,7106,360
"ME",23005004001,2892,150377.878840131,62432.4229758334,7106,360
"ME",23005004002,7551,319779.223327294,156528.892992685,7106,360
"ME",23005004100,5938,310690.069201845,43337.1311364547,7672,356
