state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
MI,26001000100,1807,2293,290031.967321434,23617.4395111426,7852,266
MI,26001970100,2549,2011,249792.676328487,43961.7191643858,7852,266
MI,26001970400,3013,2058,255011.885240035,47792.9474497849,7852,266
MI,26001970500,2092,3160,388226.93082737294,23208.0152991798,8275,216
MI,26001970600,1481,1551,203472.70799838897,16001.248190678301,7852,266
MI,26003000100,3869,2478,299261.866705934,88878.20236638811,8395,231
MI,26003000200,2742,2086,259632.77619921602,42097.2476570008,8886,231
MI,26003000300,2990,1990,249965.377871702,40440.135664289504,9052,158
MI,26005030200,3278,1516,216534.698568446,26662.3362485886,6300,694
MI,26005030300,7290,2763,371815.245235326,60457.9536512831,7072,470
MI,26005030401,7439,2538,360312.267546308,82570.5485740822,7072,470
MI,26005030402,4820,1814,234279.532895894,58504.109271702306,6485,698
MI,26005030500,7281,3084,372720.94586015295,124090.96333582199,7072,470
MI,26005030600,4957,1915,245859.61700143397,40356.8022728663,7072,470
MI,26005030702,4763,1968,254007.50393143398,50670.805871192,7072,470
MI,26005030703,2652,1126,138078.809752331,13317.7440252071,6158,693
MI,26005030704,4419,1755,218575.48954863698,40869.6264544417,6158,693
MI,26005030800,5101,3731,489626.165481504,151151.386981473,6158,693
MI,26005030901,2837,1975,248100.551102163,37523.5376441811,6003,685
MI,26005030902,2519,1625,212129.418210818,29452.7723222085,6003,685
MI,26005031000,6214,3105,378693.79756562604,38458.1422442327,6933,526
MI,26005031100,6409,2965,368982.81018340704,95078.0866989818,7072,470
MI,26005031200,5497,2409,263547.353016446,120536.30535292,7072,470
MI,26005031300,4692,1848,235362.98150039898,42165.0667210527,7072,470
MI,26005031800,4486,1913,245435.06776764398,52557.294159730496,7072,470
MI,26005031900,5007,2087,249944.85368008,70761.7379049895,7072,470
MI,26005032000,5260,2143,266245.532924643,76512.8998826942,7072,470
MI,26005032100,4496,1846,254738.10144159102,64938.29630864441,6414,675
MI,26005032200,5286,2435,280320.055360729,86985.2079376749,6158,693
MI,26005032401,1520,613,70235.9965720614,81240.828364057,6158,693
MI,26005032402,3751,1510,201375.33439567397,87521.5391589974,6158,693
MI,26005032600,1434,742,87406.0604991165,68623.0181081151,6158,693
MI,26007000100,4660,3052,381874.61272800795,39503.2090335788,8099,292
MI,26007000200,4431,2237,284408.90812855604,54001.0069247379,8099,292
MI,26007000300,3204,1924,248610.11210719397,95695.2408959999,7778,331
MI,26007000400,2989,1464,160213.523675641,74644.2482847791,7778,331
MI,26007000500,2104,1022,127482.11292336699,57851.09509024941,7778,331
MI,26007000600,3270,1575,177875.77757222397,42021.717219778104,8099,292
MI,26007000700,2732,1416,168135.18351290902,101938.60531453599,8099,292
MI,26007000800,3298,1714,227619.878641552,51632.6299099659,7778,331
MI,26007000900,2910,1649,211350.336182508,43722.2147751633,7778,331
MI,26009960100,2602,2142,281389.753584167,38860.8763698596,8095,231
MI,26009960200,3388,2074,260264.34013433,24261.535747696,7377,392
MI,26009960300,2727,2278,291489.70914225397,35322.1072650119,8095,231
