"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"MN",27001770100,2327,368093.919493166,33776.4795808412,9182,339
"MN",27001770200,2336,236961.934522461,19566.588176268,9182,339
"MN",27001770300,3268,205528.283933475,92218.808956181,9128,268
"MN",27001770400,3052,392552.13514603,13246.3941263071,9128,245
"MN",27001790501,1957,281805.214439644,22823.5822409507,9324,291
"MN",27001790502,3262,486424.520993038,14957.7612463274,9128,268
"MN",27003050107,2934,139710.841656158,35274.4487031938,7991,528
"MN",27003050108,4750,244021.716770558,34089.283681735,7991,528
"MN",27003050109,5202,256599.122164962,38111.893052655,7991,528
"MN",27003050110,2715,135056.865880567,32363.8887415124,7991,528
"MN",27003050111,3709,202959.692818383,13609.6451734294,7991,528
"MN",27003050114,2803,140691.249339003,20981.9657379717,7991,528
"MN",27003050115,5228,268762.817634477,33923.5456199215,7991,528
"MN",27003050116,4443,213601.731460973,34056.4898896711,8022,607
"MN",27003050208,3281,160496.499822978,45855.1754391947,8309,459
"MN",27003050210,3914,209799.782800524,49953.5924393508,8309,459
"MN",27003050215,4192,200268.758378327,64084.0526059352,8309,459
"MN",27003050216,5474,287595.107201409,42271.7201077455,8309,459
"MN",27003050217,2724,131445.723751433,23681.8212816305,8309,459
"MN",27003050218,3220,156757.152462978,20772.6550922325,8309,459
"MN",27003050219,3061,147646.154194378,14709.3382600259,8309,459
"MN",27003050220,6534,336400.060014328,37974.5816720525,8309,459
"MN",27003050221,6365,299001.382006466,18078.0951537761,8309,459
"MN",27003050222,5393,240750.797695893,19661.7205510609,8309,459
"MN",27003050223,2673,130295.583661937,11983.6561664204,8022,607
"MN",27003050224,2788,140649.622934411,17751.4485166449,8022,607
"MN",27003050225,6091,297719.022076326,29113.4904591478,8309,459
"MN",27003050226,2919,142680.305715463,16042.311049146,8309,459
"MN",27003050227,4304,209284.91620693,40712.8056946387,8309,459
"MN",27003050228,4893,257805.292592564,71602.0454595711,8022,607
"MN",27003050229,5425,206699.784236043,49101.9512081334,7360,832
"MN",27003050230,2398,103440.103246451,16004.2213044224,7360,832
"MN",27003050232,3792,187387.850439446,29535.0838730948,7360,832
"MN",27003050233,3053,153199.899139821,15681.3827851975,7360,832
"MN",27003050234,2861,148741.483157884,28697.6563898628,7991,528
"MN",27003050235,2769,142972.207439684,38118.8604889394,8309,459
"MN",27003050236,4296,241647.316603652,15035.9854517883,7360,832
"MN",27003050237,5044,288373.461475614,26890.6919134764,7360,832
"MN",27003050401,2972,142698.51161949,125198.457508339,8309,459
"MN",27003050402,3742,171572.772304298,38929.9041303328,8309,459
"MN",27003050501,3041,168882.772585883,120483.351466467,8309,459
"MN",27003050504,2496,137071.102160009,36261.9148654446,8309,459
"MN",27003050505,4911,230975.72098895,102078.420306648,8309,459
"MN",27003050602,2431,122272.297037781,16401.84605921,8309,459
"MN",27003050605,5542,275796.805465002,53463.4688576226,8309,459
"MN",27003050606,2095,87569.1033081012,15273.3526037885,7722,692
"MN",27003050607,4491,223463.210417098,37187.2287833808,8309,459
"MN",27003050608,4431,236551.108515108,25782.7302575073,8309,459
"MN",27003050609,3602,208553.478687925,78094.2042034341,8309,459
"MN",27003050610,6403,322685.332018187,35372.7395853213,8309,459
"MN",27003050702,3125,175847.246512907,14162.2325185235,8309,459
"MN",27003050704,4736,254715.986449847,36724.8505065908,8309,459
"MN",27003050706,3432,159757.556176842,25900.0670896719,8309,459
"MN",27003050707,6229,317120.34019449,14832.0631749369,8309,459
"MN",27003050709,2478,156730.217849183,12034.7526052337,7722,692
"MN",27003050710,3489,176316.403870642,145168.894701527,7722,692
"MN",27003050711,4703,259867.089123827,14766.84530496,8309,459
"MN",27003050712,4289,229248.384296224,42204.0860266527,8309,459
"MN",27003050805,6426,328187.975666917,46382.6790526757,8309,459
"MN",27003050806,6338,313447.151129425,34089.5622710101,8309,459
"MN",27003050807,3452,177355.802259041,12934.4257254194,8309,459
"MN",27003050808,2207,115646.821535004,15469.3784743425,8309,459
"MN",27003050809,5956,299551.174066312,45490.9022756135,8309,459
"MN",27003050810,4134,253063.516915876,16407.5128324958,8309,459
"MN",27003050811,2870,163149.720933557,91712.9515336269,7722,692
"MN",27003050813,6633,311292.622909457,200533.348244811,8309,459
"MN",27003050816,4511,221629.117130763,55567.1669936502,7360,832
"MN",27003050818,3977,247720.470359978,4888.55813109644,8309,459
"MN",27003050819,2947,204710.918701937,6473.20498987381,8309,459
"MN",27003050820,3001,161639.954921869,23793.3973532908,8309,459
"MN",27003050821,4730,303572.295990813,36637.6148177335,8309,459
"MN",27003050901,2053,108243.83965341,22359.6246078355,7360,832
"MN",27003050902,4918,282623.494100939,26715.9416789259,7360,832
"MN",27003051001,2475,141066.107776485,111886.012049154,7722,692
"MN",27003051002,3759,201599.506162865,26260.252360629,7722,692
"MN",27003051101,4985,263434.830824872,134370.590196914,7722,692
"MN",27003051102,4312,217839.792708601,54984.4792187442,7722,692
"MN",27003051103,3343,163969.498453844,50313.2214747235,7383,950
"MN",27003051201,3733,182264.426611579,33887.2195520834,7722,692
"MN",27003051202,3099,176105.980401632,88945.0898126904,7722,692
"MN",27003051203,5327,306257.566195694,44337.1399058783,7383,950
"MN",27003051206,2409,116725.6069829,112061.410443131,7722,692
"MN",27003051302,3981,211040.866469268,60103.1568077428,7383,950
"MN",27003051304,2323,139041.85251641,8423.70443730582,7383,950
"MN",27003051305,3170,171268.702714968,15122.7568038194,7383,950
"MN",27003051400,4868,283552.433421586,51810.6328313787,7383,950
"MN",27003051501,3005,137227.078648571,53059.7139561276,7383,950
"MN",27003051502,2893,158064.023726804,22454.7576022918,7383,950
"MN",27003051600,5123,282527.239794661,22093.9219905451,8042,589
"MN",27005450100,3012,227286.351752065,19716.5334877316,9600,300
"MN",27005450200,2248,166611.573337322,12627.6599031329,9544,335
"MN",27005450300,4962,306098.424942777,43671.2107637264,8867,550
"MN",27005450400,2357,175168.679704262,45750.0084676968,8867,550
"MN",27005450500,4148,215869.223984147,227771.684363333,8867,550
"MN",27005450600,3491,209903.826663455,70196.422126204,8867,550
"MN",27005450700,3008,276042.347237247,25028.5435376515,8867,550
"MN",27005450800,2351,178542.357257694,19640.4459026167,8867,550
"MN",27005450900,3094,318321.857301128,45561.3231338941,8867,550
"MN",27005940000,3833,307681.109194177,34946.6861723459,9544,335
"MN",27007450100,6246,340688.55992495,66459.6760838401,9878,275
"MN",27007450200,6514,386190.87166657,84003.9512393486,9878,275
"MN",27007450300,4359,330881.041983689,39992.9932027052,9878,275
"MN",27007450400,2912,201434.88318837,22875.3295928364,9878,275
"MN",27007450500,1715,185407.900470993,13706.5428676336,9584,300
"MN",27007450600,5179,195718.464713307,175342.222763214,9878,275
"MN",27007450701,4384,236545.35080461,81574.6278394245,9878,275
"MN",27007450702,5233,263732.684203048,257433.206403164,9878,275
"MN",27007940001,5885,213028.98812223,43883.9588535326,9569,367
"MN",27007940002,2015,172385.489618112,4260.62630722067,9664,332
"MN",27009020100,5807,308147.308224616,56585.9409740594,8079,545
"MN",27009020202,2773,141944.606216542,23939.7201290317,8741,421
"MN",27009020203,2184,120355.984273047,33083.4229646863,8741,421
"MN",27009020205,3093,176714.030274458,22080.9154776162,8741,421
"MN",27009020206,2693,119301.624662028,57270.9141152846,8741,421
"MN",27009020300,3022,163486.218024278,39495.2194009387,8531,467
"MN",27009021101,8153,391308.339144234,86839.3526072958,8531,467
"MN",27009021102,4221,231701.102483939,84255.8106161966,8531,467
"MN",27009021200,6505,306930.461143682,162348.899448029,8531,467
"MN",27011950100,1516,110000.640112344,16279.5857607634,8346,570
"MN",27011950200,1774,154818.824646944,24439.8167567074,8433,605
"MN",27011950300,1979,134224.088014255,58277.8911311072,8433,605
"MN",27013170100,4635,276497.470430431,33005.4773596487,7813,654
"MN",27013170200,5176,275941.808226041,69776.8721118347,7813,654
"MN",27013170300,2990,158866.896424127,194643.199556693,7813,654
"MN",27013170400,3329,189133.494747377,164898.158645449,7813,654
"MN",27013170500,4592,232088.79576068,96867.8616259538,7813,654
"MN",27013170600,2334,105952.57090486,43293.6535496036,7813,654
"MN",27013170700,2817,138971.616527747,172524.568809785,7813,654
"MN",27013170800,4568,258506.885766201,44655.1460465357,7813,654
"MN",27013170900,3152,192507.925214915,33360.7382640933,7813,654
"MN",27013171000,3359,202287.916346816,41339.80911521,7813,654
"MN",27013171101,6063,173312.2984816,101220.277604562,7813,654
"MN",27013171202,5760,245886.755659105,69623.118506878,7813,654
"MN",27013171300,3822,206771.055238895,13813.4743224155,7813,654
"MN",27013171400,3601,205888.376241934,47383.0589093572,7491,748
"MN",27013171500,2792,174138.197234548,38092.2900401966,7491,748
"MN",27013171600,5023,171382.421615684,50772.1609417718,7813,654
"MN",27015960101,2000,121841.218305205,89875.7021953845,7747,712
"MN",27015960102,1270,70795.0882754499,46664.9191849685,7747,712
"MN",27015960200,4482,234024.048474012,70512.201302025,7747,712
"MN",27015960300,3152,168007.060501233,28686.4149947456,7747,712
"MN",27015960400,4479,252980.73837764,109354.774486297,7747,712
"MN",27015960500,3832,213746.572663626,103492.406969559,7747,712
"MN",27015960600,3221,188471.841623718,78909.2398931013,8096,622
"MN",27015960700,3457,211865.744383173,33510.3127800146,7747,712
"MN",27017070100,5173,289894.648284692,106800.219355728,9134,253
"MN",27017070200,3924,196008.134359309,79025.739745056,9134,253
"MN",27017070300,5168,280281.226211859,38818.6994757361,9134,253
"MN",27017070400,7822,465132.151969397,102088.735670275,9080,264
"MN",27017070500,6808,344323.101379259,150900.086479585,8930,349
"MN",27017070600,3382,294577.427851656,34616.7870081456,9128,245
"MN",27017940000,3109,163560.816195288,33465.0685684645,9134,253
"MN",27019090100,5507,298485.014010559,61423.2173201326,8194,558
"MN",27019090200,3958,208639.783741946,36984.7926903957,8194,558
"MN",27019090301,6748,359531.513029162,138081.510521743,8194,558
"MN",27019090302,5079,242817.330211388,21428.9227167785,8106,558
"MN",27019090401,4545,253727.501616911,45890.5709363004,8106,558
"MN",27019090402,5481,319194.026035032,36855.1003707873,8106,558
"MN",27019090501,2405,146723.625914639,19359.785826209,7912,605
"MN",27019090502,2871,184484.994227312,6156.87022971878,7912,605
"MN",27019090503,2593,171082.808035196,10339.2722813109,7912,605
