state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
MO,29001950100,3802,1679,222116.39764007102,6933.4468274786095,6099,958
MO,29001950200,3019,1613,189052.854551909,24978.561987343903,6099,958
MO,29001950300,2951,1615,159131.0189205,106573.443478235,6099,958
MO,29001950400,3892,1855,227308.470907723,49444.0191543962,6099,958
MO,29001950500,7079,3310,377952.982436059,121001.19371005801,6099,958
MO,29001950900,2277,1116,114495.56243768199,27342.944193692598,6099,958
MO,29001951000,2587,75,5337.65112730865,143722.954211736,6099,958
MO,29003010100,5439,2197,302396.051110482,45000.1880476504,5458,1221
MO,29003010200,6738,2827,345360.260599078,92204.0374908078,5458,1221
MO,29003010300,2063,940,116365.984869733,7011.1138051508,5731,1178
MO,29003010400,3051,1342,182544.43902745,21056.0095435354,5890,1091
MO,29005950100,3215,1715,222791.80464445398,64376.5106558567,6072,1010
MO,29005950200,2470,1270,168486.07540942,52608.9479387453,6072,1010
MO,29007950100,4180,1391,156390.65673259,73074.4646145462,5467,1139
MO,29007950200,4917,2318,297923.514801998,51819.9213312017,5228,1251
MO,29007950300,3609,1256,167410.15836332302,10750.275386941701,5228,1251
MO,29007950400,2942,1229,160293.881947543,114942.612776611,5228,1251
MO,29007950500,3582,1602,199080.814940025,63749.60070875,5228,1251
MO,29007950600,2899,1356,173132.80456580198,23260.226755634103,5228,1251
MO,29007950700,3400,1700,191064.116997608,55189.051149831794,5228,1251
MO,29009960100,6127,3551,425115.396804719,56965.356599226696,4738,1152
MO,29009960200,6418,2752,327930.920380048,31137.661596448997,4506,1332
MO,29009960300,6400,2778,332367.587727805,171668.560136051,4506,1332
MO,29009960401,4190,1924,215717.883009823,24074.336428676,4711,1095
MO,29009960402,3641,1540,175196.832380963,30740.7793023184,4738,1152
MO,29009960500,6054,2626,314245.17709466,99200.3793019672,4738,1152
MO,29009960600,2767,2352,294546.482792927,12131.4649810989,3981,1471
MO,29011960100,2986,1391,169890.120817169,24753.2717595252,4479,1461
MO,29011960200,4104,1766,215454.045270557,25900.0670645881,4509,1306
MO,29011960300,5312,2443,306539.162055624,122841.04406493,4479,1461
MO,29013070100,5248,2286,295486.298910711,33257.6166942336,4940,1417
MO,29013070200,4411,1971,252674.168250962,8874.0984021677,4940,1417
MO,29013070300,4520,2182,243666.186623813,104447.07944101,4940,1417
MO,29013070400,2870,1403,172023.355893555,27844.0630641754,4939,1321
MO,29015460100,3211,1512,193095.06655159802,33705.0368272109,5039,1229
MO,29015460200,2466,1128,132119.55213807,30378.6436723202,5039,1229
MO,29015460300,4378,2581,319442.362891855,46547.581603076396,4885,1396
MO,29015460400,2269,2373,294063.205640051,37.1612169290304,5039,1229
MO,29015460700,2821,3272,388861.838673632,68840.2239208252,4885,1396
MO,29015460800,3911,3284,374130.393075214,8894.630075272009,4885,1396
MO,29017950100,4691,2163,288583.77640971896,25633.4353750912,4309,1336
MO,29017950200,4609,2086,230712.256076088,48961.0162828813,4309,1336
MO,29017950300,3063,1629,187345.11574618,6471.811510234959,4563,1284
MO,29019000200,1730,858,87186.0671613492,42396.4875108554,4745,1461
MO,29019000300,3010,1184,120059.526686866,33859.9065785804,4745,1461
MO,29019000500,2794,1167,95447.00176388571,271869.88223230897,4745,1461
MO,29019000600,4602,2130,310900.20959622104,62290.187772201105,4745,1461
MO,29019000700,3542,1898,229463.720858892,44290.409208527,4745,1461
MO,29019000900,1511,847,99577.47278684971,138166.701439774,4745,1461
MO,29019001001,4656,2265,215780.03963080002,118825.312119326,4745,1461
MO,29019001002,5950,2851,350624.427868813,129576.328982153,4745,1461
MO,29019001101,8628,3807,368969.991643986,52664.1319097191,4745,1461
MO,29019001103,6714,3331,415449.57705035794,54787.987895598606,4745,1461
MO,29019001104,10629,4185,528131.484097552,76365.277374843,4745,1461
MO,29019001201,5820,2382,329382.14373246,35072.4768364802,4745,1461
MO,29019001202,5223,2183,284547.892345451,52125.7596132529,4745,1461
MO,29019001300,3836,2290,207644.336867605,284910.67349828803,4745,1461
MO,29019001400,11433,4780,623977.514525159,163555.522710133,4745,1461
MO,29019001502,6356,3162,342496.16956928396,66282.7883166357,4745,1461
MO,29019001503,4023,1553,189775.830577231,53320.1209970157,4745,1461
MO,29019001504,9106,3939,484918.29443109705,119424.07011344699,4745,1461
MO,29019001601,8052,3800,502489.39804845897,19069.4636385448,4745,1461
