"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"MS",28001000100,7602,333382.366247611,85185.2128884851,2126,2217
"MS",28001000200,4126,220463.556874843,80273.7981234633,2126,2217
"MS",28001000300,2087,133667.03719463,14741.1110913447,2126,2217
"MS",28001000400,3208,155509.098692561,56049.6118439844,2126,2217
"MS",28001000500,3607,184097.773186014,59994.3682546364,2126,2217
"MS",28001000600,2211,135418.819349071,72521.3211992353,2126,2217
"MS",28001000700,1783,128404.267846228,158333.537384731,2126,2217
"MS",28001000800,3456,178173.721586605,69999.3741317588,2126,2217
"MS",28001000900,4217,248355.469021746,147013.298836401,2126,2217
"MS",28003950100,5606,329512.031684502,32856.8322550299,3572,1639
"MS",28003950200,6911,431770.411738585,76067.7084555562,3572,1639
"MS",28003950300,3643,203096.824069281,163958.629531169,3572,1639
"MS",28003950400,5559,305059.386355775,20394.3538269527,3572,1639
"MS",28003950500,6586,339983.694027123,284703.037660244,3572,1639
"MS",28003950600,4477,224763.10768104,32305.0809499669,3572,1639
"MS",28003950700,4275,248518.053239958,58581.9624261376,3572,1639
"MS",28005950100,4490,248638.265755661,55747.3975590206,2222,2175
"MS",28005950200,3632,228310.887618034,32976.5839047648,2222,2175
"MS",28005950300,5009,295238.982983047,15316.6456006604,2222,2175
"MS",28007060100,2985,184920.530520212,13637.3303555299,3008,1825
"MS",28007060200,2619,160229.312856656,12381.6526002582,3008,1825
"MS",28007060300,3421,182688.809899172,11105.0720428179,3008,1825
"MS",28007060400,2998,191925.788494391,28824.6549542393,3008,1825
"MS",28007060500,3855,202180.988578427,73438.8309041348,3008,1825
"MS",28007060600,3686,177415.265817843,119918.036351938,3008,1825
"MS",28009950100,6062,358284.857002634,57656.6496044573,3502,1749
"MS",28009950200,2667,156393.723239902,14005.0403379407,3505,1655
"MS",28011950100,3805,183518.805128056,41567.6073497803,2941,2142
"MS",28011950200,3110,130821.229237844,42999.429726904,2937,2252
"MS",28011950300,3168,152391.644038915,33987.369445409,2941,2142
"MS",28011950400,4709,217978.397719442,57828.0537669386,2774,2187
"MS",28011950500,5178,268299.901739872,43475.1854450165,2937,2252
"MS",28011950600,6632,385648.501478229,107102.52680386,2937,2252
"MS",28011950701,4215,167861.488046675,196619.530380385,2937,2252
"MS",28011950702,3328,143163.951751008,47678.4903405834,2937,2252
"MS",28013950100,4098,231717.640772824,45229.0085928471,3003,1879
"MS",28013950200,1724,95371.5665968724,17810.4418439225,3003,1879
"MS",28013950300,3126,186387.841058721,41729.2587164898,3003,1879
"MS",28013950400,3250,164694.23153671,33408.3043836705,3003,1879
"MS",28013950500,2764,143574.587137116,35313.2812067931,3003,1879
"MS",28015950100,4938,297346.765734079,28505.4402323604,2688,2165
"MS",28015950200,5659,303674.395368033,24578.6140703381,2688,2165
"MS",28017950100,4110,203450.601114294,170372.931983261,3065,2001
"MS",28017950200,3517,174240.765854804,34297.1086229875,3374,1584
"MS",28017950300,4225,210558.607231776,123621.431545391,3374,1584
"MS",28017950400,5540,284622.951009889,93125.265140065,3374,1584
"MS",28019950100,2761,164608.394507765,31504.721261296,3071,1804
"MS",28019950200,4201,252260.374809957,18192.4586798873,2889,1907
"MS",28019950300,1585,81760.341033107,44236.8970054613,2889,1907
"MS",28021950100,3330,190231.976605015,8938.57315559213,2545,2086
"MS",28021950200,1463,84556.2601066512,33944.2619777661,2545,2086
"MS",28021950300,4811,214482.271937721,80393.7368697015,2545,2086
"MS",28023950100,4359,273608.372262935,35725.5852950091,2302,2323
"MS",28023950200,5969,325300.917409561,35496.5793422864,2460,2081
"MS",28023950300,3547,192454.033883833,25086.1435608771,2302,2323
"MS",28023950400,2857,164716.342851352,64785.1918971248,2302,2323
"MS",28025950100,5581,280719.908529641,35767.4844201913,2913,1996
"MS",28025950200,2537,137276.784418063,7143.59346586836,3374,1584
"MS",28025950300,3632,170732.559900081,93260.9024868542,2913,1996
"MS",28025950400,4624,251115.24223984,82175.6176897263,2913,1996
"MS",28025950500,4260,259645.407394082,58030.862095463,2642,2141
"MS",28027950100,4084,199514.108653875,45831.2993829986,3046,2183
"MS",28027950200,2672,142606.908153665,57153.9507152506,3111,2041
"MS",28027950300,3267,159084.932871769,50428.0496832602,3111,2041
"MS",28027950400,4096,195021.50727316,71294.4437013048,3111,2041
"MS",28027950500,5334,256814.838995566,91875.9988595574,3111,2041
"MS",28027950600,1201,62682.8907153098,76938.0259412404,3111,2041
"MS",28027950700,5497,227859.381976325,70506.2543536093,3111,2041
"MS",28029950100,5906,296583.658128014,128662.439216336,2105,2475
"MS",28029950200,4924,260960.36240876,40385.5096188063,2105,2475
"MS",28029950300,4154,235019.419328583,99803.1340517585,1963,2343
"MS",28029950400,5072,235768.226641907,97218.6640819217,1963,2343
"MS",28029950500,6087,307602.154333248,94082.7235079831,1963,2343
"MS",28029950600,3306,186726.196252977,27369.7002116127,1963,2343
"MS",28031950100,5087,271379.265628719,82456.4643117222,2294,2125
"MS",28031950200,2221,102500.669524083,30169.6115433917,2294,2125
"MS",28031950300,4701,260534.126954136,55234.3876930682,2294,2125
"MS",28031950400,7559,442702.490247649,72002.6428682327,2294,2125
"MS",28033070101,3119,154043.646478697,32986.9890025094,3317,2021
"MS",28033070102,4224,244545.334765488,22648.6466128097,2965,2258
"MS",28033070210,6453,349828.254336311,15171.0665592772,2965,2258
"MS",28033070221,3863,217442.898577694,6202.95014127491,2975,2239
"MS",28033070222,3848,198749.518272556,13745.9340455221,2975,2239
"MS",28033070310,3716,204265.910929245,59098.9683342656,2965,2258
"MS",28033070322,3722,201206.988391309,38174.3234700391,2965,2258
"MS",28033070323,5362,261693.921349175,32444.1574632456,2965,2258
"MS",28033070324,4834,250432.586400509,25905.9199765467,2965,2258
"MS",28033070325,2917,158972.899039889,15417.0739429775,2965,2258
"MS",28033070411,1539,94082.8161815526,29992.3528765936,2965,2258
"MS",28033070412,4492,201951.33331428,122512.076237912,2965,2258
"MS",28033070421,2750,133765.138263769,79242.204531532,2965,2258
"MS",28033070422,2612,112914.539067812,24337.1586531724,2965,2258
"MS",28033070520,9492,594470.750399089,85337.6656706499,2965,2258
"MS",28033070521,3847,200736.90074155,69441.6780224823,2965,2258
"MS",28033070522,4431,239114.779446181,119808.408921542,2965,2258
"MS",28033070610,3001,137517.585112202,55904.0314833779,2965,2258
"MS",28033070620,7131,430432.246069941,74656.6966891983,2965,2258
"MS",28033070630,10079,596222.525774396,34510.3201168733,2975,2239
