state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
MT,30001000100,1366,1335,164776.734001486,34309.7429087382,9374,26
MT,30001000200,3470,1878,226403.314991071,31861.6547511953,7799,141
MT,30001000300,4410,2060,229492.530320138,116612.361733468,7799,141
MT,30003000100,4522,1883,217608.37325753103,89525.1779923827,6689,729
MT,30003940400,1790,582,72192.6273990242,7101.3226449134,6930,649
MT,30003940500,1436,711,83327.0585276916,17236.9515489441,6495,650
MT,30003940600,2923,809,95091.3693634099,14105.3758496822,6689,729
MT,30003940700,2194,710,87766.7116490902,3092.8351195044897,7512,373
MT,30005000100,1353,635,76500.1714508608,42544.6687385182,7694,464
MT,30005000200,2410,1279,162559.141667854,45341.421274963206,8362,391
MT,30005940100,1398,459,56716.284989912805,355.26123610836504,9059,191
MT,30005940200,1330,470,51392.383138124904,5490.5697225289205,9059,191
MT,30007000100,2077,972,110197.777458146,30533.8845992054,7509,243
MT,30007000200,3535,1723,226729.775026872,71292.58583931731,7509,243
MT,30009000100,2487,1152,151080.228608693,18808.5918706378,7371,399
MT,30009000200,1756,874,111329.05924223599,14256.993419581899,7388,417
MT,30009000300,2222,1730,217011.74630864602,27710.840213512,8297,159
MT,30009000400,2259,1887,267732.633479211,62586.5498642757,8297,159
MT,30009000500,1354,798,109776.088253733,2981.53730081025,7388,417
MT,30011000300,1160,810,97056.9208034476,17778.2047454549,8088,495
MT,30013000100,2621,1193,148904.8974629,45421.4113749052,6762,557
MT,30013000200,3846,1746,211327.93333255302,27391.7181159639,6980,366
MT,30013000300,3432,1488,181383.432949157,47286.625433992194,6980,366
MT,30013000400,1910,984,99466.8245582885,57450.4040334654,6980,366
MT,30013000700,2053,1004,102891.045806245,120651.4152379,6980,366
MT,30013000800,1810,926,100738.110734988,25688.991481269102,6980,366
MT,30013000900,3328,1491,167079.52494737902,27975.2423926291,6980,366
MT,30013001000,3372,1463,207639.21521219698,30070.112578932003,6980,366
MT,30013001100,4343,1888,218438.36210862102,34786.4281775077,6762,557
MT,30013001200,3472,1171,121423.90133896301,62536.7546142922,6762,557
MT,30013001600,4377,2086,230868.51430798302,71623.598138943,6980,366
MT,30013001700,2240,978,127342.191682694,21133.3977600619,7726,297
MT,30013001800,3694,1534,197245.421195078,77310.7509207954,6980,366
MT,30013001900,5749,2253,309908.293579025,33272.2016483926,6980,366
MT,30013002100,4837,2267,240090.71295764,170984.886515117,6762,557
MT,30013002200,6467,3317,356005.75735944795,162707.96927213302,6980,366
MT,30013002300,7157,2845,433998.709814419,89598.1987886892,7519,315
MT,30013010100,3746,1671,192693.073445702,52700.364376815305,6980,366
MT,30013010400,1764,1268,173845.273385506,18290.100162333,7027,293
MT,30013010600,3734,2185,269717.86307633104,53081.824028655705,7569,256
MT,30013010700,4455,1787,233978.158850179,61397.0185560141,7492,226
MT,30013010800,2920,1731,156497.86500684402,149289.703600228,6980,366
MT,30015010200,2125,1157,147283.553462033,41140.0677743063,7460,362
MT,30015010300,3688,1722,206756.183412226,43285.3844488257,7101,448
MT,30017961300,1905,931,109991.810576765,35209.6945605991,7985,587
MT,30017961500,1794,868,100971.018430514,6801.24579598443,7639,731
MT,30017961600,2291,990,123255.66712543699,64880.9741035987,7639,731
MT,30017961800,1456,683,88992.5671002389,6914.40158814981,7639,731
MT,30017961900,1990,825,100755.948508861,44850.5219311896,7639,731
MT,30017962000,2263,1263,126521.398193343,59477.8259419683,7639,731
MT,30019020300,1751,1111,139521.785843612,37308.653202518595,9203,337
MT,30021000100,1456,818,107965.407848985,17393.585856061898,8592,371
MT,30021000200,2590,1176,157078.605712405,50584.1263082934,7479,761
MT,30021000300,4920,2239,290939.160886037,114007.544693513,7479,761
MT,30023000300,2967,1655,195076.878875759,68657.0172307232,8136,139
MT,30023000400,3160,1776,222797.837056235,31781.7581024212,8136,139
MT,30023000500,3171,1691,229334.396972302,44939.800629431906,10232,5
MT,30025000100,2890,1470,183953.409887748,59846.837801620495,8418,518
MT,30027030100,5011,2532,312596.43628087104,94653.9837825442,8199,210
MT,30027030200,6575,3304,383123.50030599604,131778.130179161,8199,210
MT,30029000100,3255,3237,393572.664687316,80251.7820650955,7837,275
MT,30029000201,4543,2187,267315.220471664,47776.9677757314,7728,180
MT,30029000202,2736,1139,162652.316453891,19639.7026206968,7837,275
MT,30029000203,4261,1861,234096.714383493,64512.3358237929,7728,180
MT,30029000300,4369,3571,420229.437466154,50892.099018179004,8400,167
MT,30029000401,5300,2599,328264.996494655,76546.2515407907,8040,148
MT,30029000402,2689,1468,188347.72010948398,87974.53251375731,8400,167
MT,30029000601,4096,1659,231403.366852005,53528.1302690479,8040,148
MT,30029000602,3523,1595,214442.983092531,29066.3889411704,8038,144
MT,30029000700,5790,2348,261197.362992307,73399.2546986938,8040,148
MT,30029000800,7094,3101,419313.67356173706,66381.1729918143,8040,148
MT,30029000900,6855,3217,379520.43984668603,167978.54600806802,8040,148
MT,30029001000,1912,1103,104118.389724817,151259.899367287,8040,148
MT,30029001100,5755,2703,296263.34227192396,90812.7227835847,8040,148
MT,30029001200,7025,2956,350353.335803101,84358.0051902328,8040,148
MT,30029001301,3228,2521,325454.777083776,60681.2929394166,8038,144
MT,30029001302,4788,2434,346454.02618651,35845.0588859453,8038,144
MT,30029001400,5594,3079,412176.693719286,73097.8763655033,8038,144
MT,30029001700,8115,4185,517356.01986571,49448.9428733745,9516,42
MT,30031000101,4703,1899,263783.319025236,57854.3457917738,7559,368
MT,30031000102,1980,1002,141460.674471634,32685.8912708738,9668,5
MT,30031000103,7355,3154,352704.07431266,75705.10698277349,7559,368
MT,30031000200,9162,3591,474038.328813937,67159.97918728269,7559,368
MT,30031000300,3098,1513,189056.196338361,32294.954886502997,7328,357
MT,30031000400,4848,2118,286404.741638713,63782.0234330658,7701,254
MT,30031000501,1940,969,144699.73178447402,32677.250854296602,9668,5
MT,30031000502,4908,2020,304234.695032051,88508.63302160571,7815,199
MT,30031000503,8858,4227,490473.41594503797,80735.3432653002,7815,199
MT,30031000504,2006,957,128624.71729332801,41051.159250085,9668,5
MT,30031000600,2406,1326,130626.04058811901,116546.212830102,7815,199
MT,30031000701,3274,1829,177223.88595957102,167306.949015884,7815,199
MT,30031000702,5869,2707,335725.108497756,60407.6926625666,7815,199
MT,30031000800,2351,1370,148829.92779493,94056.43141625769,7815,199
MT,30031000900,3665,1942,184706.756893257,79609.3585542806,7815,199
MT,30031001001,3235,1352,199039.10161813602,22226.773915602003,7815,199
MT,30031001002,4294,2107,244581.37108825397,84166.99436513269,7815,199
MT,30031001101,4505,1140,93632.79360216731,154944.711104332,7815,199
MT,30031001102,2249,901,104233.866966068,74566.860477026,7815,199
MT,30031001200,4839,2150,294711.122514125,58538.5769247797,7815,199
MT,30031001500,1773,1751,214354.622047782,94525.1276079473,10282,25
MT,30031001600,2195,2264,268504.367618423,64065.100707219804,9938,11
MT,30033000100,1206,844,103536.258443766,14881.5804896827,8246,420
MT,30035940200,5243,1668,179292.652947396,24262.9297689595,9197,47
MT,30035940400,4330,1810,208049.669900963,91114.5626098394,8996,103
MT,30035976000,3802,1797,220405.40334366699,92687.5984699033,8522,163
MT,30035980000,24,73,13171.6075488612,3083.35897876648,8890,27
MT,30037000100,884,476,58046.098231184296,19119.2598138426,7405,259
MT,30039961700,3079,2822,332936.811109717,37377.9590087841,8327,65
MT,30041040100,1336,768,96891.1806791866,23357.9610547199,8123,331
MT,30041040200,1810,890,123081.66317264599,71346.0052740525,8222,387
MT,30041040300,3870,2098,214118.55964094,156774.252671255,8222,387
MT,30041040400,4480,1852,222353.30430793398,78688.8740373694,8222,387
MT,30041040500,2421,1034,139032.091714254,14421.896318369,8222,387
MT,30041940300,2179,608,72386.5174612046,0.0,7807,469
MT,30043962201,3899,1487,230687.079604015,23423.0859092442,7540,407
MT,30043962202,3977,1846,235550.55048340198,43810.8442762523,8295,157
MT,30043962300,3530,1722,209286.29697093,44328.7779763829,7306,247
MT,30045000100,2072,1336,163595.663205851,22451.3202836438,7598,279
MT,30047000100,1463,1246,160267.499130425,18013.8996325158,8269,91
MT,30047000200,1703,1675,223214.595979928,15426.3640648876,6932,234
MT,30047940301,4913,3355,398233.066388739,85632.355768133,6932,234
MT,30047940303,5591,4076,524703.568038094,81613.36949685709,6927,339
MT,30047940400,3847,1527,170881.303586903,46956.448205419,7173,275
MT,30047940500,5102,2043,249925.434143693,93936.5856947625,7224,231
MT,30047940600,4131,1820,227067.763308933,93721.5160211608,6799,310
MT,30047940700,1996,846,91240.54089816619,17869.8068939147,6799,310
MT,30049000100,2132,1840,213592.358370145,45105.7265458375,7552,200
MT,30049000200,4655,1990,275333.949551387,18171.2774389466,9043,102
MT,30049000300,2513,2081,285197.18994915,20713.2903497493,6705,359
MT,30049000400,5958,2548,312454.292240204,149518.80161986302,7540,407
MT,30049000501,3919,1552,201320.420583954,12592.170912123898,7540,407
MT,30049000502,5898,2539,319258.40508160304,88949.8286536901,7540,407
MT,30049000600,2268,1031,148178.029094704,12612.7953749265,9043,102
MT,30049000700,6816,3119,390218.222917348,112923.366741615,7540,407
MT,30049000800,4305,2036,213305.096323148,208773.19756688603,7540,407
MT,30049000900,3895,2030,228227.56392754603,151019.37342181,7540,407
MT,30049001000,3964,2047,267179.94998318603,139515.287556531,7540,407
MT,30049001100,5548,2598,286179.916273552,201817.918536156,7540,407
MT,30049001201,6709,2669,345769.238250282,40134.0203611665,7540,407
MT,30049001202,4815,2100,297078.36848083604,21078.2133505858,7390,291
MT,30051050100,2339,1043,120966.91565814901,63957.705256565896,8682,285
MT,30053000100,3589,2020,235871.811561033,42432.7191511146,7161,250
MT,30053000200,2379,1274,123915.56367836401,92566.73082797449,7457,189
MT,30053000300,3922,2018,242614.428818172,38796.866756872594,7161,250
MT,30053000400,6221,3771,435433.752819424,76297.4573557478,7209,339
MT,30053000500,3576,2330,266490.68968903896,38285.157314229,7271,217
MT,30055954000,1734,1008,133104.878186821,31906.713011736698,7951,572
MT,30057000100,3108,3881,458730.677680552,53933.5598518904,8124,104
MT,30057000200,2580,1688,208662.086719276,30447.298643551898,7923,115
MT,30057000300,2003,1371,168461.08331365,37957.116157873905,8357,109
MT,30059000100,1891,1432,173486.024850327,44632.200016660194,8385,149
MT,30061964500,2087,1187,139003.475752389,28717.072797275,6710,363
MT,30061964600,2136,1259,146644.099278234,29823.5479200623,7174,212
MT,30063000100,5712,2629,329605.86576904,71291.376316059,7349,302
MT,30063000201,8056,4122,393890.961365508,273616.553118832,7349,302
MT,30063000202,10739,4652,545739.481146261,163922.211000651,7283,331
MT,30063000300,2022,1386,112140.56620316699,274233.424862737,7349,302
MT,30063000400,2782,1251,153791.601211228,28190.1265295697,7349,302
MT,30063000500,7416,2398,235347.367122957,367203.72462168796,7349,302
MT,30063000700,2614,1416,143011.41331224,51122.312831195704,7349,302
MT,30063000800,6026,2960,315033.92335055803,63615.2632798771,7349,302
MT,30063000901,5735,2455,296148.323263769,123887.96931177199,7283,331
MT,30063000902,2337,1067,148512.480915709,27788.321070162798,7223,283
MT,30063001000,4972,2430,266260.019788057,165568.54833847302,7349,302
MT,30063001100,2954,1559,149344.615593836,41283.138872112,7349,302
MT,30063001200,4728,2339,248016.098125057,145900.50939777802,7349,302
MT,30063001302,6241,2619,348323.880474665,46304.175716315,7349,302
MT,30063001303,4850,2077,252034.806697069,66764.3060875337,7349,302
MT,30063001304,6738,2518,354686.70112985,44750.929424517,7283,331
MT,30063001400,6750,2961,383014.99741951795,57642.89862509481,7349,302
MT,30063001500,6539,2600,351502.826990875,38558.291182515,7283,331
MT,30063001600,7448,2987,416205.616254045,82529.57817829419,7223,283
MT,30063001800,4640,3680,452267.532293165,53426.6802599225,8456,120
MT,30065000100,2539,1547,185905.94895639102,24056.6844683155,6607,606
MT,30065000200,1999,1107,131443.312700152,48580.6716022302,6607,606
MT,30067000100,1785,1027,134950.858081744,14945.0332353447,8906,55
MT,30067000200,4067,2618,341810.81154098397,38362.6381281445,7481,180
MT,30067000300,3210,1722,188523.68334465302,48496.688420932405,7603,229
MT,30067000400,5048,2688,324142.241315356,108807.296816765,7603,229
MT,30067000500,1493,1305,172159.180216074,59161.7711887887,7248,386
MT,30067980600,33,15,1153.39123788388,910.4498096515781,7248,386
MT,30069000100,494,324,39034.3278626462,4008.0229423897,8053,404
MT,30071060200,4253,2335,296665.330149237,79279.7383165933,7771,573
MT,30073977000,3769,1838,224712.85667011,95313.3169807267,8186,192
MT,30073977200,2384,821,93484.61289754859,43019.775003065,8567,124
MT,30075000100,1743,1022,120624.377296415,25945.4965823998,7215,647
MT,30077000100,1431,1050,132147.792151061,15156.2020821675,9437,47
MT,30077000200,5596,2055,247379.798738045,146260.04059696,8751,72
MT,30079000100,1179,673,83518.2546534792,10936.5457675357,8074,603
MT,30081000100,3963,1657,220242.92384947801,29079.116046348398,6878,288
MT,30081000201,3529,1800,224167.97859021698,64245.982673403494,6878,288
MT,30081000202,6666,2844,381039.039644268,43961.5332384609,6878,288
MT,30081000300,2889,1460,181290.901539898,29381.329680990897,7301,256
MT,30081000401,2657,1016,146408.217814927,23857.7792334042,7301,256
MT,30081000402,5423,2477,309613.975930758,41383.8453141051,7466,208
MT,30081000500,5561,3040,343441.438615207,176800.709372842,7301,256
MT,30081000600,6144,3002,346517.74972874,70318.032054132,7301,256
MT,30081000700,2018,1162,143636.09441508199,25886.874850559703,7087,241
MT,30081000800,1362,1125,135943.163093259,31795.321408352596,8442,49
MT,30083070100,1476,705,83779.7766497632,14704.2285305809,8394,535
MT,30083070200,1573,743,102213.13264109401,10014.8548108181,7746,635
MT,30083070300,3929,1767,211144.45883085698,88514.5793224873,7675,618
MT,30083070400,2768,1335,176789.376664256,47587.3524193242,7675,618
MT,30085080100,1578,812,114437.215882788,25339.8613998662,8394,535
MT,30085940001,4549,1771,214832.793934275,60905.375442579694,8034,674
MT,30085940002,4298,1480,174695.436505202,52389.9753545494,8818,402
MT,30087000100,2520,1372,164474.982387597,38482.204911978195,7660,584
MT,30087000200,1376,748,95212.51799708641,78644.1876426134,7371,498
MT,30087000300,2219,989,123690.54924529699,27615.0572480202,7371,498
MT,30087940400,3118,948,111086.117725746,23654.4145448053,7999,357
MT,30089000100,3544,2054,244779.26068948,53619.4532726725,7180,322
MT,30089000200,5988,3547,419281.72892854206,69050.4635124226,7213,188
MT,30089940300,1881,1077,108197.202606039,20104.682437161202,7180,322
MT,30091090200,2378,1408,161347.774640889,95805.61087995631,8852,446
MT,30091090400,1006,681,84066.4746972692,12856.5730708024,9099,423
MT,30093000100,4919,2740,268319.026686293,203609.276864451,9220,80
MT,30093000200,4644,2382,279836.85918678803,49663.736239399805,9220,80
MT,30093000300,2380,1184,144271.172372381,32443.1347503491,9220,80
MT,30093000400,3968,1882,233147.80638959698,35427.644752414,9220,80
MT,30093000500,4538,2051,268119.74217657896,75415.900047795,9220,80
MT,30093000600,4775,2236,239677.76871823898,89621.0547778675,9220,80
MT,30093000700,3422,1724,223111.29812097602,49713.716916418896,9220,80
MT,30093000800,5554,2518,345698.240929568,114395.97296708,8860,97
MT,30095966400,3797,1855,261714.09406723,48146.7221034729,7208,349
MT,30095966500,2222,1598,214286.797586993,33089.740468025404,7062,208
MT,30095966600,3098,1350,174890.44060489698,18263.994196273998,7159,422
MT,30097967000,3651,2148,269740.725757315,55592.4353050232,6995,408
MT,30099000100,1819,819,101118.82726377301,30763.6336564032,7697,249
MT,30099000200,1809,821,115619.87491813599,20450.839058291698,7697,249
MT,30099000300,2445,1252,146928.01462328,65789.1942031291,8567,124
MT,30101000100,1249,636,81607.0519832986,17910.4982006094,8193,260
MT,30101000200,3456,1700,205647.753367,117704.064085595,8023,243
MT,30101980000,619,0,0.0,5750.698318141651,8023,243
MT,30103963500,718,422,51111.2582705951,10208.4648251456,7184,522
MT,30105100100,1513,1058,141015.667816565,15242.6016334454,7924,550
MT,30105100500,2793,1475,162046.866967811,86815.2887318108,8124,636
MT,30105940600,3063,2346,282952.92221328197,49399.5197409436,8298,518
MT,30107000100,2168,1197,130794.37826372699,36572.9538178687,8114,194
MT,30109000100,1017,538,63823.1794547019,11290.2277281445,8406,427
MT,30111000200,3751,2054,186845.94663551397,183149.69921801102,6339,651
MT,30111000300,4011,1684,182244.081567676,155851.16455408,6339,651
MT,30111000401,2997,1567,191725.857214151,35869.1204342092,6781,637
MT,30111000402,3323,1726,174304.038716954,423015.881237875,6781,637
MT,30111000500,4116,2181,256560.19165701602,41493.7489833296,6781,637
MT,30111000600,3145,1071,150866.365163079,53653.45577880929,6781,637
MT,30111000701,5057,1993,266216.07597937697,37861.426183680094,6781,637
