state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
NC,37001020100,3908,2033,259446.42213249198,179670.760604599,3505,1571
NC,37001020200,4152,1867,235921.87494033898,60937.3332568575,3505,1571
NC,37001020300,8063,3074,387240.116001832,151865.810897345,3710,1487
NC,37001020400,6059,2640,347096.527564008,48262.20005171651,3505,1571
NC,37001020501,3575,1605,225709.236936649,28051.7019011292,3505,1571
NC,37001020502,3782,1502,193971.70378980399,67206.9881533936,3505,1571
NC,37001020601,3234,1428,250901.76369245,52130.49696501691,3653,1431
NC,37001020602,2414,1285,194625.362071749,40858.1073386929,3505,1571
NC,37001020701,4519,2536,319707.608560898,211722.682297892,3653,1431
NC,37001020702,4742,2455,277603.952355578,72221.6157627248,3505,1571
NC,37001020801,1450,716,97448.13603257689,113212.481222275,3505,1571
NC,37001020802,5857,2696,334546.828759353,101250.656867984,3505,1571
NC,37001020901,3583,1571,209568.071503845,65534.4553197821,3505,1571
NC,37001020902,3380,1407,240492.90106980398,9808.51734106802,3505,1571
NC,37001021000,3720,1792,208310.169395241,68262.2738042632,3710,1487
NC,37001021101,2668,1281,173290.559769465,50104.932330425196,3710,1487
NC,37001021102,3318,1538,193746.87009681397,47987.300322394505,3710,1487
NC,37001021201,5252,2382,295051.13300736697,43450.937849124704,3710,1487
NC,37001021204,4280,1764,252427.962648407,35270.5464243403,3710,1487
NC,37001021205,4636,2067,253020.127740203,80657.8625730877,3710,1487
NC,37001021206,4320,1821,239622.581666601,34713.0357095833,3710,1487
NC,37001021207,3086,1450,193542.487412935,99888.7923454738,3710,1487
NC,37001021300,6057,2502,355576.15672910295,40176.756036417595,3710,1487
NC,37001021400,2650,1205,177337.96280083602,25859.3752487848,3710,1487
NC,37001021500,4681,2005,278286.231605004,33818.0071310247,3505,1571
NC,37001021600,6934,2381,307150.076562102,123669.831597029,3653,1431
NC,37001021701,3237,1428,224333.71379526198,33518.8590960316,3653,1431
NC,37001021702,5282,1879,296148.13791477197,71010.0663875316,3653,1431
NC,37001021703,4866,2436,310226.842057901,147042.37750836,3653,1431
NC,37001021801,4441,1936,290144.361353265,35672.7230982821,3653,1431
NC,37001021802,3553,1535,220425.658504808,16221.056445151298,3653,1431
NC,37001021803,2879,1250,164253.504657134,16442.165592093403,3605,1445
NC,37001021901,4535,1984,266938.302812288,28102.3334011047,3710,1487
NC,37001021902,4423,1840,253168.02503852398,23417.0475386629,3710,1487
NC,37001022001,3319,1486,225361.962125239,22739.7842618631,3710,1487
NC,37001022002,4276,1799,248108.534779719,25857.6099953346,3710,1487
NC,37003040100,3476,1542,206671.728664387,14087.352675715701,3544,1419
NC,37003040200,3994,1796,241188.188458891,26222.7192398244,3544,1419
NC,37003040300,3202,1406,181371.626922808,18509.5374075866,3544,1419
NC,37003040400,6552,3026,404742.494779301,154316.130660231,3544,1419
NC,37003040500,6982,2997,385434.835366104,52069.1815039577,3544,1419
NC,37003040600,6347,2472,318750.318899326,52587.48720922809,3544,1419
NC,37003040700,6645,2950,440535.24454632896,53478.983837173204,3620,1363
NC,37005950100,4079,3381,454658.377730716,35768.6919497504,5117,708
NC,37005950200,3870,2125,259396.253520055,99293.0973460017,5117,708
NC,37005950300,3206,2588,351860.982565453,26645.0565488513,5117,708
NC,37007920100,3411,1676,224814.39795926,13476.700636119,3264,1661
NC,37007920200,1738,844,106841.470099445,7191.06695368249,3264,1661
NC,37007920300,8178,2747,362260.16089252604,69353.51276067129,3264,1661
NC,37007920400,3032,1407,185668.02643094602,34182.2795290849,3264,1661
NC,37007920500,6138,2867,373633.36602808296,170993.06125427698,3264,1661
NC,37007920600,4451,2035,261050.109012235,19410.0462268493,3264,1661
NC,37009970200,2884,1708,219826.06026865199,17978.5963667612,5604,391
NC,37009970300,2470,1596,202288.19578894103,16910.3041574402,5036,577
NC,37009970400,4525,2506,332111.82031954697,94732.9522017425,5604,391
NC,37009970500,6528,3780,476987.422045958,142358.023509861,5604,391
NC,37009970700,5926,4225,606985.16242828,45481.33348081559,5604,391
NC,37009970800,4948,3527,470507.436068768,43034.1743843307,5898,303
NC,37011930100,3100,2618,333023.961311984,64690.2442525947,7173,42
NC,37011930200,2723,5316,674428.691245933,84933.1681644981,6794,84
NC,37011930301,3515,2338,306133.916868593,74526.16836300389,6004,204
NC,37011930302,3130,1724,214311.521350913,25138.5409330369,6004,204
NC,37011930400,5329,1894,256390.662942139,53638.126671299804,5273,400
NC,37013930100,5351,2752,352779.233317025,94242.7030389654,3009,1720
NC,37013930200,6185,2670,353768.076975876,61331.243121939406,2742,1950
NC,37013930300,4071,2171,245424.374282141,181362.527027304,2742,1950
NC,37013930400,5189,2332,297065.454876521,163610.05642021302,2742,1950
NC,37013930501,4845,2379,333389.995927423,38528.2839939102,2742,1950
