state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
ND,38001965600,2343,1377,162036.747163225,52751.0892991588,8304,463
ND,38003967900,1695,927,130953.341430806,29352.5297646037,9279,399
ND,38003968000,2740,1447,189974.544948421,45786.7059730372,9279,399
ND,38003968200,3007,1520,167404.864203692,83160.2986039734,9279,399
ND,38003968300,3624,1810,201637.409893406,85568.25454810349,9279,399
ND,38005940100,2524,850,91918.9198317798,23359.725910545098,9784,310
ND,38005940200,1994,777,89861.76855842599,12983.850157563898,9239,471
ND,38005956500,1170,687,79367.4392936039,16917.365285511398,9820,320
ND,38005956600,972,636,72613.5749835531,19916.089244593502,9784,310
ND,38007963100,783,484,63922.5886915476,18226.3686676027,8247,466
ND,38009952300,2289,1150,131535.097174544,66125.96796746411,9922,321
ND,38009952400,2279,2197,257208.57013285,32361.288032391298,9922,321
ND,38009952500,1861,994,137524.736665589,32168.978237914904,9348,406
ND,38011965200,1855,967,133850.428414324,50690.8717860537,8519,432
ND,38011965300,1296,716,96875.7594945451,26906.8572338166,8519,432
ND,38013953300,1968,1340,185032.201848147,37824.8225039069,9923,296
ND,38015010100,3221,1983,198976.014440362,249018.98331659898,8650,423
ND,38015010200,5006,2443,273605.6816822,164547.076922014,8559,520
ND,38015010300,5926,2777,312679.47465869,90544.9742007346,8650,423
ND,38015010400,3474,1827,222707.90718479198,169209.42125015802,8650,423
ND,38015010500,5022,2186,250211.67171821103,95845.0003716546,8650,423
ND,38015010600,4644,2173,251906.77671385198,59981.826102688494,8650,423
ND,38015010700,4298,1839,216455.07549404103,92738.41687964689,8559,520
ND,38015010800,3916,1810,195282.099885084,148469.651193781,8559,520
ND,38015010900,4563,1836,214651.921945878,125744.822781955,8559,520
ND,38015011001,4438,2109,234475.103055669,108829.96509906699,8650,423
ND,38015011002,5815,2076,279138.149608313,23677.918999989903,8650,423
ND,38015011101,5064,2577,277864.442989693,63638.489236831505,8650,423
ND,38015011103,3030,1485,163106.894184527,53886.73724927769,8650,423
ND,38015011104,3993,1430,230661.532123652,14902.1120355099,8650,423
ND,38015011105,3480,1245,176112.57218447397,12338.2670227198,8650,423
ND,38015011200,5834,2195,280620.875041927,69444.2808897411,8559,520
ND,38015011300,5732,1964,273612.63743035303,63044.9321314061,8559,520
ND,38015011400,2352,1021,140063.969444559,19258.2426548441,8333,609
ND,38015011500,1500,778,105892.741783744,13753.0872609447,9140,382
ND,38017000100,5162,1958,320736.586347893,31829.6963618477,8739,591
ND,38017000201,3457,2052,181858.253304598,13245.6507552003,8800,551
ND,38017000202,3092,1554,167216.463584262,43156.4354705951,8800,551
ND,38017000300,5013,773,105546.305321006,217031.71817404398,8800,551
ND,38017000400,3853,1765,202858.52045835397,56449.4661137968,8800,551
ND,38017000501,3717,2071,211790.500412475,97218.3879620094,8739,591
ND,38017000502,2907,1416,134254.555078482,18789.639863225802,8800,551
ND,38017000600,4929,2308,231460.39393196398,513592.247644315,8800,551
ND,38017000700,1715,1433,107765.94720811301,246978.921066925,8739,591
ND,38017000801,3271,1780,174023.46724031802,80562.2629062229,8739,591
ND,38017000802,5167,2457,269892.158518913,60837.6480115832,8800,551
ND,38017000901,4987,2152,276700.653124761,57143.731772901396,8739,591
ND,38017000903,3599,2137,172762.118798684,61317.492420357004,8800,551
ND,38017000904,4008,1911,212002.141144495,26897.4737545707,8800,551
ND,38017001001,5417,2827,302755.399717099,64308.8759755392,8739,591
ND,38017001002,2780,1389,138831.142251999,57874.0419785491,8739,591
ND,38017010106,4292,2459,177522.562690939,157091.234282761,8800,551
ND,38017010107,2872,1584,128522.89833278599,257342.542421189,8800,551
ND,38017010108,5501,2599,250040.544674349,50326.32018741639,8800,551
ND,38017010109,3728,1547,199852.181747121,52801.7214847587,8800,551
ND,38017010201,5433,2200,290498.412433445,73626.86713926161,8800,551
ND,38017010203,2988,1387,141797.907399954,34662.2172013624,8800,551
ND,38017010204,6035,2518,314193.14949146396,25625.4452732908,8800,551
ND,38017010303,6281,2744,309571.595191571,53195.3524855726,8739,591
ND,38017010305,5670,2573,281938.89873599104,56588.4495289391,8800,551
ND,38017010306,4017,1888,198817.43030003397,59114.4833026679,8739,591
ND,38017010307,2273,789,143439.316293749,25509.502697434502,8739,591
ND,38017040100,1955,913,124466.65642164699,34325.8147323881,8560,529
ND,38017040200,2291,991,134726.969432851,27806.158303339904,8974,484
ND,38017040300,3213,1313,176115.363415433,53566.2206761702,8974,484
ND,38017040400,3576,1268,177471.748367071,40988.8204666854,8800,551
ND,38017040500,23686,10000,1183594.00771419,117563.31479919699,8800,551
ND,38017040600,2893,1182,179158.128951567,36868.3857117521,8974,484
ND,38019950900,1848,1049,131020.22322860401,71052.8959487368,10522,231
ND,38019951100,2145,1260,175128.54517849302,32584.6268783062,10522,231
ND,38021973200,2318,1132,130432.15266085,78099.7770759012,9008,486
ND,38021973300,1500,770,104856.129043761,17952.2116646403,8584,586
ND,38021973400,1471,734,83013.9783273242,36044.1498749109,8584,586
ND,38023954500,2071,1324,169384.07348315,58334.2832596647,9136,398
ND,38025962200,3536,2132,268082.50586612197,44295.1477178629,8762,425
ND,38027959200,2385,1323,150974.12481223,41398.1517728212,9326,419
ND,38029966500,3550,2085,254092.329734014,71231.54808216731,8686,572
ND,38031959600,3343,1801,219746.626506487,77596.4278635565,8484,531
ND,38033962900,1680,967,112779.739837437,42329.319577269,8217,463
ND,38035010100,3176,1703,181923.10759759898,93162.7981902632,9222,462
ND,38035010200,4381,1952,235621.061172419,47015.8122353359,9222,462
ND,38035010300,5212,1028,94679.53208417,201090.30159335397,9222,462
ND,38035010400,6004,2629,263382.901124757,46505.8688571859,9222,462
ND,38035010600,2127,1114,109234.002290165,52321.227412458495,9222,462
ND,38035010700,1883,864,94502.0862270366,26928.689715777404,9222,462
ND,38035010801,4428,1941,215277.06031005102,135903.39793511198,9222,462
ND,38035010803,5626,3044,270886.034705712,95532.10301933439,9222,462
ND,38035010804,4259,2213,188892.693346245,88390.92343921891,9222,462
ND,38035010900,1657,691,91725.7727718811,11096.339252748101,9222,462
ND,38035011000,2340,1050,121830.725850732,25104.1663641604,9222,462
ND,38035011100,4617,1713,263635.598127491,19441.169092706597,9222,462
ND,38035011200,6231,3164,359592.268545018,95225.42910045119,9222,462
ND,38035011400,2273,1040,141195.614617961,23298.038975751402,9516,379
ND,38035011700,5882,2316,308337.94765680697,255073.28492977802,9222,462
ND,38035011800,1652,770,106702.29920596801,44370.2130499513,9579,367
ND,38035011900,2367,807,113226.87904184099,46749.4586771021,9516,379
ND,38035012000,2746,1305,175150.474952233,37599.4396972799,9579,367
ND,38037965900,2394,1690,207616.462218116,52463.6477504817,8679,437
ND,38039968600,2420,1461,170653.78214765,57593.2887975017,9618,328
ND,38041964700,1134,675,77119.1877824772,23501.4028560938,8569,472
ND,38041964800,1343,739,95115.0640793753,27602.608507291898,8284,465
ND,38043966800,2435,1674,206134.654848627,37667.0728019618,8877,465
ND,38045972100,1521,793,97672.40548081131,45655.1548289658,8591,567
ND,38045972200,2618,1445,183450.05725378398,51346.488152857004,8772,449
ND,38047972500,1990,1144,133033.43795922401,39733.608110121604,9046,364
ND,38049955600,2512,1400,161863.940364582,40117.669427055494,8728,508
ND,38049955900,2883,1548,195867.48545092897,42128.5557798812,8986,473
ND,38051972900,2809,1858,234822.832449086,67345.6935450403,8778,488
ND,38053940100,1399,516,60514.623941761696,1535.40855880255,8526,496
ND,38053962300,1723,920,123854.341158435,32900.3116079678,8937,416
ND,38053962400,1930,962,128002.736784311,37971.9810948537,8937,416
ND,38053962500,1308,692,93529.5800917431,7179.4539547666,7675,618
ND,38055960800,3909,2129,287994.679333051,66254.7325238699,8706,472
ND,38055961000,5053,3461,425433.86439291795,93662.0576444907,9279,361
ND,38057961600,2590,1139,152665.795790069,35412.6881061983,8432,542
ND,38057961700,3205,1555,186683.640973133,49075.8453972226,8432,542
ND,38057961800,2629,1756,229228.21822166603,45425.963659168396,8711,436
ND,38059020100,5136,2413,294286.54324664,114713.702278975,8670,501
ND,38059020200,7105,2996,385046.12053868297,83711.399609124,8670,501
ND,38059020300,8561,3545,431135.414582775,106327.250413874,8670,501
ND,38059020400,3026,1308,176282.312741508,42871.5942194788,8670,501
ND,38059020500,3643,1817,215923.28325419602,72296.1240063789,9019,432
ND,38061940300,1202,683,88517.18351918859,19274.7794461317,9791,281
ND,38061940400,2479,1420,159235.163253424,40431.588783422005,8526,496
ND,38061955200,3992,2016,267788.546512365,76918.3277375401,9791,281
ND,38063959000,3126,1927,232254.820198902,72053.0889067985,9591,421
ND,38065961200,1846,905,122666.020202127,15259.1384061525,8325,509
ND,38067950100,1367,687,92800.56762079029,28373.517079432997,10168,294
ND,38067950200,1667,846,104921.81182563401,35620.3255839805,10007,279
ND,38067950300,1412,768,98963.01311430051,33547.288133263704,10007,279
ND,38067950400,1434,729,93517.3168932502,33931.4418274064,10007,279
