"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"NE",31001965400,4169,227659.927979879,44713.4895551388,6030,1078
"NE",31001965500,4129,231256.486496373,73215.5857973872,6030,1078
"NE",31001965600,5536,282741.766649736,100499.163137839,6264,961
"NE",31001965700,1288,68734.8725321477,132616.859913105,6030,1078
"NE",31001965800,2421,129018.348136207,53656.3355770239,6030,1078
"NE",31001965900,4359,253693.023751931,140746.52146753,6030,1078
"NE",31001966000,4776,242658.278267092,126656.200053803,6030,1078
"NE",31001966100,2346,109497.380727949,71383.814720085,6030,1078
"NE",31001966200,2340,137110.947366202,26302.3368357373,6030,1078
"NE",31003979600,2146,133088.806018501,24946.9745068802,6942,867
"NE",31003979700,1758,108191.253165964,40645.5443498326,7005,758
"NE",31003979800,2781,160499.849050963,54288.912564048,6972,739
"NE",31005958300,460,35890.4868476311,4457.39494222454,6746,747
"NE",31007954000,690,42875.7754833743,6982.31384974437,6931,522
"NE",31009972400,478,38660.6713628897,8852.91651555091,7041,750
"NE",31011960100,3626,218098.811799439,49195.7836547907,6908,793
"NE",31011960200,1879,109224.989088991,54089.4497994131,6908,793
"NE",31013951100,2259,155573.294913381,40194.5010401017,6822,644
"NE",31013951200,4832,285229.795712893,56131.5527135991,7309,564
"NE",31013951300,4217,236089.478638266,110751.572433135,7309,564
"NE",31015975800,2099,161938.820458227,49085.9709292812,7221,747
"NE",31017975000,3145,208136.072945396,64757.6914452871,6229,917
"NE",31019968900,3555,213312.341437328,65595.3989707977,6829,785
"NE",31019969000,4103,228712.707334341,41719.1326000711,6512,871
"NE",31019969100,4782,252606.522197455,66789.2036498159,6512,871
"NE",31019969202,3274,184088.11320874,36351.4736728556,6512,871
"NE",31019969203,5347,296817.038256865,69946.6999317655,6512,871
"NE",31019969204,4995,263747.274726744,78798.1291746265,6512,871
"NE",31019969300,2274,102395.128244379,59712.499011718,6512,871
"NE",31019969400,3992,229292.411031087,76938.49016937,6512,871
"NE",31019969500,2349,122171.30541783,148032.726095194,6512,871
"NE",31019969600,5475,188394.169503862,94186.962396692,6512,871
"NE",31019969700,5956,305391.623771505,147436.660020542,6512,871
"NE",31021963200,2158,141052.832418881,30825.8788306997,6786,886
"NE",31021963300,2668,169496.484481863,41863.6893828538,6786,886
"NE",31021963400,2032,139244.093842817,39921.0862339517,6786,886
"NE",31023967600,3327,242221.457375058,35677.646957544,6760,903
"NE",31023967700,3110,156533.722714225,61820.6558944409,6760,903
"NE",31023967800,1958,134880.814842734,23318.7560247947,6760,903
"NE",31025965600,3706,217825.209983186,97665.9932888357,6296,975
"NE",31025965700,4778,301250.278167142,49026.3281670185,6296,975
"NE",31025965800,2953,221303.021856452,41004.9867615786,6133,1180
"NE",31025965900,4998,284392.92695226,55329.4268062154,6134,1007
"NE",31025966000,4301,271706.652059261,26713.7113621478,6009,1055
"NE",31025966100,4505,243901.127363944,22067.4450357055,6272,1056
"NE",31027977100,4656,254385.158205079,74710.3017562848,7034,793
"NE",31027977200,4196,262381.882512295,70903.5998437167,7034,793
"NE",31029961900,3966,241426.012704996,98665.7238229448,6630,776
"NE",31031955800,4287,285401.764892154,98114.9011311472,6899,746
"NE",31031955900,1426,104129.438760474,13203.2872485985,7028,506
"NE",31033954800,3157,230207.419538098,75618.8936064007,6608,667
"NE",31033954900,4097,236256.971963666,55443.1412438699,6222,831
"NE",31033955000,2744,174981.208224858,135489.514657796,6222,831
"NE",31035962100,3638,215424.969658825,70414.8363612714,6241,966
"NE",31035962200,2904,171601.39163204,57107.4063507395,6241,966
"NE",31037964600,2225,149832.633073231,86014.3725604334,6841,887
"NE",31037964700,1774,109933.101705589,31223.8755125886,6841,887
"NE",31037964800,6516,272373.679257746,75358.580523002,6760,903
"NE",31039972700,2616,154043.454660862,40330.6962612849,6822,907
"NE",31039972800,4251,247888.261468421,102739.612381319,6822,907
"NE",31039972900,2272,129892.196977925,43276.0012334244,6822,907
"NE",31041971700,2721,195178.323947088,37398.9548366246,6651,768
"NE",31041971800,2827,206736.026641907,44374.8576668297,6985,682
"NE",31041971900,3949,245316.985444325,111711.817276306,6995,690
"NE",31041972000,1442,104203.952407369,10524.3351342038,6728,793
"NE",31043010100,6571,259205.70658306,78315.498265516,6863,870
"NE",31043010200,6621,297428.894553047,89617.1527814392,6863,870
"NE",31043010300,4381,205023.81951118,64944.7986946074,6863,870
"NE",31043010400,3433,178424.556146303,33546.2660967014,6863,870
"NE",31045950600,3013,199874.756214075,71397.9372410012,7146,712
