"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"NJ",34001000100,2417,106849.643999691,29137.179823898,4457,1020
"NJ",34001000200,3202,197674.536920794,18445.155307293,4457,1020
"NJ",34001000300,4373,165473.223858774,19445.5350970843,4457,1020
"NJ",34001000400,2606,197796.050074412,161258.032511625,4457,1020
"NJ",34001000500,3503,110793.843620128,28038.3231498738,4457,1020
"NJ",34001001100,2027,87835.4572639599,13082.7920177959,4457,1020
"NJ",34001001200,3174,158176.343821751,217141.06647354,4457,1020
"NJ",34001001300,1984,103927.841637682,34718.8882889491,4457,1020
"NJ",34001001400,3623,151955.463674323,392749.74399427,4457,1020
"NJ",34001001500,1438,72009.7973666462,9727.87716232289,4457,1020
"NJ",34001001900,1568,90571.9630791954,3131.29700036122,4457,1020
"NJ",34001002300,2861,118205.646885059,59752.3556347659,4457,1020
"NJ",34001002400,2752,158216.476976271,581886.289769454,4457,1020
"NJ",34001002500,4030,214352.768906198,392353.508633246,4457,1020
"NJ",34001010101,3497,368317.732700145,32433.8446498068,4457,1020
"NJ",34001010102,1702,271764.899860081,29996.9975492139,4457,1020
"NJ",34001010104,1491,208423.692668168,44936.5502335585,4457,1020
"NJ",34001010105,2760,264913.201605931,17505.2552293163,4457,1020
"NJ",34001010200,5890,321801.824970856,104756.353184578,4457,1020
"NJ",34001010300,2521,120184.391638168,37487.4906431397,4903,1057
"NJ",34001010401,5536,320993.484283954,179469.630024151,4903,1057
"NJ",34001010403,6992,291088.182156923,64870.0109317187,4903,1057
"NJ",34001010501,7299,453623.699290555,66793.3837840104,4457,1020
"NJ",34001010503,7718,333680.958809754,21055.8239947968,4903,1057
"NJ",34001010505,3044,184108.373198053,37208.6894673755,4457,1020
"NJ",34001010506,5458,265120.384734893,58967.882185703,4903,1057
"NJ",34001010600,4243,204670.32412403,116878.991453421,4903,1057
"NJ",34001010700,6147,307855.776400351,74045.9530230494,5035,1072
"NJ",34001010800,3106,154083.412123656,61510.4523670299,5035,1072
"NJ",34001010900,5880,275628.931162816,96769.6642711747,5035,1072
"NJ",34001011000,2666,120211.048137423,72179.1585197426,5035,1072
"NJ",34001011100,3139,138526.982999157,67490.2491015028,5035,1072
"NJ",34001011201,1885,96701.8498336942,31388.3136815697,5035,1072
"NJ",34001011202,7570,381489.800078177,84775.9753326651,5057,975
"NJ",34001011300,4603,212335.562867741,69197.3429445986,5035,1072
"NJ",34001011401,4759,268552.391242737,66146.7787751843,5035,1072
"NJ",34001011403,5793,275380.779213701,84295.5754166668,4903,1057
"NJ",34001011404,9359,438050.372519851,105415.501220498,4903,1057
"NJ",34001011500,6592,323244.425668823,72196.2538311003,5057,975
"NJ",34001011600,4942,263717.453550464,46186.560591236,5057,975
"NJ",34001011701,9371,422062.77907585,154202.046022543,4903,1057
"NJ",34001011702,3236,143550.618916459,163221.350287588,4903,1057
"NJ",34001011802,15765,808055.888018876,89626.2571836691,4903,1057
"NJ",34001011803,4688,260823.515473681,119808.036961924,4903,1057
"NJ",34001011804,7189,376692.091876348,40049.385003315,4903,1057
"NJ",34001011805,2283,130678.347986472,25540.5321780851,5057,975
"NJ",34001011900,8031,316689.925514263,114623.677517296,4903,1057
"NJ",34001012000,4519,190812.526600145,118556.075519633,4457,1020
"NJ",34001012100,3138,122429.297554747,41743.8441342351,4457,1020
"NJ",34001012200,5161,206810.625965843,113798.885456948,4903,1057
"NJ",34001012302,3437,175576.895491081,80807.0647382699,4903,1057
"NJ",34001012401,3014,151575.212911213,61347.035588006,4903,1057
"NJ",34001012402,2173,124105.080650452,70386.9655858389,4903,1057
"NJ",34001012501,2461,139006.084468823,50341.6490078555,4903,1057
"NJ",34001012502,1621,86301.9994599656,43957.2589544676,4903,1057
"NJ",34001012602,1418,85343.2418866974,23346.8128190552,4903,1057
"NJ",34001012701,3408,179012.454120647,38676.4648211608,4903,1057
"NJ",34001012702,1786,95853.6419002812,31248.9593556853,4903,1057
"NJ",34001012801,3892,202010.138049316,87715.2419007782,4903,1057
"NJ",34001012802,1709,137733.675476201,98591.4923662467,4903,1057
"NJ",34001013000,3616,402005.381349384,95989.00027968,4457,1020
"NJ",34001013101,1192,157454.854668706,16997.0755875099,4457,1020
"NJ",34001013102,1546,285454.628340285,42296.7096003729,4457,1020
"NJ",34001013201,2642,215784.220451548,36598.5026267451,4457,1020
"NJ",34001013202,2607,181846.739656193,19914.6028712049,4457,1020
"NJ",34001013301,2674,264320.758845528,31237.0679291456,4457,1020
"NJ",34001013302,2727,234561.032892893,46266.364149306,4457,1020
"NJ",34001013500,2678,318088.204616125,39977.5724156888,4903,1057
"NJ",34001983400,2417,1858.71111849291,88514.114585249,4903,1057
"NJ",34003001000,6505,372019.817167342,126850.832773595,5756,746
"NJ",34003002100,1849,116569.900900713,23228.1755254915,5310,842
"NJ",34003002200,5171,254598.558874638,245394.274572327,8095,174
"NJ",34003002300,5711,284925.067118636,124843.477640236,8095,174
"NJ",34003003100,5043,256400.49896417,17483.8875905033,4981,1113
"NJ",34003003200,4604,190894.283147341,149434.351566415,4981,1113
"NJ",34003003300,6616,312302.764056036,45345.9732786592,4981,1113
"NJ",34003003401,2766,123066.986885508,14616.4354420642,4981,1113
"NJ",34003003402,3686,168989.698183128,33636.3813171415,4981,1113
"NJ",34003003500,4049,179465.353251285,18352.8097115459,4981,1113
"NJ",34003004001,3215,134378.673759173,36116.7071184929,4981,1113
"NJ",34003004002,4972,231112.576340116,75717.1843881929,4981,1113
"NJ",34003005000,6127,294875.558988554,554235.098906889,4981,1113
"NJ",34003006100,6538,318672.759122472,57357.9643891837,4750,1105
"NJ",34003006201,4493,223807.232419014,64033.6059569965,4750,1105
"NJ",34003006202,4470,220548.9413833,28556.7223713443,4750,1105
"NJ",34003006300,8093,350862.449027557,42845.6738467519,4750,1105
"NJ",34003007001,3817,200816.328811546,65768.5711570978,8095,174
"NJ",34003007002,4556,253499.319227341,125055.296325243,8095,174
"NJ",34003008000,8573,470792.940306636,113326.008283788,4981,1113
"NJ",34003009100,4881,272093.85609187,45500.1924913556,8095,174
"NJ",34003009200,3382,198517.080283652,48945.5028399469,8095,174
"NJ",34003010100,6224,311657.751730476,33021.7352968876,4981,1113
"NJ",34003010200,4100,199748.133808533,75249.4182386174,4981,1113
"NJ",34003010300,7155,377918.321704451,42201.0199058172,4981,1113
