state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
NY,36001000100,2139,910,95259.6202127657,120225.174535183,6463,718
NY,36001000200,6046,3103,313614.001932755,145485.787679817,6680,597
NY,36001000300,5888,3041,338747.253137636,211323.84972554602,6680,597
NY,36001000401,2227,1074,117870.54470189699,248344.225023486,6680,597
NY,36001000403,4415,2306,266247.659131488,108628.830784846,6680,597
NY,36001000404,5203,13,1342.40248391224,192383.619768455,6680,597
NY,36001000501,3412,1652,166354.879889214,63461.230294111396,6680,597
NY,36001000502,3448,943,99128.19417500868,137574.90683601,6680,597
NY,36001000600,3676,1708,177463.57455415398,74884.4027230757,6680,597
NY,36001000700,3821,1896,197135.42665181603,209584.98164365,6680,597
NY,36001000800,2393,1302,136994.914963325,72161.4146829207,6680,597
NY,36001001100,1169,812,72507.5713049803,1093310.48055464,6680,597
NY,36001001400,3560,2693,253264.279256545,93596.6537491826,6680,597
NY,36001001500,4606,2454,244048.94581081,31996.3651374643,6680,597
NY,36001001600,4273,1882,200901.52637586,37195.4968622252,6680,597
NY,36001001700,4021,1962,223757.439290007,135554.638057459,6680,597
NY,36001001801,6579,3394,450951.614514993,64392.86248834,6680,597
NY,36001001802,3816,2071,244602.092238037,20058.4168291506,6680,597
NY,36001001901,2607,1191,155637.302506656,48131.7647772069,6680,597
NY,36001001902,2581,1170,163204.53276654,8126.693437935459,6680,597
NY,36001002000,5771,2601,297537.68556251,100308.617719809,6680,597
NY,36001002100,3773,1469,148468.44075635698,269797.953204047,6680,597
NY,36001002200,2344,1528,155430.783518302,27360.131006183397,6680,597
NY,36001002300,2051,1237,128033.02177623099,21236.241126194098,6680,597
NY,36001002500,2872,1665,170354.070046275,73037.3037757326,6680,597
NY,36001002600,5165,2285,241162.821210425,91755.7800506019,6680,597
NY,36001012700,2342,1265,134728.546854935,16772.1574168568,6463,718
NY,36001012800,3836,2094,224906.277501332,53927.241151031,6463,718
NY,36001012900,3445,1949,193356.585823965,42482.6088537608,6463,718
NY,36001013000,6545,3086,362766.94475255604,71487.7740040886,6463,718
NY,36001013100,2620,1408,152162.07905794302,64748.5884050158,6463,718
NY,36001013200,3397,1781,181003.45542689398,31168.96992,6463,718
NY,36001013300,4427,2315,238360.58591932,42124.375320526,6463,718
NY,36001013400,2430,1210,136319.604266878,32020.240597222997,6463,718
NY,36001013503,4277,1885,213782.069108245,102498.15766743,6463,718
NY,36001013505,2712,1067,147408.328840869,56303.0505232737,6680,597
NY,36001013506,6361,2864,350876.6645983,143457.807710185,6463,718
NY,36001013507,2594,1092,134010.219274096,214726.88877937602,6680,597
NY,36001013508,6547,2619,354408.08938059706,187223.874901592,6680,597
NY,36001013601,9372,3311,421129.95095936797,217414.57765265898,6463,718
NY,36001013602,4409,2355,253688.286173484,156323.02015798,6463,718
NY,36001013703,2500,628,92179.1414781483,550066.99865957,6680,597
NY,36001013705,6628,2956,402453.182833547,285496.806808186,6680,597
NY,36001013706,2124,839,126623.12376960699,30366.8450772852,6680,597
NY,36001013707,6061,2653,358916.13103938603,76256.5793065106,6680,597
NY,36001013801,7278,3196,412269.30828048295,396689.571741644,6680,597
NY,36001013802,4390,1618,233786.411482345,20441.3624279547,6680,597
NY,36001013901,2460,1016,135439.62453337,123445.101609845,6680,597
NY,36001013902,5333,2316,301806.214053668,125294.51946351801,6680,597
NY,36001014001,4003,2144,230620.37121903198,202653.20834459199,6680,597
NY,36001014002,4542,2061,252654.636193201,55104.1378799683,6680,597
NY,36001014100,5304,2396,313222.870828257,78635.2694143595,6680,597
