"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"OH",39001770100,4864,263736.586823784,70216.5814002596,5514,820
"OH",39001770200,4815,252907.812074874,45235.9765261628,5514,820
"OH",39001770300,6964,350491.586061826,63325.3138164223,5659,706
"OH",39001770400,4948,255893.716609169,116257.748313045,5659,706
"OH",39001770500,3442,196835.530262397,17390.7060550603,4933,1089
"OH",39001770600,3517,193672.365930674,36641.7947428962,4933,1089
"OH",39003010100,4405,207359.309736087,112829.905394293,6099,794
"OH",39003010200,4110,210947.303894794,38872.3978676423,6099,794
"OH",39003010300,1676,91032.6254089657,40179.3567399645,5988,827
"OH",39003010600,5138,268279.722906939,52141.3666299872,5988,827
"OH",39003010800,7994,469809.455837687,93082.8074883095,5988,827
"OH",39003010900,4515,229095.460763207,164000.526595762,5988,827
"OH",39003011000,5445,294291.191516466,200747.767173495,5988,827
"OH",39003011200,4218,72028.7514030607,114849.430738563,5988,827
"OH",39003011300,7559,421955.19691517,122716.741453871,5854,827
"OH",39003011400,3056,168616.141757597,19949.0695153554,5854,827
"OH",39003011500,2783,145396.789519956,21375.3175149827,5854,827
"OH",39003011600,2693,145306.025531574,93658.9933956515,5854,827
"OH",39003011800,2346,138512.398501152,46638.255355664,5988,827
"OH",39003011900,3208,179436.279762387,80740.6389178831,5988,827
"OH",39003012000,2410,172504.960470266,30872.5161642119,5988,827
"OH",39003012100,3455,189217.846011448,19819.2841617137,5988,827
"OH",39003012200,3291,165547.921348708,9550.61825490593,5988,827
"OH",39003012300,4052,217343.038635686,21869.7476973204,5988,827
"OH",39003012400,2710,130384.862992849,55108.6898669418,5988,827
"OH",39003012600,1834,91015.9907675512,61156.7715444833,5988,827
"OH",39003012700,1648,84699.7971485056,15322.4055854243,5988,827
"OH",39003012900,1741,88260.4903377115,101451.977253059,5988,827
"OH",39003013000,3993,234310.479194879,47212.6753462282,5988,827
"OH",39003013100,2313,135733.29558484,11818.6601267615,5988,827
"OH",39003013200,1774,106456.288079204,12977.0682068439,5988,827
"OH",39003013300,1290,72095.5470806691,27320.3681956963,5988,827
"OH",39003013400,2549,142702.783519591,43744.0471363501,5988,827
"OH",39003013600,1375,75603.379390513,39975.6212716169,5988,827
"OH",39003013700,1156,55945.9302536706,34356.6579015661,5988,827
"OH",39003013800,2728,145964.518673527,153816.401102686,5988,827
