"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"OR",41001950100,2761,262454.793463763,34541.9076651562,7845,131
"OR",41001950200,3145,191050.455613938,63187.4447537352,7673,168
"OR",41001950300,2648,162133.082362038,22599.5935782192,7673,168
"OR",41001950400,3026,169087.157571899,43848.5622146486,7673,168
"OR",41001950500,2630,143449.632434974,65057.9551175844,7673,168
"OR",41001950600,1924,167349.493663905,30070.0198514787,6190,595
"OR",41003000100,7059,364714.285769763,50365.6178286661,4772,256
"OR",41003000202,5234,309718.19964933,47230.2331567899,4882,172
"OR",41003000400,7820,509814.620450681,50460.9356843784,4772,256
"OR",41003000500,3141,218247.357821108,80443.1622225151,4772,256
"OR",41003000600,4845,240428.520075056,51936.2369675764,4772,256
"OR",41003000900,5438,315600.7396658,20665.5380143897,4772,256
"OR",41003001001,3872,184292.321174517,67852.6640862972,4772,256
"OR",41003001002,3159,178331.2885204,27630.4785933839,4772,256
"OR",41003001101,3662,117921.363454453,79163.3302054617,4772,256
"OR",41003001102,4519,224038.465810379,84764.8272642258,4772,256
"OR",41003010100,8519,547453.922573733,54081.1815830721,4772,256
"OR",41003010200,4090,252574.195766211,55138.1395667003,4947,226
"OR",41003010300,3203,210182.91002663,21382.4707424827,4947,226
"OR",41003010400,3808,220987.90154899,54956.2359717986,4882,172
"OR",41003010600,5507,173797.708837848,231917.202239507,4772,256
"OR",41003010702,3645,91861.5962972916,146356.660376365,4772,256
"OR",41003010800,3455,178016.532176391,34469.4432317111,4947,226
"OR",41003010900,4603,282229.027412197,28732.495007566,4947,226
"OR",41005020100,3870,298189.390142762,55347.3583285458,4235,413
"OR",41005020200,6193,426559.847718753,120144.070121805,4235,413
"OR",41005020302,3591,218819.358700123,196476.178199787,4447,330
"OR",41005020303,5275,346475.757321474,57707.9310011459,4235,413
"OR",41005020304,5438,308216.236041856,62257.2070025499,4447,330
"OR",41005020401,5059,333946.202617949,69872.1897863861,4447,330
"OR",41005020403,3628,242598.642825589,18741.8879505749,4076,495
"OR",41005020404,3708,261727.369689607,34391.2183619935,4076,495
"OR",41005020501,6921,432666.089839457,50084.0279916405,4076,495
"OR",41005020503,2339,157704.022054551,24789.5973544868,4076,495
"OR",41005020504,6316,413827.501131471,41367.7725521346,4076,495
"OR",41005020505,2661,144470.821108464,43888.8824024984,4076,495
"OR",41005020600,7814,489560.950324296,61056.9922153713,4076,495
"OR",41005020700,3781,236696.136438935,38176.3677438344,4076,495
"OR",41005020800,3989,218685.118796217,288991.527317157,4235,413
"OR",41005020900,3799,222183.199076739,31540.0249692691,4235,413
"OR",41005021000,4509,274311.370753916,27067.0221834732,4076,495
"OR",41005021100,5424,294273.624411884,36746.5896163512,4076,495
"OR",41005021200,3859,214983.397409894,34491.9262644224,4076,495
"OR",41005021300,5937,349122.924444471,55751.1142956387,4076,495
"OR",41005021400,4719,267468.969218721,50348.3374748914,4076,495
"OR",41005021500,4927,304225.595357657,141329.398988534,4076,495
"OR",41005021601,5951,263456.481909931,59527.90207779,4076,495
"OR",41005021602,4924,250623.698068143,41795.6848796889,4076,495
"OR",41005021700,6082,324923.262603582,88832.7719083976,4076,495
"OR",41005021801,5612,355837.232916214,28967.3541695371,4076,495
"OR",41005021802,4300,208970.528083192,35511.7228796896,4076,495
"OR",41005021900,3515,170816.913732922,36523.807660987,4076,495
"OR",41005022000,6412,381420.680885319,64007.2218578164,4076,495
"OR",41005022101,6592,341780.343324759,30741.6162258575,4076,495
"OR",41005022103,5827,317007.181240834,27757.2917558087,4076,495
"OR",41005022105,6054,316369.791551177,162710.944566312,4076,495
"OR",41005022107,3685,167670.482075759,124912.68987363,4076,495
"OR",41005022108,2898,120172.499936636,215073.327320356,4076,495
"OR",41005022201,4779,212949.002142537,158930.625427197,4076,495
"OR",41005022205,3339,189221.380765875,47477.2637829341,4076,495
"OR",41005022206,6412,357429.950145947,36551.4007418007,4076,495
"OR",41005022207,5095,325603.789315196,18235.3804064824,4076,495
"OR",41005022208,6062,336625.810531187,21826.3613013062,4374,370
"OR",41005022301,3867,236422.434504792,62292.5096709379,4076,495
"OR",41005022302,5274,279055.828507924,33655.1481660078,4076,495
"OR",41005022400,3968,229071.766843421,137057.626592637,4076,495
"OR",41005022500,7756,421220.621476143,69035.1344801646,4076,495
"OR",41005022602,4171,268848.394226472,18786.7598439019,4076,495
"OR",41005022603,3239,191211.267849732,64949.2591116994,4076,495
"OR",41005022605,7363,328591.540434908,74648.4291491915,4076,495
"OR",41005022606,4342,234356.370412928,13463.2297166867,4076,495
"OR",41005022702,6685,428569.150617301,101596.720948397,4447,349
"OR",41005022707,3835,250336.728133388,153541.131478052,4447,349
"OR",41005022708,4175,211938.40976032,49497.997069253,4451,336
"OR",41005022710,2570,117970.697639655,21664.1527541885,4447,349
"OR",41005022800,3977,303846.92679835,74584.8834930573,4447,349
"OR",41005022901,3481,202982.178951269,32387.3935896768,4076,495
"OR",41005022904,3611,154921.956470513,48836.2486781718,4447,349
"OR",41005022905,4092,263851.317171975,15526.3277972436,4447,349
"OR",41005022906,2950,162865.069285468,36703.4826680362,4447,349
"OR",41005022907,4227,167821.718326989,33328.0362379361,4447,349
"OR",41005023001,3472,217164.112907448,29295.2085424722,4076,495
"OR",41005023002,3570,190161.377803968,26421.8107992147,4076,495
"OR",41005023100,6127,396100.400740169,48607.7063989476,4076,495
"OR",41005023201,4283,263917.571686588,34545.6234987568,4641,339
"OR",41005023202,6487,375972.464370161,42490.7849985439,4076,495
"OR",41005023300,4931,317065.543333761,69409.2545298585,4641,339
"OR",41005023401,4416,248033.467831117,37300.849116759,4545,268
"OR",41005023403,4931,265592.055917897,13164.546787757,5087,203
"OR",41005023404,5685,310151.225793134,66510.4015041439,5087,203
"OR",41005023500,5785,302489.978179814,47620.7975258016,4545,268
"OR",41005023600,3840,224032.975670856,28107.8147464258,4545,268
"OR",41005023700,4637,268715.077173055,34799.7138993749,4463,352
"OR",41005023800,6414,336339.199068386,81755.975505322,4451,336
"OR",41005023901,5065,251880.58925882,19344.8283020596,4463,352
"OR",41005023902,4832,243215.886640596,59197.5390449948,4463,352
"OR",41005024000,2844,137751.793401049,22577.2038387407,6121,116
"OR",41005024100,4968,265438.861447099,36227.1690225751,4463,352
"OR",41005024200,5529,284838.856864734,56850.4360302038,4545,268
"OR",41005024302,4959,335251.485119018,40289.260744569,5087,203
"OR",41005024303,3191,287811.28864662,45703.5568278519,5087,203
"OR",41005024304,2450,347592.632470429,30876.8826256725,8305,60
"OR",41005024400,6400,290562.902715613,107411.892936714,4447,349
"OR",41005980000,297,3164.46337356382,19221.3610054592,5736,170
"OR",41007950100,3126,189679.116353525,33599.7780684385,5023,13
"OR",41007950200,3663,227247.987570832,141566.580403202,5023,13
"OR",41007950300,3039,164545.037631538,70068.2151023089,5023,13
"OR",41007950400,3492,203403.215402201,44366.5902234421,5068,31
"OR",41007950500,4701,260419.865826685,91124.7821987937,5023,13
"OR",41007950600,2554,150650.638875874,22747.2163907924,5068,31
"OR",41007950700,2041,242727.674688196,20207.1542821783,5222,6
"OR",41007950900,4493,405854.9126773,155937.937989926,5222,6
"OR",41007951100,4572,481153.947022827,100863.623737949,5222,6
"OR",41007951200,3035,205251.610556913,10997.9547150659,5282,102
"OR",41007951300,2323,173746.805117101,38366.5402063274,5068,31
"OR",41009970200,6154,356810.762109074,57095.6068108806,5282,102
"OR",41009970300,4257,246653.119972877,41917.1085490991,4684,204
"OR",41009970400,2472,138908.623706945,8949.81422833574,5156,294
"OR",41009970500,6287,360969.552550187,58545.3584769456,5156,294
"OR",41009970600,6118,352771.603061215,57041.6306035816,5156,294
"OR",41009970700,4169,231855.230081232,51528.3915470882,5156,294
"OR",41009970800,6851,363765.110027448,76697.0351591197,5156,294
"OR",41009970900,4877,263192.441811122,38283.3913825867,4932,251
"OR",41009971000,4627,277042.260441958,39670.5267109169,4932,251
"OR",41009971100,3539,222189.039893651,33168.8935515254,6007,61
"OR",41011000100,5826,379767.180674803,37125.5415262136,4827,2
"OR",41011000200,2456,148961.198383898,27876.7648664362,4827,2
"OR",41011000300,3394,202317.268919234,119073.547706261,4827,2
"OR",41011000400,6354,374415.683879496,92345.6229556621,4827,2
"OR",41011000502,2876,177265.601051263,24068.2974923152,5279,0
"OR",41011000503,2935,141708.167176131,26853.9023960362,4827,2
"OR",41011000504,6166,342763.170299385,58270.5509241618,4827,2
"OR",41011000600,2604,171859.289852346,50685.5762635351,4827,2
"OR",41011000700,7415,387160.514897138,193284.217354715,4827,2
"OR",41011000800,2963,165693.960366978,16784.4204824983,4827,2
"OR",41011000900,7385,436323.688981019,92955.065120827,4430,22
"OR",41011001000,6814,453318.612668419,119699.713288198,4490,4
"OR",41011001100,5855,348959.901306776,50248.8389507921,4046,159
"OR",41013950100,7267,460965.952063052,87103.2901049165,7837,96
"OR",41013950200,4268,242368.514974826,99941.1881782303,7110,106
"OR",41013950300,5566,361053.090738929,109747.289800568,6715,223
"OR",41013950400,3877,281694.096900228,16549.7478447478,6886,225
"OR",41015950100,3106,234597.361240571,47555.1150087023,3977,539
"OR",41015950200,5153,360529.019127255,87589.8220191798,4153,14
"OR",41015950301,4499,279317.074804217,83818.4233082633,4020,46
"OR",41015950302,4801,336062.43930779,121873.738567493,4292,27
"OR",41015950400,4805,294908.627149308,43059.5374345077,4013,689
"OR",41017000100,1869,141057.00455784,15999.2039958506,8164,104
"OR",41017000200,4595,363741.423374537,76289.281863144,7480,127
"OR",41017000300,7968,611472.736953706,48791.0973371456,7844,68
