"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"PA",42001030101,2580,136280.587285713,28700.6299021609,5546,924
"PA",42001030102,5780,300520.434016098,25874.3323799543,5671,922
"PA",42001030200,5500,274927.419012707,41281.0019535471,5546,924
"PA",42001030300,4156,225803.635620832,38026.793194468,5546,924
"PA",42001030400,5829,309772.732660779,69036.1564712045,6073,511
"PA",42001030500,3767,189459.024846973,40604.4813910296,5546,924
"PA",42001030600,4928,237643.105349432,96314.9970535432,5397,859
"PA",42001030700,6493,300145.835884573,42855.2439737793,5480,857
"PA",42001030800,7451,384452.289250374,74782.0232422608,5671,922
"PA",42001030900,7300,344794.773095526,128142.741617282,5671,922
"PA",42001031000,1781,89669.2716405045,26411.7771566239,5671,922
"PA",42001031101,5163,271186.760116337,100732.722436707,5671,922
"PA",42001031102,3179,175809.531586427,21757.3348377594,5480,857
"PA",42001031201,3670,204822.578911236,49565.4438959075,5397,859
"PA",42001031202,2700,150625.744436992,24853.9786260853,5480,857
"PA",42001031203,3148,161333.74920365,21375.0383441346,5480,857
"PA",42001031300,4434,241644.340023695,41800.8866528208,5480,857
"PA",42001031401,3975,214811.612691477,77411.8291347418,5397,859
"PA",42001031402,2187,122357.394838166,34951.2386405571,5397,859
"PA",42001031501,3315,64304.4175846625,104029.107794478,5397,859
"PA",42001031502,4305,237469.923777138,183870.723061535,5397,859
"PA",42001031600,6887,396588.224275178,49150.7251527015,5396,859
"PA",42001031700,2879,170595.340935707,26465.753520929,6073,511
"PA",42003010300,6600,39554.2132484734,429942.635353577,5563,744
"PA",42003020100,3629,183081.561485383,1799068.98777679,5564,857
"PA",42003020300,616,45156.1728398866,294801.321549829,5564,857
"PA",42003030500,2256,118562.024051116,43263.8311758033,5563,744
"PA",42003040200,2604,65489.860574804,554759.522303356,5563,744
"PA",42003040400,2488,116205.958510973,77326.2657321915,5563,744
"PA",42003040500,3694,137619.317950697,164509.916981573,5563,744
"PA",42003040600,2392,105158.530310957,7272.54279991757,5563,744
"PA",42003040900,2969,151727.573840142,192486.644031671,5563,744
"PA",42003050100,1707,114051.951520725,37584.8540240513,5563,744
"PA",42003050600,2057,138744.556692112,13200.778849796,5563,744
"PA",42003050900,1202,63179.8275684534,5978.31070389661,5563,744
"PA",42003051000,2106,65382.9287298294,36154.5193265329,5563,744
"PA",42003051100,1122,60930.8291642657,4671.53643363103,5563,744
"PA",42003060300,2341,137134.08488132,130794.752728939,5563,744
"PA",42003060500,1274,91477.6289740794,46388.4400770246,5563,744
"PA",42003070300,2197,137270.650691801,73887.5534457589,5563,744
"PA",42003070500,2997,194262.767897429,67514.1256695947,5563,744
"PA",42003070600,2082,118891.271596181,14505.6946504882,5563,744
"PA",42003070800,1705,108365.448846475,33450.9470007335,5563,744
"PA",42003070900,4934,259246.027389644,200238.290463108,5563,744
"PA",42003080200,1679,113204.026462204,25106.674764821,5563,744
"PA",42003080400,1369,91177.5534378703,54863.7041101014,5563,744
"PA",42003080600,1998,128607.070272622,20920.2779066637,5563,744
"PA",42003080700,1785,100842.907248182,22610.6492341466,5563,744
"PA",42003080900,1767,113441.952287564,59648.2102817667,5563,744
"PA",42003090100,1843,113706.35404676,40861.6368859047,5564,857
