"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"RI",44001030100,4654,261692.823604996,33817.7290963807,5618,744
"RI",44001030200,3188,172207.863020901,54467.9368939987,5618,744
"RI",44001030300,4531,247684.709845899,45819.5934187976,5618,744
"RI",44001030400,3937,235247.602604447,35151.0732691193,5475,714
"RI",44001030500,3224,192409.909645372,90024.6259264397,5475,714
"RI",44001030601,3341,190102.386832711,39961.0343200425,5475,714
"RI",44001030602,4046,223527.321892694,53203.7132621413,5475,714
"RI",44001030700,3996,235892.71035072,71755.3343607346,5475,714
"RI",44001030800,5650,217514.444061648,126494.365280699,5475,714
"RI",44001030901,6271,330294.098577862,56728.8248638782,5475,714
"RI",44001030902,7037,383636.135526504,120981.77666533,5475,714
"RI",44003020101,6438,336034.000899428,77975.4723011306,5618,744
"RI",44003020102,4836,259157.117694844,51684.6546313098,5618,744
"RI",44003020200,4905,270541.083119694,42353.6601653877,5618,744
"RI",44003020300,5833,289494.323766633,61856.9810527582,5618,744
"RI",44003020400,2919,164838.418431613,14472.9930126658,5618,744
"RI",44003020500,4260,246630.166745803,31382.8330097955,5618,744
"RI",44003020601,6286,305687.606289629,50757.2973611764,5618,744
"RI",44003020602,3527,191191.386355766,78734.9541951186,5618,744
"RI",44003020603,6527,354918.222203839,90812.0696807877,5618,744
"RI",44003020604,5270,272227.277159531,36020.5533509557,5618,744
"RI",44003020701,1920,101924.116416547,12839.757455195,6477,453
"RI",44003020702,4632,251045.371458601,29953.3334334972,6477,453
"RI",44003020703,6852,351607.813195354,88578.8663578872,5618,744
"RI",44003020800,6135,307982.586016667,127594.709649193,5732,600
"RI",44003020901,3448,210317.989672754,105874.532656911,5618,744
"RI",44003020903,5985,356321.616850877,78500.8387024731,5618,744
"RI",44003020904,3713,205318.237453852,76342.7018014136,5618,744
"RI",44003021001,2525,129380.680234767,24234.8727972542,5618,744
"RI",44003021002,4932,290946.298264278,74607.458800784,5618,744
"RI",44003021100,5320,281439.173487289,369721.679453227,5618,744
"RI",44003021200,3656,189835.651545176,43490.3281295698,5618,744
"RI",44003021300,4772,308433.161543798,32455.5844730625,5618,744
"RI",44003021401,3937,209351.706038151,38172.000952568,5618,744
"RI",44003021402,3660,200729.655006777,25686.576091416,5618,744
"RI",44003021501,3194,184593.606798835,20929.4759746676,5618,744
"RI",44003021502,4286,242944.048747421,32213.9426858955,5618,744
"RI",44003021600,1526,100260.966154518,18719.311842953,5618,744
"RI",44003021700,4852,254864.805447589,34055.0031883348,5618,744
"RI",44003021800,4144,216351.943846989,56107.9553210004,5618,744
"RI",44003021901,3601,196355.587452582,48294.7165393544,5618,744
"RI",44003021902,2727,139734.625768073,30844.3664028083,5618,744
"RI",44003021903,3987,230069.183455448,21500.3646714427,5618,744
"RI",44003022000,3360,201649.120232411,88180.7796808234,5618,744
"RI",44003022100,5515,332424.069391667,225040.519929415,5618,744
"RI",44003022201,6799,402503.526872936,80533.0938052322,5618,744
"RI",44003022202,3583,215812.091645973,148871.733393693,5618,744
"RI",44003022300,4167,228690.777339492,239751.156514999,5618,744
