"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"SC",45001950100,3254,190694.077741817,30747.6540055755,2966,1756
"SC",45001950200,4195,206705.926555836,67268.6761064045,2966,1756
"SC",45001950300,3130,273700.714424986,15017.7764540902,3048,1814
"SC",45001950400,6073,344642.415445145,55531.8633293415,3000,1841
"SC",45001950500,5701,315100.541830482,89110.923651035,3048,1814
"SC",45001950600,3064,189932.27965241,25228.5642528609,3048,1814
"SC",45003020100,4830,267000.558487415,40229.6174109527,3051,1714
"SC",45003020200,5817,333122.425991545,58429.0439637687,2642,2105
"SC",45003020301,2407,127836.074341895,31724.716026054,3051,1714
"SC",45003020302,5480,315528.257600287,76391.3807953587,2642,2105
"SC",45003020400,5647,311891.297740492,109929.939654933,2642,2105
"SC",45003020500,7150,454296.966710985,36460.8202778007,2172,2261
"SC",45003020601,3725,237563.852619061,14124.6992769449,2172,2261
"SC",45003020602,6214,345250.548510786,63008.9781030821,2172,2261
"SC",45003020701,5583,346812.069770189,46649.7749600828,2172,2261
"SC",45003020702,4993,267955.769608834,95446.5393743072,2172,2261
"SC",45003020801,3000,225118.922241152,21302.0165834945,2172,2261
"SC",45003020802,5010,322893.986778683,103791.091204706,2172,2261
"SC",45003020901,2318,140208.154877168,15021.864303979,2470,2088
"SC",45003020902,5994,323838.631201236,44489.8722165679,2470,2088
"SC",45003021001,4621,267770.161727251,22262.7272601597,2470,2088
"SC",45003021002,5396,299282.114821309,70670.6922550296,2172,2261
"SC",45003021101,3000,173100.663772483,32126.6150508995,2642,2105
"SC",45003021102,3898,224643.083260548,22871.6134972493,2642,2105
"SC",45003021201,5480,438564.594109935,57323.963564592,2642,2105
"SC",45003021202,3747,252154.6520581,29840.4562742713,2642,2105
"SC",45003021203,8159,695909.371315609,120408.00649437,2642,2105
"SC",45003021300,4985,318206.483101426,245706.057923366,2642,2105
"SC",45003021400,5913,309980.475383771,113988.963172276,2642,2105
"SC",45003021500,5284,373957.578834108,52560.267041217,2642,2105
"SC",45003021601,5635,292431.072113305,74039.7268759146,2642,2105
"SC",45003021602,7408,493080.668401026,133374.204061691,2642,2105
"SC",45003021700,4815,272360.134472035,49568.7893139392,3001,1630
"SC",45003021800,2589,176194.708468201,15033.1982305241,3001,1630
"SC",45003021900,6149,326714.352742168,24675.6978902087,2642,2105
"SC",45003022001,4284,295365.886647897,39075.297701016,2642,2105
"SC",45003022002,7104,405762.009725558,85581.1661187706,2642,2105
"SC",45003022100,3464,206740.480171168,23300.6397155306,2470,2088
"SC",45003980100,0,0,382.296022606426,2642,2105
"SC",45005970200,5151,296775.985022223,75066.6792763025,2436,2059
"SC",45005970300,1068,74643.3179035689,3272.60249447224,2436,2059
"SC",45005970400,4200,177643.622260329,56772.9544795672,2436,2059
"SC",45007000200,4101,217386.420812973,185746.994647616,2986,1843
"SC",45007000300,4912,289465.429604757,72180.7386322985,2986,1843
"SC",45007000500,2875,141436.707069452,12737.9357818839,2986,1843
"SC",45007000600,3084,191113.443121614,89746.3814442717,2986,1843
"SC",45007000700,4495,287259.905785723,101116.040729062,2986,1843
"SC",45007000800,2381,145416.484555662,152777.844218875,2986,1843
"SC",45007000900,2869,195803.563489174,104517.964163241,2986,1843
"SC",45007001000,2914,143734.753837066,74721.9146910975,2986,1843
"SC",45007001100,5115,340283.392663131,64096.872485018,2986,1843
"SC",45007010102,6204,372335.320401625,111133.680103189,3265,1635
"SC",45007010103,7244,443364.337435539,96786.3884636875,3265,1635
"SC",45007010104,7915,439440.847801656,35302.7832617503,3265,1635
"SC",45007010200,5051,292279.474821352,60997.1631509265,3265,1635
"SC",45007010300,3987,246363.817841082,51833.9501157376,3265,1635
"SC",45007010401,5933,374618.323814757,69317.3735487176,3265,1635
"SC",45007010402,6807,352421.355765943,38909.0016839829,3265,1635
"SC",45007010500,6051,361291.198413629,88256.216508943,3265,1635
"SC",45007010600,7409,460218.427224169,75971.9253089036,3363,1474
"SC",45007010700,5741,382240.069454951,166314.745937585,3287,1604
"SC",45007010800,4798,325809.659935093,38385.678218632,3363,1474
"SC",45007010900,4085,390320.421346861,75223.0317443969,3287,1604
"SC",45007011001,4883,354675.19106936,93547.2297806243,3099,1669
"SC",45007011002,4156,272366.819639155,67557.6050596939,3099,1669
"SC",45007011100,2607,144995.449832727,152603.091781593,2986,1843
"SC",45007011201,4003,266887.214184762,31100.5940090618,2986,1843
"SC",45007011202,7782,505758.20226996,55174.6512046446,2986,1843
"SC",45007011300,7234,386252.741937152,66456.6099314175,2986,1843
"SC",45007011401,3855,263712.157708359,48298.9905994514,3265,1635
"SC",45007011402,3368,211012.533137961,49982.8574311433,3265,1635
"SC",45007011500,6283,384164.654199529,62422.9457629943,3265,1635
"SC",45007011600,2041,124689.251565721,7374.55040658582,2986,1843
"SC",45007011700,6335,362196.628235385,46561.981196161,3037,1732
"SC",45007011800,4051,206987.043181937,16989.4578578163,3099,1669
"SC",45007011901,5299,309783.321910001,38665.3166663217,3099,1669
"SC",45007011902,2829,153954.643577065,35106.38607261,2986,1843
"SC",45007012001,4958,321103.198321351,43104.9663530949,3099,1669
"SC",45007012002,4696,266344.462308926,75194.3278275081,3099,1669
"SC",45007012200,5476,309609.595230049,49975.2393400569,3037,1732
"SC",45007012300,3299,183516.952162987,95587.6590874221,2986,1843
"SC",45009960100,6016,374025.414402385,99253.1487452281,2509,1851
"SC",45009960200,7126,421978.981691342,114001.87839589,2166,2203
"SC",45009960300,1291,91401.7263115366,4262.67012950721,2509,1851
"SC",45009960400,1554,100010.586908904,17725.807220934,2166,2203
"SC",45011970100,5701,350737.953445735,60721.4272022705,2319,1985
"SC",45011970200,3873,219493.652587662,47101.8410607488,2319,1985
"SC",45011970300,3846,222378.664866452,93376.474044201,2474,1930
"SC",45011970400,5263,314924.405827245,37043.4143144684,2509,1851
"SC",45011970500,3938,213058.260248976,50622.8669047734,2509,1851
"SC",45011980100,0,0,13877.11304417,2642,2105
"SC",45013000100,4269,257189.619243062,39351.6838334556,1852,2470
"SC",45013000200,5201,254292.712602925,37373.2207437832,1852,2470
"SC",45013000300,4850,251427.403865116,11658.681168062,1852,2470
"SC",45013000400,997,17853.1770267874,59106.8674217449,1852,2470
"SC",45013000501,6466,361767.608106898,39149.4342934909,1852,2470
"SC",45013000502,4808,269971.034703973,96300.5047404376,1758,2587
"SC",45013000503,4864,307283.319324674,46187.3969285569,1758,2587
