state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
SD,46003973600,2710,1324,176858.305015689,48309.0231095541,7579,761
SD,46005956600,1999,902,113603.412800772,37291.7440140402,7672,742
SD,46005956700,1922,983,127398.77700591099,20641.104280754,7672,742
SD,46005956800,1706,867,93431.0072321667,63206.6759645114,7672,742
SD,46005956900,3129,1457,157712.39034233,121622.620671175,7672,742
SD,46005957000,5628,2704,321402.81048413896,95689.7595952722,7672,742
SD,46005957100,3014,1391,180367.2616502,31671.947113269398,7672,742
SD,46007941000,1619,615,66845.96803156429,12749.8273524233,7109,692
SD,46007941200,1812,648,82417.4443186398,22603.495254132,8158,352
SD,46009967600,3454,1661,198170.82212693102,80925.4231396945,7137,884
SD,46009967700,3616,1270,145331.844679007,49375.82812793981,7137,884
SD,46011958600,3746,1609,214219.55125996302,80389.7441450934,8489,482
SD,46011958700,4965,2346,303041.626129316,54258.7205030387,8430,491
SD,46011958802,6516,2797,296189.481334846,194703.77749489198,8430,491
SD,46011958803,4364,1739,217063.866230522,28216.4181028961,8430,491
SD,46011958900,7389,2300,246020.43986533603,223854.61272415,8430,491
SD,46011959000,4985,2346,257762.555330529,29973.2154393589,8430,491
SD,46013951300,5950,2493,292599.705799366,104052.61364878199,8534,525
SD,46013951400,6228,2824,337695.018402161,72116.1715434717,8534,525
SD,46013951500,2575,1431,143740.696719115,216566.183993063,8534,525
SD,46013951600,4598,1925,225601.188830062,63158.7387121538,8534,525
SD,46013951700,4274,1857,235450.30420503,66849.31070524019,8534,525
SD,46013951800,4964,2614,280025.191586587,112294.970584629,8534,525
SD,46013951900,3530,1438,194168.188027234,60053.2690987958,8534,525
SD,46013952000,4412,2124,272106.8652962,46558.636929198,8633,562
SD,46015973100,2657,1197,151066.655913052,25255.0411686812,7378,755
SD,46015973200,2598,1236,149979.22636776,92179.1382014581,7075,857
SD,46017940200,1912,609,70917.2541388855,19273.2001232517,7860,733
SD,46019967600,2972,1465,166218.030915841,26447.2656691822,7574,631
SD,46019967700,7138,3156,384395.895654878,86231.3929619014,6837,702
SD,46021964100,1466,980,123194.546316686,24792.197818343902,8294,646
SD,46023940200,3142,1247,145941.195011375,81763.408514972,6775,943
SD,46023940300,3323,1329,149401.000152654,64581.361829327696,6562,1059
SD,46023970100,2664,1273,164427.04948867598,69239.9862974537,7378,755
SD,46025955800,3691,1710,215994.181521689,82605.7583115594,8535,542
