state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
TN,47001020100,3111,1794,171428.22091175,163278.762097616,3695,1482
TN,47001020201,3670,1691,295376.301179016,74018.2666991705,3798,1442
TN,47001020202,4507,2215,311526.386651684,210390.45578124,3695,1482
TN,47001020300,3822,1869,274407.698598524,22590.4892112925,3695,1482
TN,47001020400,4508,2429,294332.250886424,150999.02691468401,3695,1482
TN,47001020500,3864,1833,225290.42450459802,92220.4813985651,3695,1482
TN,47001020600,2427,1060,170932.30556376302,14093.9487153752,3695,1482
TN,47001020700,1668,773,90581.4846634554,3258.2954002993897,3695,1482
TN,47001020800,4875,2184,250202.375797293,69815.7978733637,4339,1048
TN,47001020901,5837,2610,369250.19902246,80238.68267606849,4339,1048
TN,47001020902,5815,2526,345682.551863655,48481.8231318501,4339,1048
TN,47001021000,6108,2702,329575.022512533,43590.5713635087,3695,1482
TN,47001021100,3980,1830,275043.72146707,23717.4952258695,3695,1482
TN,47001021201,4887,1999,282297.403878695,24915.1088812181,3695,1482
TN,47001021202,5372,2712,306678.325949786,165686.999148694,4339,1048
TN,47001021301,3302,1449,219924.351448998,36017.393490952796,3695,1482
TN,47001021302,7376,3041,402496.667696564,84708.52852552019,3798,1442
TN,47001980100,0,0,0.0,107510.556522612,3798,1442
TN,47003950100,3672,1483,217569.81194348,46044.8836977129,4155,1248
TN,47003950200,6909,2708,354020.23449901794,32076.1684019607,4155,1248
TN,47003950300,3532,1499,204869.59215088698,13922.5422832726,3625,1542
TN,47003950401,5423,2093,285781.445962675,74949.3402218972,3625,1542
TN,47003950402,6901,2788,300336.946755099,150330.868481404,3625,1542
TN,47003950500,5928,2422,319736.038284683,146838.924076919,3625,1542
TN,47003950600,6979,2907,331664.77795355604,102315.41736452401,3625,1542
TN,47003950700,2763,1150,160283.379660212,25269.8124055128,4041,1096
TN,47003950800,2951,1310,185083.109113145,22171.124690849,4001,1345
TN,47005963000,3409,2148,249569.52145939102,23220.928829172,3598,1615
TN,47005963100,3074,1671,209262.050602288,15805.780043086399,3741,1558
TN,47005963200,2088,1319,149323.332905563,19979.077503855402,3727,1570
TN,47005963300,3692,1806,211737.925131922,105258.30847413599,3741,1558
TN,47005963400,4226,2031,254487.248188873,52270.4087574508,3741,1558
TN,47007953000,3321,1689,198220.52656698,4068.7814961755703,3747,1258
TN,47007953100,5195,2490,284412.07785672,90588.9190276319,3747,1258
TN,47007953200,4360,1539,171351.11206023901,10205.956666962,3747,1258
TN,47009010100,2718,1274,162004.507760762,80699.2041555399,3636,1526
TN,47009010200,5721,2683,387334.873601116,70605.2888065851,3636,1526
TN,47009010301,5275,2801,314282.070172977,133447.318913035,3636,1526
TN,47009010302,3296,1526,193137.99075963302,136802.698816042,3636,1526
TN,47009010400,3217,1463,199153.27791396398,68105.0824830336,3636,1526
TN,47009010500,2700,1421,144915.084605174,100019.504577881,3636,1526
TN,47009010600,4243,1632,201254.18768973602,166840.851388185,3636,1526
TN,47009010700,4680,2040,287859.132902105,108190.23765955599,3636,1526
TN,47009010800,3227,1432,165044.672243105,42847.7172769876,3636,1526
TN,47009010900,5812,2533,363707.776394399,39345.2736184567,3636,1526
TN,47009011001,5524,2448,305841.08988119,71477.6477408831,3636,1526
TN,47009011002,3986,1718,242991.433484032,27147.940401507403,3636,1526
TN,47009011101,5223,2160,326815.253458354,18416.912481198102,3636,1526
TN,47009011102,8743,3493,527289.030927752,85272.7268674697,3636,1526
TN,47009011200,7915,3503,425880.547932065,194074.728584425,3636,1526
TN,47009011301,5709,2290,333676.868005549,28227.5670130369,3955,1339
TN,47009011302,5290,2247,295419.022315871,30589.440808505697,3636,1526
TN,47009011401,1778,1285,164776.542979829,41620.005029449305,4359,754
TN,47009011402,4437,3005,384974.405830913,54135.9009654525,4359,754
