state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
TX,48001950100,4685,2286,333369.743438173,24271.9410145241,2373,2320
TX,48001950401,5422,101,10536.0405456316,56206.1533967071,2136,2450
TX,48001950402,7535,110,12105.3589815949,98282.1282837632,2136,2450
TX,48001950500,4377,1811,256222.50450157898,96214.84856769869,2373,2320
TX,48001950600,6405,2511,365170.457755585,84522.07043340491,2136,2450
TX,48001950700,2640,1102,144924.471385265,104212.591806658,2373,2320
TX,48001950800,5246,2428,332090.270946594,75142.6720315683,2373,2320
TX,48001950901,5938,2088,292024.540068668,48831.3253521733,2136,2450
TX,48001950902,4834,2341,371759.50798401295,51469.3060590659,2373,2320
TX,48001951000,6988,3171,449082.51743864,49796.680069718095,2373,2320
TX,48001951100,4388,2167,297702.034191541,19495.6096191802,2136,2450
TX,48003950100,1678,680,107074.283128631,22283.4443872414,2566,2182
TX,48003950200,6473,2554,397049.9299033,53985.120956406696,2566,2182
TX,48003950300,3924,1549,207684.561632885,46691.3019333384,2566,2182
TX,48003950400,2711,1031,153388.674447431,5768.5355383123,2566,2182
TX,48005000101,6311,2484,339373.863841263,53766.427024659904,2324,2212
TX,48005000102,4447,1677,265658.27853610896,5886.893982472359,2324,2212
TX,48005000200,6580,2792,392905.902488249,16533.2107004286,1918,2595
TX,48005000301,5326,2121,311614.080808682,70572.7733715387,2324,2212
TX,48005000302,4613,1735,253851.80848107103,28628.2571788808,1918,2595
TX,48005000400,5479,2234,293675.61992366303,186856.62886953,1918,2595
TX,48005000500,4006,1809,227902.48648221898,138282.084934425,1918,2595
TX,48005000600,6416,2010,303397.91460734396,106548.824484789,1918,2595
TX,48005000700,3292,1200,135434.61220811802,134001.672703525,1918,2595
TX,48005000800,6299,2537,375127.618093302,195042.409783613,1918,2595
TX,48005000901,6342,2770,399402.98360028,72162.24973167639,1918,2595
TX,48005000902,3745,1821,231149.638822482,57950.036649475594,1918,2595
TX,48005001001,5377,1635,230818.899530516,49951.1775595354,1918,2595
TX,48005001002,4289,1570,221666.46561049198,27406.3967433291,1918,2595
TX,48005001100,6079,2575,351083.562923702,23148.2789649753,1918,2595
TX,48005001200,2989,2213,302169.36276995,15355.943591225601,2056,2517
TX,48005001300,5181,2406,339490.379288851,15154.994082518999,1918,2595
TX,48007950100,5495,4448,623932.15632065,66844.0166329381,876,3663
TX,48007950200,1163,1502,262764.912632427,29992.72419518,983,3560
TX,48007950300,6609,3427,484597.68602240604,113854.996874325,983,3560
TX,48007950400,3583,2172,271899.701659225,33093.8272225874,983,3560
TX,48007950500,6308,3806,522714.50515006,44954.0160125107,983,3560
TX,48009020100,2660,1069,180384.439979715,21338.2486576109,2969,2388
TX,48009020200,2780,1452,227609.65774452302,19921.8492154219,2896,2419
TX,48009020300,3614,1586,230828.00527240802,41483.3445721385,2896,2419
TX,48011950100,1901,904,147276.026957551,28926.1977168308,4364,1324
TX,48013960100,6972,2982,419653.437616659,38704.5214091766,1465,3200
TX,48013960201,6234,2271,324060.11353876104,55676.977105797305,1297,3163
TX,48013960202,9342,3397,444924.748635536,26344.5143253692,1389,3219
TX,48013960300,3595,1315,163493.74080799302,13474.935751493998,1389,3219
TX,48013960401,2294,852,111361.942941217,3759.3215897804903,1389,3219
TX,48013960402,7801,3111,479472.58501131204,114525.757990916,1465,3200
TX,48013960500,2684,1183,174752.849523899,9770.8914686554,1163,3388
TX,48013960600,5989,2520,359674.865365837,56136.1048733722,1465,3200
TX,48015760100,2400,1087,157195.282277091,16518.9965315925,1554,2863
TX,48015760200,6032,2430,361184.898946641,63207.6051249756,1554,2863
TX,48015760300,7037,2970,453144.973037686,87144.2606985881,1554,2863
TX,48015760400,3660,2172,354879.947686117,38109.291713651204,1820,2826
TX,48015760501,4184,1949,309143.600156157,52379.8486584158,1660,2760
TX,48015760502,5104,2318,312443.704984682,63297.7204243834,1660,2760
TX,48017950100,7165,2784,412768.21558016294,121166.376564723,3919,1366
TX,48019000101,4330,2149,303145.041469737,65037.4225591141,2039,2337
TX,48019000102,4913,2550,353442.550068428,42396.115854101896,2039,2337
TX,48019000200,2726,1898,288079.874948259,21423.905251200602,2039,2337
TX,48019000300,6369,3249,465041.95342236204,35101.9271809859,2049,2364
TX,48019000400,2147,1715,257305.55866207302,7049.204019034731,1397,3058
TX,48021950100,8608,3484,491565.21529351297,32879.5006646091,1721,2943
TX,48021950200,7955,2925,448263.09139192104,86745.3328839034,1721,2943
TX,48021950300,12927,5181,797315.82671917,59848.509568599504,1922,2705
TX,48021950400,7984,3474,502638.345426124,267323.014978191,1751,2893
TX,48021950501,8008,2498,332840.018030839,32985.5035906673,1721,2943
TX,48021950502,6409,2958,446173.160701391,29924.8128514675,1751,2893
TX,48021950600,5184,2565,369320.23792104,29827.3568880314,1751,2893
TX,48021950700,4189,1912,262388.666731707,64540.76386324639,1751,2893
TX,48021950801,6520,2111,280785.512016911,19083.2134659096,1922,2705
TX,48021950802,6387,2208,305179.04689828603,12486.261437233601,1922,2705
TX,48023950300,3726,2665,406111.146649269,58660.7452910232,3094,2401
TX,48025950100,2002,1023,149664.190673601,12880.263333925,1194,3237
TX,48025950201,7928,365,52123.9001301074,87576.44263432571,929,3865
TX,48025950202,5059,2284,321448.43262618396,34860.9372405667,1194,3237
TX,48025950300,5093,2208,323743.12414012104,84417.183238483,1194,3237
TX,48025950400,2006,925,141806.640981557,56222.039937320995,1194,3237
TX,48025950500,7343,2789,365394.350878688,88299.41605929211,1194,3237
TX,48025950600,2430,1055,153381.620529565,14610.024955788402,929,3865
TX,48027020100,6219,2478,382886.13212463,45091.9764304732,2142,2502
TX,48027020201,6017,2349,406192.89220975206,26120.7113423696,2101,2565
TX,48027020202,6574,2753,407712.051336589,39874.8205125995,2101,2565
TX,48027020300,7838,2778,455948.60864052,40842.1275113494,2101,2565
TX,48027020401,3008,1276,153503.602727406,107107.82086687199,2142,2502
TX,48027020402,2803,1038,157953.930307766,15877.3153030607,2142,2502
TX,48027020500,3810,1494,239606.42156276602,27422.4687797269,2142,2502
TX,48027020600,2574,1137,176309.90414077698,15860.7788118499,2142,2502
TX,48027020701,1343,857,78815.0380751054,105839.323351433,2142,2502
TX,48027020702,2172,777,105915.413975406,120094.83104794801,2142,2502
TX,48027020800,3528,1374,168483.008902108,59763.966587027804,2142,2502
TX,48027020900,2998,1099,141270.95773106802,65782.226503,2142,2502
TX,48027021000,4610,2235,268708.475642826,56888.6193979659,2142,2502
TX,48027021100,5402,2494,328793.52225711104,119134.305345881,2142,2502
TX,48027021201,3021,1648,172069.622330261,17359.5830674999,2142,2502
TX,48027021202,4130,1740,236534.484639298,57090.5914987951,2142,2502
TX,48027021203,4298,2025,284153.98595773,89332.12575954599,2101,2565
TX,48027021301,4796,2231,342292.702115988,23920.303068511097,2142,2502
TX,48027021302,2865,1454,211665.26414165698,34757.163826746204,2142,2502
TX,48027021303,6153,2603,357657.56071637705,126283.102114065,2142,2502
TX,48027021400,3834,1488,228728.213575432,23175.3135851769,2142,2502
TX,48027021500,6538,2197,286894.992614029,107111.63045543301,1978,2728
TX,48027021601,5080,1939,257350.895957824,120722.390520155,2101,2565
TX,48027021602,2499,673,66851.72698231731,51591.4733885114,2101,2565
TX,48027021700,7338,3116,447007.056068642,61250.7877431344,2101,2565
TX,48027021800,8440,3176,471490.36005832296,36258.1060182494,1978,2728
TX,48027021901,3463,1422,199614.635480847,60963.4388252914,2167,2547
TX,48027021903,8350,2777,463112.94296926796,22530.3807075098,2167,2547
TX,48027021904,8823,3493,506856.863362646,22841.884818951898,2167,2547
TX,48027022000,7952,3559,429239.724267635,33963.9575058588,2167,2547
TX,48027022101,4256,2043,274844.16141715803,24543.124681704103,1866,2744
TX,48027022103,5518,1932,318153.895374653,7239.748187519829,1866,2744
TX,48027022104,4399,2091,253424.26255567398,9557.95745199525,1866,2744
TX,48027022105,2317,880,137301.03066314402,4081.4162464415003,1866,2744
TX,48027022200,3258,1682,180185.070595641,47317.2836517983,1866,2744
TX,48027022300,4010,2028,237811.158976782,71212.96710534219,2167,2547
TX,48027022401,5567,2267,336137.69922715396,51368.3209553333,2167,2547
TX,48027022402,4402,1581,271124.880191271,0.0,2167,2547
TX,48027022403,4513,1651,261399.43394382898,15003.840704516599,2167,2547
TX,48027022404,7400,2473,410854.610141936,24468.9888538212,2167,2547
TX,48027022405,1750,939,102984.13477309901,41069.5535140964,2167,2547
TX,48027022501,3423,1525,226585.12063829802,45422.6194637407,1866,2744
TX,48027022502,9542,3715,535325.90956302,63589.4375298254,2167,2547
TX,48027022600,4292,2270,279058.99367269,40327.722496290495,1866,2744
TX,48027022801,2540,1722,172411.413401309,20062.1326376674,1866,2744
TX,48027022900,3672,2064,227579.930128107,67296.733204458,1866,2744
TX,48027023000,7028,2871,440927.28846685897,50401.385464692,2167,2547
TX,48027023103,4467,1919,268380.725513605,51341.0999456206,1866,2744
TX,48027023104,3235,1470,195164.94847438,25315.0565418115,1866,2744
TX,48027023105,8805,3131,448680.432810243,24157.2988220283,1733,2855
TX,48027023106,9716,3909,552677.945169899,10477.6047796647,1733,2855
TX,48027023107,7105,2850,377242.09046151,22552.956463029102,1866,2744
TX,48027023108,13856,5175,709062.380819499,22560.4809793865,1733,2855
TX,48027023201,2684,1021,133890.186084486,810.8577275458181,1866,2744
TX,48027023202,5198,1059,117057.831107921,113941.96001074699,1866,2744
TX,48027023203,2909,876,99968.7800262207,1426.1545958399402,1866,2744
TX,48027023204,4486,825,99424.8333912774,178009.46651372302,1866,2744
TX,48027023300,6966,2750,431823.357936383,15045.7401957368,1733,2855
TX,48027023402,4862,1970,294056.14304039604,36422.9154054816,2142,2502
TX,48027023403,5400,2331,414500.483883981,86450.6445367135,1978,2728
TX,48027023404,3709,1522,234068.455920887,18981.1127490276,1978,2728
TX,48027023500,2155,1247,134011.984881507,113455.32917797199,1866,2744
TX,48027980001,319,0,0.0,23830.2798016419,1733,2855
TX,48027980002,0,0,0.0,0.0,1733,2855
TX,48027980003,0,1,0.0,0.0,1866,2744
TX,48029110100,3379,1992,180333.811538107,1124147.11717089,1607,2879
TX,48029110300,2542,1309,147161.387420224,46673.1865354531,1607,2879
TX,48029110500,2238,849,86327.8263155633,65103.013387415995,1607,2879
TX,48029110600,7553,1387,155968.31866919,172817.49174280302,1607,2879
TX,48029110700,1398,695,72424.422067821,63320.762496492694,1607,2879
TX,48029110800,1965,1139,102040.519697649,123269.976933308,1607,2879
TX,48029110900,549,240,23446.497882239502,141957.051132452,1607,2879
TX,48029111000,2125,1007,111496.562403281,60670.9804687899,1607,2879
TX,48029120100,7129,926,140880.770120116,342700.909861119,1607,2879
TX,48029120300,7031,3367,607928.145791857,170472.899695583,1607,2879
TX,48029120400,5733,2631,501437.447539615,47137.7948085057,1607,2879
TX,48029120501,8151,3556,452612.65381185,124628.034488981,1607,2879
TX,48029120502,5155,2080,271089.023723217,76762.9936642088,1607,2879
TX,48029120600,5970,3420,427368.294550166,75696.0962491047,1607,2879
TX,48029120701,5326,2532,292894.85849546,209884.967848941,1494,3132
TX,48029120702,4477,2828,338954.704367119,141526.260304539,1607,2879
TX,48029120800,6334,2995,503217.10793146206,92412.41849019981,1607,2879
TX,48029120901,2077,1071,126458.78032456599,60878.2470451205,1494,3132
TX,48029120902,6123,3739,402731.15144199604,85646.102848355,1607,2879
TX,48029121000,7095,3077,431095.925014064,322252.684636361,1494,3132
TX,48029121108,7109,3562,497315.73720922,110425.203165462,1494,3132
TX,48029121110,4895,1791,309382.909459215,12012.4559100079,1494,3132
TX,48029121111,6591,2535,405924.961365073,47362.4349110698,1494,3132
TX,48029121112,3771,2007,258566.252177223,33303.4175650059,1494,3132
TX,48029121115,5141,2286,399679.66255752795,43734.5703833811,1494,3132
TX,48029121116,4839,2407,324313.36915911303,50128.25048528559,1494,3132
TX,48029121117,4448,2124,290215.54393379,34405.0613636751,1494,3132
TX,48029121118,5620,2493,366521.073833496,73062.8535833167,1494,3132
TX,48029121119,5362,2375,352607.163265502,38792.964918379505,1494,3132
TX,48029121120,5103,2098,353224.60824439,38222.5409291136,1494,3132
TX,48029121121,3001,1099,228961.40195519602,28172.103731860498,1494,3132
TX,48029121122,5390,2003,380467.68412365206,29815.4653639436,1494,3132
TX,48029121203,3996,1729,233810.19771988198,309081.913022551,1494,3132
TX,48029121204,7747,4436,439785.15030665,96495.78664344721,1494,3132
TX,48029121205,3496,1617,198163.301202205,85001.0784769869,1494,3132
TX,48029121206,7267,2739,444760.099700215,46170.395152908895,1494,3132
TX,48029121300,6072,2676,406558.56892830704,96579.0280487834,1607,2879
TX,48029121402,5584,1775,286964.29423408303,10614.0791698379,1607,2879
TX,48029121403,4957,2144,258338.64586082302,55024.8910182817,1607,2879
TX,48029121404,4945,2128,234357.20572645802,149386.32223321,1607,2879
TX,48029121501,7831,2792,475346.20248855796,63623.5322245778,1494,3132
TX,48029121504,6923,2963,416407.226601584,33576.088237315,1494,3132
TX,48029121505,4571,1704,272378.89828483,15603.6226294923,1607,2879
TX,48029121506,5742,1836,270613.914712456,49394.7807893892,1607,2879
TX,48029121507,5036,1977,305479.698152775,17296.0376854296,1607,2879
TX,48029121508,5064,1827,242931.60400895603,19345.1072796694,1607,2879
TX,48029121601,4754,2322,268181.159704634,59244.361750729804,1817,2691
TX,48029121604,7247,2790,425942.40242864,13963.6054864106,1607,2879
TX,48029121605,1921,760,126557.16624,24057.427850570697,1494,3132
TX,48029121606,4860,2315,325071.817931348,48941.9726396267,1494,3132
TX,48029121701,3771,1736,255844.76304586302,43134.509992691404,1817,2691
TX,48029121702,6960,2797,433724.898106043,95456.38694883141,1494,3132
TX,48029121802,8176,2833,455020.708057615,44195.927984638205,1494,3132
TX,48029121803,4549,1611,265115.926155423,59887.343071835596,1494,3132
TX,48029121804,6353,2555,326794.427941295,29568.1573748444,1494,3132
TX,48029121808,3436,1117,192685.73680902,24960.816583247597,1494,3132
TX,48029121809,4982,1911,328821.01601993,21682.2689083045,1494,3132
TX,48029121810,4387,1514,265908.936426741,9042.903238854129,1494,3132
TX,48029121811,4476,1485,260815.055485955,6207.78118203861,1494,3132
TX,48029121812,6028,2140,331837.58315798396,20202.6020963924,1494,3132
TX,48029121813,1637,596,104677.570381937,14869.4102239588,1494,3132
TX,48029121903,4765,1772,375115.530009607,23561.5114397732,1494,3132
TX,48029121904,3564,1151,238811.53143652398,10545.8883505553,1494,3132
TX,48029121905,5776,2160,407393.588976044,11186.2694958034,1494,3132
TX,48029121906,5561,2287,320043.363897953,41300.0464496516,1494,3132
TX,48029121907,9329,3322,553771.245479397,11293.1076211202,1494,3132
TX,48029121908,2474,871,201284.665474045,13556.5975831119,1494,3132
TX,48029121909,4510,1781,307730.553065353,50721.7158824041,1494,3132
TX,48029121910,4736,1686,295201.63476995,14142.1652565678,1494,3132
TX,48029130200,1755,684,103617.73042058901,11422.9861388595,1607,2879
TX,48029130300,3303,1211,165745.901319509,11691.2902856049,1607,2879
TX,48029130401,4107,1456,209835.82373221,18505.820847484298,1607,2879
TX,48029130402,3972,1436,162241.965958671,22348.290283665498,1607,2879
