"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"UT",49001100100,3818,198875.2170305,45706.3453999264,7036,199
"UT",49001100200,2811,153971.454574462,26338.5695285878,5682,951
"UT",49003960100,3152,182072.768728883,13920.8705060743,7144,540
"UT",49003960200,6901,325673.658502219,40737.3327010684,6631,875
"UT",49003960300,8186,353539.091346623,96154.7402264962,6631,875
"UT",49003960400,4872,227008.011890991,25373.6786081026,6193,736
"UT",49003960500,5023,217386.240780817,59512.0153467248,6193,736
"UT",49003960601,3720,179258.735740186,35051.1092469058,6423,603
"UT",49003960602,2429,111656.446824776,30480.0007431024,6423,603
"UT",49003960701,4765,227632.788149771,48944.4804289853,6423,603
"UT",49003960702,2281,105543.984198009,45773.793178837,6423,603
"UT",49003960801,4206,195570.654861831,25148.8526780908,6423,603
"UT",49003960802,4440,213274.712850289,23022.3024148644,6423,603
"UT",49005000101,4599,205620.158336151,40162.3557159021,7061,540
"UT",49005000102,1563,73827.0743406012,4803.92330093418,7087,317
"UT",49005000201,3228,150752.279928024,37593.2155884378,7484,380
"UT",49005000202,6953,306247.805216094,46818.3010421268,7061,540
"UT",49005000300,7492,295022.882873519,91221.4023321595,7484,380
"UT",49005000401,3338,139281.720791046,88966.458874778,6761,694
"UT",49005000402,3118,144854.419905755,17025.4114968766,6761,694
"UT",49005000403,5754,238126.651490983,56580.2735913297,7484,380
"UT",49005000501,5128,208180.375047656,81973.0902749109,7166,492
"UT",49005000502,5231,189786.882181657,71105.9425319854,7166,492
"UT",49005000600,7068,216527.349261648,110484.942757776,6761,694
"UT",49005000701,4520,206505.796191814,56145.2099742329,6761,694
"UT",49005000702,2720,39664.3947340196,121154.760816807,6761,694
"UT",49005000800,4795,193875.355832616,75065.4699054051,6761,694
"UT",49005000900,3374,145744.985254117,21544.7722195823,6761,694
"UT",49005001001,3026,116958.4227583,11333.7994666525,7166,492
"UT",49005001002,4560,186659.671155472,101257.43856415,7166,492
"UT",49005001101,5596,254534.549996514,53746.5455437004,6761,694
"UT",49005001102,4230,212930.430501539,22804.1659060028,6761,694
"UT",49005001201,4955,206309.313681451,32907.0004967835,6761,694
"UT",49005001202,5387,211524.899372581,17230.7267089551,7350,413
"UT",49005001300,6117,258295.079663053,46808.8249543435,7350,413
"UT",49005001401,4096,158471.869610878,23282.8955479738,7350,413
"UT",49005001402,3665,148902.57629531,39698.02720549,7350,413
"UT",49005001500,2038,93146.4435613984,9075.79088342709,7350,413
"UT",49005980100,105,100280.286460239,5818.33158633291,6761,694
"UT",49007000100,3809,176339.634148517,36642.2592339414,6593,641
"UT",49007000200,4469,222752.319415244,60801.3229638205,6593,641
"UT",49007000300,4461,193866.807246978,110861.292097669,6593,641
"UT",49007000500,4248,316820.912496263,74241.4198551343,7638,223
"UT",49007000600,4416,260227.459413976,28252.0004911892,5304,732
"UT",49009960100,1059,128727.844641757,14483.1196186835,7454,285
"UT",49011125102,4143,201517.841227357,28603.7308041917,5744,986
"UT",49011125103,4293,185537.129555605,43641.2965887161,5980,959
"UT",49011125104,5788,247764.612895693,37571.3826744779,5744,986
"UT",49011125200,3319,110650.309921854,77460.6955484926,5980,959
"UT",49011125301,5108,233163.868190866,41680.0197206713,5980,959
"UT",49011125303,10657,448574.249806506,58435.2677065728,5980,959
"UT",49011125304,4901,223138.060763812,14379.5328154833,5980,959
"UT",49011125305,6152,282951.077399526,20186.8086836438,5980,959
"UT",49011125401,11309,500182.527859215,32330.4435356288,5980,959
"UT",49011125403,11439,484095.814545325,39195.1425102034,5296,1378
"UT",49011125405,9412,349867.190515987,9998.31809942704,5744,986
"UT",49011125406,7491,297701.282116348,21884.2401730063,5744,986
"UT",49011125501,5759,242065.08631242,21897.7109029164,5980,959
"UT",49011125502,5411,227194.389768763,38702.198448558,5980,959
"UT",49011125503,4695,205525.676633812,8464.39605243855,5980,959
"UT",49011125600,1217,7122.13286920255,108673.515214703,5980,959
"UT",49011125701,3657,153356.817347481,70842.9356097422,5980,959
"UT",49011125702,3839,167993.501626776,59617.8311976475,5980,959
"UT",49011125801,6703,270810.694517192,90209.0371434746,5744,986
"UT",49011125804,6377,305832.157991545,33042.2671307142,5744,986
"UT",49011125805,6167,273568.607504271,110649.656369406,5744,986
"UT",49011125807,3114,118622.875075014,17649.6269780432,5744,986
"UT",49011125808,5616,256066.419568227,54086.292895585,5744,986
"UT",49011125905,6156,269391.400735605,46078.0498897546,5744,986
"UT",49011125906,6987,301766.355867062,45627.8405000075,5744,986
"UT",49011125907,2034,88764.3942796822,16947.2796110246,5744,986
"UT",49011125908,4770,228740.762551108,22185.9892943069,5744,986
"UT",49011126001,4901,215609.564586047,92606.492885018,5744,986
"UT",49011126002,5058,204068.500473589,62381.0470484435,5744,986
"UT",49011126101,6367,299888.409010628,74992.2628775227,5744,986
"UT",49011126104,10758,452337.462259215,59159.5406351079,5744,986
"UT",49011126105,6834,303530.018824581,23565.7855314573,5744,986
"UT",49011126202,8580,361327.888910364,28128.6254138625,5744,986
"UT",49011126203,4023,176319.754427141,39139.5865879735,5744,986
"UT",49011126204,4400,202600.442911026,76947.8733058037,5744,986
"UT",49011126303,4408,193296.857529589,20751.1018693778,5806,959
"UT",49011126304,5962,266983.275432949,62446.7290452857,5806,959
"UT",49011126305,2153,105596.383252643,9511.59912767983,6324,601
"UT",49011126306,6883,341288.428985545,69386.9583307348,5806,959
"UT",49011126402,3381,207676.466675139,33602.4720503537,6324,601
"UT",49011126404,6013,362076.774965518,26578.6310062446,5806,959
"UT",49011126405,3992,222190.632198802,20084.0583924222,5806,959
"UT",49011126406,4311,201407.10626173,35370.9739388913,5806,959
"UT",49011126500,6128,309360.523441432,68780.1149385918,5806,959
"UT",49011126600,5056,241063.597147919,73209.0817828339,5806,959
"UT",49011126700,3900,185627.522400987,111480.858209967,5806,959
"UT",49011126801,3213,162383.461165435,29069.9190467295,5806,959
"UT",49011126802,4892,245709.49470875,30986.4147672788,5806,959
"UT",49011126901,5824,259947.914847595,139468.457960178,5806,959
"UT",49011126902,6318,293194.738492137,65566.2272517994,5806,959
"UT",49011127002,6738,300292.547016389,147647.085793548,5806,959
"UT",49011127003,5159,252235.003419875,23033.2649884489,5806,959
"UT",49011127004,7756,343843.89589442,70729.6862391317,5806,959
"UT",49011127100,6957,309313.329991251,70780.7810893031,5744,986
"UT",49013940300,3847,539667.25298571,43028.2289994731,7182,393
"UT",49013940500,7632,323389.171316054,118425.269614019,7227,531
"UT",49013940600,7128,368952.072801992,56676.8928597682,7897,254
"UT",49015976200,4185,198593.714730434,39596.5766222239,6546,483
"UT",49015976300,3329,180928.851320309,42368.3387370111,6546,483
"UT",49015976500,3462,182462.038364897,44645.8564383795,5682,1004
"UT",49017000300,2377,252628.448914685,80250.7592853088,8218,100
"UT",49017000400,2795,217797.24593496,49619.5131121559,6092,498
"UT",49019000200,4392,249421.997649872,126248.728318142,4565,1616
"UT",49019000300,4833,328243.528987861,81165.4835879856,5538,1194
"UT",49021110100,3951,410462.073323399,44438.1253905134,6550,433
"UT",49021110200,7387,300910.151076868,30571.7892039638,6255,588
"UT",49021110300,3508,178810.477970174,119705.383884444,6528,425
"UT",49021110400,4657,177968.404891794,73704.5356507629,5737,784
"UT",49021110500,9698,386278.660405366,130065.278168485,6095,454
"UT",49021110600,6029,302661.097518298,80753.0858488601,6095,454
"UT",49021110701,6538,304820.638417478,65972.7714788125,6255,588
"UT",49021110702,4395,235917.044310206,61545.4777198435,5629,648
"UT",49023010100,5565,260599.711480825,75881.3440124923,6068,760
"UT",49023010200,4681,212922.164147904,48438.5303533004,6469,720
"UT",49025130100,2297,432792.542222217,36399.5964618744,4741,1344
"UT",49025130200,4828,283298.064064726,89456.6177302261,4578,952
"UT",49027974100,4827,234384.151857443,84856.5225191833,5881,1139
"UT",49027974200,3037,154579.979870235,22311.500754148,5984,660
"UT",49027974300,4639,264767.820170243,54363.0497761862,5527,1192
"UT",49029970100,8042,368343.820037287,88262.7196056142,7575,237
"UT",49029970200,1427,75207.1486021762,9402.80947831763,7021,437
"UT",49031960100,1556,114280.025818536,19024.1269847538,6279,364
"UT",49033950100,2264,353082.560002552,32005.0978216247,9581,59
"UT",49035100100,1529,71473.0966411337,70667.5331856316,4967,1301
"UT",49035100200,1289,76193.4998777794,14601.1991288982,5806,959
"UT",49035100306,5062,157052.220724143,69691.4019216916,5607,1159
"UT",49035100307,5223,176849.292966513,7068.71363885412,5607,1159
"UT",49035100308,4222,119267.805090339,12077.6739565006,5607,1159
"UT",49035100500,6379,250992.985206006,22658.4943304046,4967,1301
"UT",49035100600,6556,247354.44128156,63639.139268254,4967,1301
"UT",49035100700,2704,148365.598831151,29138.1097294446,4967,1301
"UT",49035100800,2491,139514.260491127,227639.204859622,4967,1301
"UT",49035101000,2959,186952.033243986,31469.4185473854,4967,1301
"UT",49035101101,1969,117563.313890605,27229.5093858272,4967,1301
"UT",49035101102,3422,184559.413517235,26835.2292872663,4967,1301
"UT",49035101200,3877,226887.709380112,41599.3799005319,4967,1301
"UT",49035101400,4816,101952.584770345,232171.195713454,5510,1042
"UT",49035101500,3214,168856.196356713,44432.3657420585,4967,1301
"UT",49035101600,3628,192374.509640611,47359.1833529793,4967,1301
"UT",49035101700,3534,177445.552759798,52355.1365361756,4967,1301
"UT",49035101800,3086,160549.088434187,41113.6832570626,4967,1301
"UT",49035101900,2497,128119.23659446,127735.269402241,4967,1301
"UT",49035102000,2620,123404.874630686,83245.3032365444,4967,1301
"UT",49035102100,1457,82767.2258017851,110556.106597899,4967,1301
"UT",49035102300,2760,140961.133620601,147146.523985486,4967,1301
"UT",49035102500,3460,146628.075440863,383812.27793169,4967,1301
"UT",49035102600,4420,171391.796832134,62565.3668321645,4967,1301
"UT",49035102701,5099,195023.730494004,14970.5816465962,4967,1301
"UT",49035102702,3835,108902.523460272,21896.7819737807,4967,1301
"UT",49035102801,6106,235436.181662747,43374.7570738995,4967,1301
"UT",49035102802,5063,149605.669986823,192459.792767696,4967,1301
"UT",49035102900,4500,190094.950343842,325601.650549719,4967,1301
"UT",49035103000,2954,152573.734709882,23471.2098725573,4967,1301
"UT",49035103100,4163,220179.188034756,19944.6103589576,4967,1301
"UT",49035103200,4536,260533.938946254,54209.1088359655,4967,1301
"UT",49035103300,4267,222404.394530605,81045.6390677267,5510,1042
"UT",49035103400,4080,245956.143041672,37270.470095814,5510,1042
"UT",49035103500,4045,247673.364712461,35459.325606936,4967,1301
"UT",49035103600,2670,154599.388198799,16757.7576909208,5510,1042
"UT",49035103700,2581,170394.400066983,13988.2250010424,5510,1042
"UT",49035103800,2382,136056.129963377,18425.0880193245,5510,1042
"UT",49035103900,3786,210551.178451072,19164.4107405212,5510,1042
"UT",49035104000,3267,186235.294425905,44664.6233522779,5510,1042
"UT",49035104100,2968,165817.990447898,18644.9901913386,5510,1042
"UT",49035104200,6367,374329.196487465,59512.5741194911,5510,1042
"UT",49035104300,2821,161684.729965635,33055.552410363,5510,1042
"UT",49035104400,2010,151996.802132446,17174.0558090326,5510,1042
"UT",49035104700,4774,269697.527069106,31748.5918072571,5510,1042
"UT",49035104800,5022,279660.729915305,36576.8553488527,5510,1042
"UT",49035104900,3147,159241.29680224,28445.5168100139,5510,1042
"UT",49035110102,4427,427948.273700709,60511.3726484449,5670,1135
"UT",49035110103,3620,302487.652360569,21845.7785717877,6851,386
"UT",49035110104,5288,430193.006051183,117376.207106729,6851,386
"UT",49035110200,5077,268715.911423773,46749.2740852648,5510,1042
"UT",49035110300,5477,304705.160201674,40438.370920877,5510,1042
"UT",49035110401,3476,168178.565601009,66947.231694843,5510,1042
"UT",49035110402,3653,180635.469633009,39214.6514211726,5510,1042
"UT",49035110500,6164,319980.363809347,53791.6962799278,5510,1042
"UT",49035110600,5376,303863.923324048,36600.1739505767,5510,1042
"UT",49035110701,3628,179871.616220848,25541.4610356854,5510,1042
"UT",49035110702,4896,253992.917129434,47613.0866552362,5510,1042
"UT",49035110800,5425,258448.544184407,137299.825913244,5670,1135
"UT",49035110900,4562,244653.65336485,30733.4407035247,5670,1135
"UT",49035111001,4470,280422.242007349,72323.9006886835,5670,1135
"UT",49035111002,5659,301973.34447471,135935.632865223,5670,1135
"UT",49035111101,6279,326770.737211799,97317.2370975753,5670,1135
"UT",49035111102,6104,307598.618514152,45609.4476304707,5670,1135
"UT",49035111103,5903,362166.057244243,78448.2571426042,5670,1135
"UT",49035111201,2761,145853.494695834,32848.4709275461,5670,1135
"UT",49035111202,4687,221197.681122824,62767.5242113844,5670,1135
"UT",49035111302,5979,322749.817027178,43247.4794436552,5670,1135
"UT",49035111304,3676,192719.921231387,23674.6675292283,5670,1135
"UT",49035111305,3872,214323.602743731,51738.0750563913,5670,1135
"UT",49035111306,2536,122449.645610567,20307.5826532954,5670,1135
"UT",49035111400,6555,292049.245966404,102413.524437987,4967,1301
"UT",49035111500,1794,79173.7360993853,486401.304315239,4967,1301
"UT",49035111600,7472,228336.627382606,486864.882465449,4967,1301
"UT",49035111701,5194,199200.840335071,69479.1178249703,5510,1042
"UT",49035111702,4361,194443.369657825,34819.6874035827,5510,1042
"UT",49035111801,5276,268084.826810745,91520.0872380659,5510,1042
"UT",49035111802,2408,149379.823604246,63704.2640140817,5510,1042
"UT",49035111903,3916,217039.428965642,93159.2657342572,5510,1042
"UT",49035111904,3509,207503.122432409,50802.3547948807,5510,1042
"UT",49035111905,3583,173235.185952058,51589.9864056789,5510,1042
"UT",49035111906,4186,162505.814062199,28801.7079172948,5510,1042
"UT",49035112001,3281,171148.209870844,41922.2173030622,5510,1042
"UT",49035112002,4505,230330.878330354,99027.7651015447,5510,1042
"UT",49035112100,7264,338667.17182456,293099.430427476,4967,1301
"UT",49035112201,5249,256026.385470644,47595.993590274,5670,1135
"UT",49035112202,3909,197153.16067529,112641.869533565,5670,1135
"UT",49035112301,3823,183061.073263031,65711.6201823807,5670,1135
"UT",49035112302,3573,172634.656030333,149807.732700632,5670,1135
"UT",49035112402,6449,257486.814816618,94227.466317955,4942,1392
"UT",49035112403,4473,177890.554862617,117073.714384851,4942,1392
"UT",49035112404,3903,161654.636348403,96695.8995036078,5670,1135
"UT",49035112501,3735,199814.005571912,46206.5345869008,5670,1135
"UT",49035112502,6155,309291.494531748,160443.458469241,5670,1135
"UT",49035112503,4633,223570.333281871,37815.8102670669,5670,1135
"UT",49035112604,5101,233983.738475768,76188.2043227447,5670,1135
"UT",49035112605,6795,330407.798342411,145900.414304085,4942,1392
"UT",49035112608,5276,258703.833865723,43030.4584438916,5670,1135
"UT",49035112609,5553,275342.314738063,49037.0113514328,5670,1135
"UT",49035112610,4316,220315.383855164,38529.6781173671,5670,1135
"UT",49035112611,6655,304346.835270428,68987.9392137295,5670,1135
"UT",49035112612,4096,221538.999649063,46632.8665594223,5670,1135
"UT",49035112613,4915,238654.157296047,44579.5232692655,5670,1135
"UT",49035112614,3380,213599.875219215,30157.2560150706,5670,1135
"UT",49035112615,2419,148781.428746741,32988.847172006,5670,1135
"UT",49035112616,4533,222632.749509869,24651.6362155967,5670,1135
"UT",49035112617,3551,189971.849138174,21315.7664275819,5670,1135
"UT",49035112618,3261,160135.94626579,48065.7108504764,5670,1135
"UT",49035112619,3110,181141.419687326,18733.0615151698,5670,1135
"UT",49035112700,4821,220838.517730494,96738.0772013425,5670,1135
"UT",49035112804,5602,259626.827579474,47891.0527924641,4942,1392
"UT",49035112805,5343,247823.508888455,57930.6196716386,4942,1392
"UT",49035112810,7066,273049.09910969,73956.0222327952,4942,1392
"UT",49035112812,5670,270529.932729607,40271.9816106112,4942,1392
"UT",49035112813,5449,260254.387425152,38116.0737331194,4942,1392
"UT",49035112814,4696,285071.118364804,51419.9752127987,5670,1135
"UT",49035112815,5044,240944.03424,32531.485140977,5962,662
"UT",49035112816,4852,214540.533914616,69599.3338970022,4942,1392
"UT",49035112817,6374,271586.06184439,302973.071401394,4942,1392
"UT",49035112818,3840,0,48397.2807773739,4942,1392
"UT",49035112819,7040,354711.879615132,170248.815608423,4942,1392
"UT",49035112820,7344,365133.930415169,24103.0434912618,4942,1392
"UT",49035112821,6257,292541.443645955,22656.4498800935,4942,1392
"UT",49035112822,4709,204505.045778974,57255.8651030085,4942,1392
"UT",49035112823,4493,212195.648448938,64008.4284444097,4942,1392
"UT",49035112904,6731,274489.752571087,28795.1113936104,5607,1159
"UT",49035112905,5391,248615.046375313,18629.9391723568,5607,1159
"UT",49035112907,4648,189083.326311456,49757.8465767014,4942,1392
"UT",49035112912,2769,112732.259414411,39537.5830803402,4942,1392
"UT",49035112913,5129,225774.259389727,39308.7625676596,4942,1392
"UT",49035112914,6293,270983.496708774,46233.6630772631,4942,1392
"UT",49035112916,4567,176402.150660077,16413.8306582085,4942,1392
"UT",49035112917,3864,175014.834472754,47307.5278088068,4942,1392
"UT",49035112918,5242,214388.066446339,76206.8768573737,4942,1392
"UT",49035112920,4309,190556.213243456,40923.045773977,4942,1392
"UT",49035112921,3444,156314.105213848,27368.3069242831,4942,1392
"UT",49035113007,5005,206276.327697152,19179.0893074995,4942,1392
"UT",49035113008,6174,272232.852710393,33306.5760630501,4942,1392
"UT",49035113010,6343,338648.764933167,180768.503835689,4942,1392
"UT",49035113011,5806,332118.510359432,41696.1849183795,4942,1392
"UT",49035113012,4854,215853.699357544,67764.1273814097,4942,1392
