"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"VA",51001090100,2941,561418.272912125,94567.954983144,4189,1198
"VA",51001090200,6156,585836.147603091,52999.1400471337,4189,1198
"VA",51001090300,2335,161845.823823989,22969.8123124641,4189,1198
"VA",51001090400,6234,343381.718738776,98995.5296548931,4189,1198
"VA",51001090500,2849,180922.537914923,40537.0339326345,4189,1198
"VA",51001090600,4401,377195.26587263,71104.73505631,3671,1677
"VA",51001090700,4907,362450.071243956,76428.916416184,3679,1450
"VA",51001090800,3336,235513.11739223,43028.7863331714,3679,1450
"VA",51001980100,0,0,2796.56723761563,3990,1230
"VA",51001980200,5,0,8676.49388042269,4189,1198
"VA",51003010100,5190,412914.414698242,55773.3176511803,4445,1035
"VA",51003010201,4664,308569.467580656,35356.388916913,4445,1035
"VA",51003010202,3077,272706.656389777,33327.757339294,4445,1035
"VA",51003010300,8098,505911.476125476,71815.4430122332,4445,1035
"VA",51003010401,4331,323328.963611334,46012.5529576262,4445,1035
"VA",51003010402,3314,265771.076447184,45005.2984497134,4733,1000
"VA",51003010500,4543,310892.218829235,127192.067496647,4733,1000
"VA",51003010601,5817,362889.669411984,198577.555380043,4445,1035
"VA",51003010602,2697,218175.353659981,12951.6126791228,4733,1000
"VA",51003010700,6145,321260.935452586,142676.029959886,4148,1304
"VA",51003010800,5325,344247.200003423,115500.218228314,4148,1304
"VA",51003010901,1900,80144.10843394,46560.5884012176,4148,1304
"VA",51003010902,3191,46618.0027632919,111042.175346844,4148,1304
"VA",51003010903,2613,867.203455679942,125456.451150286,4148,1304
"VA",51003011000,6292,532428.070903793,100781.590498558,4148,1304
"VA",51003011100,7024,463425.98385214,72716.139173263,4148,1304
"VA",51003011201,4092,307625.568987425,83061.4491831952,5104,787
"VA",51003011202,3413,233078.675411988,67225.1973127429,4148,1304
"VA",51003011301,5390,371027.604166069,41428.1589790776,4419,1083
"VA",51003011302,3765,175121.020489336,19222.7535848676,4148,1304
"VA",51003011303,3738,208752.199879127,55258.1703333996,4419,1083
"VA",51003011400,4351,310634.694565033,39238.5282261672,4148,1304
"VA",51005070100,3959,265956.504209283,77938.4980311309,4728,946
"VA",51005080100,3362,239749.295474798,31519.1215948178,5627,556
