state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
VT,50001960100,3757,1624,216968.171429086,29857.829234725297,8269,252
VT,50001960200,2775,1491,196750.71278950397,32382.1901888836,7432,484
VT,50001960300,2588,1072,123511.341150346,77042.35482976929,7646,430
VT,50001960400,5094,2325,309756.57588101603,66708.470024548,7646,430
VT,50001960500,3894,1691,206695.231651703,45001.582368061696,8563,218
VT,50001960600,2644,1545,194759.42681347698,28746.8946777602,8563,218
VT,50001960700,3957,1860,211929.118358206,76742.7410253852,7126,520
VT,50001960800,4539,1208,136263.11923621,231212.71607914,7646,430
VT,50001960900,5337,2590,340412.535982444,61494.194749377406,7646,430
VT,50001961000,2236,1354,165415.62859218402,21295.3277485625,7126,520
VT,50003970200,2031,1450,193749.29452706198,30006.1954685729,7789,291
VT,50003970300,1119,769,86862.67212597281,23162.0286148953,7031,422
VT,50003970400,4391,2864,347532.62119060603,204434.06990028103,7877,232
VT,50003970500,1302,2610,342202.12516093603,38882.8025352458,8060,243
VT,50003970600,3084,1891,231271.998186227,29012.5044774814,7868,240
VT,50003970700,2317,1285,157573.960227036,34056.582322621696,7877,232
VT,50003970800,3590,1676,224124.122672458,28469.1146857084,7236,312
VT,50003970900,2264,908,91619.21322283288,28200.160276211802,7236,312
VT,50003971000,3700,1424,161347.21433986802,124638.25512495199,7236,312
VT,50003971100,4727,1923,221169.806604328,117498.37648004199,7565,265
VT,50003971200,5073,2508,264121.673953789,162690.410893934,7236,312
VT,50003971300,3527,1614,202047.298521163,50845.1817984653,7565,265
VT,50005957000,4275,2649,296853.643943344,27766.3964451089,9061,114
VT,50005957100,2246,1343,149718.178089651,18969.7786952054,9051,208
VT,50005957200,2646,1257,132366.671064838,61761.6622754478,9061,114
VT,50005957300,3335,1149,129401.672938278,91369.8608837579,9061,114
VT,50005957400,3852,1883,189492.56692564397,158159.249926235,7775,432
VT,50005957500,3751,1639,178813.728144938,87905.320933471,7775,432
VT,50005957600,2196,1268,156964.792232678,24102.3928977759,7775,432
VT,50005957700,3010,1423,156485.978885997,56151.24748267401,8218,303
VT,50005957800,2928,1801,228150.07582631602,24997.8858819089,8218,303
VT,50005957900,2988,1530,203965.648803783,29666.913327732098,8527,290
VT,50007000100,4580,1917,242430.020392873,23785.6868116022,7435,492
VT,50007000200,5625,2427,303588.45977082103,77171.8614724329,7435,492
VT,50007000300,3399,1494,159147.089404488,44805.835617259196,7435,492
VT,50007000400,3148,1582,156048.866236611,48431.469836531105,7435,492
VT,50007000500,4211,1831,172285.347842654,71123.6869671029,7435,492
VT,50007000600,5169,2045,196276.52964022,85129.8428466577,7435,492
VT,50007000800,2454,1129,129862.189479024,44431.06448262231,7435,492
VT,50007000900,2839,1252,124070.33583787699,57320.432365564004,7435,492
VT,50007001000,2371,1440,126527.531565644,331915.80091597396,7435,492
VT,50007001100,2421,1127,136176.163863695,30438.8449435045,7435,492
VT,50007002101,2823,1195,163157.056773131,13418.822307901699,7367,499
VT,50007002102,7529,2952,381786.99578458397,102740.26501216901,7612,482
VT,50007002200,8314,2991,336749.730394728,222812.795257647,7612,482
VT,50007002301,2210,1073,138239.912767209,28815.8285782921,7367,499
VT,50007002302,6543,3040,411270.97360247205,98456.69067487,7367,499
VT,50007002400,3241,1395,154622.801124979,27863.6658230085,7435,492
VT,50007002500,4026,1998,197104.943372293,88497.486621705,7435,492
VT,50007002601,5188,2300,274597.696219354,88804.7142482808,7612,482
VT,50007002602,4088,1711,211746.654241174,40908.088414266,7612,482
VT,50007002701,5376,2241,284257.191141255,160774.286869157,7612,482
VT,50007002702,4935,1894,258731.06271738198,48140.3121978411,7612,482
VT,50007002800,5009,1948,271979.042104002,44712.003815349,10948,24
VT,50007002900,6227,2588,352642.00097368396,62477.759976152694,10948,24
VT,50007003000,4081,1653,214205.89227040397,44301.372257775096,8269,252
VT,50007003100,8698,3652,487489.664018774,378383.484386614,7435,492
