"state","id","pop.2010","res.area.m2","com.area.m2","hdd65","cdd65"
"WA",53001950100,2447,163089.240254622,54110.7259528865,6489,452
"WA",53001950200,1738,103191.120502611,23315.0398409496,6018,519
"WA",53001950300,6934,229772.167426307,41881.8970381029,6009,408
"WA",53001950400,2856,113388.994392345,53044.1978812501,6009,408
"WA",53001950500,4753,164282.30295515,37247.1513305806,6009,408
"WA",53003960100,4304,279263.850272628,29838.4125105137,5169,807
"WA",53003960200,4542,272826.122810457,28632.6239794375,5169,807
"WA",53003960300,3775,180900.054616509,90071.2612913365,5169,807
"WA",53003960400,2165,114796.289001234,10009.2806841599,5169,807
"WA",53003960500,3424,188473.887026285,50180.3696128407,5169,807
"WA",53003960600,3413,192844.691291523,21331.7457931973,5169,807
"WA",53005010100,4448,319063.515539718,343637.28378749,5029,733
"WA",53005010201,4295,268445.283528591,195278.479853098,5029,733
"WA",53005010202,6060,322244.689353358,73319.6365277111,5029,733
"WA",53005010300,5010,305792.578783477,28532.3818120255,5029,733
"WA",53005010400,3617,199603.293537698,8729.634122942,5029,733
"WA",53005010500,3022,134019.321696562,157124.031741708,5029,733
"WA",53005010600,4296,223875.326253097,89597.4564608835,5029,733
"WA",53005010701,2138,105560.892078413,4713.06414918188,5029,733
"WA",53005010703,2803,148885.949627763,14374.0513038657,5029,733
"WA",53005010705,5268,315121.063895554,10064.7438046141,5029,733
"WA",53005010707,2491,151098.436461826,2090.78289476133,5029,733
"WA",53005010708,2440,123452.718752391,11858.3298837057,5029,733
"WA",53005010803,6690,409181.410246846,24647.8271798083,5029,733
"WA",53005010805,5917,379720.355666002,89511.5211581738,5029,733
"WA",53005010807,1082,59759.4187007945,2320.43924122837,5029,733
"WA",53005010809,6015,324741.828719018,85940.3266487578,5029,733
"WA",53005010810,4548,311446.008754943,12220.0940966403,5029,733
"WA",53005010811,3100,196502.478797714,6703.79054418565,5029,733
"WA",53005010813,9288,561232.302748634,76077.929064586,4695,952
"WA",53005010814,2844,144204.559120111,6577.90665742489,5029,733
"WA",53005010901,6177,254734.749910539,133141.018836914,5022,711
"WA",53005010902,4907,207501.918899539,49087.5507993601,4695,952
"WA",53005011001,4975,233877.183177963,43764.6706487546,4695,952
"WA",53005011002,4475,193904.06730438,57892.9019450613,4695,952
"WA",53005011100,7365,365350.400691286,55578.2219202887,4695,952
"WA",53005011200,8552,288841.866712634,64214.3022750354,4695,952
"WA",53005011300,5067,218241.595238775,127257.099885704,4695,952
"WA",53005011401,3810,166327.465866003,9142.03074165679,4695,952
"WA",53005011402,5016,288931.24939632,21142.1305993704,4695,952
"WA",53005011501,6740,300782.893148572,40714.386647038,4695,952
"WA",53005011503,9380,524378.759491325,50444.86457794,4695,952
"WA",53005011504,2975,167496.748706787,4701.07968024764,4695,952
"WA",53005011600,931,44324.6902063907,8972.76135632527,4862,797
"WA",53005011700,7076,316736.185925277,80958.4043887255,4934,822
"WA",53005011800,6546,286758.60329424,31693.1288020027,4934,822
"WA",53005011900,5808,269948.915904134,24880.1772118299,4934,822
"WA",53005012000,5,355.075421667091,169.083537445152,5274,830
"WA",53007960100,2369,186624.091251406,23969.4486029424,8791,61
"WA",53007960200,6251,688541.104210108,118352.991943556,7223,169
"WA",53007960300,6396,550649.871637615,119886.63633959,6245,460
"WA",53007960400,3813,289686.355715988,32482.7118235045,5865,684
"WA",53007960500,6831,392541.533937401,54714.5015668038,6559,444
"WA",53007960600,4064,221829.974271551,64897.6047566857,5816,645
"WA",53007960700,3455,212611.40146125,88122.7152353009,5816,645
"WA",53007960801,2666,156110.83453941,10399.7522012282,5816,645
"WA",53007960802,7202,366126.411694409,226339.772012402,5816,645
"WA",53007961000,6800,327093.668163046,204783.288511778,5444,841
"WA",53007961100,9596,404669.934656654,110067.156823491,5444,841
"WA",53007961200,3762,221779.99242767,17664.398341223,5773,789
"WA",53007961301,1327,88653.6557688758,7640.0673218477,5816,645
"WA",53007961302,7921,440787.299182142,40855.9699082322,5816,645
"WA",53009000200,1783,94201.4510995855,58016.3678694838,5477,58
"WA",53009000300,4695,227436.205323634,52471.6376283858,5477,58
"WA",53009000400,1758,114028.726469575,14732.564020955,5477,58
"WA",53009000600,3370,274270.674109942,26108.076692439,5969,81
