"state","id","lat","lon","a.land.m2","pop.2010","h.units.2010","res.area.m2","com.area.m2","ind.area.m2","res.area.natgas.m2","res.area.fok.m2","res.area.othergas.m2","res.area.elec.m2","res.area.other.m2","frac.natgas.res","frac.fok.res","frac.othergas.res","frac.elec.res","frac.other.res","frac.natgas.com","frac.fok.com","frac.othergas.com","frac.elec.com","frac.other.com","hdd65","cdd65","acpen","frac.ff.res","frac.ff.com","acpen.res","acpen.com","t.min","t.max","tadj.rcp26","tadj.rcp45","nerc.subregion","hd_183C_10yr","hd_167C_10yr","hd_183C_2010","hd_167C_2010","res.area.adj.m2","htg.slope.res.btu.m2.degC.adj"
"WI",55001950100,44.2022827,-89.7468118,233960901,2973,3498,450739.537342142,33464.7901882212,4594.05533264515,212983.278886865,13190.8073026608,175019.492015792,27990.2496422315,21555.7094945921,0.472519628836545,0.0292648108493933,0.388294075660243,0.0620985010706638,0.0478229835831549,0.517553505269047,0.0320539180000467,0.388294075660243,0.0620985010706638,0,7983,463,0.689603416551959,0.890078515346181,0.937901498929337,0.689603416551959,1,-36.8,36.9,1.0421320754717,1.54750704225352,13,1022412.98,918603.75,98112.13,88050.39,754967.492699653,2.61277879278996
"WI",55001950201,44.0031471,-89.8876764,110065949,1379,1518,179894.75506448,10334.6271125883,2777.80094895473,8589.7904873899,7608.10014597391,93506.0050198729,27487.3295596477,41230.9943394715,0.0477489768076398,0.0422919508867667,0.519781718963165,0.152796725784447,0.229195088676671,0.16929182686345,0.149944189507627,0.519781718963165,0.152796725784447,0,7979,496,0.717496304764453,0.609822646657572,0.839017735334242,0.717496304764453,1,-36.8,36.9,1.0421320754717,1.54750704225352,13,1022420.98,918611.75,98112.13,88050.39,301315.240685789,2.61447534339152
"WI",55001950202,44.0888085,-89.7705743,467862256,2674,2954,353226.558047871,17503.4900799176,73486.7699625274,10084.4001911815,9266.74612162625,231941.204397175,23711.9680171025,78222.2393207862,0.0285493827160494,0.0262345679012346,0.656635802469136,0.0671296296296296,0.221450617283951,0.143953225525996,0.132281342375239,0.656635802469136,0.0671296296296296,0,7979,496,0.717496304764453,0.71141975308642,0.932870370370371,0.717496304764453,1,-36.8,36.9,1.0421320754717,1.54750704225352,13,1022412.98,918603.75,98112.13,88050.39,591637.845787434,2.61447534339152
"WI",55001950400,43.9407474,-89.7376994,235586595,4767,2652,310587.308433018,89263.2849227763,15343.4941332858,171002.151626165,5098.37196629178,73168.5274081334,23976.127625264,37342.1298071641,0.550576752440107,0.0164152617568767,0.235581188997338,0.0771960958296362,0.120230700976043,0.667326595876155,0.0198961192968717,0.235581188997338,0.0771960958296362,0,7979,496,0.717496304764453,0.802573203194322,0.922803904170365,0.717496304764453,1,-29.6,38,1.02743396226415,1.54030985915493,13,997442.1,893803.433333333,95706.8833333333,85827.65,520219.111229243,2.61447534339152
"WI",55001950501,43.8817191,-89.896239,114093884,1469,1971,231921.670298803,13713.9750801756,2670.0333482323,8510.8869834423,3039.60249408654,177512.785654654,6687.12548699038,36171.2696796298,0.036697247706422,0.0131061598951507,0.765399737876802,0.0288335517693316,0.155963302752294,0.151617576050218,0.0541491343036491,0.765399737876802,0.0288335517693316,0,7979,496,0.717496304764453,0.815203145478375,0.971166448230669,0.717496304764453,1,-36.8,36.9,1.02743396226415,1.54030985915493,13,1022420.98,918611.75,98112.13,88050.39,388457.872945135,2.61447534339152
"WI",55001950502,43.8225,-89.7494879,249438343,4112,2199,252209.367584075,38329.8428979415,3458.50150259606,14286.7844175269,3047.84734240574,158678.552263999,24382.778739246,51813.4048208976,0.0566465256797583,0.0120845921450151,0.629154078549849,0.0966767371601208,0.205438066465257,0.225963613425849,0.0482055708641812,0.629154078549849,0.0966767371601208,0,7979,496,0.717496304764453,0.697885196374622,0.903323262839879,0.717496304764453,1,-29.6,38,1.02743396226415,1.54030985915493,13,997334.7,893699.833333333,95715.0833333333,85833.65,422438.810234169,2.61447534339152
"WI",55001950700,43.7124804,-89.6814175,261206244,3501,2644,329666.994640847,35533.2759631898,7617.12019478721,11758.8227387818,5879.4113693909,237906.181482853,28347.1619595633,45145.480157823,0.0356687898089172,0.0178343949044586,0.721656050955414,0.0859872611464968,0.136942675159236,0.126963906581741,0.0634819532908706,0.721656050955414,0.0859872611464968,0,7802,468,0.693984298602204,0.77515923566879,0.912101910828026,0.693984298602204,1,-29.6,38,1.02743396226415,1.54030985915493,13,997442.1,893803.433333333,95706.8833333333,85827.65,552176.686867625,2.6895477075106
"WI",55003940000,46.5057426,-90.7092625,561454852,1867,851,102555.109417887,3904.52908682298,0,47205.5135997039,8445.71489323776,30163.2674758491,7993.26588110002,8747.34756799625,0.460294117647059,0.0823529411764706,0.294117647058824,0.0779411764705882,0.0852941176470588,0.532643870556353,0.0952973059142356,0.294117647058824,0.0779411764705882,0,9186,273,0.475841363362149,0.836764705882354,0.922058823529413,0.475841363362149,1,-31.1,35.6,1.02937735849057,1.53140845070422,18,1176571.6,1062272.85,110858.25,99635.05,171774.977356799,2.10254119937047
"WI",55003950300,46.5736346,-90.8771567,5694726,2696,1177,142296.710950164,82306.7976880109,4376.29059666582,113731.078032997,2657.26817834106,12887.7506649541,13020.6140738712,0,0.799253034547152,0.0186741363211951,0.0905695611577964,0.0915032679738562,0,0.799253034547152,0.0186741363211951,0.0905695611577964,0.0915032679738562,0,8947,288,0.49641388667612,0.908496732026144,0.908496732026144,0.49641388667612,1,-31.1,35.6,1.02937735849057,1.53140845070422,18,1176571.6,1062272.85,110858.25,99635.05,238340.287872076,2.20391009781375
"WI",55003950400,46.5720867,-90.9074876,8600878,2410,1208,144470.821819172,77249.5278137193,12869.6723130426,118968.581098049,3894.43084903855,3140.67003954722,11432.0389439519,4773.81846011177,0.823478260869565,0.0269565217391304,0.0217391304347826,0.0791304347826087,0.0330434782608696,0.855474348715213,0.0280039121543522,0.0217391304347826,0.0791304347826087,0,8947,288,0.49641388667612,0.872173913043478,0.905217391304348,0.49641388667612,1,-31.1,35.6,1.02937735849057,1.53140845070422,18,1176562.6,1062263.85,110858.25,99635.05,241981.821164906,2.20391009781375
