"tract","state","hdd65_normals_2010","cdd65_normals_2010"
"tract_01001020100","AL",2237,2274
"tract_01001020200","AL",2237,2274
"tract_01001020300","AL",2237,2274
"tract_01001020400","AL",2237,2274
"tract_01001020500","AL",2237,2274
"tract_01001020600","AL",2237,2274
"tract_01001020700","AL",2237,2274
"tract_01001020801","AL",2237,2274
"tract_01001020802","AL",2237,2274
"tract_01001020900","AL",2825,1794
"tract_01001021000","AL",2825,1794
"tract_01001021100","AL",2456,1992
"tract_01003010100","AL",1799,2399
"tract_01003010200","AL",1799,2399
"tract_01003010300","AL",1799,2399
"tract_01003010400","AL",1858,2336
"tract_01003010500","AL",1799,2399
"tract_01003010600","AL",1799,2399
"tract_01003010701","AL",1656,2537
"tract_01003010703","AL",1984,2074
"tract_01003010704","AL",1984,2074
"tract_01003010705","AL",1656,2537
"tract_01003010800","AL",1676,2534
"tract_01003010903","AL",1858,2336
"tract_01003010904","AL",1858,2336
"tract_01003010905","AL",1858,2336
"tract_01003010906","AL",1858,2336
"tract_01003011000","AL",1858,2336
"tract_01003011101","AL",1984,2074
"tract_01003011102","AL",1984,2074
"tract_01003011201","AL",1676,2534
"tract_01003011202","AL",1676,2534
"tract_01003011300","AL",1676,2534
"tract_01003011401","AL",1858,2336
"tract_01003011403","AL",1858,2336
"tract_01003011405","AL",1603,2501
"tract_01003011406","AL",1858,2336
"tract_01003011407","AL",1858,2336
"tract_01003011408","AL",1318,2927
"tract_01003011501","AL",1858,2336
"tract_01003011502","AL",1858,2336
"tract_01003011601","AL",1858,2336
"tract_01003011602","AL",1603,2501
"tract_01005950100","AL",2161,2255
"tract_01005950200","AL",2499,1852
"tract_01005950300","AL",2499,1852
"tract_01005950400","AL",2499,1852
"tract_01005950500","AL",2499,1852
"tract_01005950600","AL",2161,2255
"tract_01005950700","AL",2161,2255
"tract_01005950800","AL",2161,2255
"tract_01005950900","AL",2161,2255
"tract_01007010001","AL",2943,1722
"tract_01007010002","AL",2770,1933
"tract_01007010003","AL",2943,1722
"tract_01007010004","AL",2943,1722
"tract_01009050101","AL",3149,1714
"tract_01009050102","AL",3149,1714
"tract_01009050200","AL",3149,1714
"tract_01009050300","AL",3149,1714
"tract_01009050400","AL",3115,1821
"tract_01009050500","AL",3135,1662
"tract_01009050601","AL",3135,1662
"tract_01009050602","AL",3135,1662
"tract_01009050700","AL",3173,1645
"tract_01011952100","AL",2555,1891
"tract_01011952200","AL",2555,1891
"tract_01011952500","AL",2555,1891
"tract_01013952700","AL",2455,1899
"tract_01013952800","AL",2455,1899
"tract_01013952900","AL",2455,1899
"tract_01013953000","AL",2455,1899
"tract_01013953100","AL",2455,1899
"tract_01013953200","AL",2455,1899
"tract_01013953300","AL",2455,1899
"tract_01013953400","AL",2190,2171
"tract_01013953500","AL",2455,1899
"tract_01015000200","AL",2782,1867
"tract_01015000300","AL",2782,1867
"tract_01015000400","AL",2782,1867
"tract_01015000500","AL",2782,1867
"tract_01015000600","AL",2782,1867
"tract_01015000700","AL",2782,1867
"tract_01015000800","AL",2782,1867
"tract_01015000900","AL",2782,1867
"tract_01015001000","AL",2782,1867
