"tract","state","lat","lon"
"tract_01001020100","AL",32.4771112,-86.4903033
"tract_01001020200","AL",32.475758,-86.4724678
"tract_01001020300","AL",32.4740243,-86.4597033
"tract_01001020400","AL",32.4710782,-86.4446805
"tract_01001020500","AL",32.4589157,-86.4218165
"tract_01001020600","AL",32.447347,-86.4768023
"tract_01001020700","AL",32.430522,-86.4369107
"tract_01001020801","AL",32.4117228,-86.531683
"tract_01001020802","AL",32.5471327,-86.531596
"tract_01001020900","AL",32.6370123,-86.5149469
"tract_01001021000","AL",32.604932,-86.7487062
"tract_01001021100","AL",32.4574129,-86.7290029
"tract_01003010100","AL",31.1118693,-87.7880651
"tract_01003010200","AL",30.9478929,-87.6787306
"tract_01003010300","AL",30.8244356,-87.8710563
"tract_01003010400","AL",30.7200267,-87.6245437
"tract_01003010500","AL",30.8969612,-87.7737368
"tract_01003010600","AL",30.8531544,-87.7701913
"tract_01003010701","AL",30.7174494,-87.9529225
"tract_01003010703","AL",30.6479321,-87.8438451
"tract_01003010704","AL",30.6477601,-87.8838007
"tract_01003010705","AL",30.6604947,-87.9557115
"tract_01003010800","AL",30.5948374,-87.9005515
"tract_01003010903","AL",30.6086605,-87.778375
"tract_01003010904","AL",30.5640707,-87.5731188
"tract_01003010905","AL",30.5345606,-87.7548736
"tract_01003010906","AL",30.5641292,-87.6870074
"tract_01003011000","AL",30.4896994,-87.6767299
"tract_01003011101","AL",30.5190072,-87.8386361
"tract_01003011102","AL",30.4799304,-87.8351454
"tract_01003011201","AL",30.5407976,-87.891619
"tract_01003011202","AL",30.5055705,-87.9100953
"tract_01003011300","AL",30.4293701,-87.8782358
"tract_01003011401","AL",30.3802759,-87.7703177
"tract_01003011403","AL",30.3194974,-87.6627032
"tract_01003011405","AL",30.2990102,-87.5274714
"tract_01003011406","AL",30.2696285,-87.637277
"tract_01003011407","AL",30.2529493,-87.7563495
"tract_01003011408","AL",30.2375544,-87.9238804
"tract_01003011501","AL",30.4324484,-87.6790139
"tract_01003011502","AL",30.3818256,-87.6623514
"tract_01003011601","AL",30.4082096,-87.5555847
"tract_01003011602","AL",30.4109373,-87.4560135
"tract_01005950100","AL",32.0353533,-85.2477678
"tract_01005950200","AL",31.9222753,-85.4498309
"tract_01005950300","AL",31.7908933,-85.5670514
"tract_01005950400","AL",31.6794432,-85.5577196
"tract_01005950500","AL",31.7634183,-85.2718649
"tract_01005950600","AL",31.8783526,-85.2729215
"tract_01005950700","AL",31.9440855,-85.2620842
"tract_01005950800","AL",31.920693,-85.1760317
"tract_01005950900","AL",31.8467221,-85.1462332
"tract_01007010001","AL",33.0791483,-87.1730915
"tract_01007010002","AL",33.1824189,-87.0823493
"tract_01007010003","AL",32.9533249,-87.0043466
"tract_01007010004","AL",32.9480029,-87.2803484
"tract_01009050101","AL",33.8723927,-86.4590322
"tract_01009050102","AL",33.9542982,-86.4647749
"tract_01009050200","AL",33.9978254,-86.543915
"tract_01009050300","AL",34.076531,-86.3904992
"tract_01009050400","AL",34.1660342,-86.4971736
"tract_01009050500","AL",34.0336436,-86.6367701
"tract_01009050601","AL",33.8702243,-86.8933575
"tract_01009050602","AL",33.9037194,-86.7801274
"tract_01009050700","AL",33.8404896,-86.6351103
"tract_01011952100","AL",32.1157274,-85.5267341
"tract_01011952200","AL",32.1567,-85.701528
"tract_01011952500","AL",32.0821273,-85.8274935
"tract_01013952700","AL",31.8946556,-86.5914052
"tract_01013952800","AL",31.8377273,-86.6283195
"tract_01013952900","AL",31.8483454,-86.6763112
"tract_01013953000","AL",31.8617983,-86.7608112
"tract_01013953100","AL",31.7968287,-86.6541421
"tract_01013953200","AL",31.7820079,-86.5213679
"tract_01013953300","AL",31.7134193,-86.7523391
"tract_01013953400","AL",31.5996272,-86.8184215
"tract_01013953500","AL",31.575083,-86.6086952
"tract_01015000200","AL",33.6737791,-85.8165719
"tract_01015000300","AL",33.6759496,-85.8313606
"tract_01015000400","AL",33.6823088,-85.8697658
"tract_01015000500","AL",33.6626267,-85.8451981
"tract_01015000600","AL",33.642039,-85.8410175
"tract_01015000700","AL",33.7077452,-85.791928
"tract_01015000800","AL",33.6454724,-85.8270604
"tract_01015000900","AL",33.6454815,-85.7944733
"tract_01015001000","AL",33.6346413,-85.7900573
"tract_01015001100","AL",33.5929064,-85.7859837
"tract_01015001201","AL",33.6094979,-85.8477704
"tract_01015001202","AL",33.6104312,-85.8788873
"tract_01015001300","AL",33.6445961,-85.8731746
"tract_01015001400","AL",33.6589249,-85.8998049
"tract_01015001500","AL",33.6143082,-85.9239914
"tract_01015001600","AL",33.6982109,-85.8652855
"tract_01015001700","AL",33.7273426,-85.8442943
"tract_01015001800","AL",33.7661796,-85.7864612
"tract_01015002000","AL",33.7382668,-85.6812934
"tract_01015002101","AL",33.8369688,-85.7723498
"tract_01015002102","AL",33.8356877,-85.7377431
"tract_01015002103","AL",33.7968202,-85.7593266
"tract_01015002200","AL",33.8952637,-85.5983598
"tract_01015002300","AL",33.9376551,-85.6715535
"tract_01015002400","AL",33.8750936,-85.7793152
"tract_01015002501","AL",33.7837754,-85.9002899
"tract_01015002502","AL",33.8908485,-85.8860424
"tract_01015002600","AL",33.7687621,-86.0372827
"tract_01015981901","AL",33.6467452,-85.9690161
"tract_01015981902","AL",33.7188196,-85.9523544
"tract_01015981903","AL",33.7068966,-85.7503208
"tract_01017953800","AL",33.0302682,-85.3867838
"tract_01017953900","AL",32.9119594,-85.2737884
"tract_01017954000","AL",32.8660782,-85.4616055
"tract_01017954200","AL",32.83414,-85.2678517
"tract_01017954300","AL",32.7766468,-85.2734917
"tract_01017954400","AL",32.847603,-85.1968765
"tract_01017954500","AL",32.8580358,-85.2066713
"tract_01017954600","AL",32.8362807,-85.1725763
"tract_01017954700","AL",32.7701994,-85.1744758
"tract_01019955701","AL",34.2324537,-85.5189408
"tract_01019955702","AL",34.3569596,-85.5688477
"tract_01019955800","AL",34.2009305,-85.7515148
"tract_01019955900","AL",34.0328522,-85.6828498
"tract_01019956000","AL",34.1662695,-85.6538832
"tract_01019956100","AL",34.0861102,-85.5068516
"tract_01021060101","AL",32.8154498,-86.6415349
"tract_01021060102","AL",32.8695805,-86.6588881
"tract_01021060200","AL",32.8587949,-86.5491633
"tract_01021060300","AL",32.9709197,-86.6061792
"tract_01021060401","AL",32.9251623,-86.7276967
"tract_01021060402","AL",32.9910458,-86.8010803
"tract_01021060500","AL",32.7690636,-86.8954123
"tract_01021060600","AL",32.7727303,-86.7363808
"tract_01021060700","AL",32.7592425,-86.5260002
"tract_01023956700","AL",32.270011,-88.206997
"tract_01023956800","AL",32.0656633,-88.2128479
"tract_01023956900","AL",31.9275928,-88.3326295
"tract_01023957000","AL",31.759107,-88.3016638
"tract_01025957500","AL",31.7929013,-87.6425154
"tract_01025957601","AL",31.8884818,-87.8913637
"tract_01025957602","AL",31.9121978,-87.6935962
"tract_01025957700","AL",31.8398667,-88.059381
"tract_01025957800","AL",31.6170174,-87.6979772
"tract_01025957901","AL",31.6379289,-87.9598566
"tract_01025957902","AL",31.5011616,-87.8723338
"tract_01025958001","AL",31.5580814,-87.7826833
"tract_01025958002","AL",31.3573817,-87.8407503
"tract_01027958900","AL",33.3872783,-85.7690615
"tract_01027959000","AL",33.3093759,-85.8820883
"tract_01027959100","AL",33.1784584,-85.7811516
"tract_01027959200","AL",33.1781831,-86.0215486
"tract_01029959500","AL",33.8207588,-85.4723231
"tract_01029959600","AL",33.6995822,-85.5731406
"tract_01029959700","AL",33.5592943,-85.6428256
"tract_01029959800","AL",33.5723977,-85.3977259
"tract_01031010100","AL",31.5629467,-86.0563149
"tract_01031010200","AL",31.5375844,-85.8984006
"tract_01031010300","AL",31.423448,-85.8694559
"tract_01031010400","AL",31.4002823,-86.0255683
"tract_01031010500","AL",31.4362328,-86.1524046
"tract_01031010600","AL",31.2721909,-86.1506243
"tract_01031010700","AL",31.2554712,-86.0287941
"tract_01031010800","AL",31.2340471,-85.8666367
"tract_01031010900","AL",31.2871143,-85.8740055
"tract_01031011000","AL",31.3220746,-85.8920299
"tract_01031011100","AL",31.326952,-85.8525118
"tract_01031011201","AL",31.3627415,-85.8358305
"tract_01031011202","AL",31.3284083,-85.8089085
"tract_01031011300","AL",31.3016253,-85.8231428
"tract_01033020100","AL",34.7695045,-87.6805197
"tract_01033020200","AL",34.7664844,-87.7003805
"tract_01033020300","AL",34.7529158,-87.6979348
"tract_01033020400","AL",34.7497044,-87.719623
"tract_01033020500","AL",34.7186239,-87.7268835
"tract_01033020600","AL",34.7190236,-87.6783975
"tract_01033020701","AL",34.7241056,-87.6262632
"tract_01033020703","AL",34.7471222,-87.6398474
"tract_01033020704","AL",34.7443268,-87.6663059
"tract_01033020801","AL",34.774634,-87.5053473
"tract_01033020802","AL",34.6517425,-87.5574471
"tract_01033020901","AL",34.6133167,-87.6919752
"tract_01033020902","AL",34.6686652,-87.822804
"tract_01033021000","AL",34.722246,-88.0128081
"tract_01035960200","AL",31.5889624,-87.0102902
"tract_01035960300","AL",31.3559372,-87.2429336
"tract_01035960400","AL",31.3411108,-87.0387457
"tract_01035960500","AL",31.4626914,-86.9984985
"tract_01035960600","AL",31.3854843,-86.8079409
"tract_01037961000","AL",32.9929287,-86.0738794
"tract_01037961100","AL",33.0033478,-86.3347023
"tract_01037961200","AL",32.824368,-86.1981046
"tract_01039961600","AL",31.4420655,-86.3998913
"tract_01039961700","AL",31.3784363,-86.614981
"tract_01039961800","AL",31.2650426,-86.5052622
"tract_01039961900","AL",31.2662966,-86.4627
"tract_01039962000","AL",31.3443958,-86.463852
"tract_01039962100","AL",31.326445,-86.507274
"tract_01039962300","AL",31.2543282,-86.3833989
"tract_01039962400","AL",31.3581976,-86.2407321
"tract_01039962500","AL",31.2943394,-86.2747847
"tract_01039962600","AL",31.2706149,-86.2808706
"tract_01039962700","AL",31.2623346,-86.2376734
"tract_01039962800","AL",31.179484,-86.2793092
"tract_01039962900","AL",31.1195838,-86.5873825
"tract_01039963000","AL",31.0547438,-86.3533826
"tract_01041963400","AL",31.8829739,-86.257977
