"tract","puma"
"tract_01001020100","puma_0102100"
"tract_01001020200","puma_0102100"
"tract_01001020300","puma_0102100"
"tract_01001020400","puma_0102100"
"tract_01001020500","puma_0102100"
"tract_01001020600","puma_0102100"
"tract_01001020700","puma_0102100"
"tract_01001020801","puma_0102100"
"tract_01001020802","puma_0102100"
"tract_01001020900","puma_0102100"
"tract_01001021000","puma_0102100"
"tract_01001021100","puma_0102100"
"tract_01003010100","puma_0102600"
"tract_01003010200","puma_0102600"
"tract_01003010300","puma_0102600"
"tract_01003010400","puma_0102600"
"tract_01003010500","puma_0102600"
"tract_01003010600","puma_0102600"
"tract_01003010701","puma_0102600"
"tract_01003010703","puma_0102600"
"tract_01003010704","puma_0102600"
"tract_01003010705","puma_0102600"
"tract_01003010800","puma_0102600"
"tract_01003010903","puma_0102600"
"tract_01003010904","puma_0102600"
"tract_01003010905","puma_0102600"
"tract_01003010906","puma_0102600"
"tract_01003011000","puma_0102600"
"tract_01003011101","puma_0102600"
"tract_01003011102","puma_0102600"
"tract_01003011201","puma_0102600"
"tract_01003011202","puma_0102600"
"tract_01003011300","puma_0102600"
"tract_01003011401","puma_0102600"
"tract_01003011403","puma_0102600"
"tract_01003011405","puma_0102600"
"tract_01003011406","puma_0102600"
"tract_01003011407","puma_0102600"
"tract_01003011408","puma_0102600"
"tract_01003011501","puma_0102600"
"tract_01003011502","puma_0102600"
"tract_01003011601","puma_0102600"
"tract_01003011602","puma_0102600"
"tract_01003990000","puma_0102600"
"tract_01005950100","puma_0102400"
"tract_01005950200","puma_0102400"
"tract_01005950300","puma_0102400"
"tract_01005950400","puma_0102400"
"tract_01005950500","puma_0102400"
"tract_01005950600","puma_0102400"
"tract_01005950700","puma_0102400"
"tract_01005950800","puma_0102400"
"tract_01005950900","puma_0102400"
"tract_01007010001","puma_0101700"
"tract_01007010002","puma_0101700"
"tract_01007010003","puma_0101700"
"tract_01007010004","puma_0101700"
"tract_01009050101","puma_0100800"
"tract_01009050102","puma_0100800"
"tract_01009050200","puma_0100800"
"tract_01009050300","puma_0100800"
"tract_01009050400","puma_0100800"
"tract_01009050500","puma_0100800"
"tract_01009050601","puma_0100800"
"tract_01009050602","puma_0100800"
"tract_01009050700","puma_0100800"
"tract_01011952100","puma_0102400"
"tract_01011952200","puma_0102400"
"tract_01011952500","puma_0102400"
"tract_01013952700","puma_0102300"
"tract_01013952800","puma_0102300"
"tract_01013952900","puma_0102300"
"tract_01013953000","puma_0102300"
"tract_01013953100","puma_0102300"
"tract_01013953200","puma_0102300"
"tract_01013953300","puma_0102300"
"tract_01013953400","puma_0102300"
"tract_01013953500","puma_0102300"
"tract_01015000200","puma_0101100"
"tract_01015000300","puma_0101100"
"tract_01015000400","puma_0101100"
"tract_01015000500","puma_0101100"
"tract_01015000600","puma_0101100"
"tract_01015000700","puma_0101100"
"tract_01015000800","puma_0101100"
"tract_01015000900","puma_0101100"
"tract_01015001000","puma_0101100"
"tract_01015001100","puma_0101100"
"tract_01015001201","puma_0101100"
"tract_01015001202","puma_0101100"
"tract_01015001300","puma_0101100"
"tract_01015001400","puma_0101100"
"tract_01015001500","puma_0101100"
"tract_01015001600","puma_0101100"
"tract_01015001700","puma_0101100"
"tract_01015001800","puma_0101100"
"tract_01015002000","puma_0101100"
"tract_01015002101","puma_0101100"
"tract_01015002102","puma_0101100"
"tract_01015002103","puma_0101100"
"tract_01015002200","puma_0101100"
"tract_01015002300","puma_0101100"
"tract_01015002400","puma_0101100"
"tract_01015002501","puma_0101100"
