,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,s.heat.stderr.wk,s.dark.stderr.wk,n.heat.wk,s.cool.db.stderr.wk,s.cool.wb.stderr.wk,n.cool.wk,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,r2.heat.wk,r2.cool.wk,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,s.heat.stderr.wknd,s.dark.stderr.wknd,n.heat.wknd,s.cool.db.stderr.wknd,s.cool.wb.stderr.wknd,n.cool.wknd,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw,r2.heat.wknd,r2.cool.wknd
0,10.0,18.3,3551.697214344214,-27.342309873818678,0.0,-866.1244124333942,50.12238689721771,5.1043145811490085,8.808748471364998,0.0,70.0,2.695588606356862,4.406238024290881,119.0,0.07282364782842518,0.020651833981560425,0.062230928871899696,0.12410395854546397,0.7501727480135727,10.0,19.02173342069564,3465.4974018797225,-18.64762908453558,0.0,-1045.7013234217748,54.974028932823344,1.1011464589313338,17.310167465617635,0.0,34.0,4.43630075377863,7.478101369339174,52.0,0.06766606916379216,0.020814725558915597,0.06364367306138118,0.03499642246182155,0.7596720274881599
1,10.0,18.3,3551.951334665095,-31.25306351018881,0.0,-809.6040693635666,49.08305295143529,3.9650438351106456,8.59834957559585,0.0,72.0,2.7134336080804906,4.320774965538532,116.0,0.07333724754651368,0.01979373994844443,0.0573628526408509,0.15877100275241585,0.7459420167585396,10.0,19.87000630485509,3442.2422638683206,-15.449510906003582,0.0,-1021.0719042196454,51.38759840102084,-4.275269447919955,17.22103510276725,0.0,35.0,4.626005666956444,8.845977049771816,51.0,0.06873808509117527,0.0219245292268401,0.06833918279139439,0.02380850074624108,0.7219982182410949
2,10.0,18.3,3550.044115129815,-32.92199616925149,0.0,-744.0565089986085,46.66468535871504,4.442182058445093,8.256266472480165,0.0,75.0,2.866836972955295,4.739945598892667,112.0,0.07383127410252799,0.01949294037282296,0.05351116840479115,0.17885527873802975,0.7085232647432935,10.0,20.707750779669365,3413.5431456897713,-12.58999892607622,0.0,-996.6880458786945,48.131159027528554,-2.0999616530925316,15.574745692120109,0.0,36.0,4.878331997152061,9.047637052042507,50.0,0.06913353145552008,0.022017758224258308,0.066148887980375,0.01885658462081563,0.6767113936081799
3,10.0,18.3,3540.4766248285478,-32.096483801280606,0.0,-824.1931709081567,48.49313214746071,10.087313603129891,7.95483035309489,0.0,75.0,2.2837060679766457,3.838998424343952,111.0,0.07317805124715332,0.017572083897907233,0.0567305199675728,0.18234721377793117,0.8067866498036532,10.0,19.31236051679114,3414.774935633363,-16.50107069574085,0.0,-901.7796780933978,46.6944306113872,-2.5103215899695535,13.654835891642854,0.0,40.0,5.3295589842863285,9.345337452963006,49.0,0.06952358598204007,0.022088688191915163,0.06400216205749477,0.03700756894691881,0.6269900824667709
4,10.0,18.3,3517.3277309000287,-31.438981850846602,0.0,-765.9718570711151,48.341441706171324,2.996905076045625,6.760994297133037,0.0,85.0,3.1528195402145918,5.159569251951037,103.0,0.07372219401922978,0.018638725200092535,0.048824756771639645,0.20667534298799428,0.7127307001032819,10.0,21.798439063325123,3370.9905861778084,-5.319252415230935,0.0,-990.6190422289624,45.44449441316345,-5.733064243046325,12.55832193415253,0.0,43.0,6.21108537215055,9.808074923677799,47.0,0.07227874652006537,0.021683441188718976,0.06757376293445348,0.004356702376719479,0.5681373469535609
5,10.0,18.3,3543.8204914506755,-37.27718589945569,0.0,-606.1171697430146,48.90462273785534,-4.219772856675698,6.39299761797437,0.0,94.0,3.4644939122627036,5.620777511167479,90.0,0.06827761593391306,0.01539419924459451,0.0393163998114928,0.26984046989090094,0.7303063119628044,10.0,18.88584652337781,3391.777103035498,-7.40074219615726,0.0,-698.8527865668519,37.00404880987348,-17.166657625502594,11.306062484872927,0.0,46.0,7.8079745124650595,11.554048994037041,44.0,0.06893986206626766,0.02301570188201342,0.07828146359113433,0.009644203383393002,0.4447934319712673
6,10.0,18.3,3523.7520708152474,-39.382845312852666,85.04802554064145,-449.63855078478684,43.057689591129694,-1.7590905702657942,6.348394515162941,485.52200968779533,93.0,3.2834449925347275,5.132011461636121,89.0,0.06347996478156016,0.013915733042410318,0.038116876845292885,0.29999320072866553,0.699733003732594,10.0,18.3,3413.2302114133977,-18.016071833157596,23.02744260277359,-507.31840775234,34.63210208094767,-12.30030958109296,12.08336761648739,575.4468075574764,45.0,7.622737057129398,11.304409957459765,44.0,0.06559410291714686,0.02326590921805544,0.06894522101045772,0.05634793381845027,0.4035838498638338
7,10.0,18.3,3632.6137670285234,-35.34249646246809,0.0,-521.8958941647257,41.90413886712601,-2.8481892819442685,6.367259951930744,0.0,93.0,4.263541357602338,6.266253620278667,88.0,0.06483344163676241,0.017273522994091097,0.04161596079006903,0.2529338484382133,0.5617470468478529,10.0,19.496797409199143,3451.6774114148743,-9.867249989999792,0.0,-664.2877634334465,34.071634919898,-14.450938192629078,10.656023939638501,0.0,47.0,7.68738239722797,11.475104463817361,44.0,0.06696833356321853,0.023864204480303044,0.07682477470873232,0.01869786913173377,0.37729931260035765
8,10.0,18.3,3595.5845015696323,-34.01554010827716,0.0,-572.2946757154813,46.22644717615263,-5.833293158978369,6.113687407848728,0.0,94.0,3.724816607010499,5.593985732922151,94.0,0.0637496489204188,0.016473672702442335,0.04404366980316628,0.251766353431908,0.6495873641396466,10.0,18.3,3458.8507207105413,-16.647909716958196,0.0,-565.7414195812453,37.1777331741769,-19.765139258307524,9.868565837529705,0.0,48.0,7.32882443694323,11.770433783170946,45.0,0.06385012678285798,0.023099078778296006,0.06985955137954464,0.058261774201231686,0.43348923445922327
9,10.0,18.3,3620.8614800238006,-29.172813268753735,0.0,-847.6429808372263,52.61307321965149,6.469970255698992,8.149587393159157,0.0,75.0,3.6898237326340073,5.135447640705521,106.0,0.06430190505930862,0.01963921547106754,0.05525099515906937,0.14932314792488488,0.6681882592073095,10.0,18.538151630752186,3422.949052579572,-10.115802861892945,0.0,-917.3324427283957,49.48349010192959,-11.012601876668821,14.702649368006217,0.0,35.0,7.143126450941582,12.437009671249195,47.0,0.05737404946002919,0.025068498904852698,0.06995473875923529,0.014141971304078016,0.5366385474002309
