,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,s.heat.stderr.wk,s.dark.stderr.wk,n.heat.wk,s.cool.db.stderr.wk,s.cool.wb.stderr.wk,n.cool.wk,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,r2.heat.wk,r2.cool.wk,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,s.heat.stderr.wknd,s.dark.stderr.wknd,n.heat.wknd,s.cool.db.stderr.wknd,s.cool.wb.stderr.wknd,n.cool.wknd,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw,r2.heat.wknd,r2.cool.wknd
0,10.0,18.3,14976.923471877266,-532.202586461348,0.0,-8084.651139429881,626.437988612939,97.70610285196555,23.57021840813079,0.0,61.0,13.161925387233767,36.800298718096094,134.0,0.038252875476445236,0.03486812424343178,0.07442996441144457,0.8962786169959768,0.9459499307024729,10.0,18.3,14657.671683582734,-487.71143192577404,0.0,-10035.469436786683,679.3807941237105,137.818129504222,48.88892378819127,0.0,35.0,23.243696342113836,57.13875952019052,52.0,0.04590677113283403,0.03220351385647487,0.08786010158981007,0.7509786370408373,0.9469914402113827
1,10.0,18.3,14734.859326118385,-551.0010118114553,0.0,-7805.097095235707,622.063333822829,50.663557651109514,21.694541529936547,0.0,65.0,14.256590532858073,36.704279787353705,125.0,0.03875311697734647,0.03446842245153383,0.0893009062622828,0.9110251851113402,0.9398667984247407,10.0,18.3,14156.620650426572,-465.77530909242444,0.0,-9917.355338330344,662.9808699056277,95.87968949272815,46.20053693500171,0.0,38.0,24.72136236167311,54.75513219515823,51.0,0.04871961053057581,0.032061439074256445,0.07808316342803791,0.7384455564709064,0.9398569537522656
2,10.0,18.3,14556.20056577101,-563.494865980427,0.0,-7268.673048308861,607.4579026238154,6.69298079874055,21.498258136812552,0.0,66.0,14.24358686539765,35.395271499046444,122.0,0.0403679176289148,0.0339394639359401,0.09439065107050051,0.9147832804406176,0.9385998774866228,10.0,18.3,14083.91023244042,-493.3809204270353,0.0,-9646.318470851267,660.7583339796628,85.26868941914111,44.328708302643506,0.0,37.0,27.416666571391865,55.364886366967866,50.0,0.046942731808513626,0.03273510550093952,0.09111761782645313,0.7797053263577567,0.9281184509773628
3,10.0,18.3,14605.244635545674,-559.975644948322,0.0,-7163.143039886474,597.764838083997,-13.870090417346923,22.251507614210897,0.0,69.0,13.545511296559527,32.54592805517354,122.0,0.04386159632962614,0.03176807927830977,0.08477206502380964,0.9043286907258508,0.9424305379122262,10.0,18.3,14094.158860265512,-523.5681222180398,0.0,-9011.881339088683,652.4496942452641,56.58632456986166,39.96216756933548,0.0,40.0,31.280043181548653,59.54998180997143,49.0,0.048906983355473166,0.03461086420958325,0.10555702727831226,0.8187470699996122,0.9086657772203339
4,10.0,18.3,14548.285144125219,-523.6851142668072,0.0,-7821.770238798982,609.810092231298,-39.584076690219575,24.143284583206146,0.0,73.0,14.426962624418021,32.86651500342302,115.0,0.056558758269143486,0.028815532469592547,0.0782738042326762,0.8688796176793468,0.9413312723034529,10.0,18.3,13652.621455335284,-489.90655578435167,0.0,-8391.730199777923,622.5375261768841,26.763741171687712,42.07879917136806,0.0,42.0,28.93287364085383,56.377373121811935,49.0,0.05372632193522295,0.03176300133120992,0.10006535936972102,0.772144811717263,0.9117096079469618
5,10.0,18.3,15628.529765640345,-587.4996627304411,0.0,-7582.175244082234,659.4122288675369,-225.6772441198703,26.084634970511566,0.0,79.0,21.23982766228342,48.13901688368911,109.0,0.061441925932312694,0.031908575207108526,0.09563535757660484,0.8682133368061004,0.9016335124068142,10.0,18.3,14132.637126822472,-526.1373135368348,0.0,-7622.346919253582,631.2596097242157,-136.12921674623988,50.25332652084658,0.0,43.0,31.55405032449253,72.3247688158943,48.0,0.0602108513684271,0.030866866082497956,0.09415643603937275,0.7277821129409527,0.898931088090799
6,10.0,18.3,17109.99028292698,-601.5104478256528,0.0,-6760.096515570197,613.1341248755097,-281.0134289093214,27.22105311061335,0.0,80.0,22.991203009827935,63.53274874889257,108.0,0.059132124730132726,0.03324409201228816,0.08028046962411375,0.862261022969016,0.8714263448585097,10.0,18.3,13646.422373433728,-565.3957731440507,1370.270871645515,-6697.79923785083,594.6101431695774,18.278091761236624,52.01782352690732,1755.3164538602377,43.0,34.82668604172915,78.08966652091424,47.0,0.05389447215442155,0.0323246583332594,0.09705026472915305,0.7495676917944631,0.8705327612205032
7,10.0,18.3,17543.62231164467,-582.1497661943122,0.0,-6490.365116147013,583.3618681699459,-236.6174196092718,26.348123877981756,0.0,80.0,20.437622884271402,57.617134896783405,108.0,0.055189929331602695,0.027701700219518902,0.06739166207782485,0.8622319113004163,0.8868281234335367,10.0,18.3,15641.42793201138,-586.7094958477157,0.0,-6239.178323205197,572.0903169109895,-114.76615396970351,53.334288667754066,0.0,43.0,31.39666713708803,78.33222895038631,48.0,0.05509804849687918,0.03012192128822742,0.09575633745815827,0.7469344071322948,0.8811413503775574
8,10.0,18.3,17309.96511093692,-560.2924666883264,0.0,-7263.591927788838,617.3481099006449,-202.96197656165597,25.353038607049644,0.0,78.0,17.582421216776456,50.079808874441184,115.0,0.049398990076329724,0.025629867735815003,0.06976904979582317,0.86534208467297,0.9203133286221631,10.0,18.3,16247.788744828918,-600.3324745232123,0.0,-6525.988241291345,600.1689213812808,-180.08784307198977,54.86489510879953,0.0,41.0,29.854215446383012,80.19585304876692,49.0,0.049892141599204964,0.02612124331548939,0.10354876161038366,0.7542961630929585,0.9003088635170511
9,10.0,18.3,17622.152052142592,-505.7297677221884,0.0,-9422.447996482335,638.7908007342251,-29.77406510797585,28.51394908358674,0.0,65.0,16.13276416655303,38.39052244343193,123.0,0.04182566987304367,0.026975228149623456,0.052283387132561164,0.8331451212346213,0.9381139898211456,10.0,18.3,17185.079154261573,-578.0731855639624,0.0,-7564.109078939244,585.5880771066118,21.402750224449875,45.84696356438876,0.0,36.0,28.323995541700782,73.0379912448197,52.0,0.03769682090195799,0.0299721302050802,0.07315643296841648,0.8238166083294696,0.9080132888834926
